year, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.850000000000000000e+03, 0.000000000000000000e+00, 6.271412726773651524e-11, 0.000000000000000000e+00, 7.949508941559020819e-11, 4.362645132323888211e-11, 8.036751611198391252e-14, 3.042307693113757179e-11, 4.812951755003979442e-13, 6.614414612415465738e-12, 4.291405884678238934e-11
1.851000000000000000e+03, 2.084900416868207416e-10, 6.674547338073069180e-11, 1.858920544447933430e-10, 8.404430808191958016e-11, 9.869151174904876087e-11, 5.562546278073709363e-11, 8.076519079299128449e-11, 1.057809708152291595e-12, 7.562787294483291596e-11, 7.191595472130133847e-11
1.852000000000000000e+03, 2.100319041163411805e-10, 7.202382716007474446e-11, 1.973236302296244707e-10, 8.741593643402604900e-11, 9.534126071485007426e-11, 5.977589475492411852e-11, 8.708062742379068863e-11, 1.080880948191773768e-12, 7.928049429125361276e-11, 7.865909309272794463e-11
1.853000000000000000e+03, 2.090509924973336017e-10, 7.288658287643290851e-11, 2.061730461502797289e-10, 9.234827729141944268e-11, 9.592437675955462572e-11, 6.284031347367227862e-11, 9.547570710044534270e-11, 1.286315457646718010e-12, 8.259838358192481291e-11, 8.208602115608993298e-11
1.854000000000000000e+03, 2.084534411480247757e-10, 7.542652475197053517e-11, 2.169411116979977266e-10, 9.555178312463239899e-11, 1.057494128953335417e-10, 6.579522101060361110e-11, 9.778850529222767427e-11, 1.344159056096127705e-12, 8.639564665344879972e-11, 8.443182563179315859e-11
1.855000000000000000e+03, 2.111392998266467933e-10, 7.819065482818038284e-11, 2.267309360654721203e-10, 9.790307497665597158e-11, 1.101927128457779055e-10, 6.777426618443018894e-11, 1.011866289034734129e-10, 1.335455432104192457e-12, 9.010762713542149241e-11, 8.770099897520918362e-11
1.856000000000000000e+03, 2.110736498753019295e-10, 8.081974722832702749e-11, 2.380770917189047135e-10, 9.931344689952831328e-11, 1.179669023434692906e-10, 6.966465044436993358e-11, 9.934791756464379126e-11, 1.236744285188537573e-12, 9.369841473302300439e-11, 9.019132971582557040e-11
1.857000000000000000e+03, 2.127911964675805545e-10, 8.260392071399559474e-11, 2.487001161288385184e-10, 1.013361083731463294e-10, 1.182176803122194111e-10, 7.162648491077314775e-11, 9.628111672385863306e-11, 1.159030113152368051e-12, 9.713510809318474604e-11, 9.109094839456003095e-11
1.858000000000000000e+03, 2.149563133515238796e-10, 8.427526972683976042e-11, 2.591649021054114116e-10, 1.025907338514497633e-10, 1.195649874760791116e-10, 7.275562782101107801e-11, 9.681087064044700401e-11, 1.135728384798383213e-12, 1.007822964225188750e-10, 9.274330402686815949e-11
1.859000000000000000e+03, 2.153995165092306403e-10, 8.350543731666073961e-11, 2.688837409969599699e-10, 1.031796228337956802e-10, 1.196986086811587893e-10, 7.320596888863747986e-11, 9.792188390460246019e-11, 1.273847275563478535e-12, 1.040766484166400902e-10, 9.383017903350459587e-11
1.860000000000000000e+03, 2.154126605944923732e-10, 5.510507142966698371e-11, 2.795370700663407383e-10, 6.236680189155008414e-11, 1.176940856725363622e-10, 7.405255180617499230e-11, 1.052415058060233612e-10, 1.109631238571527762e-12, 1.076019611984319402e-10, 8.356564145657274299e-11
1.861000000000000000e+03, 1.218236752906191364e-10, 5.485783393954215279e-11, 1.625517610027263604e-10, 5.963200797742251971e-11, 7.701400869877347672e-11, 4.062042251308056178e-11, 7.885798784535036575e-11, 7.648866712591795664e-13, 6.795650176705255015e-11, 7.611996836383027313e-11
1.862000000000000000e+03, 1.232707432542679536e-10, 5.377253502520710308e-11, 1.562801016577248857e-10, 5.786124224798969830e-11, 7.738618493402609565e-11, 3.903437236140504224e-11, 7.458394466933653914e-11, 7.390869276305299464e-13, 6.592239365453072092e-11, 7.419317534274018842e-11
1.863000000000000000e+03, 1.249029053618603627e-10, 5.418322576439907211e-11, 1.511595428781329013e-10, 5.582742563789652006e-11, 8.527493573644063660e-11, 3.801399176191735776e-11, 7.745436918414093466e-11, 8.145311489842237438e-13, 6.369669187757950574e-11, 7.379341308623670382e-11
1.864000000000000000e+03, 1.240906301642171135e-10, 5.242411845468737655e-11, 1.455547404936943995e-10, 5.401212448939182027e-11, 9.399539637913426915e-11, 3.755408406524140315e-11, 8.140530419086292750e-11, 7.565401109984542233e-13, 6.144506104452068667e-11, 7.334429084380700455e-11
1.865000000000000000e+03, 1.230442637672133086e-10, 5.071830226303444165e-11, 1.404706793299940813e-10, 5.328597584325669393e-11, 8.519456736591204071e-11, 3.724472872107403990e-11, 7.990560306984807447e-11, 7.683400159468316664e-13, 5.947768357770877973e-11, 7.326127562145124948e-11
1.866000000000000000e+03, 9.303805774862985388e-11, 5.008910906029606519e-11, 1.353323683998241691e-10, 5.268390010687124573e-11, 8.775006740319445605e-11, 3.721552015097910621e-11, 7.943508812892780239e-11, 7.266867085609275801e-13, 5.746985412528321433e-11, 7.343496865719750135e-11
1.867000000000000000e+03, 9.506576790509225707e-11, 5.205274371093585874e-11, 1.296994707341657485e-10, 5.218725488630485346e-11, 8.437796957262624240e-11, 3.732731980778926823e-11, 8.295170027218223691e-11, 6.750197494305765631e-13, 5.534319822725234827e-11, 7.392466016739468280e-11
1.868000000000000000e+03, 9.615722162494751465e-11, 5.458894305773574581e-11, 1.240392759406854772e-10, 5.055458044873980519e-11, 8.953405301738888125e-11, 3.686423545950956866e-11, 7.898771556384043575e-11, 7.155743063587894080e-13, 5.319365561890601709e-11, 7.346014262579638585e-11
