year, CESM2-WACCM, INM-CM5-0, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-LM, CMCC-CM2-SR5, NorESM2-MM, TaiESM1, CanESM5, MIROC-ES2L, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, GFDL-ESM4
1.850000000000000000e+03, 1.958336198845859188e+00, 2.221089977962775297e+00, 2.177313916344752798e+00, 2.093465785943037005e+00, 2.366427359927162133e+00, 1.981647487418003895e+00, 2.079884372555396155e+00, 1.949937862143243716e+00, 2.086437373740829049e+00, 2.148989242107780751e+00, 2.340209672527449491e+00, 2.024215333938514494e+00, 2.508266556215862142e+00, 2.053509286367607434e+00, 2.185104879998377214e+00, 2.402348290161928634e+00
1.851000000000000000e+03, 2.056958370946157633e+00, 2.130654515995934251e+00, 2.330274365991259256e+00, 2.021016113557362548e+00, 2.309757863218611984e+00, 1.860624631012946173e+00, 2.132725448165427196e+00, 1.918209409918524733e+00, 1.980959094629344053e+00, 2.076868348137316467e+00, 2.285357314500473969e+00, 2.051738221601360213e+00, 2.504737162681064611e+00, 2.137634809331894647e+00, 2.180200937714865006e+00, 2.368849034626244077e+00
1.852000000000000000e+03, 1.981631672436655833e+00, 2.176229495955456894e+00, 2.177529046128249046e+00, 2.083612658351960079e+00, 2.369118788336867620e+00, 1.962761580772565795e+00, 2.089893562284861339e+00, 1.939253031419058582e+00, 2.153864428674614473e+00, 2.266242923094064832e+00, 2.309141893404300649e+00, 1.998310345550701861e+00, 2.591311389053323477e+00, 2.061479888668201532e+00, 2.211257536791685574e+00, 2.349304477809697644e+00
1.853000000000000000e+03, 2.024555582265136877e+00, 2.106829467049641913e+00, 2.174481796501051445e+00, 2.163864258365191695e+00, 2.383943797726738811e+00, 1.960742514289401717e+00, 2.136280533886724342e+00, 1.945343577306279270e+00, 2.147316179537083869e+00, 2.141794194153316955e+00, 2.226510154078464865e+00, 2.090158324571480541e+00, 2.546956867085234499e+00, 2.195461558140396452e+00, 2.113195396348026112e+00, 2.410922700178623312e+00
1.854000000000000000e+03, 2.005312566074059166e+00, 2.074917274567089631e+00, 2.283464683114739824e+00, 2.163841827995992340e+00, 2.353764604397259763e+00, 1.988099225678311432e+00, 2.127227325096498145e+00, 2.040553633930216382e+00, 2.094063864959609944e+00, 2.184688261195809389e+00, 2.201338853559779984e+00, 2.023343271651754538e+00, 2.502046365203488776e+00, 2.259781881091716293e+00, 2.066825405081531564e+00, 2.315515622884658065e+00
1.855000000000000000e+03, 1.913073904417329496e+00, 2.261549854082886224e+00, 2.222295537233843987e+00, 2.079690138503994756e+00, 2.315286678881772975e+00, 1.980199363617670683e+00, 2.056503675604950399e+00, 2.045353555471749019e+00, 2.101022839905888784e+00, 2.063986021122658165e+00, 2.285182630119853453e+00, 2.083587732580059804e+00, 2.439900738428366633e+00, 2.172311365794328264e+00, 2.181849248220157911e+00, 2.388148637641529071e+00
1.856000000000000000e+03, 2.081466176854762651e+00, 2.239287598032817961e+00, 2.206541831515987706e+00, 2.168205034446096580e+00, 2.357351889210224094e+00, 1.990136034479225380e+00, 2.220984733729662874e+00, 1.914090182574680998e+00, 2.061081623477960978e+00, 2.062492648100287873e+00, 2.310874275628650665e+00, 2.118563972501422032e+00, 2.542479458299333750e+00, 2.184628948927207936e+00, 2.080582475298608180e+00, 2.299095554521904727e+00
1.857000000000000000e+03, 2.080407621830359322e+00, 2.200149840932549949e+00, 2.129180866358515445e+00, 2.156391350375374216e+00, 2.464230174292391773e+00, 1.993356095293042918e+00, 2.118892171573360184e+00, 1.908377760386373190e+00, 2.087741162805780260e+00, 2.060805462617735451e+00, 2.355789144043479943e+00, 2.022592644929611883e+00, 2.607315340514021251e+00, 2.265717864179196628e+00, 2.146083146339290426e+00, 2.449225457695642483e+00
1.858000000000000000e+03, 2.030378350489449257e+00, 2.150155556125847411e+00, 2.203224228049911915e+00, 2.162339364296645972e+00, 2.380042869231069336e+00, 1.940231009989845656e+00, 2.126261891239678015e+00, 1.960411062678774519e+00, 2.061720382601702983e+00, 2.167145573049471530e+00, 2.361017327304293367e+00, 2.027661198003817056e+00, 2.570740364809981138e+00, 2.197206249954187118e+00, 2.109827970648110451e+00, 2.341992043787330946e+00
1.859000000000000000e+03, 2.073194112803552258e+00, 2.207815813842187058e+00, 2.131578426036978335e+00, 2.223173597170801319e+00, 2.286084517204820532e+00, 1.949044317537574900e+00, 2.105843819127842576e+00, 1.850426012013773880e+00, 2.089943416814752375e+00, 2.117828709970940526e+00, 2.261447415186761400e+00, 2.007462076624464853e+00, 2.578761024332812735e+00, 2.147383920321067841e+00, 2.220740415961103942e+00, 2.348098709312402832e+00
1.860000000000000000e+03, 2.025630891080763885e+00, 2.264023190836562449e+00, 2.151507735528683796e+00, 1.952261595050599929e+00, 2.355176079945208834e+00, 1.931061660500487775e+00, 2.068474809923317892e+00, 1.931211757849212951e+00, 2.035217182473763486e+00, 2.198277386443055814e+00, 2.295141853983873492e+00, 2.003339150393061541e+00, 2.547054844153648023e+00, 2.072480380206716877e+00, 2.150538819959099346e+00, 2.366782978484191613e+00
1.861000000000000000e+03, 2.007295421314874595e+00, 2.208525755383056843e+00, 2.117508604414919837e+00, 2.065810612660567980e+00, 2.393583876935760912e+00, 1.941041476366757612e+00, 2.119681598291166758e+00, 1.918685073627215187e+00, 2.116773837989966101e+00, 2.115837336902849586e+00, 2.312674260236971868e+00, 2.116693126170743788e+00, 2.584093576042067575e+00, 2.224359942465705675e+00, 2.117596351665264276e+00, 2.364680159611202814e+00
1.862000000000000000e+03, 2.025767786771653256e+00, 2.203492646142347411e+00, 2.184394243730476859e+00, 2.191373278440490235e+00, 2.377988879621792950e+00, 1.907733485047479860e+00, 2.061289788474599760e+00, 1.950617704215841464e+00, 2.111386442667930297e+00, 2.124563167909735650e+00, 2.295854874705066440e+00, 1.985082499072013951e+00, 2.503787504434563882e+00, 2.187876769434794255e+00, 2.192808375969721002e+00, 2.399481998987075926e+00
1.863000000000000000e+03, 2.013028486307705478e+00, 2.157611346886038284e+00, 2.211103807441622937e+00, 2.143430967761034367e+00, 2.350634015751105199e+00, 1.984070071222673759e+00, 2.121885800249274645e+00, 1.970093681696853283e+00, 2.175060304190128413e+00, 2.081430172354234998e+00, 2.316126931303407854e+00, 1.996563303462803418e+00, 2.506474184375591996e+00, 2.134020379571576864e+00, 2.169545495835361493e+00, 2.285751873699804371e+00
1.864000000000000000e+03, 2.082655052367605730e+00, 2.185477728011199883e+00, 2.214880411360363954e+00, 2.162946058872618149e+00, 2.298544942748780073e+00, 1.963540082533743458e+00, 2.086885430562619881e+00, 1.953214100404970566e+00, 2.116545736673417721e+00, 2.177296088000119312e+00, 2.327597095006546990e+00, 2.054107868052091668e+00, 2.585366337014950222e+00, 2.216540251407833839e+00, 2.071059176666612878e+00, 2.289709889138838772e+00
1.865000000000000000e+03, 2.038464054571417883e+00, 2.124047455793470540e+00, 2.116184612316303948e+00, 2.043864406129877409e+00, 2.393128701491361365e+00, 1.960315795830996466e+00, 1.984438194238794528e+00, 1.969774488493800213e+00, 2.123968822013512003e+00, 2.104003202932655192e+00, 2.338045751404981054e+00, 2.059855004065016537e+00, 2.532007132633237845e+00, 2.274691158131465496e+00, 2.161212185495359872e+00, 2.437877363150615206e+00
1.866000000000000000e+03, 2.009172550364915377e+00, 2.156959340750270737e+00, 2.188286949546582427e+00, 2.104088723473807043e+00, 2.348349038647445930e+00, 1.982979067586269073e+00, 2.030940463073939384e+00, 2.034934614947370601e+00, 2.152655387018771904e+00, 2.241567532874092272e+00, 2.304539126014236050e+00, 1.926965980277130841e+00, 2.571735380868352294e+00, 2.148352250793357676e+00, 2.133745544751705747e+00, 2.314993979549585745e+00
1.867000000000000000e+03, 1.917782436516328071e+00, 2.226818301222555530e+00, 2.270408580465296922e+00, 2.138211007734134750e+00, 2.409060059311940893e+00, 1.974747612612485215e+00, 1.968108678986423277e+00, 2.050084409499605353e+00, 2.100411907180412818e+00, 2.201234835703441473e+00, 2.323958763364046387e+00, 2.022528725497161783e+00, 2.481608890526044497e+00, 2.107824101157588004e+00, 2.120717588596869430e+00, 2.398909100265365968e+00
1.868000000000000000e+03, 2.045287966366208021e+00, 2.191785115973168718e+00, 2.258229642730490649e+00, 2.099835101072237808e+00, 2.283093763182022506e+00, 2.065823683991609094e+00, 2.082415145407684243e+00, 1.919176323453012367e+00, 1.915238032556965786e+00, 2.189001618141345418e+00, 2.311726440881328948e+00, 2.036090366808611662e+00, 2.427554199069115182e+00, 2.175737826799710728e+00, 2.150934288696871199e+00, 2.377719230365314296e+00
1.869000000000000000e+03, 2.039639495497138189e+00, 2.132952229754054851e+00, 2.218444273275280043e+00, 2.029748362954856944e+00, 2.396906928072785270e+00, 1.979360576570586394e+00, 2.179820069692319784e+00, 1.935508574914995172e+00, 2.024865272321387355e+00, 2.020607192401178587e+00, 2.302113957091763030e+00, 2.072569565165239602e+00, 2.486301570879260847e+00, 2.115800662434182744e+00, 2.061761764288289278e+00, 2.291297226880551818e+00
1.870000000000000000e+03, 2.022293003500299502e+00, 2.260602180578136444e+00, 2.350101532157840012e+00, 1.988281890222412862e+00, 2.380224828585212116e+00, 1.973045077792726421e+00, 2.145844243913554106e+00, 2.010853075334190887e+00, 2.083361886758950288e+00, 2.177077229357053945e+00, 2.318832804106254031e+00, 2.094529987521441594e+00, 2.570650532077321415e+00, 2.248149884192364834e+00, 2.100122604941857318e+00, 2.364800068082497209e+00
1.871000000000000000e+03, 1.998846723768665123e+00, 2.212416759300830371e+00, 2.203527569265236963e+00, 2.101873421809123510e+00, 2.484639877977408151e+00, 1.966081003065779154e+00, 2.200577090690454707e+00, 1.872277526138105719e+00, 2.167541460962045363e+00, 2.201924193456958889e+00, 2.289307243883567988e+00, 2.101674782300289479e+00, 2.544063685556472443e+00, 2.210173348495702683e+00, 2.107678930445863408e+00, 2.398985785518150671e+00
