year, TaiESM1, CNRM-ESM2-1, NorESM2-LM, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5, MIROC-ES2L, NorESM2-MM, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR
1.850000000000000000e+03, 4.478886969555461839e+00, 6.190440553287911207e+00, 4.254740058820133619e+00, 8.461371986608206441e+00, 6.982629291855080744e+00, 7.465277963785591275e+00, 9.275652699449477012e+00, 4.419140327507224519e+00, 8.735098929400621159e+00, 4.597812299347674880e+00, 5.777480660551515435e+00, 5.823050941776808820e+00, 5.705261039366840592e+00, 4.534309104460293227e+00
1.851000000000000000e+03, 4.539983038294145068e+00, 6.597222873100651697e+00, 4.208244096797873368e+00, 8.638375855810302539e+00, 6.921656837139682494e+00, 7.071113866336550480e+00, 9.210082296151442804e+00, 4.480169975557074302e+00, 8.606406806035993284e+00, 4.536830224748545248e+00, 5.284462014899061977e+00, 5.645677661696459460e+00, 5.842062180954140871e+00, 4.544775271237810443e+00
1.852000000000000000e+03, 4.753548133916304153e+00, 6.247572057082979136e+00, 4.247949441903067225e+00, 8.440842375178869261e+00, 6.972083098317979122e+00, 7.563825654974607460e+00, 9.062284559672184159e+00, 4.339105007736728581e+00, 8.557524041549269711e+00, 4.462069156050294083e+00, 5.653806993498576183e+00, 5.562123878625799378e+00, 5.824651738307847104e+00, 4.499159336400648357e+00
1.853000000000000000e+03, 4.532598783466236014e+00, 6.151481140301251038e+00, 4.119454011888426415e+00, 9.071871470701200479e+00, 7.304149414864100187e+00, 7.106896591040841926e+00, 8.815751105258144094e+00, 4.335948123252395980e+00, 9.168094774154733173e+00, 4.663210249371648075e+00, 5.940410782959870239e+00, 5.656137825673487995e+00, 5.915366801299497546e+00, 4.589957509410141689e+00
1.854000000000000000e+03, 4.593798730168805911e+00, 6.252295074556204924e+00, 4.235714664327773882e+00, 8.987798220970468321e+00, 7.140425426633838057e+00, 7.191937086091968467e+00, 8.903105930160428727e+00, 4.599022795591716672e+00, 9.281848661078329954e+00, 4.313420120249555012e+00, 5.719610835044969477e+00, 5.818064151653029370e+00, 5.888997156187953053e+00, 4.519263676257266660e+00
1.855000000000000000e+03, 4.713484345306439671e+00, 6.147913595335213977e+00, 4.092187736410139109e+00, 8.915511998913888903e+00, 7.089866581073082763e+00, 6.943811686749702616e+00, 8.968468853652465711e+00, 4.447816109036500265e+00, 8.508754879550034289e+00, 4.438389461654712598e+00, 5.172420364443674146e+00, 5.658095112209475808e+00, 5.828044541179053795e+00, 4.577007838157965303e+00
1.856000000000000000e+03, 4.601187637311618062e+00, 6.380260147958846773e+00, 4.212392584104112991e+00, 8.790105809457354979e+00, 7.131288324057179828e+00, 7.004817140982017243e+00, 9.113773216779227582e+00, 4.378643828877712529e+00, 8.774862788179650153e+00, 4.742404819875886801e+00, 5.741120023201294664e+00, 5.591204578051486074e+00, 6.011499655012275234e+00, 4.548135184506103101e+00
1.857000000000000000e+03, 4.600834546908655120e+00, 6.223524191919900694e+00, 4.177899814591597760e+00, 9.001913846271861530e+00, 7.125053559576586260e+00, 7.004780902184167601e+00, 9.082997793960011279e+00, 4.490139545013670741e+00, 9.008298998852012573e+00, 4.582390008165231343e+00, 5.509140975382688765e+00, 5.602151065094399307e+00, 6.015280501502681787e+00, 4.579772437949244157e+00
1.858000000000000000e+03, 4.721955953596224553e+00, 6.128521390692371895e+00, 4.241109817532202619e+00, 9.078342729988129634e+00, 7.126730741803712910e+00, 7.380808521504390818e+00, 9.069247158396425590e+00, 4.586914224946784024e+00, 8.975069514588097874e+00, 4.598625999509127205e+00, 5.720885552208341274e+00, 5.595595092146880667e+00, 6.058071778333435908e+00, 4.606133468664189934e+00
1.859000000000000000e+03, 4.821952179403975691e+00, 6.249534213874341049e+00, 4.164033603537456329e+00, 8.922064098644391095e+00, 7.159646099818820275e+00, 7.495026488982610147e+00, 8.842565739424943061e+00, 4.496384638951930413e+00, 8.897657335419141944e+00, 4.542081097036697379e+00, 5.282795864202828540e+00, 5.640059537240148302e+00, 6.009706092997772586e+00, 4.682701341525773664e+00
1.860000000000000000e+03, 4.585297695311276733e+00, 6.197633947728314219e+00, 3.970152409720204112e+00, 8.634497640499558813e+00, 7.043717948658239081e+00, 7.332732114423230918e+00, 8.919394777087473969e+00, 4.483667146063115894e+00, 8.351000982629514624e+00, 4.648229573721273766e+00, 5.687173354100606204e+00, 5.665575031110017257e+00, 5.979305761152134302e+00, 4.530121982708126716e+00
1.861000000000000000e+03, 4.723391937264617368e+00, 5.996276498699404378e+00, 4.041056940242314433e+00, 9.188275309027968518e+00, 6.927629564341147628e+00, 7.144000383326390313e+00, 9.078690280161458404e+00, 4.364557911569711735e+00, 8.476616997219666771e+00, 4.503812789591619570e+00, 5.060149171740498275e+00, 5.697159812835686843e+00, 5.775664664857901975e+00, 4.638303943492658732e+00
1.862000000000000000e+03, 4.629188986814721574e+00, 6.323317598867692624e+00, 4.021941606247630752e+00, 8.645891600030095603e+00, 6.916682686264726598e+00, 7.383860865071689261e+00, 8.921184677035524757e+00, 4.370138312209291165e+00, 8.800434031888183739e+00, 4.510627972560079080e+00, 5.846080722657315043e+00, 5.782660215527092085e+00, 5.868896337235682381e+00, 4.530247879295585811e+00
1.863000000000000000e+03, 4.710173380416330602e+00, 6.296095115151598698e+00, 4.209907966324374584e+00, 8.712660263313431130e+00, 7.012981879657899320e+00, 7.246058656084087168e+00, 8.994915460680280361e+00, 4.411043502178733533e+00, 8.801063639062673971e+00, 4.511652486328405764e+00, 5.124525742905354342e+00, 5.716101183775802674e+00, 5.884529571318797281e+00, 4.510597880880593991e+00
1.864000000000000000e+03, 4.785807399282181684e+00, 6.030510346899760954e+00, 4.151282561220964951e+00, 9.084405639851834025e+00, 6.967319799771479971e+00, 7.304060803695766602e+00, 9.019443085392717663e+00, 4.640255916023140692e+00, 8.788266381852489317e+00, 4.672439631251872783e+00, 5.931104085874881804e+00, 5.828619381608611150e+00, 6.024509108756600284e+00, 4.542910625366681998e+00
1.865000000000000000e+03, 4.714769893817815749e+00, 5.881012362668810667e+00, 4.124729710337378563e+00, 9.147324955289636961e+00, 7.193008230689110327e+00, 7.353604365360387085e+00, 9.328532095978571803e+00, 4.571306889859624079e+00, 8.476620193931950098e+00, 4.632097870989323241e+00, 5.912554778464971683e+00, 5.911419134051221214e+00, 5.743805679189428304e+00, 4.575134275286048435e+00
1.866000000000000000e+03, 4.627904722387357062e+00, 6.199399851325412492e+00, 4.152214016901695004e+00, 8.756354488406616454e+00, 6.987872570975641295e+00, 7.558923096192566859e+00, 9.257311515273041636e+00, 4.714424280653249255e+00, 8.634748434777971937e+00, 4.608452114771290020e+00, 5.211376900431440085e+00, 5.703587051753611803e+00, 5.895119589153940076e+00, 4.653536148874569456e+00
