year, TaiESM1, MIROC-ES2L, ACCESS-ESM1-5, CanESM5, INM-CM4-8, NorESM2-LM, INM-CM5-0, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR
1.850000000000000000e+03, 2.752347096367751647e+02, 2.781290997204503128e+02, 2.772233936471139941e+02, 2.757552108256144834e+02, 2.757418838594581416e+02, 2.764478535714177951e+02, 2.751753860831226461e+02, 2.757861205143666439e+02, 2.739485619319992793e+02, 2.736167340515651745e+02, 2.751764857800057484e+02, 2.753815322278217081e+02, 2.749316275595207344e+02, 2.762562333918914987e+02, 2.760118890219821424e+02, 2.737270265155179345e+02
1.851000000000000000e+03, 2.755467805299964539e+02, 2.780569343893953373e+02, 2.764583517680641762e+02, 2.752678236183289187e+02, 2.755891061144686773e+02, 2.772471483006127073e+02, 2.760533734554375087e+02, 2.758860212896502730e+02, 2.742324924140578446e+02, 2.734350600687221231e+02, 2.757767528366696865e+02, 2.752853357936606926e+02, 2.746845625676177747e+02, 2.761265899447322454e+02, 2.758977301202992862e+02, 2.741298845671308868e+02
1.852000000000000000e+03, 2.757936233253911382e+02, 2.781905454857604809e+02, 2.764008119302076238e+02, 2.752021132963993182e+02, 2.759024616328286470e+02, 2.769609256981325416e+02, 2.756830707147839803e+02, 2.757299931725830788e+02, 2.740679410204187434e+02, 2.736182630992915961e+02, 2.753370562585972721e+02, 2.748248390018100054e+02, 2.749456165424466008e+02, 2.764932575894115416e+02, 2.765550651044817414e+02, 2.740416128712565182e+02
1.853000000000000000e+03, 2.743318229935973136e+02, 2.776621937337172312e+02, 2.767240140246251485e+02, 2.749890358588706931e+02, 2.757652098839926680e+02, 2.763327207036425079e+02, 2.757996217225170881e+02, 2.754430534364265668e+02, 2.740048544094295835e+02, 2.734184577879701692e+02, 2.753852038769687169e+02, 2.761399839719011311e+02, 2.749413318055731565e+02, 2.760927131507908712e+02, 2.760582848881801397e+02, 2.746265016232646303e+02
1.854000000000000000e+03, 2.753735000593946438e+02, 2.780338282022204908e+02, 2.771388076606493200e+02, 2.752101935776394157e+02, 2.755357958363460966e+02, 2.769760230465294057e+02, 2.753704843258602182e+02, 2.758976065566873785e+02, 2.741857631234666997e+02, 2.738596971121249339e+02, 2.758442153047261627e+02, 2.756365695284014805e+02, 2.745598037457833698e+02, 2.754506411209412136e+02, 2.759243754677695506e+02, 2.740431980717110605e+02
1.855000000000000000e+03, 2.756838717431515988e+02, 2.785506242446106171e+02, 2.766776248072220028e+02, 2.744321475383709412e+02, 2.749193298697040291e+02, 2.764902233323914515e+02, 2.752916840150814437e+02, 2.760426750748123936e+02, 2.741327684192510219e+02, 2.735171466246229102e+02, 2.754955801176049022e+02, 2.751526724639600729e+02, 2.752109855948429527e+02, 2.761789929867732099e+02, 2.754052910941547339e+02, 2.741496537486982561e+02
1.856000000000000000e+03, 2.761607492354900728e+02, 2.788751321227073845e+02, 2.768732259241877500e+02, 2.743127708195395371e+02, 2.753846290236988352e+02, 2.763042556202027527e+02, 2.758395364024203218e+02, 2.759799802523685344e+02, 2.741367317919495576e+02, 2.736561623140499364e+02, 2.758241418305237858e+02, 2.752212644852869516e+02, 2.745500820962976150e+02, 2.760737544068559828e+02, 2.754702999585661019e+02, 2.738450518773682347e+02
1.857000000000000000e+03, 2.756972083326005531e+02, 2.781379102039399527e+02, 2.763940942431094072e+02, 2.747625599124821179e+02, 2.762997292800439482e+02, 2.769033896369911645e+02, 2.757752253571898109e+02, 2.753171326974155591e+02, 2.744695446311919795e+02, 2.736943777026244788e+02, 2.762933682297808105e+02, 2.754320016773397697e+02, 2.744775184222284565e+02, 2.763156752601719859e+02, 2.761893288388915835e+02, 2.740389564727053653e+02
1.858000000000000000e+03, 2.757351807847205123e+02, 2.780595406059512698e+02, 2.765827368726979216e+02, 2.749077317652440229e+02, 2.762175364137197562e+02, 2.769787523412855421e+02, 2.758487155474925316e+02, 2.755065660263538234e+02, 2.740245441619340454e+02, 2.739134692334590113e+02, 2.767404892888934569e+02, 2.752215826521255622e+02, 2.748931393689711626e+02, 2.761350397481233472e+02, 2.753149240725279583e+02, 2.734188678412245395e+02
1.859000000000000000e+03, 2.760344621212066727e+02, 2.778096291024538118e+02, 2.763681023565635542e+02, 2.756152453055363480e+02, 2.757745537666461928e+02, 2.767838548158928802e+02, 2.751277292348219703e+02, 2.757879432597156324e+02, 2.741310948345769134e+02, 2.730438961140328615e+02, 2.767801150605058069e+02, 2.752963529603827624e+02, 2.753445430672047110e+02, 2.763609977658617822e+02, 2.761072148932672121e+02, 2.740422297926808710e+02
1.860000000000000000e+03, 2.759392957197933924e+02, 2.778114276016102053e+02, 2.766517317651035910e+02, 2.751210419970329895e+02, 2.764243183444000920e+02, 2.767478902788647019e+02, 2.758061709933873544e+02, 2.753060124359735710e+02, 2.746630889555883073e+02, 2.736769360663877819e+02, 2.762206838441816217e+02, 2.750655517798799679e+02, 2.747085048014138238e+02, 2.769197343974648220e+02, 2.765474469892738512e+02, 2.735651120569363570e+02
1.861000000000000000e+03, 2.763908214031521879e+02, 2.781217453869139717e+02, 2.767638732368822616e+02, 2.751461534439517322e+02, 2.760581540529746576e+02, 2.761360011798689698e+02, 2.754855872629521514e+02, 2.757601485969441910e+02, 2.744942124894124618e+02, 2.734863357511005120e+02, 2.757558843095721954e+02, 2.747373006247796070e+02, 2.754273102029354163e+02, 2.763085040658173739e+02, 2.757792322149376218e+02, 2.738540144105318177e+02
1.862000000000000000e+03, 2.754841442348713372e+02, 2.780729361087529696e+02, 2.765409617058663230e+02, 2.748502987222028082e+02, 2.761740875037323235e+02, 2.763690041024598258e+02, 2.757336079736396641e+02, 2.758322808385706253e+02, 2.741964352295249228e+02, 2.736982440644377448e+02, 2.759632178103563547e+02, 2.754214799432859877e+02, 2.745907205858690645e+02, 2.760128283307299739e+02, 2.757755635041925757e+02, 2.741179822366578378e+02
1.863000000000000000e+03, 2.753812095440139842e+02, 2.781349017265927728e+02, 2.766062629227919274e+02, 2.748405059915159541e+02, 2.754230904920377725e+02, 2.763691350325269127e+02, 2.755672603425682041e+02, 2.752846924998927989e+02, 2.741045474152499537e+02, 2.730967193749243620e+02, 2.760390192202846151e+02, 2.752657778867403522e+02, 2.753392032402386462e+02, 2.757408221753792077e+02, 2.756366540901614712e+02, 2.741495132413192550e+02
1.864000000000000000e+03, 2.759125790287658901e+02, 2.786940643466641632e+02, 2.767278979366476506e+02, 2.746971970369426685e+02, 2.756796927249535543e+02, 2.767454811386645588e+02, 2.753763440752017004e+02, 2.757545437839355600e+02, 2.743400081515223405e+02, 2.737057784981493000e+02, 2.756085317114809072e+02, 2.754790918542682903e+02, 2.752506083611344820e+02, 2.758147693061622476e+02, 2.758652938594195234e+02, 2.744938389836675583e+02
1.865000000000000000e+03, 2.754710117048556413e+02, 2.787443532437637259e+02, 2.765881607653046217e+02, 2.747206039427430255e+02, 2.754280811643085940e+02, 2.767654423389423073e+02, 2.751063720443628426e+02, 2.757944247789503152e+02, 2.741631236166861072e+02, 2.733668397813147521e+02, 2.755269283160531018e+02, 2.755946177412625957e+02, 2.752052781258819323e+02, 2.758721844189667536e+02, 2.755055370544126276e+02, 2.745043265517825262e+02
1.866000000000000000e+03, 2.760928833762765748e+02, 2.786649464552096447e+02, 2.760869180929282152e+02, 2.755113786649769736e+02, 2.757204903663247251e+02, 2.764864735412257346e+02, 2.754422652428821152e+02, 2.767359521809420357e+02, 2.740324976840988711e+02, 2.730780630232886779e+02, 2.758869547126076895e+02, 2.752072534949623446e+02, 2.749641722130390917e+02, 2.765437778074548874e+02, 2.754958495533496148e+02, 2.747002822805059168e+02
1.867000000000000000e+03, 2.755847614802336238e+02, 2.780933962075927752e+02, 2.767871577711779310e+02, 2.756963713750337774e+02, 2.759124233039374303e+02, 2.765541304753250529e+02, 2.755918853965048925e+02, 2.766897174060601401e+02, 2.740090684017635567e+02, 2.738337064154948166e+02, 2.761825656594571115e+02, 2.756710670537577812e+02, 2.751693147076509831e+02, 2.765533092671282702e+02, 2.758801565715938295e+02, 2.745496768766902846e+02
1.868000000000000000e+03, 2.757877998179357633e+02, 2.781232510535749043e+02, 2.763107502569914686e+02, 2.750372716873030754e+02, 2.760469658769388275e+02, 2.768135345638470994e+02, 2.752841931378432605e+02, 2.757149778706728398e+02, 2.736046277915120299e+02, 2.735648038692689283e+02, 2.758352148743829275e+02, 2.750544569544906039e+02, 2.750503604089901728e+02, 2.768123845557427103e+02, 2.750822652592946724e+02, 2.745991781203585447e+02
1.869000000000000000e+03, 2.754805070999436225e+02, 2.784050142944867616e+02, 2.765946147400956647e+02, 2.749816387012849077e+02, 2.755099450885020360e+02, 2.770501158721514230e+02, 2.752401122287116095e+02, 2.756345796801114147e+02, 2.739163959811704672e+02, 2.734696200578331400e+02, 2.756511638822679515e+02, 2.756720581075200016e+02, 2.747156498117418550e+02, 2.758620587003659921e+02, 2.757601649467094376e+02, 2.740911223263476018e+02
1.870000000000000000e+03, 2.761378827091294852e+02, 2.781190967410988151e+02, 2.762325593447985739e+02, 2.751977197321922972e+02, 2.760424409839500868e+02, 2.764364953882758869e+02, 2.756314056829216952e+02, 2.751059220852548606e+02, 2.740808249040693454e+02, 2.739032509205058545e+02, 2.763762547550305158e+02, 2.750186881561684231e+02, 2.746838434482233993e+02, 2.763148962530580093e+02, 2.752892713110352929e+02, 2.743423554871634451e+02
1.871000000000000000e+03, 2.756670926276681826e+02, 2.786556533910408575e+02, 2.762183289152063708e+02, 2.749482852716716934e+02, 2.754233276388728200e+02, 2.765267393384567640e+02, 2.752746527120319229e+02, 2.758251780862150326e+02, 2.740680830932343497e+02, 2.737082637732531225e+02, 2.761939387208029757e+02, 2.753433925782201754e+02, 2.746835163033690037e+02, 2.762289702157196984e+02, 2.758145704053317786e+02, 2.739770828783634329e+02
1.872000000000000000e+03, 2.758450888937720720e+02, 2.786084013119009342e+02, 2.769305273024970120e+02, 2.747869539815474127e+02, 2.760938976360970400e+02, 2.770530406853189334e+02, 2.750980713445939045e+02, 2.763633542577113076e+02, 2.742380308992836717e+02, 2.739479220956775407e+02, 2.758069352574652271e+02, 2.755125378016898026e+02, 2.751130839649212021e+02, 2.763770918260385656e+02, 2.754907922412589869e+02, 2.742021954364148542e+02
1.873000000000000000e+03, 2.759656882042758639e+02, 2.784717716900946129e+02, 2.768246837111536252e+02, 2.751777165780200676e+02, 2.757372386024882758e+02, 2.765523278303945744e+02, 2.751082722999080374e+02, 2.760331658492129350e+02, 2.743244263863362562e+02, 2.735360101282884671e+02, 2.761190450001530508e+02, 2.752388444350465306e+02, 2.750887412111010235e+02, 2.768323403152975857e+02, 2.754133740321166783e+02, 2.741477065558915456e+02
