year, MIROC-ES2L, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5, CanESM5, NorESM2-LM, NorESM2-MM
2.015000000000000000e+03, 7.298965062795301151e+01, 1.180170022900394677e+01, 5.222573927413329642e+01, 7.113009653948942912e+00, 1.042743813946289677e+01, 1.895447358800528059e+00, 5.726168844137465186e+01, 6.627848229895255372e+01, 1.883870237662241820e+01, 1.066672493089497387e+01, 1.755524581631478753e+01, 6.976459533785994260e+00, 7.042357035499571261e+00
2.016000000000000000e+03, 7.318737461839637604e+01, 1.170311290733942045e+01, 5.229930226007532923e+01, 7.032417362568190278e+00, 9.920628201068907970e+00, 1.843308644696896037e+00, 5.729681548442685113e+01, 6.624643018560826135e+01, 1.892163558954037228e+01, 1.069067709324806437e+01, 1.766359323473367482e+01, 7.134338645738561802e+00, 7.182588539735461630e+00
2.017000000000000000e+03, 7.352916687388248818e+01, 1.169681664288379430e+01, 5.218319108183609245e+01, 7.007854813170528274e+00, 1.009565211278870223e+01, 2.060495190850441638e+00, 5.740447208626757458e+01, 6.628641349740368582e+01, 1.906285995478132378e+01, 1.064639894816555277e+01, 1.768292991605266451e+01, 6.914926572247678038e+00, 7.338034354350873478e+00
2.018000000000000000e+03, 7.365142792648688896e+01, 1.180837388829994694e+01, 5.240326515524887441e+01, 6.863582670850939316e+00, 1.017566607953924240e+01, 2.089954945698047517e+00, 5.755950246254619884e+01, 6.610206856408953513e+01, 1.900669494688167660e+01, 1.066173463481203321e+01, 1.782363676008628062e+01, 6.832690507302540794e+00, 7.411200960121267833e+00
2.019000000000000000e+03, 7.355691593879875256e+01, 1.192674654887928831e+01, 5.264342286567873685e+01, 6.916700551096584881e+00, 1.074855552433336392e+01, 1.705786613356652603e+00, 5.773747505848386652e+01, 6.624348634056210017e+01, 1.912001468825213024e+01, 1.063984576271851878e+01, 1.803001270077012208e+01, 6.908530077365042210e+00, 7.345982657364422685e+00
2.020000000000000000e+03, 7.346068925140615136e+01, 1.187818555230366790e+01, 5.277798021724716904e+01, 7.084568027078947061e+00, 1.065152830951076268e+01, 2.049696670638372353e+00, 5.784549854162310112e+01, 6.640437644746320700e+01, 1.914783441828704724e+01, 1.071210335514213341e+01, 1.806523597097702449e+01, 6.986325440415694032e+00, 7.335566563367294179e+00
2.021000000000000000e+03, 7.357056788437816408e+01, 1.202809601784236726e+01, 5.284042090892326371e+01, 7.047461736805790800e+00, 9.784940956460522088e+00, 2.065985932832600902e+00, 5.785416583263838675e+01, 6.678028490215346835e+01, 1.929587527458964757e+01, 1.073055196488662055e+01, 1.795615958769936427e+01, 6.944612909091744335e+00, 7.265360827619507411e+00
2.022000000000000000e+03, 7.378839690227161441e+01, 1.233522110754562640e+01, 5.259402259805467139e+01, 7.083953988743259877e+00, 1.009692844784080279e+01, 1.766869833448798444e+00, 5.787510168725754056e+01, 6.680870203578200517e+01, 1.938792912343014763e+01, 1.067254232047563178e+01, 1.777252129309248474e+01, 6.999470448179078375e+00, 7.385192027622105471e+00
2.023000000000000000e+03, 7.386346073566728876e+01, 1.231736629914920655e+01, 5.278459434093167602e+01, 7.254834847303361478e+00, 1.139902085214411542e+01, 1.889236367505495284e+00, 5.800401731265525029e+01, 6.700653740168566230e+01, 1.946809709074630135e+01, 1.063581751989000779e+01, 1.788418252689743682e+01, 7.152656664536213071e+00, 7.445568725011102451e+00
2.024000000000000000e+03, 7.360181256885702794e+01, 1.201912862498169687e+01, 5.291369471344906827e+01, 7.181192799571293861e+00, 1.117961251753874130e+01, 1.966171898710877164e+00, 5.824998307978786016e+01, 6.695961838562672597e+01, 1.951542328856660191e+01, 1.070418286393326390e+01, 1.776241152569379267e+01, 7.210427858818116320e+00, 7.473427898689188886e+00
