year, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CESM2-WACCM, NorESM2-LM, INM-CM5-0, CNRM-ESM2-1, GFDL-ESM4, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR
2.015000000000000000e+03, 7.714833801025990567e+01, 3.738644519762927132e+01, 8.745079983635439191e+01, 3.406671650543009378e+01, 6.618960601110234165e+01, 6.172652756572700383e+01, 1.259887887425854842e+02, 9.750133426385252733e+01, 7.232185644972524585e+01, 1.221302195821213843e+02, 6.471477478043779286e+01, 4.699115699639324362e+01, 7.005427484350417444e+01, 5.646793938363074972e+01, 1.074047863633659148e+02, 4.810015394134766353e+01
2.016000000000000000e+03, 7.756797905215717037e+01, 3.787312334951044335e+01, 8.756839402422848195e+01, 3.450642749199359827e+01, 6.658814921482458260e+01, 6.186717917758397789e+01, 1.259882408501959361e+02, 9.829974572688290380e+01, 7.238588841999403201e+01, 1.222769995711195463e+02, 6.504490674089647939e+01, 4.758037921505579249e+01, 7.023316825162571320e+01, 5.753087259514342122e+01, 1.068264945399175332e+02, 4.859413565859482276e+01
2.017000000000000000e+03, 7.814818947765765245e+01, 3.824842587840616659e+01, 8.764505869848734676e+01, 3.464011769943937225e+01, 6.707574055841735117e+01, 6.230512009776857951e+01, 1.261297117309034093e+02, 9.876183966554245330e+01, 7.267254574339453654e+01, 1.226313443441464131e+02, 6.533826469577199703e+01, 4.764930848081502290e+01, 7.028791887329575161e+01, 5.800640642015677884e+01, 1.073591878355407232e+02, 4.889619150369894385e+01
2.018000000000000000e+03, 7.861920328237314948e+01, 3.859545308802203323e+01, 8.791692332405381194e+01, 3.399001683468272716e+01, 6.773212600244477244e+01, 6.275407236593329685e+01, 1.265582581445767829e+02, 9.973661848628879056e+01, 7.309796313380785193e+01, 1.226541291272729666e+02, 6.551163410568867107e+01, 4.791567289237512739e+01, 7.045488063453757377e+01, 5.839663205521330269e+01, 1.077461043331642543e+02, 4.941237394219914592e+01
2.019000000000000000e+03, 7.896339135963341960e+01, 3.870559844969687902e+01, 8.815822166444195318e+01, 3.492145239371440368e+01, 6.832820665392397075e+01, 6.314126885242146159e+01, 1.271424283300671192e+02, 1.006108999551493781e+02, 7.331212074713835136e+01, 1.228149991425502066e+02, 6.583671636226353030e+01, 4.853463902014566145e+01, 7.076997088665538627e+01, 5.778411006305526598e+01, 1.081150214779748779e+02, 4.988769789274476807e+01
2.020000000000000000e+03, 7.921141195537691715e+01, 3.866367349149133759e+01, 8.834004623184316074e+01, 3.513855495742757995e+01, 6.852279732217364483e+01, 6.338133076583755354e+01, 1.274096414073195405e+02, 1.015524621628487836e+02, 7.375521369132771099e+01, 1.232790849746916280e+02, 6.620304713535985286e+01, 4.891204259300985768e+01, 7.095078642864396556e+01, 5.760100752325425333e+01, 1.086239027644336943e+02, 5.052604084782942806e+01
2.021000000000000000e+03, 7.978308350173828956e+01, 3.893447566288499928e+01, 8.841072206895618990e+01, 3.455332909351010784e+01, 6.891964368721984613e+01, 6.385793144085531026e+01, 1.274160218909440658e+02, 1.021198546255706248e+02, 7.377834642229773010e+01, 1.234718743555985156e+02, 6.669260417357723725e+01, 4.949489719581657710e+01, 7.125427591973792119e+01, 5.921065760420621160e+01, 1.091710401737972944e+02, 5.103783386135852140e+01
2.022000000000000000e+03, 8.036673822218530461e+01, 3.937849433792139564e+01, 8.848316012534181141e+01, 3.488033588113817984e+01, 6.944009439235917114e+01, 6.436071337109360968e+01, 1.274084383148195343e+02, 1.028242182091057231e+02, 7.405307555057783020e+01, 1.238741135625646734e+02, 6.695658253689572348e+01, 4.965612198350981288e+01, 7.164465924146340114e+01, 6.020699959729216033e+01, 1.094471455118118115e+02, 5.156034154825360361e+01
2.023000000000000000e+03, 8.068433703623790620e+01, 3.963977466722697329e+01, 8.875356869014268568e+01, 3.534828421634720286e+01, 6.974138981953564098e+01, 6.460007051162632763e+01, 1.274516914159749916e+02, 1.034949647593897595e+02, 7.435559860896121620e+01, 1.244002075385748469e+02, 6.713906185559250162e+01, 4.987884059744074960e+01, 7.174418873513346284e+01, 5.866785773717998609e+01, 1.098923290884694524e+02, 5.209902508822327150e+01
2.024000000000000000e+03, 8.121451363275977542e+01, 3.955299342991218481e+01, 8.928612648908676874e+01, 3.545308266226345495e+01, 7.008666522645388852e+01, 6.489951213083297432e+01, 1.277037698035655069e+02, 1.044038026435305113e+02, 7.452805652280568438e+01, 1.246429831109293360e+02, 6.742028431178802350e+01, 5.024565738659971714e+01, 7.200531793178096507e+01, 5.822142383124410259e+01, 1.105703424508644304e+02, 5.269767674384978307e+01
2.025000000000000000e+03, 8.168725627775938847e+01, 3.977002933953884423e+01, 8.958867376447574316e+01, 3.559067191152877285e+01, 7.062278192874119043e+01, 6.490931950497889602e+01, 1.278361056417741821e+02, 1.053392406765854616e+02, 7.490421910500037939e+01, 1.245072203150064922e+02, 6.790433248570289493e+01, 5.066172058578131754e+01, 7.235942974061913446e+01, 5.870643880072639575e+01, 1.111177189246872672e+02, 5.325067957474841762e+01
2.026000000000000000e+03, 8.234316626017360363e+01, 4.017669579087721843e+01, 8.982793894902881959e+01, 3.582822107726317995e+01, 7.082668126707753231e+01, 6.534346141395592156e+01, 1.280427189123445260e+02, 1.059232880411904461e+02, 7.536935375705233753e+01, 1.242085619650334820e+02, 6.835654187473697618e+01, 5.093575160594307505e+01, 7.261471000416597121e+01, 5.897815367776721018e+01, 1.117688246404980390e+02, 5.369938461626125559e+01
2.027000000000000000e+03, 8.293317059283093329e+01, 4.023514744203821891e+01, 9.023681292212367566e+01, 3.580659893678608086e+01, 7.081118391548930902e+01, 6.583243255661089677e+01, 1.285058631429494085e+02, 1.067871095906794636e+02, 7.573684386048537931e+01, 1.241444368393063371e+02, 6.874576481772905368e+01, 5.118959854999499726e+01, 7.300362492968132244e+01, 5.960732674991225366e+01, 1.122321026953382983e+02, 5.417896621506127275e+01
