year, NorESM2-MM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.220520587526279033e-10, 7.470759144791011757e-10, 2.040164760175631818e-10, 6.612583912260669699e-10, 6.612583912260669699e-10, 3.840087861855848052e-10, 7.499605520496106964e-10, 2.040164760175631818e-10, 1.220520587526279033e-10, 1.143464045341704823e-10, 1.202438333214730684e-10, 5.104624695295213342e-10
2.016000000000000000e+03, 1.102996206975058312e-10, 6.710210856431566037e-10, 1.875954063407977673e-10, 7.294004953070160631e-10, 7.294004953070160631e-10, 4.995236951144392661e-10, 6.737484229261652388e-10, 1.875954063407977673e-10, 1.102996206975058312e-10, 1.175621246942570217e-10, 5.035808209125316827e-11, 4.148802917185552153e-10
2.017000000000000000e+03, 1.314741998924823472e-10, 5.167274124177111788e-10, 2.503693913203093565e-10, 6.193270125058951607e-10, 6.193270125058951607e-10, 4.445867691016403369e-10, 5.196637063147529237e-10, 2.503693913203093565e-10, 1.314741998924823472e-10, 9.076661896584586140e-11, 4.456110861257295078e-11, 5.294094936392428722e-10
2.018000000000000000e+03, 1.002634188567283249e-10, 5.786109852073519225e-10, 2.113935321034524578e-10, 5.692948999230899009e-10, 5.692948999230899009e-10, 4.053780925136528559e-10, 5.815969251196236441e-10, 2.113935321034524578e-10, 1.002634188567283249e-10, 1.100446439196768538e-10, 5.443907180916378028e-11, 6.427607465070555275e-10
2.019000000000000000e+03, 1.097751752354307060e-10, 6.511270266627218365e-10, 1.747254474235062008e-10, 5.740880538118318228e-10, 5.740880538118318228e-10, 3.325700221652019736e-10, 6.541149609085948279e-10, 1.747254474235062008e-10, 1.097751752354307060e-10, 9.436550471431204619e-11, 1.023456787414317101e-10, 7.411694684059499116e-10
2.020000000000000000e+03, 1.233173591460621318e-10, 6.364671360117650688e-10, 2.322747227206258572e-10, 6.870743189561973268e-10, 6.870743189561973268e-10, 3.680600137050154916e-10, 6.393192451148839803e-10, 2.322747227206258572e-10, 1.233173591460621318e-10, 1.397652395803705429e-10, 6.938942821156489462e-11, 5.451361364103201864e-10
2.021000000000000000e+03, 7.711072293435515635e-11, 1.338666187471066995e-09, 2.341512148560888206e-10, 6.340488285989315667e-10, 6.340488285989315667e-10, 3.398799453987344857e-10, 1.341682235474780157e-09, 2.341512148560888206e-10, 7.711072293435515635e-11, 1.048003995233101473e-10, 6.974869054213175467e-11, 5.586674228030081910e-10
2.022000000000000000e+03, 1.341666765396991938e-10, 6.687598290916283451e-10, 2.039023606924340091e-10, 5.264947555377168166e-10, 5.264947555377168166e-10, 3.282368321737515387e-10, 6.718955322131137341e-10, 2.039023606924340091e-10, 1.341666765396991938e-10, 1.905288916371136361e-10, 8.107539700655106844e-11, 5.362683335654453515e-10
2.023000000000000000e+03, 1.314218777434078844e-10, 5.794658844694717258e-10, 2.132753321065878887e-10, 7.375388857007419356e-10, 7.375388857007419356e-10, 4.337827137147275628e-10, 5.826013009155900228e-10, 2.132753321065878887e-10, 1.314218777434078844e-10, 1.397717398701252981e-10, 9.749307461439929044e-11, 6.017945491908407061e-10
2.024000000000000000e+03, 1.634684192857079030e-10, 9.985519415767476832e-10, 2.157372610712805171e-10, 5.971199398685202034e-10, 5.971199398685202034e-10, 4.775828764737457235e-10, 1.001402224961650626e-09, 2.157372610712805171e-10, 1.634684192857079030e-10, 1.057058665881413589e-10, 1.120046526380213876e-10, 5.672999608149230604e-10
2.025000000000000000e+03, 1.470397045580842585e-10, 6.757065044022164017e-10, 2.564900430171808677e-10, 7.393240474004584031e-10, 7.393240474004584031e-10, 3.516962860827592387e-10, 6.785850004300211006e-10, 2.564900430171808677e-10, 1.470397045580842585e-10, 1.566479742122930124e-10, 1.250806648435414354e-10, 5.980093645196673335e-10
2.026000000000000000e+03, 1.637110255944478023e-10, 5.551690290897891460e-10, 2.150938977060546665e-10, 5.980200229560014235e-10, 5.980200229560014235e-10, 3.883018540262112761e-10, 5.580553506545111064e-10, 2.150938977060546665e-10, 1.637110255944478023e-10, 2.287796013481346575e-10, 1.162065137482713839e-10, 6.394367806836896369e-10
2.027000000000000000e+03, 1.150530350199264128e-10, 6.547717680946962996e-10, 2.421402407681127693e-10, 6.477221756204568899e-10, 6.477221756204568899e-10, 4.826590129175864795e-10, 6.576193208961957239e-10, 2.421402407681127693e-10, 1.150530350199264128e-10, 1.554094962757216864e-10, 8.500993438922442152e-11, 9.243497581889088151e-10
2.028000000000000000e+03, 1.375454800771104820e-10, 7.367935555189498646e-10, 2.457599834570897019e-10, 6.078598727061556480e-10, 6.078598727061556480e-10, 4.454375841734105215e-10, 7.397074191797174607e-10, 2.457599834570897019e-10, 1.375454800771104820e-10, 1.516960737972599437e-10, 7.911303139473315747e-11, 5.875967998995343972e-10
2.029000000000000000e+03, 1.636467237622456680e-10, 9.016438569340745301e-10, 3.204381089373421489e-10, 7.355253059206565868e-10, 7.355253059206565868e-10, 4.285722481188804380e-10, 9.045814751209745935e-10, 3.204381089373421489e-10, 1.636467237622456680e-10, 1.503171690375515102e-10, 8.593387650641861718e-11, 6.056006704954120594e-10
2.030000000000000000e+03, 1.590671306321391892e-10, 6.214450804762917989e-10, 2.143914323001145891e-10, 5.348499279854476995e-10, 5.348499279854476995e-10, 3.964148134395880603e-10, 6.243796446734553978e-10, 2.143914323001145891e-10, 1.590671306321391892e-10, 1.512813589666505166e-10, 5.600447442462335584e-11, 5.299653541099708962e-10
2.031000000000000000e+03, 1.222033108823033726e-10, 7.872377771011776983e-10, 2.238141018331524521e-10, 9.000416650073532214e-10, 9.000416650073532214e-10, 4.710698526921848918e-10, 7.902035757787380446e-10, 2.238141018331524521e-10, 1.222033108823033726e-10, 1.896767991383476166e-10, 9.045392727004764515e-11, 6.086639047626352180e-10
2.032000000000000000e+03, 1.526040641494678550e-10, 1.036717255028433080e-09, 2.127001427345556070e-10, 5.736109818100317251e-10, 5.736109818100317251e-10, 5.071855156853783434e-10, 1.039584581562706484e-09, 2.127001427345556070e-10, 1.526040641494678550e-10, 1.186594356386947378e-10, 8.355037271677688718e-11, 6.017119870240497842e-10
