year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, 7.455193206190106816e-10, 3.121591556949933197e-10, 3.429454856698187940e-10
2.016000000000000000e+03, 7.568646978400697681e-10, 3.759165996388529263e-10, 3.384286263132058479e-10
2.017000000000000000e+03, 7.519476293380270665e-10, 3.303103116492609901e-10, 3.614645369697323628e-10
2.018000000000000000e+03, 7.703415063074886531e-10, 3.503274320213755726e-10, 3.889874161452474616e-10
2.019000000000000000e+03, 7.495404100500780779e-10, 3.390053723655213850e-10, 4.666211722285540533e-10
2.020000000000000000e+03, 7.157067434054676931e-10, 3.206257706567995879e-10, 4.454710936068202063e-10
2.021000000000000000e+03, 7.426670854624795983e-10, 3.542537724661037876e-10, 4.760291484426677816e-10
2.022000000000000000e+03, 7.688052758476498158e-10, 3.229373794950598329e-10, 3.680490511894831803e-10
2.023000000000000000e+03, 7.557038676014195794e-10, 3.457625064618313657e-10, 3.922006678876855178e-10
2.024000000000000000e+03, 7.280441853941160249e-10, 3.127965982087110673e-10, 3.369993025569561099e-10
2.025000000000000000e+03, 7.553796085719021934e-10, 3.488919820973553746e-10, 3.355385810303009058e-10
2.026000000000000000e+03, 7.778867033605090971e-10, 3.322940993629725055e-10, 3.582020786011506009e-10
2.027000000000000000e+03, 7.553832544047601640e-10, 3.481756513489965833e-10, 3.666560964617275897e-10
2.028000000000000000e+03, 7.545981013239093678e-10, 3.066803917050386521e-10, 3.970089825720077509e-10
2.029000000000000000e+03, 7.346506088098683230e-10, 3.176750256268618692e-10, 4.304558821179790841e-10
2.030000000000000000e+03, 7.397244985573134591e-10, 3.129081550545819875e-10, 4.070176481658801567e-10
2.031000000000000000e+03, 7.946690102869268706e-10, 3.296259884943559765e-10, 4.029725820109671320e-10
2.032000000000000000e+03, 8.084741973170561190e-10, 3.155597505957903472e-10, 4.151514097136910074e-10
2.033000000000000000e+03, 7.987884373494334907e-10, 3.004709859067321139e-10, 3.586770596245704612e-10
2.034000000000000000e+03, 7.963077662730141963e-10, 3.605992295038360875e-10, 4.120021997389314613e-10
2.035000000000000000e+03, 7.764940755695751975e-10, 2.905562029513550478e-10, 4.937752067420376826e-10
2.036000000000000000e+03, 7.925166895561177283e-10, 3.392243227806027377e-10, 4.360069527573264249e-10
2.037000000000000000e+03, 7.976684613536362622e-10, 3.048487064348954823e-10, 4.736308291260090536e-10
2.038000000000000000e+03, 7.846414018132039148e-10, 2.963766879195229417e-10, 4.609348549076372676e-10
2.039000000000000000e+03, 7.974883352227518086e-10, 3.119927162263701408e-10, 4.810555822880979470e-10
2.040000000000000000e+03, 7.680532229665887849e-10, 2.993174350881524885e-10, 3.416408213874899126e-10
2.041000000000000000e+03, 7.654321193444109189e-10, 3.149468327075497865e-10, 3.414067149055573360e-10
2.042000000000000000e+03, 7.905100318673217918e-10, 3.111949473629974904e-10, 4.612084731720803928e-10
2.043000000000000000e+03, 7.868581744100722070e-10, 2.877126124482499136e-10, 4.456199779245627649e-10
2.044000000000000000e+03, 7.548737801473069966e-10, 3.071302096695883478e-10, 4.442259732759306460e-10
2.045000000000000000e+03, 7.730717854337717445e-10, 2.953594693380017911e-10, 3.715940962094225298e-10
2.046000000000000000e+03, 7.324510108712009315e-10, 3.515594914243312165e-10, 4.562807400226387839e-10
2.047000000000000000e+03, 7.677591172413871429e-10, 2.997779613688365556e-10, 3.538885900220874598e-10
2.048000000000000000e+03, 7.631808875445455566e-10, 2.930366774542645005e-10, 3.886608967346199604e-10
2.049000000000000000e+03, 7.925277818496893675e-10, 3.011012713299750025e-10, 3.908204976873178354e-10
2.050000000000000000e+03, 7.337902303857581573e-10, 3.013415886109889742e-10, 4.105221536225489924e-10
2.051000000000000000e+03, 7.644740024407407207e-10, 2.654235583287448383e-10, 3.635126370743683036e-10
2.052000000000000000e+03, 7.852483704617714366e-10, 2.888310764427741690e-10, 4.188078978399573931e-10
2.053000000000000000e+03, 7.548738416104123372e-10, 2.932889814156186331e-10, 4.340409180964594001e-10
2.054000000000000000e+03, 7.788266873145443144e-10, 2.951104825520266167e-10, 3.783292335402695440e-10
2.055000000000000000e+03, 7.507248339486397923e-10, 3.007734253353415457e-10, 3.925073418558389635e-10
2.056000000000000000e+03, 7.643156066287196274e-10, 3.070741259803028873e-10, 4.108700774942929529e-10
2.057000000000000000e+03, 7.851154404522338354e-10, 2.789471977213009329e-10, 4.149466942165891949e-10
2.058000000000000000e+03, 8.052927750983213481e-10, 2.986938290545486177e-10, 4.369106414957073644e-10
2.059000000000000000e+03, 7.959585844466574397e-10, 2.902544849537371618e-10, 3.981419789810938239e-10
2.060000000000000000e+03, 7.984566718817168878e-10, 3.064585763839607479e-10, 4.330860881440588457e-10
2.061000000000000000e+03, 7.934388599483883662e-10, 2.481937581678692316e-10, 4.779452622785018440e-10
2.062000000000000000e+03, 7.683201996292917207e-10, 2.926597067680649341e-10, 4.109625162744403036e-10
2.063000000000000000e+03, 7.655657091970693158e-10, 2.826283055001987867e-10, 4.087976787004845540e-10
2.064000000000000000e+03, 7.899197204855156163e-10, 2.905562207158158828e-10, 3.961068411634009689e-10
2.065000000000000000e+03, 7.388661862285071568e-10, 2.969477611255379311e-10, 3.957388430590642688e-10
2.066000000000000000e+03, 8.023264438047304704e-10, 2.832038845132921511e-10, 4.073072780967036231e-10
2.067000000000000000e+03, 8.198730706495050183e-10, 2.672787425709570663e-10, 3.717263635587049464e-10
2.068000000000000000e+03, 7.854804932722974193e-10, 3.032682986130539151e-10, 3.675744668894175105e-10
2.069000000000000000e+03, 7.884517959774236349e-10, 2.640421663655610173e-10, 4.098823999878782627e-10
2.070000000000000000e+03, 7.894018012865451692e-10, 2.787139936771510755e-10, 3.868768206615077215e-10
2.071000000000000000e+03, 7.935325683637924126e-10, 2.647406195754390340e-10, 3.837801558764335933e-10
2.072000000000000000e+03, 7.672589601420267198e-10, 3.139749777946452983e-10, 3.028935165961044653e-10
2.073000000000000000e+03, 7.825310318746210413e-10, 2.720890250043560755e-10, 3.753859518499685378e-10
2.074000000000000000e+03, 7.737567274876288676e-10, 2.666759425715134578e-10, 3.105213322338885727e-10
2.075000000000000000e+03, 7.486050113264889206e-10, 2.598000282035411931e-10, 3.679993910825677597e-10
2.076000000000000000e+03, 7.247309384714693743e-10, 2.700982286451106258e-10, 3.973351947215194038e-10
2.077000000000000000e+03, 7.058934506446369403e-10, 3.031306941583250747e-10, 3.432651503735401849e-10
2.078000000000000000e+03, 7.482528997743727051e-10, 2.740142043852028014e-10, 3.458538062954944926e-10
2.079000000000000000e+03, 7.881088610145044195e-10, 2.697883107973448540e-10, 3.221813768872870054e-10
2.080000000000000000e+03, 7.527345626607474060e-10, 2.807408372995303100e-10, 3.537398492753592443e-10
2.081000000000000000e+03, 7.919081172195080668e-10, 2.776047713724398779e-10, 3.881703567905822011e-10
2.082000000000000000e+03, 7.738897493126857290e-10, 2.963544975559444394e-10, 3.519857973532447547e-10
2.083000000000000000e+03, 7.927156730255410693e-10, 2.572657302225356096e-10, 4.860407937550268318e-10
2.084000000000000000e+03, 7.499117941374113856e-10, 2.767419558039252987e-10, 3.129096085655308624e-10
2.085000000000000000e+03, 7.358957147961145076e-10, 2.514174591731878998e-10, 3.743938922490029068e-10
2.086000000000000000e+03, 7.391857104620738701e-10, 2.690961344986107063e-10, 3.647869411067364907e-10
2.087000000000000000e+03, 7.781281538515399885e-10, 2.655343247585653100e-10, 3.287859727095963561e-10
2.088000000000000000e+03, 7.399540048448039273e-10, 2.736712093535915523e-10, 3.837782582365503465e-10
2.089000000000000000e+03, 7.412127586576243756e-10, 2.326128024760151848e-10, 4.318960053205004506e-10
