year, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-ESM2, NorESM2-LM, IPSL-CM6A-LR, TaiESM1
2.015000000000000000e+03, 1.119193737006170348e-10, 3.008661385734854551e-12, 1.564040791021054752e-10, 5.943895074591919544e-10, 5.140945176617599693e-11, 1.167788741947894205e-10, 1.679677113262667808e-10, 5.747909925854155627e-10, 3.438519613351353221e-11, 2.180910907719495714e-10
2.016000000000000000e+03, 9.380496312191131726e-11, 2.449205836748471923e-12, 1.599374341698809494e-10, 5.685041301410948281e-10, 4.268853886511486284e-11, 8.646199007762639262e-11, 1.628328127909574327e-10, 5.568304694333523851e-10, 2.629292795536047848e-11, 1.555071373755812630e-10
2.017000000000000000e+03, 1.065759011010368169e-10, 2.287241564160151034e-12, 1.593110572763639376e-10, 5.423912941564156771e-10, 4.036044338441050906e-11, 7.554156031867498935e-11, 1.681104438271474789e-10, 6.039012999327599913e-10, 2.651201222082697873e-11, 1.491723580080785734e-10
2.018000000000000000e+03, 9.817995451476200746e-11, 2.140626327979662729e-12, 1.600151799423715836e-10, 5.735636504845493310e-10, 3.833804067849790212e-11, 6.528952869859466299e-11, 1.669156499764198853e-10, 6.195575405157979633e-10, 2.456000388007019082e-11, 1.380585178700718688e-10
2.019000000000000000e+03, 8.590473861867362550e-11, 2.192264347186289285e-12, 1.587593113043193848e-10, 6.068568637535472858e-10, 3.609959341198843324e-11, 6.489056831557568498e-11, 1.655499409297933794e-10, 6.057590245534724829e-10, 2.314258841305901550e-11, 1.350096019298297490e-10
2.020000000000000000e+03, 8.829646852249760179e-11, 2.086955327426983816e-12, 1.591955176467451922e-10, 6.304900589069305752e-10, 3.308206365677535015e-11, 6.344386975855213211e-11, 1.540762494380536807e-10, 6.302776928990376429e-10, 2.252543890052469016e-11, 1.263024271117305469e-10
2.021000000000000000e+03, 8.341130580126320530e-11, 1.793929896555561115e-12, 1.502371953539741644e-10, 6.021905263721399466e-10, 3.107633970966524464e-11, 6.036419924797265583e-11, 1.511305830616880344e-10, 6.976147910096948817e-10, 1.883212522785423772e-11, 1.208543279712008981e-10
2.022000000000000000e+03, 8.478840393997877467e-11, 1.625354194103144864e-12, 1.495864656203618771e-10, 5.446846986066350141e-10, 3.132358465448220211e-11, 3.933326435542535530e-11, 1.524617120087198946e-10, 6.544206774895461630e-10, 1.875415773591074657e-11, 1.192619854941316280e-10
2.023000000000000000e+03, 8.372803256198683711e-11, 1.448851384748738540e-12, 1.503276972120555513e-10, 5.355223025319568794e-10, 3.369121231460093405e-11, 3.828448881587094870e-11, 1.541613042330197679e-10, 6.004250957520610650e-10, 1.541343983054250684e-11, 1.176683326203507558e-10
2.024000000000000000e+03, 8.229890720407337858e-11, 1.379026791743392513e-12, 1.494216284667246623e-10, 4.980433889919504257e-10, 3.423511129574064171e-11, 1.688614705147888888e-11, 1.561526913426107466e-10, 5.696707202311733656e-10, 1.471219726445130441e-11, 1.160824733365722311e-10
2.025000000000000000e+03, 7.600413498448012559e-11, 1.383975931018394881e-12, 1.501676190507438459e-10, 5.365117114847355448e-10, 3.468083124863428288e-11, 1.523089712471858937e-11, 1.615855517431533361e-10, 5.189149770612106853e-10, 1.091793014819782406e-11, 1.193755255193274605e-10
2.026000000000000000e+03, 8.671258958155886042e-11, 1.497457982998717783e-12, 1.552238535030323920e-10, 5.566291151053876254e-10, 3.449326517624385077e-11, 1.803271736417376364e-11, 1.640057065891184204e-10, 5.879385735276814778e-10, 1.334642336216100692e-11, 1.182981726945905649e-10
2.027000000000000000e+03, 8.884104558221353239e-11, 1.713323337232823613e-12, 1.546387129882300427e-10, 5.691995133795446699e-10, 3.272560339910326651e-11, 1.870135486216675007e-11, 1.648284917283920370e-10, 6.424473917591023960e-10, 1.349703176008494816e-11, 1.162531620660856456e-10
2.028000000000000000e+03, 8.412081521178008092e-11, 1.865740185064910929e-12, 1.548869595261934758e-10, 5.633275685256321269e-10, 3.299007870239101481e-11, 1.799177088642460451e-11, 1.651301021060130668e-10, 6.035884289433889715e-10, 1.358665139963638553e-11, 1.170676856258548462e-10
2.029000000000000000e+03, 8.248821404093850688e-11, 1.967630852804075486e-12, 1.565155964153045187e-10, 5.303106848863856604e-10, 3.210245873692994229e-11, 1.712765740197166078e-11, 1.634006523268240885e-10, 6.018300924650520612e-10, 1.360374956300143081e-11, 1.189501221601406346e-10
2.030000000000000000e+03, 8.076637358626368018e-11, 1.914867346241333285e-12, 1.566617261815369666e-10, 5.457921783582019178e-10, 2.957454967185728685e-11, 1.765985175313570955e-11, 1.533945961999517232e-10, 6.460930167263779254e-10, 1.393885742042384255e-11, 1.097960886675871787e-10
