year, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-MM, GFDL-ESM4, CanESM5, INM-CM5-0, CESM2-WACCM, CMCC-ESM2, INM-CM4-8, UKESM1-0-LL, EC-Earth3-Veg, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, IPSL-CM6A-LR
2.015000000000000000e+03, 1.218578738920202520e+00, 1.203581336999219431e+00, 1.124263850738868920e+00, 1.297072207199239990e+00, 1.946461806520026094e+00, 1.153707907609234917e+00, 1.533573052331104858e+00, 1.262883965759421967e+00, 2.124545377434706062e+00, 1.561717521406923659e+00, 2.299425473877561910e+00, 1.533416008098808181e+00, 1.367134363518859974e+00, 1.579373476252951658e+00, 1.181608463690897670e+00, 1.440238796348218608e+00
2.016000000000000000e+03, 1.239092587594031736e+00, 1.187084717795834132e+00, 1.107944864448278555e+00, 1.261741834132820150e+00, 1.963509978602264283e+00, 1.174195304527283046e+00, 1.588154446610123394e+00, 1.272508424029636709e+00, 2.057628218569888201e+00, 1.567062805353565791e+00, 2.274204096492491001e+00, 1.626055816314597502e+00, 1.374365122901441305e+00, 1.640273051416776928e+00, 1.202567065431303206e+00, 1.445486861493187947e+00
2.017000000000000000e+03, 1.254701167213919888e+00, 1.218308100419559059e+00, 1.100675979259115866e+00, 1.291112402928168423e+00, 2.047028045393632478e+00, 1.165437365672548298e+00, 1.586447584250879173e+00, 1.292008838416975447e+00, 2.122317562522257006e+00, 1.594949283496767345e+00, 2.258362551595147316e+00, 1.591377582444617911e+00, 1.368702462119380181e+00, 1.625626806028730664e+00, 1.131260320316173740e+00, 1.421015083276534030e+00
2.018000000000000000e+03, 1.286057646833240309e+00, 1.204500100789511086e+00, 1.125000561844268665e+00, 1.280353840215553207e+00, 2.103985089119332130e+00, 1.168907106737042012e+00, 1.575477217961154253e+00, 1.333052262578111602e+00, 2.216355044045730693e+00, 1.551972293407393844e+00, 2.287189676640588587e+00, 1.584621210431614857e+00, 1.380002959216247715e+00, 1.556584440321125307e+00, 1.227670450078803821e+00, 1.447071166976788392e+00
2.019000000000000000e+03, 1.283475492781119165e+00, 1.210537417744070865e+00, 1.098455341445925049e+00, 1.261943793006517156e+00, 2.060046714887502795e+00, 1.166025961135696898e+00, 1.644317055809982664e+00, 1.365343834545793111e+00, 2.275341127362845217e+00, 1.559944805230943254e+00, 2.315967393586608303e+00, 1.634871206255007703e+00, 1.373115044329789258e+00, 1.616566880936086026e+00, 1.209297318699620538e+00, 1.444430863722455438e+00
2.020000000000000000e+03, 1.299510148596030978e+00, 1.246419243920695141e+00, 1.106479805895087987e+00, 1.292763866005337325e+00, 2.081792850473737744e+00, 1.184323835739261588e+00, 1.620377869942924542e+00, 1.348467658650827738e+00, 2.228083338005707681e+00, 1.597949749436665901e+00, 2.317148207992755005e+00, 1.647355690950787155e+00, 1.344948355743771362e+00, 1.685965488667297674e+00, 1.243915124453846666e+00, 1.461797769349118647e+00
2.021000000000000000e+03, 1.311870971030870470e+00, 1.250300643479514529e+00, 1.098612214154364608e+00, 1.307980242743460142e+00, 2.016725087752156309e+00, 1.195439394123978039e+00, 1.585018183398648084e+00, 1.381386813052524865e+00, 2.149839928947459899e+00, 1.577265867143885725e+00, 2.296516939182990047e+00, 1.669480837194515344e+00, 1.367777546279000278e+00, 1.641983258386374711e+00, 1.204919206602004911e+00, 1.457876638881202114e+00
2.022000000000000000e+03, 1.322912051087112628e+00, 1.204400155959749030e+00, 1.110554729004521457e+00, 1.320093306480631501e+00, 2.066480373763369904e+00, 1.185923921635754885e+00, 1.593380790611093056e+00, 1.387796763082446816e+00, 2.032001123513323737e+00, 1.557537986521856155e+00, 2.324601148750015778e+00, 1.621510306096302978e+00, 1.388476897309330882e+00, 1.652619287153670680e+00, 1.217387420763120343e+00, 1.466576096906979432e+00
2.023000000000000000e+03, 1.310602378987598016e+00, 1.235796704386746603e+00, 1.115665100395888398e+00, 1.263209809033852826e+00, 2.069828136185503542e+00, 1.183308456488029181e+00, 1.576542089302665817e+00, 1.360096898612843885e+00, 2.100888135899877440e+00, 1.604232549177336153e+00, 2.282969153013631569e+00, 1.637676767317152171e+00, 1.386459405789568278e+00, 1.689052107152645421e+00, 1.196720119689586026e+00, 1.485821686803447284e+00
2.024000000000000000e+03, 1.336427774360214205e+00, 1.273048711778602904e+00, 1.146492387968292004e+00, 1.275697509857448342e+00, 1.992335521305902857e+00, 1.196207354653904043e+00, 1.601026371779383339e+00, 1.398785653251679362e+00, 2.228705072313196478e+00, 1.614828163368544178e+00, 2.310606965362275833e+00, 1.623041898556770724e+00, 1.374514145375105079e+00, 1.721788652007348208e+00, 1.277089209290558358e+00, 1.496775831269944179e+00
