year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, CNRM-ESM2-1, CESM2-WACCM, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, CanESM5, ACCESS-ESM1-5, EC-Earth3-Veg
2.015000000000000000e+03, -5.924511746477477692e-01, 1.185149458225658592e-01, 2.531249813369194079e-01, 7.867786561784505528e-01, 1.030646251227012727e-01, 5.553584174014289943e-01, 2.119293420713789233e-01, -8.019613354611294931e-02, 6.923438647748102470e-01, 2.655891122225993439e-01, -8.924361556608823021e-02, 7.390330958628570368e-01, 5.418993399962793722e-01, 2.971709649401660380e-01, 4.543605896434229491e-02, 7.765606920044557659e-01
2.016000000000000000e+03, 3.871169828912131572e-01, 5.131182504675427802e-01, 4.081946646113376320e-01, 4.451497322075849694e-01, 3.125162231262954005e-01, 1.939488910037425184e-01, 8.201424879119458833e-01, 4.587118854766379372e-01, 3.894307729270888863e-01, 5.730937394133287510e-01, 3.274939740765547141e-02, 5.981590290298032242e-01, 3.539164100406919089e-01, 4.582860822906623666e-01, 3.835153292874708686e-02, -1.394480920064452012e-01
2.017000000000000000e+03, 4.257506314313719842e-01, 4.204776841264930010e-01, 1.457349754989927249e-01, 4.889247310450449135e-01, -2.565203904342226449e-01, 2.675806410684872794e-01, 4.724210312055659444e-01, 5.952286420222631103e-01, 2.745031791573653845e-01, 3.507903511408874686e-01, 5.976396029848721758e-01, 3.022043465480028779e-01, 3.622073209373615765e-01, 5.340143249492914634e-01, 4.898975983192907502e-01, 4.355470442583378454e-01
2.018000000000000000e+03, 7.654973966093097104e-01, 1.924307490552188415e-01, 3.919933366530182206e-01, 3.234672993401750962e-01, -2.578770852232378230e-01, 3.842017965289775683e-01, 7.836208158230126841e-01, -3.691501790343637013e-01, 6.358595613059994101e-01, 7.245246858658551670e-01, 6.210658824205810280e-01, 8.066722093139334637e-01, 5.133060280843503298e-01, 5.148593552051791145e-01, 1.000359661858451488e-01, 8.234282548684260794e-01
2.019000000000000000e+03, 8.337666238898375770e-01, -2.774959860682048030e-01, -8.293309305140247889e-02, 5.047037033574526266e-01, 6.691896289400437459e-01, 4.459092129539339866e-01, 1.123311713463865658e-01, 9.144099579473041750e-01, 8.646686866808285243e-01, 5.413751512773183894e-01, 5.602612378725096987e-01, 5.397803621920894690e-01, 5.122341016630990174e-01, 1.254762625255834985e-01, 4.802689963611749269e-01, 2.539841695887356532e-01
2.020000000000000000e+03, 4.830113176241034312e-01, 4.744600564785051919e-03, 4.554225074845916210e-02, 3.619855642564891451e-01, -1.984136606452826801e-01, 3.652403423492345813e-01, 2.436669398138205378e-01, 3.769993487792394626e-01, 1.014161145884554305e+00, 2.536654134321902898e-01, 4.197595618153024954e-01, 8.586273114462941169e-01, 1.991674779372585302e-01, 5.170095822509992445e-01, 6.491705324465503191e-01, 6.416006992692986355e-01
2.021000000000000000e+03, 5.514862475819611726e-02, 1.333126089062316444e+00, 6.064395760324579193e-02, 5.369594303892528675e-01, -4.157085543733043398e-01, 6.037947843836618533e-01, 4.558514666075210164e-01, 8.820024586971179081e-01, 7.306939889136638833e-01, 6.425304361638276562e-01, -5.407777286417104756e-01, 7.367343004540363172e-01, 4.163075374615895496e-01, 3.335118856677466992e-01, 4.193859091792769833e-01, 4.843841014191713201e-01
2.022000000000000000e+03, -1.644863434591752327e-01, 4.071660390085573566e-01, 3.284935239690005004e-01, 3.834517131760767916e-01, 3.405120351989087690e-01, 5.231507116269636937e-01, 4.847625640085038157e-01, 5.462296603326599609e-01, 8.441750731192817492e-01, 6.407258084334540582e-01, 5.823232109805174250e-01, 7.615025337843112085e-01, 4.531060755563182108e-01, 2.705148725364452944e-01, -7.936287100539700032e-03, 6.529061945216572127e-01
2.023000000000000000e+03, 5.271505171815438207e-01, -5.958889368722508628e-01, 3.435449526531294540e-01, 4.375358015336222595e-01, 2.415387784654446091e-01, 3.772617954603736390e-01, 7.030713933200397614e-01, 1.373628648099914473e+00, 6.980967076432414986e-01, 4.547258443743839584e-01, 4.981800447648594976e-01, 5.366308364543734832e-01, 2.165684278108531702e-01, 3.976224348314661983e-01, 7.912305264313923558e-01, -8.171238369882447006e-02
2.024000000000000000e+03, -3.228617190584305574e-02, -2.623963471163370254e-01, 1.708214775953120490e-01, 5.467769484388431689e-01, 3.592362503281999048e-02, 4.213730606564493053e-01, 1.803211843328897911e-03, -2.597359262560886561e-01, 1.077004593345445072e+00, 4.462549982910746227e-01, -1.539414774272291064e-01, 7.997895307974536294e-01, 4.516747936462489621e-01, 5.446131380101616459e-01, 4.970306028790251740e-01, 3.437815470334025791e-01
