year, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM
2.015000000000000000e+03, 2.798642186017205898e-10, -1.168388775928632461e-10, 3.332658330919523905e-10, 3.890600103610194026e-10, 9.073002531359659208e-10, 6.556888739193377369e-10, 7.204365999198893130e-10, 3.511801556408904282e-10
2.016000000000000000e+03, 1.073988650989780657e-09, 4.287592799419356682e-11, 5.374314864020332657e-10, 5.999939730323792096e-10, 5.103398135413620334e-10, -1.109073504160293161e-10, 4.705197373137972638e-10, 7.577838824782489964e-10
2.017000000000000000e+03, 6.213034345569777948e-10, 7.824373763307131925e-10, 1.918755223754880931e-10, 6.991383523606902521e-10, 3.597299212250729053e-10, -5.102226227505433611e-10, 4.815422191951674689e-10, 4.638390824083526481e-10
2.018000000000000000e+03, 1.023082884737995583e-09, 8.131073595903905247e-10, 5.161007231138436696e-10, 6.740604221241010231e-10, 8.332789099236163276e-10, -9.635160875418693926e-10, 6.824227717162592960e-10, 9.580162749095848350e-10
2.019000000000000000e+03, 1.480640645614011460e-10, 7.335011448895906546e-10, -1.091901960868878495e-10, 1.642751202429710451e-10, 1.133127854840495645e-09, -9.054754559423005830e-11, 6.809976822775162200e-10, 7.158433879109209175e-10
2.020000000000000000e+03, 3.188551064085577687e-10, 5.495545619737129902e-10, 5.996119409630986331e-11, 6.768755267454215722e-10, 1.329034185463609546e-09, -1.286067841680347755e-10, 2.647863358178721762e-10, 3.354138225936179249e-10
2.021000000000000000e+03, 6.030243216732981437e-10, -7.079930865746404979e-10, 7.984418979862636398e-11, 4.366380064066569332e-10, 9.575571834119279147e-10, 9.774024875066911907e-10, 5.534666028785138831e-10, 8.495978494287909240e-10
2.022000000000000000e+03, 6.370725871608362527e-10, 7.623849609370777370e-10, 4.324964977878802210e-10, 3.541615148472870757e-10, 1.106271459170534959e-09, -1.972042214799620138e-10, 6.023889980731101809e-10, 8.472116467643710774e-10
2.023000000000000000e+03, 9.196321946630503705e-10, 6.522236565638047947e-10, 4.523132969562076075e-10, 5.205723535152632628e-10, 9.148392175961721492e-10, -7.027716584097067006e-10, 2.879203022892006492e-10, 6.012697262510114646e-10
2.024000000000000000e+03, 8.573336713411939988e-12, -2.015421419615723602e-10, 2.249045579781208413e-10, 7.130144533455455053e-10, 1.411389036412925574e-09, -8.222796092975919289e-10, 6.004861578282331841e-10, 5.900689920753826727e-10
2.025000000000000000e+03, 7.387916476482930499e-10, 1.999095457964700590e-10, 2.986917282330713665e-10, 3.940498561808351428e-10, 1.081026370788602459e-09, -8.284694598868204002e-10, 6.719921302702481256e-10, 7.976948762544703386e-10
2.026000000000000000e+03, 5.997367564395655383e-10, 1.065637678880918783e-09, 7.307810355040704158e-10, 1.087063047130673107e-09, 1.086941332913151345e-09, 2.207315166720535574e-10, 2.551372690581329650e-10, 4.419552183871001157e-10
2.027000000000000000e+03, 6.353505633366202493e-10, 9.657061795874111097e-10, 6.492387153558015946e-10, 7.468791281750267366e-10, 8.648297912743675790e-10, 6.039607001665087346e-10, 1.151648185013331804e-09, 4.682782408375192095e-10
2.028000000000000000e+03, 1.302113337177569953e-10, 9.302345705794267751e-10, 7.748037066386915443e-10, 2.688791329235942478e-10, 1.170629298875730133e-09, -9.637529164947159511e-10, 6.764364008474833295e-10, 7.667442491781494204e-10
2.029000000000000000e+03, -5.193656352550100306e-11, 2.632124553386672754e-10, -4.288386941515080276e-10, 7.635163837476829752e-10, 9.955352046802687393e-10, -2.143808713728022170e-10, 3.312397737449904763e-10, 8.348879673342382703e-10
2.030000000000000000e+03, 1.597170191562250110e-10, 8.797927418825550479e-10, 2.570042822028946034e-10, 6.303204682844921114e-10, 1.280719010389767539e-09, 5.656022379614528954e-11, 2.186919725546062710e-10, 6.706218156570052888e-10
2.031000000000000000e+03, 8.830296065512806636e-10, 5.590429095772169275e-10, 1.653341169151901842e-10, 3.885796318737413855e-10, 1.065992756299796590e-09, 9.138849588558646330e-11, 6.692610576246958528e-10, 5.086843455410219926e-10
2.032000000000000000e+03, 9.708893129251604253e-10, 2.513074825282463956e-10, 1.301886816188858219e-09, 1.002716611782025408e-09, 1.307379485793735187e-09, -5.241185912565023130e-10, 5.996294324603014635e-10, 6.492248547311285345e-10
2.033000000000000000e+03, 5.724101300181182037e-10, 1.186876207968278164e-09, 1.211972241629694445e-09, 8.713497666868270120e-10, 9.215603178761458956e-10, 1.144602856943266573e-10, 1.150916553959007701e-10, 8.433675123587269476e-10
2.034000000000000000e+03, 4.766757623597610869e-10, 1.413446920917871914e-09, -5.516925796665633916e-10, 4.816429268404771785e-10, 1.522644972977485666e-09, -1.472056582396148516e-10, 8.189657229579252609e-10, 1.057768174109006948e-09
2.035000000000000000e+03, 2.444117625174892659e-10, 3.467051068534054332e-10, 3.716124855290380722e-10, 4.650500057215449266e-10, 1.018998905907449681e-09, -3.618603129859206601e-10, 4.477335287458237632e-10, 8.941219146162445063e-10
2.036000000000000000e+03, 7.260748681963186510e-10, 1.123869502509505519e-09, -9.982443144012307071e-11, 1.306152607200601529e-09, 1.486609631781689865e-09, 5.527081054947796166e-10, 4.608764305734360156e-10, 6.787303839503401153e-10
2.037000000000000000e+03, 8.739141081079016296e-10, 1.175155683559740841e-09, 1.478730292029128398e-09, 4.956580263127469167e-10, 1.012965931787385240e-09, -1.185841076913063144e-10, 7.664133553855994426e-10, 1.026869221517839647e-09
2.038000000000000000e+03, 6.505149367896744509e-10, 5.447155763668032512e-10, 6.528356165804560493e-10, 9.764366496116072262e-10, 1.073719465836487516e-09, -3.785742338069938112e-10, 4.665447797770818741e-10, 6.468770280663435654e-10
2.039000000000000000e+03, 4.370945571491306867e-10, 3.506259641128635520e-10, 4.348723627771214770e-10, 1.180400977643321489e-09, 1.204801994140716209e-09, -2.346466541676798042e-10, 7.954918744514848398e-10, 8.450135151375298451e-10
2.040000000000000000e+03, -8.309705096914144543e-11, 6.697791567089808880e-10, -4.839363104812771006e-11, 5.156837870899839302e-10, 1.507914389538566322e-09, -3.115643248996925022e-11, -2.222413372824367514e-10, 8.015024319083741661e-10
2.041000000000000000e+03, 8.332657228757578354e-10, 1.242604402366937604e-09, 1.101417497616592323e-09, 8.599382904157830202e-10, 1.287173344548994995e-09, -3.861327855629123694e-10, -1.556937300335420208e-10, 6.776879187084793817e-10
2.042000000000000000e+03, 2.032854387984652636e-10, 4.252467418234326097e-10, 3.966085774475773872e-10, 8.551178048409201229e-10, 1.240243897027994707e-09, -1.364812043798219765e-09, 5.970934998171016108e-10, 4.781599727692756850e-10
2.043000000000000000e+03, 7.192683969959573746e-10, 6.516619215936143977e-10, 5.133603422601841061e-10, 1.602422282749790055e-09, 1.134086486219548479e-09, -6.155697884217610741e-10, 1.217899741794512693e-09, 4.214919281897978693e-10
2.044000000000000000e+03, 3.281375356455816354e-10, -1.281442587971638295e-10, 6.124230461618674624e-10, 7.750833909632154073e-10, 6.204251654427263643e-10, 1.045034314259239029e-10, 5.927482240173842902e-10, 7.047270777792534496e-10
2.045000000000000000e+03, 4.482390841783200381e-10, 1.253676235000092682e-09, 7.346146924404206375e-10, 1.157648641920867827e-09, 7.298968285165625945e-10, -9.168434122113520031e-11, 9.938705936960515749e-10, 5.278344932263174462e-10
2.046000000000000000e+03, -2.272442904704724571e-10, 1.565509650471276328e-10, 1.020379215555291581e-09, 5.764377946139492526e-10, 1.375625705250477456e-09, -4.212620811770282385e-10, 7.303466998224706504e-10, 9.815205617988419165e-10
2.047000000000000000e+03, 1.965898961952410244e-10, 9.872872704543401680e-10, 5.486776335998979883e-10, 9.506022321867253747e-10, 1.284507946682510998e-09, -4.691682010594303767e-10, 9.724918854678283739e-10, 8.053361422667026657e-10
