year, CMCC-CM2-SR5, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, CanESM5, CESM2-WACCM, INM-CM4-8, MPI-ESM1-2-LR, NorESM2-MM, CNRM-ESM2-1, INM-CM5-0, MIROC-ES2L, EC-Earth3-Veg, UKESM1-0-LL
2.015000000000000000e+03, 7.696377666839871345e+00, 5.336534165913414007e+00, 6.146376619281834763e+00, 7.491327525236075147e+00, 8.102721062120274098e+00, 7.671794951290443976e+00, 9.881016951919992408e+00, 6.558456029626666961e+00, 8.904488083517795971e+00, 1.148494711802257306e+01, 7.669329085114068967e+00, 8.976329349162645244e+00, 8.830573456776351193e+00, 1.082499667758496997e+01, 8.614425642442240516e+00, 1.038435347597857827e+01
2.016000000000000000e+03, 8.061840144223674898e+00, 5.508111679289155127e+00, 6.261539051578222548e+00, 7.480364260928245024e+00, 8.187439205881631210e+00, 7.566773523600195617e+00, 1.014472307545392837e+01, 6.812321793110292845e+00, 9.239274755256658977e+00, 1.172144654579591894e+01, 6.772989858832256793e+00, 9.102571338649950050e+00, 9.514039096090819214e+00, 1.071758296920338616e+01, 8.227127560660704830e+00, 9.546273592359174387e+00
2.017000000000000000e+03, 7.945611044276063240e+00, 4.955196728830401298e+00, 6.531005502252814843e+00, 7.707715301948240061e+00, 8.969402015742097944e+00, 7.261760585261026080e+00, 1.008273660571185992e+01, 6.796469310420111931e+00, 9.408378442369436101e+00, 1.148710215959131453e+01, 6.635456460552403790e+00, 8.420644449586394131e+00, 9.626065141162087002e+00, 1.038424456746236046e+01, 8.449574931207708417e+00, 9.660740379046426796e+00
2.018000000000000000e+03, 7.642059307350251629e+00, 5.160415595744224149e+00, 6.560645125948452616e+00, 7.387442957948310074e+00, 8.958418261365329371e+00, 7.957345324096213979e+00, 1.002676867047608589e+01, 7.368955621100234943e+00, 8.648472500274833052e+00, 1.182717831402996467e+01, 6.752113952437216682e+00, 9.404933217217681829e+00, 9.811742146080518978e+00, 1.102562324778157432e+01, 8.663328582373699405e+00, 1.008578085922566991e+01
2.019000000000000000e+03, 7.382395887301234083e+00, 5.751565523970366911e+00, 6.474640288459903914e+00, 7.644073072901291788e+00, 9.167986153007161576e+00, 7.597294965724861626e+00, 9.771319124938989020e+00, 7.161247835932241124e+00, 9.535820068127211613e+00, 1.126483504218462528e+01, 6.881822735540565894e+00, 9.086462176285770909e+00, 1.031971310976289402e+01, 1.050954961963204681e+01, 8.274813309649765358e+00, 1.014988444181107674e+01
2.020000000000000000e+03, 7.511158188817751657e+00, 5.133149110132860571e+00, 6.398963974398214738e+00, 7.905255404708950273e+00, 9.057626810832237751e+00, 8.045007449544510081e+00, 1.016945684221521873e+01, 6.686928932155923988e+00, 9.354917678373256607e+00, 1.116959764051193815e+01, 6.811593548071227744e+00, 9.599551277698060048e+00, 9.897775507582798227e+00, 1.069643519881559968e+01, 8.880971099377083178e+00, 1.012510112234168780e+01
2.021000000000000000e+03, 8.695736070353106584e+00, 5.091227886714632334e+00, 6.910580100304113849e+00, 7.799302201885016217e+00, 8.790209620166796967e+00, 8.005600728671025124e+00, 1.053536952877734123e+01, 7.185837823931031210e+00, 9.537896651297915085e+00, 1.176504266123309073e+01, 6.948616714253457616e+00, 9.432715542768624672e+00, 9.446209821481131641e+00, 1.047608553556248445e+01, 8.271420121467906839e+00, 1.027058249522687738e+01
2.022000000000000000e+03, 7.737861429322586027e+00, 5.588439353168508816e+00, 6.669788013113374880e+00, 7.416606797269952089e+00, 9.045166515173360011e+00, 7.833143889384794889e+00, 1.006011792615098166e+01, 7.291775825436473291e+00, 9.481778472258531210e+00, 1.180813707712636784e+01, 6.662290622333481238e+00, 9.403336914179668327e+00, 9.487007499895327101e+00, 1.068814856093200838e+01, 8.399181893598306914e+00, 1.055538391306127899e+01
2.023000000000000000e+03, 7.005250483239549908e+00, 5.553562182187213203e+00, 6.559207316039558755e+00, 8.006888227328357033e+00, 8.994782780281106227e+00, 7.862003419471573551e+00, 1.001780860083370150e+01, 6.857107931822717717e+00, 1.012751078301863394e+01, 1.153952866793674481e+01, 6.625787966873752488e+00, 9.299995368108881166e+00, 9.711445815346291255e+00, 1.092382980799635206e+01, 8.444721900025227157e+00, 9.853058759944568479e+00
2.024000000000000000e+03, 7.266603821367752403e+00, 5.429200179210321053e+00, 6.403002566263774398e+00, 7.877726019747947284e+00, 8.771944661793346754e+00, 8.080116074860498543e+00, 1.044005565327722174e+01, 7.159939818735210793e+00, 8.985960472871537874e+00, 1.098673099977401613e+01, 6.691958919344383361e+00, 9.930476793451720852e+00, 9.518299971133982851e+00, 1.103167622094811584e+01, 8.623607083387154759e+00, 1.037502194942589107e+01
