year, UKESM1-0-LL, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR, ACCESS-ESM1-5, INM-CM5-0
2.015000000000000000e+03, 2.758537253351027516e+02, 2.773336530914860987e+02, 2.780657394723410789e+02, 2.781883885548390936e+02, 2.762634464059123047e+02, 2.763807967557771121e+02, 2.776894206558197311e+02, 2.760877839521121473e+02, 2.766448115831803420e+02, 2.771454274874628823e+02, 2.802655687330120031e+02, 2.772286890194384910e+02, 2.759372637503869896e+02, 2.766872616247113683e+02, 2.787111095663730680e+02, 2.764501888857323024e+02
2.016000000000000000e+03, 2.754990084020723202e+02, 2.774643023641999662e+02, 2.790129359350463574e+02, 2.784923234357037245e+02, 2.763900114195010929e+02, 2.768573819192740757e+02, 2.774715159037008902e+02, 2.766897310813357080e+02, 2.771549681451614333e+02, 2.774839559758835321e+02, 2.797800164971157528e+02, 2.762373847734016294e+02, 2.760019601440995984e+02, 2.762197321715724456e+02, 2.782679163193767522e+02, 2.764114275643224801e+02
2.017000000000000000e+03, 2.756829977362505701e+02, 2.776818070564250434e+02, 2.785076114042450968e+02, 2.785485765008976387e+02, 2.764582848369638555e+02, 2.762093906754478212e+02, 2.782468171850453587e+02, 2.770579879279637225e+02, 2.772768218263346398e+02, 2.769359082539805286e+02, 2.793162962607791542e+02, 2.770023829584332589e+02, 2.757512019626219626e+02, 2.761977247301908278e+02, 2.781383040699511184e+02, 2.769215729076252046e+02
2.018000000000000000e+03, 2.759983523143602042e+02, 2.772213887866620894e+02, 2.786859595785579700e+02, 2.782927722650013038e+02, 2.766374929811428842e+02, 2.763786542729130247e+02, 2.778208200268512087e+02, 2.762310801501903370e+02, 2.771992950628422818e+02, 2.774201608001965838e+02, 2.800893106361375544e+02, 2.767406586124369028e+02, 2.765274302663643766e+02, 2.761529422709368191e+02, 2.780598176098260979e+02, 2.764314075368761792e+02
2.019000000000000000e+03, 2.763039682464647058e+02, 2.775639119064879310e+02, 2.783644426769098459e+02, 2.782749051979847650e+02, 2.767651149634111221e+02, 2.767367986249432192e+02, 2.786222285966026107e+02, 2.764759910618084291e+02, 2.770363599638960750e+02, 2.768254573148388431e+02, 2.796901852525910499e+02, 2.766769601609487381e+02, 2.762468485239147071e+02, 2.767703560243563174e+02, 2.779723414165745794e+02, 2.771241419769658592e+02
2.020000000000000000e+03, 2.764099001805369085e+02, 2.775867674975446562e+02, 2.785570335075360617e+02, 2.769190763314278456e+02, 2.768942198612874108e+02, 2.768476482970045822e+02, 2.777241756538984987e+02, 2.763562816670909683e+02, 2.773095547287978775e+02, 2.768945685961389245e+02, 2.801401952400797768e+02, 2.774148395987523372e+02, 2.766245042862688024e+02, 2.764395427945951269e+02, 2.781912751015449317e+02, 2.771062800987788250e+02
2.021000000000000000e+03, 2.762335121390505606e+02, 2.778106361145327696e+02, 2.785468495529346455e+02, 2.780601807110746790e+02, 2.771668543667397557e+02, 2.761672084092583077e+02, 2.780166590418211854e+02, 2.772573148684406874e+02, 2.768101639828153679e+02, 2.772510114024178165e+02, 2.796755524513384898e+02, 2.776246129683414097e+02, 2.767352861169177913e+02, 2.769749522357219575e+02, 2.786305327922315769e+02, 2.766017606569861300e+02
2.022000000000000000e+03, 2.770796101804430123e+02, 2.778661214176166823e+02, 2.789311280640580435e+02, 2.782856277389970501e+02, 2.765052961429647667e+02, 2.763209792401456752e+02, 2.783197825723506753e+02, 2.768445396528297806e+02, 2.770523946318903654e+02, 2.770845080818173187e+02, 2.796793726473601396e+02, 2.766372908479463035e+02, 2.764033990144303061e+02, 2.768299284946217540e+02, 2.788122633951953162e+02, 2.772248724331273593e+02
2.023000000000000000e+03, 2.765895023465384384e+02, 2.776523170090231361e+02, 2.784911534324488116e+02, 2.779426584527216733e+02, 2.772050056655234016e+02, 2.770761234498721706e+02, 2.783132892020950067e+02, 2.763999653832945569e+02, 2.771808187468481606e+02, 2.773703869267697542e+02, 2.800552732124502882e+02, 2.772378772204077109e+02, 2.764085213653723940e+02, 2.770707386858607038e+02, 2.784356004940677281e+02, 2.770956926101756039e+02
2.024000000000000000e+03, 2.769389012595140684e+02, 2.782513803135464059e+02, 2.787365013418726676e+02, 2.779217879861313349e+02, 2.777540821981660883e+02, 2.769761816652198263e+02, 2.781704273004887114e+02, 2.768828203154898802e+02, 2.774839072491434422e+02, 2.772172458415176948e+02, 2.802447831945273151e+02, 2.771348323474454673e+02, 2.766880891358933923e+02, 2.770298202151634541e+02, 2.786742727718742572e+02, 2.773382865419630434e+02
2.025000000000000000e+03, 2.764177943521675616e+02, 2.781361037752821517e+02, 2.791030101457667456e+02, 2.780911750245359144e+02, 2.770041074275401343e+02, 2.767604487141103391e+02, 2.783199076509995962e+02, 2.771395432237871432e+02, 2.775054762438780358e+02, 2.774543020259728223e+02, 2.805109609273898741e+02, 2.778226695102381996e+02, 2.766556156800948543e+02, 2.769999051348304988e+02, 2.789314255873762249e+02, 2.772482834560209994e+02
2.026000000000000000e+03, 2.763834303650218658e+02, 2.781070377503062332e+02, 2.786923831696608431e+02, 2.779010641994429989e+02, 2.774403803810625959e+02, 2.767756097649282196e+02, 2.787108032945140508e+02, 2.769971132469322583e+02, 2.773107340827381222e+02, 2.771511320858157319e+02, 2.798236183683006288e+02, 2.773312962232820382e+02, 2.766155111600253349e+02, 2.770654369933382100e+02, 2.788198675489681477e+02, 2.773646954603879067e+02
2.027000000000000000e+03, 2.763471204997754853e+02, 2.782290675842280621e+02, 2.784964435926712554e+02, 2.790113824040484474e+02, 2.780877086786038603e+02, 2.773039378331162084e+02, 2.783633262246883646e+02, 2.768814593522488394e+02, 2.769641987773553637e+02, 2.772038679972671957e+02, 2.797393532810910415e+02, 2.770960110360361455e+02, 2.764985817088929139e+02, 2.771719058136699232e+02, 2.792912623377591785e+02, 2.774255695334196048e+02
2.028000000000000000e+03, 2.771043009108146293e+02, 2.780843423752919534e+02, 2.785415096333718452e+02, 2.793430708373923608e+02, 2.778007126849087740e+02, 2.773692154995683268e+02, 2.783968435784352664e+02, 2.773133143699480456e+02, 2.772799852231513569e+02, 2.778476961541448418e+02, 2.807336822720982923e+02, 2.772452820769300956e+02, 2.767739190949135946e+02, 2.771353555454351181e+02, 2.789440564979364581e+02, 2.772440576983817664e+02
