year, CNRM-ESM2-1, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, NorESM2-MM, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L
2.015000000000000000e+03, 6.623737027225769225e+01, 5.737624624102557647e+01, 1.072320033654009563e+01, 1.881446292400952203e+01, 5.213093373540644393e+01, 7.148469249098650558e+00, 1.181517415900991530e+01, 1.763217018412746739e+01, 6.945997242772788738e+00, 7.130290662936817903e+00, 1.765961874449846425e+00, 1.046882046268516575e+01, 7.294266221390994076e+01
2.016000000000000000e+03, 6.638441645691246151e+01, 5.741816808912816583e+01, 1.083693580292924352e+01, 1.888805291520455754e+01, 5.200466828148341847e+01, 6.944520726723957260e+00, 1.174794912291623028e+01, 1.785258431621914710e+01, 6.952167281185600345e+00, 7.244724926416495236e+00, 1.839097460809170803e+00, 1.028978712538975593e+01, 7.306727310942802944e+01
2.017000000000000000e+03, 6.657340394826100294e+01, 5.751193117319250803e+01, 1.076618645048820788e+01, 1.898877196754980901e+01, 5.227455001161234094e+01, 7.037093664013915451e+00, 1.169275086522722695e+01, 1.797708552474871624e+01, 6.917590903161575433e+00, 7.266950222323341535e+00, 1.998102541286980838e+00, 1.035965061506679064e+01, 7.340857996412529474e+01
2.018000000000000000e+03, 6.647519683533607804e+01, 5.751374961798312313e+01, 1.073187002818266933e+01, 1.913849984576087238e+01, 5.230340555802307989e+01, 7.185217834861898467e+00, 1.169601066358595709e+01, 1.805432590432908313e+01, 6.947538112940362609e+00, 7.265941692362453352e+00, 2.091330451363865084e+00, 1.042560361598302698e+01, 7.365241927363594243e+01
2.019000000000000000e+03, 6.668352807450354192e+01, 5.759155978410169752e+01, 1.066754498616032443e+01, 1.923806517262027782e+01, 5.244109495329242066e+01, 7.145953332855354390e+00, 1.177921859137352456e+01, 1.808105460408589948e+01, 7.010705028175700626e+00, 7.223906782897996592e+00, 1.821711536833538148e+00, 1.029724266256831022e+01, 7.386678951350026523e+01
2.020000000000000000e+03, 6.695612714706837210e+01, 5.770714351342056148e+01, 1.060685490471148285e+01, 1.930734401793200306e+01, 5.261344450459517930e+01, 7.166016751800200701e+00, 1.196623415779651012e+01, 1.790129065917333051e+01, 7.100078628010456860e+00, 7.284663342238606454e+00, 1.746201366123207199e+00, 9.732154958500380815e+00, 7.385815495502083650e+01
2.021000000000000000e+03, 6.724923106254540528e+01, 5.776519094708817903e+01, 1.062743096920894814e+01, 1.933014019474900991e+01, 5.250025147679072290e+01, 7.181024338187898870e+00, 1.205910440960495222e+01, 1.803761180711292411e+01, 7.152830573459277197e+00, 7.392143256226507475e+00, 2.149852786112549374e+00, 1.000961969096142745e+01, 7.385792190371292065e+01
2.022000000000000000e+03, 6.713757989793113268e+01, 5.786237018689094924e+01, 1.063942237001987756e+01, 1.937076145480089551e+01, 5.254929234412193750e+01, 7.145912109551233904e+00, 1.193008965026759327e+01, 1.810945571816579047e+01, 7.079821186812428557e+00, 7.518967217198772701e+00, 2.122774860439206712e+00, 1.045561719043674920e+01, 7.380306912397554697e+01
2.023000000000000000e+03, 6.703172996356944680e+01, 5.804325296477940554e+01, 1.061929562655721426e+01, 1.949526957393369742e+01, 5.280459616668603218e+01, 7.122927038460959537e+00, 1.209655287704366522e+01, 1.810388195716040727e+01, 7.198379499762103784e+00, 7.597417708024552851e+00, 1.712112620568973176e+00, 1.115945175272243972e+01, 7.379262179320440396e+01
2.024000000000000000e+03, 6.726827111726049679e+01, 5.799422770867586507e+01, 1.058263632711714308e+01, 1.970756012497474075e+01, 5.305307934537062664e+01, 7.030186841210776194e+00, 1.244591367074319521e+01, 1.787060338978260532e+01, 7.361168585751130422e+00, 7.461394894438350356e+00, 1.886379051623690906e+00, 1.102675872189921158e+01, 7.389556362197296835e+01
2.025000000000000000e+03, 6.749867662850117256e+01, 5.797642593034926506e+01, 1.052820154132925623e+01, 1.974995180611837853e+01, 5.322449525259952452e+01, 7.182659178214473528e+00, 1.215029403306180988e+01, 1.761297049330834597e+01, 7.303294566105222430e+00, 7.483877865576326727e+00, 1.773294971372067375e+00, 1.080028631985536514e+01, 7.402360384680177674e+01
2.026000000000000000e+03, 6.768409293538256577e+01, 5.813496639399888721e+01, 1.052578182895855186e+01, 1.976471690706020112e+01, 5.316926806206147660e+01, 7.298839831395815381e+00, 1.191722583423964110e+01, 1.771543809921109869e+01, 7.175512654524342615e+00, 7.543602371104626947e+00, 2.074580577801200310e+00, 1.055527403708094525e+01, 7.436774289559311057e+01
2.027000000000000000e+03, 6.764296721178804717e+01, 5.835795578344838219e+01, 1.061457926744970059e+01, 1.984508666520678233e+01, 5.331069119109177024e+01, 7.272162151520722873e+00, 1.199867090780682588e+01, 1.790879818987279748e+01, 7.017250699495817479e+00, 7.471234029206389238e+00, 1.904466544472482425e+00, 1.030979256172219749e+01, 7.447084490295782189e+01
