year, MIROC-ES2L, UKESM1-0-LL, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR
2.015000000000000000e+03, 2.768763439611329424e+00, 5.162812975141717331e-02, 1.410893340259895989e+00, 2.278954490408563238e+00, 1.347659714204489934e-01, 2.232272277323936294e+00, 1.334502526849496773e+00, 8.481146221977947652e-02, 6.253655013003829310e-01
2.016000000000000000e+03, 2.789381627479587067e+00, 5.034991306165095132e-02, 1.411133505655221221e+00, 2.279878268667105523e+00, 1.662941568738595666e-01, 2.785697130748826744e+00, 1.362816938383591525e+00, 8.372220679592658199e-02, 6.403506557882659989e-01
2.017000000000000000e+03, 2.789250371100654657e+00, 4.946207986358354403e-02, 1.403911530861772228e+00, 2.294106307384955024e+00, 1.949365476186561141e-01, 2.780755607480162706e+00, 1.386694348917763664e+00, 8.524470689369921528e-02, 6.555130808411031573e-01
2.018000000000000000e+03, 2.777739406188168392e+00, 4.874160756996392951e-02, 1.405597892800368065e+00, 2.295262242705730316e+00, 2.210236173187324904e-01, 2.804218053184857951e+00, 1.407676483114316923e+00, 8.568163172443774012e-02, 6.693247388094848427e-01
2.019000000000000000e+03, 2.768708684850569757e+00, 4.808247528250317315e-02, 1.400004738191934051e+00, 2.301202479785225741e+00, 2.426503995000769964e-01, 2.837616683610316048e+00, 1.428390061649113196e+00, 8.526236217184980648e-02, 6.809653442871361761e-01
2.020000000000000000e+03, 2.748446780759841612e+00, 4.747852175959626359e-02, 1.381468821720132301e+00, 2.305292336599734426e+00, 2.591818188290299085e-01, 2.874596400077777947e+00, 1.444361349577603315e+00, 8.553599571358938558e-02, 6.906764178049840108e-01
2.021000000000000000e+03, 2.735881517207757074e+00, 4.679962115519241406e-02, 1.377275390967574786e+00, 2.302761592726198181e+00, 2.501014583302115790e-01, 2.907345979903909416e+00, 1.455787912477238821e+00, 8.458337538470639405e-02, 6.912051899858417947e-01
2.022000000000000000e+03, 2.727772418370242757e+00, 4.610827082735505927e-02, 1.386864227143370654e+00, 2.307245621868402097e+00, 2.460389060490372204e-01, 2.924680277743992640e+00, 1.467425753177065584e+00, 8.430773123760569587e-02, 6.929164277420899465e-01
2.023000000000000000e+03, 2.722845093724668430e+00, 4.596805717919901640e-02, 1.403747361585442555e+00, 2.316207925868723372e+00, 2.367174706496189274e-01, 2.944511225750853445e+00, 1.479241472284038350e+00, 8.441699063392742175e-02, 6.940060008162508565e-01
2.024000000000000000e+03, 2.713072334689943244e+00, 4.934524202116828684e-02, 1.397919654458730898e+00, 2.320063598903114421e+00, 2.320379091258883142e-01, 2.965209009902415538e+00, 1.490901164596007966e+00, 8.492409015677825079e-02, 6.950466255440823637e-01
2.025000000000000000e+03, 2.697383011024514943e+00, 5.310073099163754862e-02, 1.397460269533629340e+00, 2.335174076509150876e+00, 2.232542457492683596e-01, 2.986637708832112548e+00, 1.499992741073669311e+00, 8.482619557124965182e-02, 6.961172533115872474e-01
2.026000000000000000e+03, 2.688684923378021896e+00, 5.225167125698025605e-02, 1.404974216931238917e+00, 2.333056690551448487e+00, 2.190272470121451542e-01, 2.996814875595361638e+00, 1.507476148938524663e+00, 8.479160774339380979e-02, 6.941517562526547946e-01
2.027000000000000000e+03, 2.682061612469574641e+00, 5.180603737833033851e-02, 1.435041666212746758e+00, 2.328034821603215843e+00, 2.153410959928035717e-01, 3.007838529354462942e+00, 1.515459810501141646e+00, 8.494134172839851171e-02, 6.925843627857887208e-01
2.028000000000000000e+03, 2.681191138179469746e+00, 5.244660430160511672e-02, 1.446829215058311968e+00, 2.326811149602866280e+00, 2.126819031613333688e-01, 3.019972469923677405e+00, 1.523591897055346811e+00, 8.459539657605988361e-02, 6.919117371399955418e-01
2.029000000000000000e+03, 2.680488779512183228e+00, 5.638263978768980056e-02, 1.447629626528423863e+00, 2.340742882350757004e+00, 2.103379294023652590e-01, 3.033075138299419216e+00, 1.531788348160962432e+00, 8.513712060239735091e-02, 6.930270136984482132e-01
2.030000000000000000e+03, 2.668537284849081370e+00, 6.351878612870336116e-02, 1.437045941472229860e+00, 2.343978219867158597e+00, 2.099167740718449471e-01, 3.046945347840361862e+00, 1.535589315631223695e+00, 8.531303062894284028e-02, 6.940451306973453027e-01
2.031000000000000000e+03, 2.667651556780748390e+00, 7.192973378863924683e-02, 1.451685662429966550e+00, 2.343971214010736492e+00, 2.092178320839922501e-01, 3.033442191994053960e+00, 1.536072129943616638e+00, 8.492762302354893433e-02, 6.919441240960603201e-01
2.032000000000000000e+03, 2.667977860294819870e+00, 8.304662805749039867e-02, 1.458253393116204055e+00, 2.350455985621047628e+00, 2.076216783928912790e-01, 3.023644201803273646e+00, 1.537289321513023888e+00, 8.470048977728382444e-02, 6.900333739754095363e-01
2.033000000000000000e+03, 2.665925955273403147e+00, 9.261919387860277630e-02, 1.437542099329212508e+00, 2.363422670973048145e+00, 2.052353300422900539e-01, 3.016549701612492029e+00, 1.539180780891811429e+00, 8.462458770808016506e-02, 6.883101091353892587e-01
2.034000000000000000e+03, 2.666995587707872151e+00, 1.011231591852218975e-01, 1.435620864493364568e+00, 2.370158471627452190e+00, 2.022856782773174433e-01, 3.010542386599133646e+00, 1.541284115264882626e+00, 8.463614651403426892e-02, 6.880711406479630421e-01
2.035000000000000000e+03, 2.661667766203157814e+00, 1.100602643815525861e-01, 1.442002163522042801e+00, 2.359061319346843710e+00, 1.987226557016498196e-01, 3.005722627127476176e+00, 1.543027086039157059e+00, 8.493429891279136168e-02, 6.877685420367932734e-01
2.036000000000000000e+03, 2.660042334623750282e+00, 1.157190722942172956e-01, 1.455797864193735913e+00, 2.353265642564028592e+00, 1.894013625593973793e-01, 3.009116285679994007e+00, 1.544642457622209752e+00, 8.513004030272910971e-02, 6.859927180768443655e-01
2.037000000000000000e+03, 2.656178297463458904e+00, 1.215741442029271147e-01, 1.456244290831776977e+00, 2.357914438764227683e+00, 1.798559466822999831e-01, 3.012453615575207078e+00, 1.546782577618713184e+00, 8.556839149713459103e-02, 6.834901691106474164e-01
2.038000000000000000e+03, 2.659006494963177758e+00, 1.290185398312941045e-01, 1.488413757736502419e+00, 2.361005206684624991e+00, 1.703419546150010400e-01, 3.016405307327743035e+00, 1.549422192073364402e+00, 8.611269912951242944e-02, 6.819480830830890739e-01
2.039000000000000000e+03, 2.665286294419258351e+00, 1.362053468341999918e-01, 1.491505028650033982e+00, 2.365666408460795456e+00, 1.608800861971565743e-01, 3.021226820875579921e+00, 1.552710262994976720e+00, 8.716843442958764621e-02, 6.817324353088020095e-01
2.040000000000000000e+03, 2.668962979909041078e+00, 1.415186108975030055e-01, 1.489582568595186896e+00, 2.372957966292027709e+00, 1.517213655466279898e-01, 3.025250538399920863e+00, 1.558380336065502858e+00, 8.851394948375609917e-02, 6.818480418424927025e-01
2.041000000000000000e+03, 2.672831632232079535e+00, 1.382551387476929350e-01, 1.503547687507379882e+00, 2.370712774387018662e+00, 1.517110344193562388e-01, 3.029809096533161217e+00, 1.565581266931812543e+00, 8.878359984766730217e-02, 6.850327169493665158e-01
2.042000000000000000e+03, 2.681416074422616092e+00, 1.390859836144347494e-01, 1.521153467661052971e+00, 2.374628479732446174e+00, 1.511737344968219487e-01, 3.035140702192428375e+00, 1.572260013740044204e+00, 8.923896508172628195e-02, 6.890590336225738133e-01
2.043000000000000000e+03, 2.691664307913424370e+00, 1.422850640802507394e-01, 1.514725241381855714e+00, 2.374940917147992714e+00, 1.503618958435395392e-01, 3.040940977826831482e+00, 1.578064592921824438e+00, 8.993444130875562215e-02, 6.930032952803822921e-01
2.044000000000000000e+03, 2.697660763946055251e+00, 1.460132364799371363e-01, 1.490701296103675189e+00, 2.382038510636530049e+00, 1.492153690521576814e-01, 3.046894152712577242e+00, 1.583366201501900994e+00, 9.071618664685443534e-02, 6.967971238939298928e-01
2.045000000000000000e+03, 2.698816480292177467e+00, 1.481852425480120472e-01, 1.499786943537513073e+00, 2.387860219751898327e+00, 1.489583168116505041e-01, 3.053432466707499238e+00, 1.587182967304940240e+00, 9.205603793144977176e-02, 7.006841325245530827e-01
2.046000000000000000e+03, 2.700478550712705594e+00, 1.449801821190163653e-01, 1.503788970128148383e+00, 2.386069069551076449e+00, 1.491909397620264366e-01, 3.046741156693105523e+00, 1.589685424107353917e+00, 9.186911020741116152e-02, 7.010937633275472480e-01
2.047000000000000000e+03, 2.696704741763802371e+00, 1.433802950653008113e-01, 1.505275140338322215e+00, 2.382144065295468849e+00, 1.489260775549495486e-01, 3.042177491288281299e+00, 1.591751290290254417e+00, 9.184147932016599458e-02, 7.013416310211673110e-01
2.048000000000000000e+03, 2.691440589615970769e+00, 1.424529885008606056e-01, 1.504842994859342920e+00, 2.381278657790275144e+00, 1.482316665733627858e-01, 3.038657667430094023e+00, 1.593518490504995500e+00, 9.192693808040264258e-02, 7.017219139339726519e-01
2.049000000000000000e+03, 2.693056672553157949e+00, 1.419769076285903875e-01, 1.497272175310897957e+00, 2.386931527098043571e+00, 1.467350308058900932e-01, 3.036166034313615203e+00, 1.595146177977546653e+00, 9.214203816816611547e-02, 7.019565452362601654e-01
2.050000000000000000e+03, 2.712270002314801420e+00, 1.407530453626913980e-01, 1.518964369893051058e+00, 2.395878365385502029e+00, 1.440605404603406969e-01, 3.030600325551485952e+00, 1.600348971495036299e+00, 9.247719379184264621e-02, 7.033108149844599088e-01
2.051000000000000000e+03, 2.722857791533972449e+00, 1.347089540030636523e-01, 1.547883545994089394e+00, 2.391283711477678153e+00, 1.476538245372007729e-01, 3.060471193257739753e+00, 1.609557476075191174e+00, 9.307565485320759557e-02, 7.129077623584689771e-01
2.052000000000000000e+03, 2.728505897066562991e+00, 1.297800739844531537e-01, 1.530840884974888239e+00, 2.392865968202219751e+00, 1.516309544534680254e-01, 3.090158301052928547e+00, 1.618381854072413528e+00, 9.402764884922706901e-02, 7.235327630904366814e-01
2.053000000000000000e+03, 2.727634272374086066e+00, 1.262230389831878186e-01, 1.490339058527463623e+00, 2.388756473165364103e+00, 1.547612966371966770e-01, 3.108764616561427552e+00, 1.625654793765462847e+00, 9.501895298094277520e-02, 7.335049105679066761e-01
2.054000000000000000e+03, 2.732121836659556102e+00, 1.242755155151564900e-01, 1.506822015319706720e+00, 2.390756748930535913e+00, 1.571492937048445393e-01, 3.121948597079989174e+00, 1.631956982407304579e+00, 9.602309615906477747e-02, 7.429556188475258116e-01
2.055000000000000000e+03, 2.743914672727126192e+00, 1.249798452743233340e-01, 1.535779266562245171e+00, 2.393367265320220927e+00, 1.580598629701234215e-01, 3.135267192575020623e+00, 1.635242056432425706e+00, 9.759952945061597940e-02, 7.522809659831187767e-01
2.056000000000000000e+03, 2.750226826848373385e+00, 1.212832190392949400e-01, 1.561997250693548223e+00, 2.410050155309631847e+00, 1.665849691456180171e-01, 3.138361756939620051e+00, 1.635857464202556288e+00, 9.676648434818312106e-02, 7.575797570573410411e-01
2.057000000000000000e+03, 2.750876500700864202e+00, 1.178122000525071988e-01, 1.559102529432822681e+00, 2.419811996155481815e+00, 1.732751537583724633e-01, 3.138890642453566304e+00, 1.636054711374192561e+00, 9.617670453219902271e-02, 7.622539293782721881e-01
2.058000000000000000e+03, 2.756073790095209031e+00, 1.152868986218772845e-01, 1.555921405364870669e+00, 2.423036180395375716e+00, 1.781907787472442606e-01, 3.140830668829912131e+00, 1.635729524013106229e+00, 9.584968755921859096e-02, 7.667052600300765519e-01
