year, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM
2.015000000000000000e+03, -1.345914275526119208e-09, 5.289442582853089657e-10, 1.167788741947894205e-10, 1.566684156991065934e-10
2.016000000000000000e+03, -1.421341579532484530e-09, 5.251948656686786240e-10, 2.527620971202672307e-10, 1.600718886630326692e-10
2.017000000000000000e+03, -1.490638218647380267e-09, 5.285719450504071926e-10, 2.530535417836203153e-10, 1.621415828028626308e-10
2.018000000000000000e+03, -1.608905123893660279e-09, 5.275741251788770224e-10, 2.543491759992767293e-10, 1.593448618567657068e-10
2.019000000000000000e+03, -1.499594510191883174e-09, 5.619139744842300391e-10, 2.645616838523054847e-10, 1.584068665227950648e-10
2.020000000000000000e+03, -1.466599012961603982e-09, 5.059246433009038738e-10, 2.736912490164404773e-10, 1.580596911250529880e-10
2.021000000000000000e+03, -1.514207784070111517e-09, 5.241369710410257820e-10, 2.127935315396376120e-10, 1.501864684592725224e-10
2.022000000000000000e+03, -1.500110244194961212e-09, 4.613317254032834085e-10, 1.994562584973618857e-10, 1.498498062542068284e-10
2.023000000000000000e+03, -1.531288628804204846e-09, 4.778806736107515220e-10, 2.064576658602317188e-10, 1.489735962903903475e-10
2.024000000000000000e+03, -1.496979693282606910e-09, 5.213273023856967980e-10, 1.920914219819927556e-10, 1.495436561432569791e-10
2.025000000000000000e+03, -1.509537372006413233e-09, 5.102329811084430557e-10, 1.994203558827126586e-10, 1.508551769035009911e-10
2.026000000000000000e+03, -1.622633059142511896e-09, 5.432290967878045820e-10, 2.019237991244661396e-10, 1.539561127626275752e-10
2.027000000000000000e+03, -1.597642154405945417e-09, 5.815293128798746777e-10, 2.013071093814622033e-10, 1.548489333740667490e-10
2.028000000000000000e+03, -1.718783940239268722e-09, 5.813105769518218966e-10, 2.025011940050072632e-10, 1.569490173527461634e-10
2.029000000000000000e+03, -1.704037113781301064e-09, 5.514469351186686628e-10, 2.006738675876751770e-10, 1.568956582182884497e-10
2.030000000000000000e+03, -1.709106519934309774e-09, 5.172802684506871554e-10, 1.991524582188572711e-10, 1.576549867759262939e-10
2.031000000000000000e+03, -1.665248744333593423e-09, 5.901542570891703745e-10, 1.816563938675313372e-10, 1.509316920122665555e-10
2.032000000000000000e+03, -1.664985135206648532e-09, 5.973078036109584261e-10, 1.823179575664298900e-10, 1.526312376963517144e-10
2.033000000000000000e+03, -1.635603837154207692e-09, 5.228768151433986204e-10, 1.827576982298517011e-10, 1.526658243836326107e-10
2.034000000000000000e+03, -1.713789478895971645e-09, 5.563405214231831701e-10, 1.838075967637663794e-10, 1.522035576330515398e-10
2.035000000000000000e+03, -1.748435345708771835e-09, 5.825666676758744987e-10, 1.844526587777137545e-10, 1.521816414807433572e-10
2.036000000000000000e+03, -1.742788355383844219e-09, 5.297456138313421326e-10, 1.556434009014149444e-10, 1.579893298029878115e-10
2.037000000000000000e+03, -1.801460055258812859e-09, 5.523321902936633134e-10, 1.538069478068771140e-10, 1.579096690894905349e-10
2.038000000000000000e+03, -1.802145893741432126e-09, 6.191093512610751474e-10, 1.523043053737635022e-10, 1.581696233804957442e-10
2.039000000000000000e+03, -1.814505579415210532e-09, 5.777403752736745959e-10, 1.503797723535564837e-10, 1.590765973916658341e-10
2.040000000000000000e+03, -1.753528959710067573e-09, 5.903579084667790778e-10, 1.482019041709308538e-10, 1.584806464570280448e-10
2.041000000000000000e+03, -1.639113378995888867e-09, 5.461124521211657605e-10, 1.599773421175973759e-10, 1.582663701690444894e-10
2.042000000000000000e+03, -1.705033794737872983e-09, 6.061805750575000611e-10, 1.600841477886935798e-10, 1.592155071852871824e-10
2.043000000000000000e+03, -1.756996604185397605e-09, 6.403961647733547444e-10, 1.599960421234715113e-10, 1.588573647582776419e-10
2.044000000000000000e+03, -1.811757847891089064e-09, 6.563407661874284460e-10, 1.601017710409811283e-10, 1.594441074156530297e-10
2.045000000000000000e+03, -1.745821374304622449e-09, 6.076314089470859077e-10, 1.610612970782681945e-10, 1.596572632576058834e-10
2.046000000000000000e+03, -1.910583854615606007e-09, 5.725070554788190118e-10, 1.526572556404541968e-10, 1.610321437617593517e-10
2.047000000000000000e+03, -1.905737538234094998e-09, 6.142596830627103828e-10, 1.536986011614735752e-10, 1.612386124054250809e-10
2.048000000000000000e+03, -1.809926355941540990e-09, 5.983932777330659017e-10, 1.550793678630972589e-10, 1.597101961380827010e-10
2.049000000000000000e+03, -1.905994666506448872e-09, 6.288998449895217949e-10, 1.561828491222565519e-10, 1.597194429206813800e-10
2.050000000000000000e+03, -1.917720920822287255e-09, 6.410619193785262076e-10, 1.578893731574687223e-10, 1.599786629966910806e-10
2.051000000000000000e+03, -1.991121957249692799e-09, 6.320415866211918510e-10, 1.784130485424244196e-10, 1.591458752942166582e-10
2.052000000000000000e+03, -2.007467701977330987e-09, 6.451461362798500730e-10, 1.822922017425260912e-10, 1.604804036777603913e-10
2.053000000000000000e+03, -2.065706676191753094e-09, 6.451073078969840438e-10, 1.875783695749065220e-10, 1.605868045925553310e-10
2.054000000000000000e+03, -1.974422904397856673e-09, 6.111694545420850364e-10, 1.885722797087386419e-10, 1.600136303133563210e-10
2.055000000000000000e+03, -2.047750899827417413e-09, 6.226296644594319961e-10, 1.905801846149084176e-10, 1.592257007725049062e-10
2.056000000000000000e+03, -1.974173303409772731e-09, 6.238929687346742236e-10, 1.924786565505382931e-10, 1.682497390216281091e-10
2.057000000000000000e+03, -2.070110146014374195e-09, 6.597843158428905930e-10, 1.945949579101967001e-10, 1.692232290386095416e-10
2.058000000000000000e+03, -2.098802198377530836e-09, 7.186553786829839910e-10, 1.961161232360077424e-10, 1.695793375119781371e-10
2.059000000000000000e+03, -1.903056984286359390e-09, 6.594558023352470061e-10, 1.983221620138530400e-10, 1.693826506592480644e-10
2.060000000000000000e+03, -1.941696358085529704e-09, 5.726073581888691030e-10, 2.005151270132242212e-10, 1.698718641516962331e-10
2.061000000000000000e+03, -2.053540779587488838e-09, 5.934440136291041284e-10, 1.747907785557926522e-10, 1.997490187084735484e-10
2.062000000000000000e+03, -2.060169648452185245e-09, 6.449299408727101912e-10, 1.748624697892942425e-10, 2.015998436463824798e-10
2.063000000000000000e+03, -2.034187669000997167e-09, 6.847904054194714724e-10, 1.744508741258944623e-10, 2.030561518570963772e-10
2.064000000000000000e+03, -2.219187764937277724e-09, 7.515106473703980269e-10, 1.783808375830910333e-10, 2.038253349805062585e-10
2.065000000000000000e+03, -1.997252804911443170e-09, 6.757686243402394098e-10, 1.790682624604303392e-10, 2.051649074624712662e-10
2.066000000000000000e+03, -2.148802332414768202e-09, 6.942466214023361404e-10, 1.599357656024321476e-10, 1.801402710015527916e-10
2.067000000000000000e+03, -1.939999916253736618e-09, 7.334628061533040687e-10, 1.590123854869381971e-10, 1.786804691836881242e-10
2.068000000000000000e+03, -1.989191499336373153e-09, 6.908682507029098303e-10, 1.577171547856377388e-10, 1.784068432188439444e-10
2.069000000000000000e+03, -2.048755439116283888e-09, 6.746544964952485961e-10, 1.566330360349814690e-10, 1.772539892453991851e-10
2.070000000000000000e+03, -2.064706046511372363e-09, 7.240890875107201029e-10, 1.558698594560689548e-10, 1.770905130714913444e-10
2.071000000000000000e+03, -2.151188533490369823e-09, 7.068537393612569288e-10, 1.401565306092986647e-10, 1.864622201451012930e-10
2.072000000000000000e+03, -2.196782552096916836e-09, 7.078378945648458593e-10, 1.401851001260353367e-10, 1.878571499521808511e-10
2.073000000000000000e+03, -2.017044426975283376e-09, 7.449369919386991283e-10, 1.391448612029005334e-10, 1.881667119252399558e-10
2.074000000000000000e+03, -2.016470352597432607e-09, 7.091960394806345215e-10, 1.380211317916435818e-10, 1.892311356870792403e-10
2.075000000000000000e+03, -2.169141241856232544e-09, 6.505430903220741680e-10, 1.377110077203423798e-10, 1.905885837519699915e-10
2.076000000000000000e+03, -2.207295536333776710e-09, 7.013683874905103063e-10, 1.242139584119286559e-10, 2.347157036895329500e-10
2.077000000000000000e+03, -2.140682804129195205e-09, 6.688940242996293744e-10, 1.259699005131533056e-10, 2.373584649616183357e-10
2.078000000000000000e+03, -2.184633063151619465e-09, 7.507835324804927399e-10, 1.265817832295497730e-10, 2.394977102633970898e-10
2.079000000000000000e+03, -2.130601521290613734e-09, 7.313841973265041868e-10, 1.258244271094187417e-10, 2.399285971671894902e-10
2.080000000000000000e+03, -1.969797123050260307e-09, 7.075081137148126348e-10, 1.252600695091255021e-10, 2.411338328202704626e-10
2.081000000000000000e+03, -2.079163051651030401e-09, 6.985329168477064471e-10, 1.160729999170376550e-10, 2.240367218272060451e-10
2.082000000000000000e+03, -2.145746234553421150e-09, 7.384604436707994090e-10, 1.193486011807555530e-10, 2.250653209749079009e-10
2.083000000000000000e+03, -2.284786714571098863e-09, 6.838828947301821551e-10, 1.206490000715790235e-10, 2.228987547452454441e-10
2.084000000000000000e+03, -2.279147430453520239e-09, 7.958532133611397758e-10, 1.217484116215421810e-10, 2.238619056716831919e-10
2.085000000000000000e+03, -2.257176960345449606e-09, 8.189044047664665573e-10, 1.217516746902149254e-10, 2.235137164902505736e-10
2.086000000000000000e+03, -2.152246084803026500e-09, 6.953408231671107139e-10, 1.130331843409274646e-10, 1.955532996237826747e-10
2.087000000000000000e+03, -2.141621064263033341e-09, 6.894708723749094126e-10, 1.130970833121190188e-10, 1.933213230707848748e-10
2.088000000000000000e+03, -2.119775259616820031e-09, 6.963825579827968858e-10, 1.133715021504200088e-10, 1.915693850575807575e-10
2.089000000000000000e+03, -2.207159357432961704e-09, 7.290620412729845910e-10, 1.156697333919963758e-10, 1.896876155304520239e-10
2.090000000000000000e+03, -2.322036597032108355e-09, 7.286265702570888905e-10, 1.172354647868643651e-10, 1.872649501392966554e-10
2.091000000000000000e+03, -2.152671802175272350e-09, 7.622605888926799431e-10, 1.213912583063631124e-10, 1.516639257260191705e-10
2.092000000000000000e+03, -2.189943267531630886e-09, 7.539362705626596409e-10, 1.255828726008029645e-10, 1.485648256146774369e-10
2.093000000000000000e+03, -2.272493239076711584e-09, 6.798655629319290890e-10, 1.272887352697195908e-10, 1.450356477532970714e-10
2.094000000000000000e+03, -2.285286456151281662e-09, 7.889887210513733048e-10, 1.275308509655127252e-10, 1.421364888969236496e-10
2.095000000000000000e+03, -2.164140500602232245e-09, 7.180410226301107428e-10, 1.297197537146692620e-10, 1.403596865761151216e-10
2.096000000000000000e+03, -2.198785444445424502e-09, 7.540631408230751163e-10, 1.498875169565070697e-10, 1.364807745321639823e-10
2.097000000000000000e+03, -2.162642632595665279e-09, 7.109967502460157393e-10, 1.588528837540988077e-10, 1.340648732355429774e-10
2.098000000000000000e+03, -2.319772884082714679e-09, 7.876776379529789772e-10, 1.616299385644320078e-10, 1.317454798550869900e-10
2.099000000000000000e+03, -2.324288490731487126e-09, 7.740032991520800384e-10, 1.642134085196435175e-10, 1.303639162236583817e-10
2.100000000000000000e+03, -2.260966566778955513e-09, 8.447247305795615454e-10, 1.666634062558878680e-10, 1.267276746134353583e-10
