year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, NorESM2-LM, GFDL-ESM4
2.015000000000000000e+03, 5.977706679805335373e-10, 1.817704026882046752e-10, 1.624206434591078673e-10, 9.626242051963215964e-11, 8.538515414192211133e-10
2.016000000000000000e+03, 5.507498985526321978e-10, 2.156015692046333473e-10, 1.069809405472387195e-10, 6.442379472338415556e-11, 5.575661811848162978e-10
2.017000000000000000e+03, 5.834385760723330242e-10, 2.522305948922431610e-10, 1.081613293467229668e-10, 7.563586881041486612e-11, 8.073574826912804455e-10
2.018000000000000000e+03, 5.899869638442702491e-10, 2.406400186853577626e-10, 1.299575298134410114e-10, 9.346989488097743295e-11, 6.530153940668325757e-10
2.019000000000000000e+03, 6.615356850782177668e-10, 1.819507518481478087e-10, 2.008703345145695677e-10, 1.184145693142510868e-10, 5.190200334726840838e-10
2.020000000000000000e+03, 5.306167388946502612e-10, 2.014627615612511502e-10, 1.016660679341398421e-10, 1.546153109223870318e-10, 7.385749363974672845e-10
2.021000000000000000e+03, 8.285379999611297473e-10, 2.941977432284320510e-10, 1.173944045314175096e-10, 1.097665015392275147e-10, 5.703046399219253955e-10
2.022000000000000000e+03, 5.236807862443369741e-10, 2.417617338053223513e-10, 1.861782184392184191e-10, 1.336166089496783385e-10, 5.190926472428297229e-10
2.023000000000000000e+03, 6.305387672442007195e-10, 2.107100678892244141e-10, 1.426557914192641531e-10, 1.281287847684950662e-10, 6.411017293042516062e-10
2.024000000000000000e+03, 6.998321347838349067e-10, 2.481633085133592184e-10, 1.266263301588325532e-10, 1.727805104520714920e-10, 6.571274718982730935e-10
2.025000000000000000e+03, 5.491765193381994343e-10, 2.291523347537781252e-10, 1.549697462272172903e-10, 1.333858795537052122e-10, 6.242786300934240911e-10
2.026000000000000000e+03, 5.452247256651863491e-10, 2.424208823952820141e-10, 9.532160220956489716e-11, 1.076781756727645358e-10, 6.283983121497120693e-10
2.027000000000000000e+03, 6.095548244340744751e-10, 2.360206198111222499e-10, 9.681342025402915295e-11, 6.652137128289574676e-11, 7.905691937998578380e-10
2.028000000000000000e+03, 7.196157101678056435e-10, 2.791124388067118778e-10, 1.851069420640607957e-10, 1.049673799778723501e-10, 5.966175225738722224e-10
