year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, CNRM-ESM2-1, TaiESM1, GFDL-ESM4, NorESM2-LM, NorESM2-MM, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM
2.015000000000000000e+03, 5.977706679805335373e-10, 1.817704026882046752e-10, 1.624206434591078673e-10, 5.977706679805335373e-10, 1.817704026882046752e-10, 8.567289264070724442e-10, 9.626242051963215964e-11, 1.624206434591078673e-10, 4.641617234264862288e-10, 8.538515414192211133e-10, 6.854440965778444390e-10, 1.163792936211605942e-10
2.016000000000000000e+03, 5.507498985526321978e-10, 2.156015692046333473e-10, 1.069809405472387195e-10, 5.507498985526321978e-10, 2.156015692046333473e-10, 5.604209328117456391e-10, 6.442379472338415556e-11, 1.069809405472387195e-10, 3.877988375228037528e-10, 5.575661811848162978e-10, 5.563050009468756878e-10, 9.993450549570074561e-11
2.017000000000000000e+03, 5.834385760723330242e-10, 2.522305948922431610e-10, 1.081613293467229668e-10, 5.834385760723330242e-10, 2.522305948922431610e-10, 8.104716714126319487e-10, 7.563586881041486612e-11, 1.081613293467229668e-10, 5.002405496647137030e-10, 8.073574826912804455e-10, 6.153322381897872298e-10, 1.360937260800249527e-10
2.018000000000000000e+03, 5.899869638442702491e-10, 2.406400186853577626e-10, 1.299575298134410114e-10, 5.899869638442702491e-10, 2.406400186853577626e-10, 6.562596044007058517e-10, 9.346989488097743295e-11, 1.299575298134410114e-10, 3.802284590959561668e-10, 6.530153940668325757e-10, 5.333743773491802615e-10, 1.509240646006529376e-10
2.019000000000000000e+03, 6.615356850782177668e-10, 1.819507518481478087e-10, 2.008703345145695677e-10, 6.615356850782177668e-10, 1.819507518481478087e-10, 5.222651747153163925e-10, 1.184145693142510868e-10, 2.008703345145695677e-10, 3.194349692922809298e-10, 5.190200334726840838e-10, 5.219354399072732736e-10, 1.380021466146835739e-10
2.020000000000000000e+03, 5.306167388946502612e-10, 2.014627615612511502e-10, 1.016660679341398421e-10, 5.306167388946502612e-10, 2.014627615612511502e-10, 7.418349457948877048e-10, 1.546153109223870318e-10, 1.016660679341398421e-10, 3.156806178770916856e-10, 7.385749363974672845e-10, 5.410835192238902651e-10, 1.711904542266865424e-10
2.021000000000000000e+03, 8.285379999611297473e-10, 2.941977432284320510e-10, 1.173944045314175096e-10, 8.285379999611297473e-10, 2.941977432284320510e-10, 5.737173358517368942e-10, 1.097665015392275147e-10, 1.173944045314175096e-10, 3.573262549429996675e-10, 5.703046399219253955e-10, 6.398296061323628511e-10, 8.824912113259553563e-11
2.022000000000000000e+03, 5.236807862443369741e-10, 2.417617338053223513e-10, 1.861782184392184191e-10, 5.236807862443369741e-10, 2.417617338053223513e-10, 5.225975134021734973e-10, 1.336166089496783385e-10, 1.861782184392184191e-10, 3.415380768958070753e-10, 5.190926472428297229e-10, 5.210834691112170485e-10, 1.406170181561141062e-10
2.023000000000000000e+03, 6.305387672442007195e-10, 2.107100678892244141e-10, 1.426557914192641531e-10, 6.305387672442007195e-10, 2.107100678892244141e-10, 6.447276179591263831e-10, 1.281287847684950662e-10, 1.426557914192641531e-10, 3.426795783808272864e-10, 6.411017293042516062e-10, 5.493651057379507240e-10, 1.206057512197943681e-10
2.024000000000000000e+03, 6.998321347838349067e-10, 2.481633085133592184e-10, 1.266263301588325532e-10, 6.998321347838349067e-10, 2.481633085133592184e-10, 6.609694090260335011e-10, 1.727805104520714920e-10, 1.266263301588325532e-10, 3.313367186017884184e-10, 6.571274718982730935e-10, 5.505989001170235181e-10, 1.226370407957353931e-10
2.025000000000000000e+03, 5.491765193381994343e-10, 2.291523347537781252e-10, 1.549697462272172903e-10, 5.491765193381994343e-10, 2.291523347537781252e-10, 6.280618833695201219e-10, 1.333858795537052122e-10, 1.549697462272172903e-10, 4.064753516691850181e-10, 6.242786300934240911e-10, 6.071534229028546521e-10, 1.579910203384097048e-10
2.026000000000000000e+03, 5.452247256651863491e-10, 2.424208823952820141e-10, 9.532160220956489716e-11, 5.452247256651863491e-10, 2.424208823952820141e-10, 6.321330243592916440e-10, 1.076781756727645358e-10, 9.532160220956489716e-11, 4.370778022200486179e-10, 6.283983121497120693e-10, 5.524167395785547825e-10, 1.660953473606309038e-10
2.027000000000000000e+03, 6.095548244340744751e-10, 2.360206198111222499e-10, 9.681342025402915295e-11, 6.095548244340744751e-10, 2.360206198111222499e-10, 7.943220494045250177e-10, 6.652137128289574676e-11, 9.681342025402915295e-11, 4.045401341646846995e-10, 7.905691937998578380e-10, 5.679329127277938776e-10, 1.253640252268056450e-10
2.028000000000000000e+03, 7.196157101678056435e-10, 2.791124388067118778e-10, 1.851069420640607957e-10, 7.196157101678056435e-10, 2.791124388067118778e-10, 6.003203860342877263e-10, 1.049673799778723501e-10, 1.851069420640607957e-10, 3.675226427495392183e-10, 5.966175225738722224e-10, 6.581738880670381119e-10, 1.408233422323750818e-10
2.029000000000000000e+03, 6.647759754853538212e-10, 1.751169675707802643e-10, 1.229962030361190489e-10, 6.647759754853538212e-10, 1.751169675707802643e-10, 4.988445252093933285e-10, 1.403309813484052809e-10, 1.229962030361190489e-10, 3.821650258917526585e-10, 4.951157355586787861e-10, 5.354147384826185776e-10, 1.312001009915397228e-10
2.030000000000000000e+03, 1.071947501125196038e-09, 1.906544054381869729e-10, 1.053904476777085882e-10, 1.071947501125196038e-09, 1.906544054381869729e-10, 5.360427546285452516e-10, 1.197769976096021170e-10, 1.053904476777085882e-10, 4.972464418089866934e-10, 5.321712429027040270e-10, 5.877342591583463628e-10, 1.813020473387164335e-10
2.031000000000000000e+03, 7.422842827449049617e-10, 2.838187224521913948e-10, 1.178055437781302472e-10, 7.422842827449049617e-10, 2.838187224521913948e-10, 4.625913136921013246e-10, 1.529380484582027173e-10, 1.178055437781302472e-10, 4.653008038425140757e-10, 4.587797444032782063e-10, 5.231142616942401394e-10, 1.295816284809566348e-10
2.032000000000000000e+03, 1.044565937079208042e-09, 2.216386168041081403e-10, 1.439612566509236890e-10, 1.044565937079208042e-09, 2.216386168041081403e-10, 6.210561437300658105e-10, 1.448258746839667120e-10, 1.439612566509236890e-10, 4.271196892058226365e-10, 6.173358824288695716e-10, 5.496748682348407304e-10, 1.343685352333867460e-10
2.033000000000000000e+03, 5.329094107018243182e-10, 2.550928615317335778e-10, 1.497197694313967294e-10, 5.329094107018243182e-10, 2.550928615317335778e-10, 6.956593936287852299e-10, 1.156516219617962775e-10, 1.497197694313967294e-10, 4.834689135129293452e-10, 6.917739753599173544e-10, 5.053609915683240659e-10, 1.854590782392119181e-10
2.034000000000000000e+03, 6.888800584893187670e-10, 2.318827143036830068e-10, 1.663701664958947985e-10, 6.888800584893187670e-10, 2.318827143036830068e-10, 7.658196509897786168e-10, 7.638507309661514780e-11, 1.663701664958947985e-10, 3.692165835037714924e-10, 7.618870401999196175e-10, 7.763935002906534033e-10, 2.335817514226962907e-10
2.035000000000000000e+03, 6.233548535918816958e-10, 1.843057107533789895e-10, 1.537370030095136488e-10, 6.233548535918816958e-10, 1.843057107533789895e-10, 7.393030335796094960e-10, 1.241235064017865179e-10, 1.537370030095136488e-10, 4.548882485794359242e-10, 7.355896549322330773e-10, 8.036721908584479488e-10, 1.409740396967443023e-10
2.036000000000000000e+03, 6.343886557649126518e-10, 2.133343705426548100e-10, 1.188992660775183270e-10, 6.343886557649126518e-10, 2.133343705426548100e-10, 5.398600853248321734e-10, 7.572880739261293747e-11, 1.188992660775183270e-10, 3.970592596156579045e-10, 5.361829370432905354e-10, 6.540678711265189954e-10, 1.406376132926508691e-10
2.037000000000000000e+03, 5.748836622443161081e-10, 2.724865257622413361e-10, 1.232116386635913605e-10, 5.748836622443161081e-10, 2.724865257622413361e-10, 6.404222446581723881e-10, 5.712367746498205736e-11, 1.232116386635913605e-10, 3.536638270029937369e-10, 6.367100464546093706e-10, 6.309664020554315674e-10, 2.082495029452367746e-10
2.038000000000000000e+03, 7.320710425656576446e-10, 2.975138297140092724e-10, 2.076378559873113043e-10, 7.320710425656576446e-10, 2.975138297140092724e-10, 7.750278307675884652e-10, 1.267224289153964867e-10, 2.076378559873113043e-10, 4.332742181950857771e-10, 7.713071185134622328e-10, 7.095059889749482590e-10, 1.426428940602183751e-10
2.039000000000000000e+03, 7.377182402773528628e-10, 2.367366371165321630e-10, 1.353680202788985365e-10, 7.377182402773528628e-10, 2.367366371165321630e-10, 7.909389851230903559e-10, 9.490937350528498812e-11, 1.353680202788985365e-10, 4.037855774243315907e-10, 7.874412180023328454e-10, 6.162712206866911602e-10, 1.516611967656822302e-10
2.040000000000000000e+03, 7.807592564026456057e-10, 2.013856447250137592e-10, 1.121355817935013610e-10, 7.807592564026456057e-10, 2.013856447250137592e-10, 8.129212833444365270e-10, 1.025644581114461027e-10, 1.121355817935013610e-10, 4.208076382029632507e-10, 8.092235171645375517e-10, 6.061111712896829661e-10, 1.313553491778943377e-10
2.041000000000000000e+03, 9.956571419687191514e-10, 2.287793330005232241e-10, 2.188699574572750170e-10, 9.956571419687191514e-10, 2.287793330005232241e-10, 7.893171971776131762e-10, 1.205214132443276164e-10, 2.188699574572750170e-10, 6.059781604592168474e-10, 7.854972380230899683e-10, 7.653672866132690820e-10, 1.626205561359621659e-10
2.042000000000000000e+03, 5.513273369519201317e-10, 3.156161643934540163e-10, 1.780785485316191658e-10, 5.513273369519201317e-10, 3.156161643934540163e-10, 6.698889060002048062e-10, 1.181279817070398933e-10, 1.780785485316191658e-10, 4.949930489031847750e-10, 6.659875602426080210e-10, 5.786640564755230350e-10, 1.777154541434190375e-10
2.043000000000000000e+03, 8.272459032458931694e-10, 1.991135091253290048e-10, 1.717771145348183829e-10, 8.272459032458931694e-10, 1.991135091253290048e-10, 9.264206080963564409e-10, 1.265626972857960455e-10, 1.717771145348183829e-10, 3.726658632149905618e-10, 9.224087743780153365e-10, 7.443119955292151449e-10, 2.070186867311573548e-10
2.044000000000000000e+03, 6.046581599985484338e-10, 2.124921758431358697e-10, 1.603126009868726783e-10, 6.046581599985484338e-10, 2.124921758431358697e-10, 8.339026249556930985e-10, 1.736368995452155319e-10, 1.603126009868726783e-10, 4.551134591562651767e-10, 8.300277992056079983e-10, 5.461232702221519269e-10, 2.732959034693612490e-10
2.045000000000000000e+03, 7.672297416211034220e-10, 2.210904868418824218e-10, 1.927626571659463548e-10, 7.672297416211034220e-10, 2.210904868418824218e-10, 7.190253678042393448e-10, 9.989065088873827320e-11, 1.927626571659463548e-10, 4.710257339761713633e-10, 7.149866185467142502e-10, 6.057419036696361422e-10, 1.664139662845165771e-10
2.046000000000000000e+03, 6.822534671976276276e-10, 2.358774733155311457e-10, 1.322234288000967529e-10, 6.822534671976276276e-10, 2.358774733155311457e-10, 7.692120840312431417e-10, 9.550663248029121301e-11, 1.322234288000967529e-10, 4.082233551202466945e-10, 7.652592475563339054e-10, 6.157579678967789407e-10, 2.104813894767041097e-10
2.047000000000000000e+03, 6.400388778787338545e-10, 2.013883721119916786e-10, 1.441009932153086996e-10, 6.400388778787338545e-10, 2.013883721119916786e-10, 7.042826330445644957e-10, 9.872808397048120378e-11, 1.441009932153086996e-10, 5.946063922833723422e-10, 7.003829087244310942e-10, 6.529336433575345028e-10, 2.395372430267550784e-10
2.048000000000000000e+03, 9.066082880274273232e-10, 2.161262719312951547e-10, 1.521527912132445266e-10, 9.066082880274273232e-10, 2.161262719312951547e-10, 1.082939898694867765e-09, 6.000036464107973766e-11, 1.521527912132445266e-10, 5.085755165875586283e-10, 1.079093575228836565e-09, 7.275337077035513563e-10, 2.180892210314584309e-10
2.049000000000000000e+03, 6.126174982575197715e-10, 2.632775242585341500e-10, 1.777244971515761808e-10, 6.126174982575197715e-10, 2.632775242585341500e-10, 7.791159417367366291e-10, 7.738176995904875262e-11, 1.777244971515761808e-10, 5.231419519750180129e-10, 7.753568854899531163e-10, 5.346565231065841166e-10, 2.632117433162516657e-10
2.050000000000000000e+03, 6.437617544000147987e-10, 2.556757633419923502e-10, 1.159862158404433656e-10, 6.437617544000147987e-10, 2.556757633419923502e-10, 8.312160432034504711e-10, 1.207427546847521195e-10, 1.159862158404433656e-10, 5.681064068870160370e-10, 8.272448734035549961e-10, 7.819635472166809106e-10, 2.137779119008012897e-10
2.051000000000000000e+03, 6.864872546813140362e-10, 2.022434423387421972e-10, 1.477943190437383701e-10, 6.864872546813140362e-10, 2.022434423387421972e-10, 8.596595253081494494e-10, 1.501393347834357100e-10, 1.477943190437383701e-10, 3.828984387951786300e-10, 8.557016491472330997e-10, 7.571606448464665703e-10, 1.494209966996053150e-10
2.052000000000000000e+03, 7.222011144010601821e-10, 2.609334469242100192e-10, 2.020858601440086402e-10, 7.222011144010601821e-10, 2.609334469242100192e-10, 1.167583512700148651e-09, 1.471837419070920343e-10, 2.020858601440086402e-10, 4.134732203517599439e-10, 1.163687041451344827e-09, 5.993785590300982114e-10, 2.273765824456344290e-10
2.053000000000000000e+03, 8.479714399551288876e-10, 2.089516438218577164e-10, 2.187286506590768970e-10, 8.479714399551288876e-10, 2.089516438218577164e-10, 6.584758228481303727e-10, 7.712226402441376007e-11, 2.187286506590768970e-10, 5.228323831164026441e-10, 6.545386194148070954e-10, 6.905115385501775464e-10, 4.359607030194420125e-10
2.054000000000000000e+03, 8.647592379470566740e-10, 2.451936642561207641e-10, 1.395603284512378706e-10, 8.647592379470566740e-10, 2.451936642561207641e-10, 9.780162986216773815e-10, 6.794710907805391319e-11, 1.395603284512378706e-10, 6.118125855094996408e-10, 9.741148732314474867e-10, 6.174299147514857246e-10, 3.122095018711595211e-10
2.055000000000000000e+03, 9.545859182774930832e-10, 2.511452090308660638e-10, 1.032435610978956923e-10, 9.545859182774930832e-10, 2.511452090308660638e-10, 1.031804399260427793e-09, 9.148931914971481826e-11, 1.032435610978956923e-10, 5.145184642292109620e-10, 1.027954168791081240e-09, 6.845888879929459483e-10, 2.224216578762764827e-10
2.056000000000000000e+03, 6.571030176655802440e-10, 3.140340007890234258e-10, 2.160837737333387997e-10, 6.571030176655802440e-10, 3.140340007890234258e-10, 9.053741085575469944e-10, 1.228521086566296669e-10, 2.160837737333387997e-10, 4.262878339072163000e-10, 9.015837368157799324e-10, 4.951181837995032881e-10, 2.496950974458007012e-10
2.057000000000000000e+03, 7.442842510434366941e-10, 2.446835207524374430e-10, 2.600168874645473368e-10, 7.442842510434366941e-10, 2.446835207524374430e-10, 8.286723675940569945e-10, 1.931199504433028516e-10, 2.600168874645473368e-10, 4.567071526041285456e-10, 8.246526445604668657e-10, 7.173200322989668323e-10, 2.372812224835559063e-10
