year, EC-Earth3-Veg, UKESM1-0-LL, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM
2.015000000000000000e+03, 1.136630867753621248e-09, 5.289442582853089657e-10, 5.634048058908038708e-10, 1.161425132368578340e-09, 1.222162679804845700e-10, 8.594618731369555568e-11, 6.039941132790100264e-10, 3.984522930963497426e-10, 0.000000000000000000e+00
2.016000000000000000e+03, 1.209044732846388843e-09, 5.251948656686786240e-10, 5.170199490443985880e-10, 1.187308127253270935e-09, 1.216270437305975599e-10, 8.041156068171236419e-11, 6.016575082543814603e-10, 4.191452990063565747e-10, 1.296288632077654800e-10
2.017000000000000000e+03, 1.224755558695897330e-09, 5.285719450504071926e-10, 5.453908285724111581e-10, 1.251337818002836880e-09, 1.213927550754034333e-10, 8.167209867594220210e-11, 6.167770643707855965e-10, 4.078270403404017528e-10, 1.337542893551211652e-10
2.018000000000000000e+03, 1.174334580956568565e-09, 5.275741251788770224e-10, 5.558997026900793650e-10, 1.366435660718094919e-09, 1.237319082098006219e-10, 8.509681867274265171e-11, 6.148979564852685568e-10, 4.200761825861270422e-10, 1.340514078494088262e-10
2.019000000000000000e+03, 1.283748673798578507e-09, 5.619139744842300391e-10, 6.736230648833802528e-10, 1.254017404402570145e-09, 1.273122389328322664e-10, 8.530716020959738517e-11, 6.213814461287668425e-10, 4.085511623530131680e-10, 1.344296010858154298e-10
2.020000000000000000e+03, 1.247823729307347502e-09, 5.059246433009038738e-10, 5.992137566416342443e-10, 1.216331277586642651e-09, 1.291480802972137404e-10, 8.552897195588865712e-11, 6.299928374399702495e-10, 3.545723219271890093e-10, 1.360477825256978205e-10
2.021000000000000000e+03, 1.278545138472848768e-09, 5.241369710410257820e-10, 6.425602778527434666e-10, 1.275610823577634148e-09, 1.307052603134754064e-10, 8.564898562276987063e-11, 6.297765391240482643e-10, 3.433981440884547004e-10, 1.376649172375011130e-10
2.022000000000000000e+03, 1.275220150085252246e-09, 4.613317254032834085e-10, 6.844178189182961281e-10, 1.258245180270185423e-09, 1.316423229302411195e-10, 8.553875528135476560e-11, 6.369363765761010027e-10, 3.723272993653577344e-10, 1.387651258851027455e-10
2.023000000000000000e+03, 1.273124056712768049e-09, 4.778806736107515220e-10, 6.980871328355318687e-10, 1.288963431557670471e-09, 1.331654132769610061e-10, 8.592391481943218864e-11, 6.487519429966214318e-10, 4.191155510252056601e-10, 1.402118169713104636e-10
2.024000000000000000e+03, 1.260900070144265428e-09, 5.213273023856967980e-10, 6.881203496116860644e-10, 1.251746064153372879e-09, 1.340273128485469211e-10, 8.641856039334844026e-11, 6.534371316626820467e-10, 3.965742441563934367e-10, 1.411075420823076059e-10
2.025000000000000000e+03, 1.267995307584427222e-09, 5.102329811084430557e-10, 6.821287304643468628e-10, 1.264976726257794399e-09, 1.346585434934825336e-10, 8.572487637885227429e-11, 6.737620739248319814e-10, 3.880951139692432468e-10, 1.420113107309103887e-10
2.026000000000000000e+03, 1.228441610433680544e-09, 5.432290967878045820e-10, 6.793240973323846603e-10, 1.383115726176190404e-09, 1.358073037579972113e-10, 8.567159976379297262e-11, 6.683402218075350544e-10, 3.952171874974681955e-10, 1.433318453456018079e-10
2.027000000000000000e+03, 1.236024225353849400e-09, 5.815293128798746777e-10, 7.756208717505561305e-10, 1.357331283732045798e-09, 1.366822087064824193e-10, 8.610626383283566673e-11, 6.576566805275371013e-10, 4.717257900415864491e-10, 1.442470630409305095e-10
2.028000000000000000e+03, 1.329425392821295281e-09, 5.813105769518218966e-10, 7.222092624604462948e-10, 1.478095175460881469e-09, 1.377135769129024557e-10, 8.654762479845898824e-11, 6.526538541796819092e-10, 4.946401716255809154e-10, 1.450831407827431337e-10
2.029000000000000000e+03, 1.307559611810946413e-09, 5.514469351186686628e-10, 6.849986870395459908e-10, 1.462945493114446023e-09, 1.385132737240637257e-10, 8.668604846529945354e-11, 6.689729831877178747e-10, 4.846770201906944822e-10, 1.458554560164799855e-10
2.030000000000000000e+03, 1.317567820038384943e-09, 5.172802684506871554e-10, 7.706664867317731745e-10, 1.468640322261367437e-09, 1.393099955586376273e-10, 8.703466611430771491e-11, 6.693451829495767619e-10, 4.407613490357954737e-10, 1.462804628630505046e-10
2.031000000000000000e+03, 1.266784684895553070e-09, 5.901542570891703745e-10, 7.972705757821925912e-10, 1.435415737829015512e-09, 1.389026447278307484e-10, 8.756149846906190866e-11, 6.651737629604755749e-10, 4.770868003557827551e-10, 1.446049400068352830e-10
2.032000000000000000e+03, 1.346754388932339827e-09, 5.973078036109584261e-10, 8.352805555860423943e-10, 1.434651363385204462e-09, 1.391690516291754142e-10, 8.784368372425551492e-11, 6.710484968163882156e-10, 4.876793905379790252e-10, 1.453003171195690356e-10
2.033000000000000000e+03, 1.379022923230677795e-09, 5.228768151433986204e-10, 7.427106762982819130e-10, 1.404877776499077221e-09, 1.401349545436475152e-10, 8.804149960033738649e-11, 6.861402621639095392e-10, 4.150410870642035971e-10, 1.464149368019532787e-10
2.034000000000000000e+03, 1.317878078983746507e-09, 5.563405214231831701e-10, 8.462404346572205313e-10, 1.482752427109248131e-09, 1.406656616830662465e-10, 8.823389351809801768e-11, 6.923782613894536821e-10, 3.985186967691112483e-10, 1.469161928129644222e-10
2.035000000000000000e+03, 1.409987317172526124e-09, 5.825666676758744987e-10, 7.977959940664698316e-10, 1.517235079786183353e-09, 1.409899219294559333e-10, 8.871043841945547308e-11, 6.762447527699439396e-10, 4.083694032090069877e-10, 1.473760648782547909e-10
2.036000000000000000e+03, 1.380735644694287144e-09, 5.297456138313421326e-10, 8.708250794925070999e-10, 1.518898432798731723e-09, 1.409746315197184804e-10, 8.969116750781471893e-11, 6.681445041242995984e-10, 4.373137353222183373e-10, 1.475482794481526964e-10
2.037000000000000000e+03, 1.437991623569158916e-09, 5.523321902936633134e-10, 8.348553203658106862e-10, 1.577187074828024713e-09, 1.415321349793075337e-10, 9.033241968367326169e-11, 6.741837269505885516e-10, 4.279827141717193424e-10, 1.482294067287889984e-10
2.038000000000000000e+03, 1.358794197990860714e-09, 6.191093512610751474e-10, 9.333447006229361265e-10, 1.577609979058594645e-09, 1.418203579145770785e-10, 9.039462567887894033e-11, 6.779527466886369500e-10, 5.155358667432853593e-10, 1.488861493387681839e-10
2.039000000000000000e+03, 1.485483142994632512e-09, 5.777403752736745959e-10, 8.039393828077006482e-10, 1.589627077432529854e-09, 1.424945093407998881e-10, 9.063165953165912916e-11, 6.835837927963798684e-10, 5.156366141694307452e-10, 1.493668521108029520e-10
2.040000000000000000e+03, 1.386255091102918762e-09, 5.903579084667790778e-10, 7.916220395409494924e-10, 1.527854598743930862e-09, 1.429160244230397218e-10, 9.091569052971061973e-11, 6.932344566962615288e-10, 5.013972823019506147e-10, 1.504712249098690833e-10
2.041000000000000000e+03, 1.412428602623141738e-09, 5.461124521211657605e-10, 8.096766385527180273e-10, 1.402469099671736620e-09, 1.441516520255825104e-10, 9.086428211724512304e-11, 6.890494510299354477e-10, 5.362677916312179820e-10, 1.516359853867200759e-10
2.042000000000000000e+03, 1.394506692585448456e-09, 6.061805750575000611e-10, 8.215751031113415011e-10, 1.467739880548523961e-09, 1.438658470581716349e-10, 9.082365628167629208e-11, 6.937468362481893561e-10, 5.815748415933577311e-10, 1.517413557309138994e-10
2.043000000000000000e+03, 1.475346175843824829e-09, 6.403961647733547444e-10, 9.276882788775722795e-10, 1.519300469452574498e-09, 1.436055988981596246e-10, 9.041037231512281274e-11, 6.936909278913754984e-10, 5.545855476458015556e-10, 1.520172968912898228e-10
2.044000000000000000e+03, 1.501364973641658393e-09, 6.563407661874284460e-10, 8.252855985043185836e-10, 1.573741480884910129e-09, 1.438911091410124976e-10, 8.967813673686815835e-11, 7.035382151366192614e-10, 4.739598700273147705e-10, 1.520308529508156456e-10
2.045000000000000000e+03, 1.457601213546731083e-09, 6.076314089470859077e-10, 7.940662845427825583e-10, 1.506744090993633682e-09, 1.435240537240277452e-10, 8.993510472617939704e-11, 7.131196125995287442e-10, 4.913064821739751654e-10, 1.540644647043478078e-10
2.046000000000000000e+03, 1.481168781961702568e-09, 5.725070554788190118e-10, 9.296045767912785236e-10, 1.682747616679397531e-09, 1.435809932668692822e-10, 9.018443034990299920e-11, 7.108935795070337901e-10, 4.959629988479768098e-10, 1.540198216748821814e-10
2.047000000000000000e+03, 1.431461193046464490e-09, 6.142596830627103828e-10, 8.637743177734143743e-10, 1.677332652528199843e-09, 1.436204342445067269e-10, 9.040201608888520310e-11, 7.063149511719145850e-10, 4.947718089127603548e-10, 1.539106200050632088e-10
2.048000000000000000e+03, 1.475226674002588365e-09, 5.983932777330659017e-10, 8.823551946077245249e-10, 1.579584735689343721e-09, 1.434415669641737779e-10, 9.090203187818400723e-11, 7.065213399739373272e-10, 4.885812585842385167e-10, 1.537042586300070551e-10
2.049000000000000000e+03, 1.545316807022391385e-09, 6.288998449895217949e-10, 9.135055916299652726e-10, 1.675434375465338748e-09, 1.434823895737208224e-10, 9.093752034304737553e-11, 7.155109379852158056e-10, 4.615481863633318445e-10, 1.550073571759210850e-10
