year, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR
2.015000000000000000e+03, 5.416544719521119632e-10, 2.974232444411110712e-12, 1.360868053689362818e-10, 8.873854651338331032e-11, 6.699337868324231104e-10, 1.121531722998469299e-09, 8.149691621528010667e-11, 1.195810405578334155e-09
2.016000000000000000e+03, 5.603827101322767864e-10, 2.203117307170308171e-12, 1.421687741493169462e-10, 3.215663829089546018e-10, 6.705202783614748199e-10, 1.143927205636091196e-09, 8.246254780232607974e-11, 1.270719019609267289e-09
2.017000000000000000e+03, 5.478856828014612243e-10, 1.923489280464767810e-12, 1.470853747542572337e-10, 2.217941867721579446e-10, 6.864230606641000698e-10, 1.131596916353920034e-09, 7.954977414390269639e-11, 1.338302043906663821e-09
2.018000000000000000e+03, 5.592150268219367723e-10, 1.840027421404638378e-12, 1.512196066077442666e-10, 1.864008289026897273e-10, 6.849772727339385115e-10, 1.112892082688917291e-09, 7.943333413295678796e-11, 1.454832173078942821e-09
2.019000000000000000e+03, 5.469301528060339752e-10, 1.800927103347483438e-12, 1.549988892051326812e-10, 1.744506699610798483e-10, 6.901726283013373975e-10, 1.104693809514566423e-09, 8.705439402281634507e-11, 1.344032257342908410e-09
2.020000000000000000e+03, 4.924721643769522430e-10, 1.781689561475247020e-12, 1.573960511742317623e-10, 1.711613807422168612e-10, 6.915149402815707363e-10, 1.085493443262493355e-09, 9.558268367854448842e-11, 1.309510341559783694e-09
2.021000000000000000e+03, 4.808120554137216944e-10, 1.665345294421902168e-12, 1.586306914118045177e-10, 1.687379248401641112e-10, 6.862947794381423341e-10, 1.079032555881428619e-09, 1.043319299959562946e-10, 1.356284969072294409e-09
2.022000000000000000e+03, 5.093587578644436636e-10, 1.523864455705888912e-12, 1.598505208473658217e-10, 1.617236341818416238e-10, 6.926498310058678059e-10, 1.077562972581158108e-09, 8.889691855182126228e-11, 1.341255844801276659e-09
2.023000000000000000e+03, 5.560809175774124314e-10, 1.770045072875925496e-12, 1.611089296265338110e-10, 1.593571733862379211e-10, 7.049719252960712988e-10, 1.076521859345004408e-09, 9.353130847387699161e-11, 1.371500782603241643e-09
2.024000000000000000e+03, 5.335549473124162700e-10, 4.539641755729198761e-12, 1.623842948543396626e-10, 1.586049450475629936e-10, 7.086988739772130890e-10, 1.066536506948234263e-09, 7.790251022789935968e-11, 1.336208049997905247e-09
2.025000000000000000e+03, 5.252425984534658410e-10, 6.963112453147546231e-12, 1.629910447271786439e-10, 1.586082293115300877e-10, 7.272613114907385648e-10, 1.051713876917454368e-09, 8.209216060271069449e-11, 1.348199928323652785e-09
2.026000000000000000e+03, 5.331610610536780852e-10, 5.478889656601892948e-12, 1.631457674171450044e-10, 1.539313918358074216e-10, 7.202108712709579301e-10, 1.048399951352224824e-09, 7.977296058997006928e-11, 1.460473630302408198e-09
2.027000000000000000e+03, 6.103023049948534708e-10, 4.869823846758221164e-12, 1.634567661445255695e-10, 1.516380754651987376e-10, 7.085645923734584449e-10, 1.047231023466033701e-09, 7.755303674932066161e-11, 1.434417564056746203e-09
2.028000000000000000e+03, 6.337350937663464464e-10, 5.325546692786567202e-12, 1.638207906259382582e-10, 1.506387999968248041e-10, 7.017806255544148307e-10, 1.052001847689748094e-09, 7.534700390475279499e-11, 1.554639552907924266e-09
2.029000000000000000e+03, 6.242757131651248848e-10, 8.110965288185141652e-12, 1.642547134938261551e-10, 1.502702316635535851e-10, 7.188100458859143819e-10, 1.051151624510229394e-09, 7.319299072413907455e-11, 1.539121302067830718e-09
2.030000000000000000e+03, 5.808393749528012184e-10, 1.252360055526504497e-11, 1.639348544445290522e-10, 1.501897197519046175e-10, 7.200306716344009752e-10, 1.037711706706486604e-09, 7.102992920873638152e-11, 1.544348686973202523e-09
2.031000000000000000e+03, 6.172966814278733054e-10, 1.690177150219462592e-11, 1.630254434478672405e-10, 1.383622061190507496e-10, 7.158756558537947285e-10, 1.044316680735126851e-09, 7.233526558663933966e-11, 1.499830524978044705e-09
2.032000000000000000e+03, 6.281473857498853209e-10, 2.237753988426367355e-11, 1.624055123881408332e-10, 1.328483005244216125e-10, 7.216818753183536024e-10, 1.044542478343956577e-09, 7.251312885933813742e-11, 1.498747555780905219e-09
2.033000000000000000e+03, 5.558727601386598264e-10, 2.568571392626131539e-11, 1.619984163370060474e-10, 1.300950866330991112e-10, 7.360248908583724307e-10, 1.043688035497850620e-09, 7.259477359700465715e-11, 1.468728918833781733e-09
2.034000000000000000e+03, 5.397326484395835107e-10, 2.778326979510465517e-11, 1.616704019554751765e-10, 1.281388546727096808e-10, 7.418545904333501544e-10, 1.046296548762494306e-09, 7.263380784039252805e-11, 1.546237601720873255e-09
2.035000000000000000e+03, 5.498569823481747739e-10, 3.010421839414526432e-11, 1.613097418815994120e-10, 1.267070011566619481e-10, 7.220851473835181626e-10, 1.040251908066700889e-09, 7.257224165706047232e-11, 1.580390086613501424e-09
2.036000000000000000e+03, 5.793645700594649203e-10, 2.984860501256218670e-11, 1.610293749462301257e-10, 1.286147268709103268e-10, 7.113355043569398455e-10, 1.039549644510364875e-09, 7.231060527579093480e-11, 1.574132299624926667e-09
2.037000000000000000e+03, 5.704502352973528624e-10, 3.024601847329909889e-11, 1.609934323795584885e-10, 1.290431155096502959e-10, 7.164084884517213847e-10, 1.036590362220469973e-09, 7.041164799681976240e-11, 1.632022817277896736e-09
2.038000000000000000e+03, 6.582823948900519221e-10, 3.215918713030256737e-11, 1.611604387174708691e-10, 1.290984190854253949e-10, 7.189962261324277689e-10, 1.045417277010326877e-09, 6.834415281968293044e-11, 1.632116898964123776e-09
2.039000000000000000e+03, 6.586712553725456747e-10, 3.376675731497324445e-11, 1.614291273470565235e-10, 1.291493801507866686e-10, 7.244830652219836050e-10, 1.051944076005328066e-09, 6.628956521786696460e-11, 1.643778662108271945e-09
