year, GFDL-ESM4, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, NorESM2-LM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, CanESM5, CMCC-ESM2, CESM2-WACCM, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.894198700776107414e+00, 2.292119643928540285e+00, 1.436359374695161506e+00, 1.258187760100902386e+00, 1.541003805741996358e+00, 1.235043815567540948e+00, 1.500951330299299835e+00, 1.570470341888709376e+00, 1.200937475674420885e+00, 1.469740083031818800e+00, 1.135523584756277904e+00, 1.174832757435293695e+00, 1.148179483597055794e+00, 2.180197482177973711e+00, 1.248791129999666349e+00, 1.356768892395457948e+00
2.016000000000000000e+03, 2.042971293422796375e+00, 2.274007685188582872e+00, 1.436411863695336244e+00, 1.220767205122231358e+00, 1.571386531486883120e+00, 1.234390573499560162e+00, 1.565598244510068682e+00, 1.550487714531687322e+00, 1.264520229169397325e+00, 1.571867842621813560e+00, 1.122398124536038599e+00, 1.206720881008524593e+00, 1.148756114840335130e+00, 2.216799622273851522e+00, 1.264386693046573251e+00, 1.351508604563561811e+00
2.017000000000000000e+03, 2.047738939818907422e+00, 2.263027974862470870e+00, 1.471653974306245560e+00, 1.223941252569285654e+00, 1.554622212117076741e+00, 1.214995102740528132e+00, 1.627439522513463466e+00, 1.555536975119988785e+00, 1.286478548602528305e+00, 1.611421450638645503e+00, 1.111203634989828659e+00, 1.171187279695982353e+00, 1.155831138044014272e+00, 2.284780462292923975e+00, 1.285132881726324783e+00, 1.349264199143722642e+00
2.018000000000000000e+03, 2.039344625486430029e+00, 2.313470964801772833e+00, 1.481598184852580546e+00, 1.253211654984644818e+00, 1.572106098645961625e+00, 1.203836254476296830e+00, 1.622866903910862524e+00, 1.622086673406480939e+00, 1.272290015693901433e+00, 1.499163807317619002e+00, 1.112761680391222585e+00, 1.244491282117881736e+00, 1.133638131689640005e+00, 2.232647742215996267e+00, 1.307585455485288595e+00, 1.365078311948990430e+00
2.019000000000000000e+03, 2.020253972667036102e+00, 2.329452791866078343e+00, 1.459215030975931304e+00, 1.281906873847022954e+00, 1.591138491625236240e+00, 1.212891031897524341e+00, 1.681112290320250668e+00, 1.590398635426109042e+00, 1.287596448477532851e+00, 1.480156968590853550e+00, 1.125014968909858304e+00, 1.267912449819865506e+00, 1.133500447493374530e+00, 1.999653962886189573e+00, 1.279527583551110848e+00, 1.367808319170294773e+00
2.020000000000000000e+03, 2.005907151573976144e+00, 2.313587561080972410e+00, 1.437258886705246930e+00, 1.268111708092823919e+00, 1.583151046508479709e+00, 1.204054120933470085e+00, 1.675069347930830732e+00, 1.572641465059771315e+00, 1.274456443981083265e+00, 1.584910267470224232e+00, 1.140812608755470192e+00, 1.255247023430363207e+00, 1.185363450611339964e+00, 1.937770497752535848e+00, 1.264669141467888558e+00, 1.341270939004590490e+00
2.021000000000000000e+03, 2.015687504760868887e+00, 2.302744860233802093e+00, 1.440279900914215983e+00, 1.275986241652896647e+00, 1.574832739691585992e+00, 1.217648034118396838e+00, 1.689309182942411836e+00, 1.539876187954164699e+00, 1.283439149671880886e+00, 1.597865238813993560e+00, 1.138611180843808190e+00, 1.160203462855552647e+00, 1.171002613229416456e+00, 2.110987645832262505e+00, 1.257517494429846616e+00, 1.355000867269593012e+00
2.022000000000000000e+03, 2.070787881542912601e+00, 2.272477341768655901e+00, 1.464779322479027757e+00, 1.277057816576520288e+00, 1.608797944218108844e+00, 1.210498005172067515e+00, 1.702817425369722359e+00, 1.579102919645693603e+00, 1.282654923901294985e+00, 1.494173082463692959e+00, 1.140141241374800885e+00, 1.196917054675962655e+00, 1.176358143695341196e+00, 2.221488724015256544e+00, 1.265445274893596261e+00, 1.358204427293776551e+00
2.023000000000000000e+03, 2.072798422395805584e+00, 2.277413791787727959e+00, 1.484064568612385671e+00, 1.277753261746153335e+00, 1.581179099352004735e+00, 1.206581170758256549e+00, 1.665957183019221466e+00, 1.543899620206943490e+00, 1.303946331775700296e+00, 1.527623942213960584e+00, 1.151705682885971527e+00, 1.227498983941682553e+00, 1.158114732830871851e+00, 2.309044526430095612e+00, 1.305370556241999047e+00, 1.367065881656301052e+00
2.024000000000000000e+03, 2.087024644865443257e+00, 2.326195848904901720e+00, 1.459215165044971396e+00, 1.271606807102634296e+00, 1.578107393044111184e+00, 1.190823519649945039e+00, 1.619973210696398880e+00, 1.582095667067411116e+00, 1.210542474646013167e+00, 1.651343595641309170e+00, 1.153183056309133647e+00, 1.201463901052278072e+00, 1.191521303167815127e+00, 2.190337448743509441e+00, 1.336796248072770199e+00, 1.385832688179763572e+00
