year, MPI-ESM1-2-LR, TaiESM1, NorESM2-LM, CanESM5, INM-CM5-0, CESM2-WACCM, GFDL-ESM4, CNRM-ESM2-1, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, MIROC-ES2L, UKESM1-0-LL, INM-CM4-8
2.015000000000000000e+03, 8.219113170562027115e-02, 3.216191222423108176e-01, 1.807127557342633473e-01, 2.838631805176267120e-01, 7.911492351068265261e-02, 1.076395158373874839e-01, -4.132865176609837321e-01, 6.239052180322727237e-01, -2.023371733617054524e-01, -1.300919836504334584e-02, 5.953231593103313068e-01, 6.042462824211149997e-01, 5.597848072758325744e-01, 4.897003709234040159e-01, 5.689597968927123661e-01, 6.707511012020053176e-01
2.016000000000000000e+03, 5.388413804847151933e-01, -2.867771640310819992e-01, 3.308978964143914347e-01, 1.535425155784433116e-01, 1.176365843212400508e-01, 6.732841935374324072e-01, 7.539189347682746511e-01, 8.074289169236498198e-01, -1.369625574629398067e-03, 7.343301784913051078e-01, 8.295469252628982770e-02, 6.250002043501012849e-01, 3.317869622823467202e-01, 3.306825254039437167e-01, 2.987634233362416181e-01, 7.818473639901524219e-01
2.017000000000000000e+03, 2.757467871144432814e-01, -6.764181040756095387e-01, 2.937431097517805845e-01, 2.054030125186835642e-01, 5.341778352592136958e-01, 4.458442418621150760e-01, -3.151965163229016736e-03, 1.555535420985754425e-01, -1.195545896025954624e-01, 7.539233436842719682e-02, 2.975441131036906175e-02, 8.397893051847927781e-01, 3.209607704696965658e-01, 3.738536528691477345e-01, 3.132280371648345496e-01, 9.450138011775512936e-01
2.018000000000000000e+03, 4.556084186293550831e-01, -8.131800069464896197e-01, 3.516215172032328140e-01, 1.106298045199805985e-01, 5.206623408328312497e-01, 3.022525938527935163e-01, 2.124875827535087636e-01, 7.878862320816171216e-01, -3.379534608407056551e-01, 3.834906687135735126e-01, -1.456052854336843672e-02, 5.541262503212261992e-01, 3.066973034324058656e-01, 1.984522518979953687e-01, 6.867685251509997313e-01, 1.150855372707026980e+00
2.019000000000000000e+03, 3.532549166090812598e-01, 1.824034964228895758e-02, 1.750104849507850280e-01, -2.878961915378517103e-02, 6.107617921482798584e-01, 4.262854001254527958e-01, 2.650875169759425165e-01, 9.097254272611376980e-01, 4.142086950802759682e-01, 8.687991546342639371e-01, 1.757462066642055398e-01, 4.240124517277883975e-01, 3.033720351603851340e-01, 3.484002442616480066e-01, 6.770952577609241629e-01, 7.973028067379763772e-01
2.020000000000000000e+03, 3.152623290113468757e-01, 3.904525490792765119e-01, 1.709429156610461353e-01, 5.199913679995573634e-01, 5.505440103795995466e-01, 3.259383352314150217e-01, 3.542297409368477118e-02, 7.132111010306183552e-01, 8.873559138035361782e-01, 6.831083721609367831e-01, 2.631701692187144587e-02, 3.611080843405073959e-01, 3.417908286860013578e-01, 7.351778178204678715e-01, 6.458103292039414356e-01, -6.606421588813864432e-01
2.021000000000000000e+03, 4.042418263125395206e-01, -7.962559639830958380e-01, 2.477946147966680612e-01, 3.641706809493773789e-01, -6.565258126949419237e-01, 3.512703199396056131e-01, 2.306383614885768041e-01, 1.725505931914205759e-01, -3.514823508794123752e-01, 2.212197940791742201e-01, 4.418434165627176946e-01, 4.957001611674241581e-01, 3.297288668515726551e-01, 4.057720002511989721e-01, 2.870775457270670072e-01, 8.791050233482131659e-01
2.022000000000000000e+03, 5.739990104237842061e-01, -5.629718651268917906e-01, 4.728578013750124875e-01, 3.993095550381406955e-01, 6.888713656192544388e-01, 5.064092588515013427e-01, 6.513665846202365550e-01, 4.305647335403260945e-01, 4.465940159066563164e-01, 5.443968486999172240e-01, 1.788084306647227117e-01, 7.557602894455104359e-01, 5.245534294582747670e-01, 7.393197424867731238e-01, -2.741775518415806023e-01, 7.664253994470555664e-01
2.023000000000000000e+03, 2.590307352459289003e-01, 5.437281171618256748e-01, 1.566674680107506823e-01, -6.896291972395135472e-02, 6.030973473439165122e-01, 4.979554755174646630e-01, 2.393113338051522376e-01, 6.716953647637200486e-01, -1.042435748976232368e+00, 2.608332011051335900e-02, 2.409025784972691486e-01, 8.176547187822279517e-01, 2.941099975344057538e-01, 4.916009294184150447e-01, 4.195776687849027686e-01, 5.226984845566434723e-01
2.024000000000000000e+03, 2.759397034365074775e-01, -1.026611999811863907e-01, -3.171848076184239588e-03, 1.668935761679745944e-01, 7.290143939337994095e-01, 8.423939378920908272e-01, 3.466836991761991227e-01, 6.759720899459473742e-01, -2.940875155936890570e-02, 5.024135033678215345e-01, -1.216571626373471743e-01, 5.352953064073915357e-01, 3.543350866564154988e-01, 5.325407951002335549e-01, 4.372033494567916234e-01, 1.032440249680201649e+00
2.025000000000000000e+03, 7.026561865125758866e-01, 8.208398706023503633e-02, 2.010540397631654097e-01, 3.875787442719053066e-01, 8.506865238650024308e-01, 4.840154940050309662e-01, 1.852127759232304396e-02, 9.115038067472854832e-01, 1.556137686701451472e-01, -2.082180813808733044e-01, 6.615001326969106865e-02, 3.191497314757699710e-01, 3.753722746505711028e-01, 5.426141281381251513e-01, 1.723466297708679817e-01, 6.783554016609593118e-01
2.026000000000000000e+03, 2.743919906677306786e-01, -6.567068042027718322e-01, 4.982726234743311000e-01, 6.649951776383749014e-01, -2.019827872716378481e-01, 5.662468323567401152e-01, 5.443517358183961319e-01, 6.905340137195367101e-01, 2.504426358529673324e-01, 3.080851109437567348e-01, 4.185205754098902942e-01, 6.303893778660181191e-01, 2.628116261742134974e-01, 5.107743157210368201e-01, 1.188060632854997245e-01, 1.369645044935480671e+00
2.027000000000000000e+03, 1.475233469432850886e-01, 1.387774504213187543e-01, 2.622816492367548435e-01, 4.248144089353685787e-02, 5.118928259967377853e-02, 6.022188865532271951e-01, 1.102171516191331330e-01, 7.562071005385101463e-01, 3.452398773148755984e-01, -1.256312442803932672e-01, 4.567708746955688737e-01, 3.630445450590844558e-01, 4.432199683223675968e-01, 5.609385448820751741e-01, 4.539421115327889611e-01, 4.160999264972066181e-01
2.028000000000000000e+03, 5.254014790544179192e-01, -1.647920902682862287e-01, 5.072439946219756690e-01, 4.136723568510086158e-01, -7.958178275074141439e-01, 7.716216590121310892e-01, -4.394278981700508457e-02, 9.301162578156594307e-01, -2.968391547576122447e-01, 4.746193319764468455e-01, 4.508484115671020365e-01, 9.207263059160757379e-01, 6.070989418960323070e-01, 6.644645611152152354e-01, 3.478696297232147794e-01, 1.361046979434847648e+00
2.029000000000000000e+03, 2.389860134089023813e-01, 4.726371105603003331e-01, 2.932063069204177697e-01, 4.182053991920534619e-01, 5.838234791553547076e-01, 6.678812029935238259e-01, 7.652524647039824490e-01, 8.059891922859933056e-01, -4.148030680963614714e-01, -2.704065850220834788e-01, 2.718362852806795460e-01, 5.002356204483001667e-01, 3.155527364056395778e-01, 1.982777013798366073e-01, 1.304228859643306003e-02, 6.183911748486877746e-01
