year, TaiESM1, CNRM-ESM2-1, MIROC-ES2L, INM-CM5-0, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-MM, CanESM5, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.089521566126310237e+00, 2.326297569895887207e+00, 2.326307630127792514e+00, 2.245208573751103387e+00, 2.165481776459471597e+00, 2.115872326386547986e+00, 2.024538228163250242e+00, 2.212717269069905957e+00, 2.566783706794751208e+00, 2.040334172246907940e+00, 2.245874482997768595e+00, 2.231564136195773873e+00, 2.446242809691911990e+00, 2.102552991658344972e+00, 1.954625266325677790e+00, 2.166569979323945017e+00
2.016000000000000000e+03, 2.147682378287278038e+00, 2.318163308178284865e+00, 2.240621394703121716e+00, 2.235263456614488664e+00, 2.233700304143730886e+00, 2.110665724233856899e+00, 2.120700028796071557e+00, 2.145119054657688373e+00, 2.590817708089767191e+00, 1.964666600237720440e+00, 2.279403678048419923e+00, 2.330059788849496272e+00, 2.500630166087607797e+00, 2.129415646141566754e+00, 2.186842184336368788e+00, 2.253538416720518356e+00
2.017000000000000000e+03, 1.965156204516162575e+00, 2.288174569052336516e+00, 2.231878364344909382e+00, 2.264542318759536599e+00, 2.288577546583840938e+00, 2.117126782021975018e+00, 2.092759281706560781e+00, 2.092207871268227937e+00, 2.700782810542682100e+00, 2.001080391342755949e+00, 2.262964406097343506e+00, 2.272169090146113568e+00, 2.308427581502884962e+00, 2.156580752216727515e+00, 2.180410365301294284e+00, 2.264503210173793413e+00
2.018000000000000000e+03, 1.919206104199699059e+00, 2.356526138764307277e+00, 2.280362193740859134e+00, 2.356695628789141850e+00, 2.213142566874021000e+00, 2.114245334679648369e+00, 2.062746371316290350e+00, 2.122529594858399538e+00, 2.651987702284231307e+00, 2.119694808583577839e+00, 2.113724323652694359e+00, 2.347539189307812801e+00, 2.327018581723939494e+00, 2.193366405175956046e+00, 2.009890991170206753e+00, 2.187210647800019725e+00
2.019000000000000000e+03, 2.184622518999565166e+00, 2.331546230320551860e+00, 2.295140522951928386e+00, 2.261640028451531670e+00, 2.209456697548780379e+00, 2.135402410501655801e+00, 2.038781449609686547e+00, 2.204980273118778200e+00, 2.544967822099191146e+00, 2.125540201542797547e+00, 2.179425179261930356e+00, 2.285178743476602214e+00, 2.347984062362574065e+00, 2.107445560478153457e+00, 2.074687908605712394e+00, 2.342339291136467327e+00
2.020000000000000000e+03, 2.109300322133619954e+00, 2.343424632759354420e+00, 2.313058920078311154e+00, 2.303189464001478726e+00, 2.236490528388675347e+00, 2.103951604341536274e+00, 2.079449528549486725e+00, 2.257308363317173772e+00, 2.603260727815090547e+00, 1.931270544222815078e+00, 2.343727673507274734e+00, 2.387571829359115494e+00, 2.480015315066556703e+00, 2.097459529943695777e+00, 2.040520243744545770e+00, 2.327293938580405896e+00
2.021000000000000000e+03, 1.967395165622799258e+00, 2.212294001559671486e+00, 2.366933576682476836e+00, 2.174031587739111426e+00, 2.288787437456749618e+00, 2.059250182792208506e+00, 2.050144606993495433e+00, 2.234330922891595517e+00, 2.684076241018904518e+00, 1.930236624703021819e+00, 2.213053216750429542e+00, 2.247473847138528047e+00, 2.407726633583873621e+00, 2.219698287583105500e+00, 2.065926694742868275e+00, 2.250552860341524131e+00
2.022000000000000000e+03, 1.995916469666809023e+00, 2.313014696050250230e+00, 2.408029178702264073e+00, 2.316684587984627175e+00, 2.226696944776046738e+00, 2.042316930195699598e+00, 1.997137082258855223e+00, 2.204621999760477902e+00, 2.605392391584394396e+00, 1.857922197889442684e+00, 2.172830447527770659e+00, 2.341049937190795571e+00, 2.402353889515006724e+00, 2.182655109785859970e+00, 2.028822524239589864e+00, 2.332504278875100923e+00
2.023000000000000000e+03, 2.094713350723280687e+00, 2.351275718880704524e+00, 2.337367297815641454e+00, 2.272593641606828196e+00, 2.243883494439344428e+00, 1.997249438180717096e+00, 2.054188529813487207e+00, 2.082111121097971029e+00, 2.513019933009527307e+00, 2.030531232306608924e+00, 2.351735084986195101e+00, 2.316244583449198036e+00, 2.381340415779700237e+00, 2.110101275323290171e+00, 2.066573411701527530e+00, 2.138665299113580165e+00
2.024000000000000000e+03, 2.120391619447098197e+00, 2.239413092529860094e+00, 2.346273133699568803e+00, 2.374924469912193192e+00, 2.276684425818640278e+00, 2.093537979286575812e+00, 2.098289286559287259e+00, 2.060808897881707846e+00, 2.559303717676939538e+00, 2.087743552867830310e+00, 2.366283224356087622e+00, 2.341610422165720795e+00, 2.353573964410796915e+00, 2.137217672146762837e+00, 1.875343072663355315e+00, 2.381920849625672965e+00
2.025000000000000000e+03, 2.118213958841228539e+00, 2.291685487777606056e+00, 2.310011702332452455e+00, 2.319352381002816266e+00, 2.285552121708831486e+00, 2.178398405089050804e+00, 2.099938512371720023e+00, 2.147679318282678995e+00, 2.618195306066699146e+00, 2.155769301560027884e+00, 2.427753485750126838e+00, 2.390143296020835972e+00, 2.312415328174008966e+00, 2.189401034556292647e+00, 1.845565645593588489e+00, 2.246848491750514487e+00
2.026000000000000000e+03, 2.094652992658255108e+00, 2.452895408491795770e+00, 2.295114468418353759e+00, 2.246159178149045310e+00, 2.221728964664267281e+00, 2.169292657916259248e+00, 2.009937976596649634e+00, 2.296038890527467569e+00, 2.623190917548613221e+00, 2.013555984392692011e+00, 2.288676227706162969e+00, 2.366013011192856563e+00, 2.442155401403403925e+00, 2.231157280657084296e+00, 1.963714745935913886e+00, 2.267156246207668868e+00
