year, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1, GFDL-ESM4, CanESM5, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, NorESM2-LM
1.850000000000000000e+03, 9.424945564110670304e+00, 8.920226043188076659e+00, 8.509004430391847507e+00, 4.977686021989822507e+01, 1.507509146735428684e+00, 5.181464693831039625e+01, 4.998081392522146871e+01, 1.423216749995634700e+01, 8.396778951989164241e+00, 1.319423900164941443e+01, 7.886480575628689316e+00, 5.678785858839837175e+01, 7.051510123133211572e+00
1.851000000000000000e+03, 9.372674414606045445e+00, 8.739178829612578525e+00, 8.500189414753748451e+00, 4.983417652342278359e+01, 1.531363683799615183e+00, 5.175712872446914048e+01, 4.991294296272088360e+01, 1.420418134508128638e+01, 8.310087540454951238e+00, 1.333224442725740033e+01, 7.775535304317528151e+00, 5.688146984571779541e+01, 7.032454367686852059e+00
1.852000000000000000e+03, 9.333396297820137022e+00, 8.800969064545798304e+00, 8.478536860513532503e+00, 4.988860898621309303e+01, 1.476603458125291146e+00, 5.188894045747560568e+01, 4.990612886054089614e+01, 1.429153188666869667e+01, 8.224376102658364829e+00, 1.312213237884293981e+01, 7.784150512272376865e+00, 5.689053028699223802e+01, 6.978819376627231286e+00
1.853000000000000000e+03, 9.295471348343538054e+00, 8.807279655828763154e+00, 8.471941077842451762e+00, 4.987090059167437062e+01, 1.508004312462137175e+00, 5.183876774539625387e+01, 4.989397397809971579e+01, 1.432740294262962877e+01, 8.333600567417585481e+00, 1.291264986739683884e+01, 7.861393328031422101e+00, 5.693591890012705647e+01, 6.942096299637430690e+00
1.854000000000000000e+03, 9.299342591405370229e+00, 8.812565404510886324e+00, 8.503114712669669117e+00, 4.984071556095241817e+01, 1.554293825400907769e+00, 5.182356304953746928e+01, 4.989390997235154401e+01, 1.429422061299892199e+01, 8.428385259975362587e+00, 1.250245203813599559e+01, 8.140752274949250022e+00, 5.694991581901444988e+01, 6.863700738746321584e+00
1.855000000000000000e+03, 9.315798378128494761e+00, 8.860380253385548244e+00, 8.515627463097041883e+00, 4.982017825828816626e+01, 1.523342159361173787e+00, 5.182221661922378786e+01, 4.985791560676972267e+01, 1.446356830793496329e+01, 8.389524761591468760e+00, 1.237524363268576089e+01, 8.282747302963114677e+00, 5.696309976885981285e+01, 6.869439111736500791e+00
1.856000000000000000e+03, 9.297590064282195144e+00, 8.953052693228341852e+00, 8.529489916637942315e+00, 4.983321316973422910e+01, 1.455499664636405788e+00, 5.179522059947326795e+01, 4.983647709847517149e+01, 1.461245494557856617e+01, 8.233984124025697682e+00, 1.255008963281913026e+01, 8.307208404978350558e+00, 5.705189859668952579e+01, 6.899397341675213013e+00
1.857000000000000000e+03, 9.302697379813382739e+00, 8.867067618740996693e+00, 8.466087988734964043e+00, 4.983570890586310043e+01, 1.472497255663884230e+00, 5.180293032420412658e+01, 4.982812127506858246e+01, 1.464156347327186758e+01, 8.213422433465860095e+00, 1.275749205702542000e+01, 8.314572624406904922e+00, 5.710423654457698461e+01, 6.869053376319101289e+00
1.858000000000000000e+03, 9.309952617492015747e+00, 8.921328308177761457e+00, 8.456633553237946188e+00, 4.980552703183829522e+01, 1.476728311538111127e+00, 5.184683116038326745e+01, 4.975492897204883747e+01, 1.467734963482839206e+01, 8.435493453303708478e+00, 1.294334667030935471e+01, 8.239036260791072763e+00, 5.706624888851995792e+01, 6.895878535846348356e+00
1.859000000000000000e+03, 9.317343234521004547e+00, 9.142404729399723706e+00, 8.451924510518107780e+00, 4.973656765746486741e+01, 1.462033500512522899e+00, 5.186464988286017075e+01, 4.974713512091421563e+01, 1.474689503767863918e+01, 8.653518023018632377e+00, 1.283760206755584399e+01, 8.173966279829317116e+00, 5.699197087925435312e+01, 7.030462448813111109e+00
1.860000000000000000e+03, 9.359898896223825204e+00, 9.169170476956761462e+00, 8.515173453902537659e+00, 4.970535313128630861e+01, 1.505984333131458186e+00, 5.177042781062254306e+01, 4.963746868183643102e+01, 1.457978644353138087e+01, 8.629035554004547137e+00, 1.285697091522022717e+01, 8.208871374830739143e+00, 5.680448896846481688e+01, 7.087777895501525371e+00
1.861000000000000000e+03, 9.349411318762575362e+00, 9.210518007754167513e+00, 8.580712051319506983e+00, 4.973159297693580072e+01, 1.498330441900422194e+00, 5.165128727692941624e+01, 4.958208005939143703e+01, 1.466034616280683522e+01, 8.583462081947800471e+00, 1.285645224749779381e+01, 8.125631957836592534e+00, 5.659680513310566141e+01, 6.993356772826678558e+00
1.862000000000000000e+03, 9.375748427566177767e+00, 9.307510169265880151e+00, 8.581308682090082129e+00, 4.974968597245687363e+01, 1.455336735276577809e+00, 5.155277518164962913e+01, 4.964978201291079785e+01, 1.457645678166694481e+01, 8.630728685409621903e+00, 1.283532487370249520e+01, 8.046568776319023897e+00, 5.638677632036444720e+01, 6.993204906975506674e+00
1.863000000000000000e+03, 9.390725068850983348e+00, 9.295475212736109327e+00, 8.622979523880633934e+00, 4.977287301796591379e+01, 1.464683396740275034e+00, 5.160577238052231053e+01, 4.965542018832972104e+01, 1.460738325965304263e+01, 8.577240276052389589e+00, 1.298175286111906779e+01, 7.916268830694960457e+00, 5.633695928680125320e+01, 6.963262459546809779e+00
1.864000000000000000e+03, 9.421196607927507571e+00, 9.330437055233723243e+00, 8.688892009918955495e+00, 4.977986910913164564e+01, 1.510976935951136912e+00, 5.168015574740956453e+01, 4.957188486515999415e+01, 1.460934058035381611e+01, 8.462127850258495343e+00, 1.272340510051365570e+01, 7.875991087583003036e+00, 5.643027303757303770e+01, 6.888098369332752213e+00
1.865000000000000000e+03, 9.398220609198034481e+00, 9.482165535539047951e+00, 8.718227906148989348e+00, 4.965282407139832799e+01, 1.478151006173402227e+00, 5.163383292836304861e+01, 4.955153653608769559e+01, 1.466175360784086656e+01, 8.470780149571282891e+00, 1.265538702072441524e+01, 7.891917251400802691e+00, 5.643636913004643674e+01, 6.875873485755413128e+00
1.866000000000000000e+03, 9.391329434628428174e+00, 9.332984402771611343e+00, 8.693415160450220114e+00, 4.962353515649250113e+01, 1.460439486868150283e+00, 5.168297031246252971e+01, 4.951604247644649348e+01, 1.457450130681328559e+01, 8.493470752211996100e+00, 1.272718171782110552e+01, 7.960837762972809983e+00, 5.630003662196637038e+01, 7.015672341118116329e+00
1.867000000000000000e+03, 9.421197129881067056e+00, 9.228021689102686054e+00, 8.686965664483425442e+00, 4.958745894850750346e+01, 1.415828451367821650e+00, 5.167855891456505191e+01, 4.949262757941092161e+01, 1.446532693657530722e+01, 8.447297252336497309e+00, 1.296951562643518052e+01, 7.943507477889562907e+00, 5.618989731534551169e+01, 7.145024849599005634e+00
1.868000000000000000e+03, 9.437819024666820766e+00, 9.306086404664913658e+00, 8.739027380248680643e+00, 4.960715126432477007e+01, 1.418158868364893133e+00, 5.176254794357031130e+01, 4.953646973335273174e+01, 1.438283394802339821e+01, 8.336782336530061954e+00, 1.311865247526430167e+01, 7.916757198077048585e+00, 5.622864643442018462e+01, 7.110687287313890437e+00
