year, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-LM, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, CanESM5, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, CESM2-WACCM
1.850000000000000000e+03, 2.678134089107745197e+01, 3.548230525155927495e+01, 3.196221207898407002e+01, 6.793175542855463789e+01, 7.215896189376482539e+01, 1.207012404507998760e+01, 4.213460602034198388e+01, 5.424601006624804000e+01, 5.241900625583944873e+01, 3.936298689437714415e+01, 5.361071758649674734e+01, 4.748681042247464745e+01, 5.261490024678732880e+01, 2.382347853051370379e+01, 5.258696976769149956e+01, 6.092890640075313513e+01
1.851000000000000000e+03, 2.670079733001195521e+01, 3.576070139366091638e+01, 3.185085897533349453e+01, 6.779191564255087599e+01, 7.218470493574464797e+01, 1.202247169710402730e+01, 4.202726524220650361e+01, 5.407883567798275948e+01, 5.245894256044230275e+01, 3.933900607593193399e+01, 5.381637837729751794e+01, 4.745493726706572346e+01, 5.265444790600930958e+01, 2.369303988827239138e+01, 5.269915008639909360e+01, 6.083132010359212671e+01
1.852000000000000000e+03, 2.669055174645606243e+01, 3.573644920134218950e+01, 3.176010056861793984e+01, 6.760936342402084165e+01, 7.211666235817745019e+01, 1.200007830385293595e+01, 4.195719296469690818e+01, 5.407135611928318752e+01, 5.254081642925417839e+01, 3.932268353792487403e+01, 5.378950449477691365e+01, 4.745266475969417286e+01, 5.265552536938267281e+01, 2.360471453531792818e+01, 5.266454524890792044e+01, 6.099839652808875456e+01
1.853000000000000000e+03, 2.662642650208050199e+01, 3.560784098132550923e+01, 3.172675224180356679e+01, 6.751380628909451787e+01, 7.210407846239320406e+01, 1.201172633942530510e+01, 4.186076079468580957e+01, 5.410485289914442575e+01, 5.269580045067761631e+01, 3.933103256336239184e+01, 5.378401996003032792e+01, 4.738752455153050391e+01, 5.259647586272414088e+01, 2.332643878328547871e+01, 5.260676567785419167e+01, 6.092672850033478937e+01
1.854000000000000000e+03, 2.644306686961177633e+01, 3.540569428948322894e+01, 3.174801948944185170e+01, 6.735488298971851862e+01, 7.213335420271423004e+01, 1.201798676315113212e+01, 4.177729450854971560e+01, 5.416406114911712422e+01, 5.259228813545892223e+01, 3.931971065981735336e+01, 5.379403995212887679e+01, 4.731745813290371672e+01, 5.260798896163711902e+01, 2.322039062550802413e+01, 5.258767587449560210e+01, 6.050889525295297489e+01
1.855000000000000000e+03, 2.638128873292956911e+01, 3.555057971127811811e+01, 3.174932169614961097e+01, 6.703893045583009780e+01, 7.213940546902939843e+01, 1.202043688283488265e+01, 4.169912589569936046e+01, 5.407933875105724297e+01, 5.253242290864231023e+01, 3.907434365234432505e+01, 5.381844006132683234e+01, 4.725048768674573552e+01, 5.268766937744972978e+01, 2.314754072732129941e+01, 5.267191137058151185e+01, 6.019940519946281654e+01
1.856000000000000000e+03, 2.634718381811247667e+01, 3.557057933350596102e+01, 3.161486611246107614e+01, 6.689771212635555742e+01, 7.214114681419196984e+01, 1.204235349292891932e+01, 4.159153539337947336e+01, 5.395745837997402816e+01, 5.245690121230915537e+01, 3.902642524149872827e+01, 5.382130569875948822e+01, 4.714058638250247668e+01, 5.274543970076960164e+01, 2.318158623531211404e+01, 5.279086470096051187e+01, 6.020607585710465059e+01
1.857000000000000000e+03, 2.625652795351010838e+01, 3.579955063636127477e+01, 3.165131529117714493e+01, 6.681678515495148929e+01, 7.214196234544610320e+01, 1.205976918751113125e+01, 4.126198572733647296e+01, 5.398289642133745758e+01, 5.227102550392116598e+01, 3.915126870748464682e+01, 5.384910125482765864e+01, 4.692027520288048947e+01, 5.271242980525034483e+01, 2.303388148002895264e+01, 5.279762324315605326e+01, 6.024444597398000667e+01
1.858000000000000000e+03, 2.620940017535770750e+01, 3.606632207753150965e+01, 3.157975573860735707e+01, 6.678917111472496515e+01, 7.210523331638603395e+01, 1.209307359344272470e+01, 4.082055787411126602e+01, 5.403905798897816481e+01, 5.216389556093852775e+01, 3.927757544006075108e+01, 5.382339622532925461e+01, 4.671256747064139603e+01, 5.269871365558255860e+01, 2.283335672132773553e+01, 5.278598656874157768e+01, 6.012433359444639791e+01
1.859000000000000000e+03, 2.629234954994780438e+01, 3.580687198777991398e+01, 3.163475540080807846e+01, 6.677971734756827971e+01, 7.212131023377466477e+01, 1.212208578541801884e+01, 4.060625940155225067e+01, 5.383569628859456913e+01, 5.221326697902402003e+01, 3.935116268350837743e+01, 5.364197480504230242e+01, 4.660214501919345054e+01, 5.263215714997838290e+01, 2.266166152216184315e+01, 5.269557706219359972e+01, 5.980758085640712096e+01
