year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.850000000000000000e+03, 1.752557555907945104e-11, -2.264130985146919541e-10, 0.000000000000000000e+00, 5.698373131561839005e-11
1.851000000000000000e+03, 6.434205379947506084e-11, -2.286266440213281974e-10, 5.347841602129396425e-11, 5.327856341185593475e-11
1.852000000000000000e+03, 7.664030455370229512e-11, -2.377121018655065175e-10, 5.658007240643467335e-11, 4.892636976897108273e-11
1.853000000000000000e+03, 8.657209998600109444e-11, -2.529692596060309535e-10, 5.996730935894274017e-11, 5.523755968621650021e-11
1.854000000000000000e+03, 9.387226768944487338e-11, -2.750527979491956225e-10, 6.269018365168213624e-11, 5.511612997456953541e-11
1.855000000000000000e+03, 1.002904906829143638e-10, -2.557957636663600042e-10, 6.580254987542965660e-11, 5.239179504584733375e-11
1.856000000000000000e+03, 1.052400855327225970e-10, -2.678343572256513512e-10, 6.969715071463096604e-11, 5.781729742215629538e-11
1.857000000000000000e+03, 1.094514404874324206e-10, -2.778989572775306536e-10, 7.359970181281254840e-11, 6.254454024895578154e-11
1.858000000000000000e+03, 1.129791013069236845e-10, -2.890663184826497260e-10, 7.731862114858975867e-11, 6.928549225383489448e-11
1.859000000000000000e+03, 1.156212183114862617e-10, -2.863864223644649756e-10, 8.057280007880248565e-11, 6.589477384619082615e-11
1.860000000000000000e+03, 1.181352779497115740e-10, -2.977387870736382565e-10, 8.309627357232227514e-11, 7.590873756545320981e-11
1.861000000000000000e+03, 1.059390301984925155e-10, -2.903157531940739519e-10, 5.803322011193083940e-11, 7.203039319711904931e-11
1.862000000000000000e+03, 1.077298967958421421e-10, -2.893792667872622878e-10, 5.710946201321178370e-11, 7.686710526978214360e-11
1.863000000000000000e+03, 1.095596788478554774e-10, -2.737389509698452325e-10, 5.634035371490111273e-11, 8.376554798360268311e-11
1.864000000000000000e+03, 1.113354260118768236e-10, -2.539443978225923735e-10, 5.527922320357959768e-11, 7.934855717776919480e-11
1.865000000000000000e+03, 1.123704086087194712e-10, -2.855110798784471350e-10, 5.424916997846251014e-11, 8.278645079249029760e-11
1.866000000000000000e+03, 1.135863835079160427e-10, -2.810528285292079050e-10, 5.336796730884142832e-11, 7.685398429718734126e-11
1.867000000000000000e+03, 1.145589346462979470e-10, -2.703011763769572106e-10, 5.219121321288415749e-11, 6.737709763511095658e-11
1.868000000000000000e+03, 1.157491907464923607e-10, -2.919047412437637270e-10, 5.127718522751459272e-11, 7.452001742288160771e-11
1.869000000000000000e+03, 1.165783226508605513e-10, -2.421336865882346972e-10, 5.006741472361349759e-11, 7.279319393977417860e-11
1.870000000000000000e+03, 1.172728184077262524e-10, -2.816507301395741650e-10, 4.934178500687513495e-11, 7.487319639189112828e-11
1.871000000000000000e+03, 1.375799773532465866e-10, -3.360686780703752165e-10, 8.684568888335467549e-11, 7.637896837536835579e-11
1.872000000000000000e+03, 1.381576595477122565e-10, -3.037247591961188620e-10, 8.895676003755698491e-11, 7.635452001185761962e-11
