year, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, NorESM2-MM, NorESM2-LM, CESM2-WACCM, TaiESM1, TaiESM1, GFDL-ESM4, MPI-ESM1-2-LR, GFDL-ESM4, CNRM-ESM2-1
1.850000000000000000e+03, 2.842070108335795908e-10, 2.627493056041919030e-10, 1.554310609328978276e-10, 1.554310609328978276e-10, 1.456001095635294503e-11, 2.097512606735888664e-10, 1.388389638124497259e-10, 1.388389638124497259e-10, 2.740982478166879217e-10, 2.956763244024622757e-10, 2.779534132286945333e-10, 2.627493056041919030e-10
1.851000000000000000e+03, 2.590724063154015600e-10, 3.011412363047032710e-10, 2.121632361169533877e-10, 2.121632361169533877e-10, 9.786666628435164126e-11, 1.469807026521373017e-10, 1.667113043153080552e-10, 1.667113043153080552e-10, 2.622367492292128023e-10, 2.868109007317842947e-10, 2.661847447890655295e-10, 3.011412363047032710e-10
1.852000000000000000e+03, 5.741495623188878666e-10, 3.323229655920663834e-10, 1.643747161890501696e-10, 1.643747161890501696e-10, 4.138072039664864466e-11, 1.122744365821822315e-10, 1.586928638738087596e-10, 1.586928638738087596e-10, 3.295558817392392071e-10, 2.211836245235704606e-10, 3.339219600800397177e-10, 3.323229655920663834e-10
1.853000000000000000e+03, 3.759465333774406136e-10, 3.029703420200468696e-10, 2.806201704255360777e-10, 2.806201704255360777e-10, 1.147243240828648542e-10, 1.068289180576232659e-10, 1.637680010614383972e-10, 1.637680010614383972e-10, 3.115760144728516042e-10, 1.330788503331663167e-10, 3.161344756498271985e-10, 3.029703420200468696e-10
1.854000000000000000e+03, 4.450274633604084375e-10, 3.447155021235039343e-10, 3.074814133857126805e-10, 3.074814133857126805e-10, 1.578456483452940853e-11, 1.723145869497430609e-11, 1.673525419533206499e-10, 1.673525419533206499e-10, 4.145806603588381595e-10, 1.645908029856281782e-10, 4.193104331794328540e-10, 3.447155021235039343e-10
1.855000000000000000e+03, 3.827094943116824250e-10, 4.224370653555981173e-10, 2.277894127555629976e-10, 2.277894127555629976e-10, 1.105478376404314391e-10, 1.325630096866188233e-10, 1.859258512240628461e-10, 1.859258512240628461e-10, 4.770541978508291724e-10, 2.356185767624249996e-10, 4.818275731394278513e-10, 4.224370653555981173e-10
1.856000000000000000e+03, 2.441751373576769886e-10, 4.528808609774799467e-10, 2.237327587676903403e-10, 2.237327587676903403e-10, 5.104809560925712044e-11, 8.723141858273109606e-11, 1.561654150528736545e-10, 1.561654150528736545e-10, 2.558166754924769978e-10, 2.997717369051074980e-10, 2.608953224097981220e-10, 4.528808609774799467e-10
1.857000000000000000e+03, 3.108993142057526328e-10, 3.697843514645010752e-10, 2.923322111291436024e-10, 2.923322111291436024e-10, 4.437877667373532985e-11, 1.327885789492871349e-10, 1.716379190478620746e-10, 1.716379190478620746e-10, 2.717629136510830320e-10, 1.922770270070146759e-10, 2.770373708607569861e-10, 3.697843514645010752e-10
1.858000000000000000e+03, 3.866206853667384924e-10, 5.105437374533330849e-10, 8.755479641766622602e-11, 8.755479641766622602e-11, 7.247247325866362552e-11, 2.997039363613674541e-10, 1.645264218506237332e-10, 1.645264218506237332e-10, 1.694034012689719641e-10, 2.692720587810762827e-10, 1.749715757556970363e-10, 5.105437374533330849e-10
1.859000000000000000e+03, 2.526055809727701148e-10, 3.902318895314323217e-10, 1.840826979795339676e-10, 1.840826979795339676e-10, 7.025799561527507060e-11, 1.045870815539878648e-10, 1.804142620042382071e-10, 1.804142620042382071e-10, 2.771946414839273205e-10, 3.360880761134613923e-10, 2.827869046529213516e-10, 3.902318895314323217e-10
1.860000000000000000e+03, 2.472514213060366241e-10, 4.806709199100040101e-10, 1.354877067179027602e-10, 1.354877067179027602e-10, 3.207108240613407099e-11, 1.649752477283649038e-10, 1.646917844299784840e-10, 1.646917844299784840e-10, 2.295953047449627799e-10, 3.105453573242579066e-10, 2.353140274651363418e-10, 4.806709199100040101e-10
1.861000000000000000e+03, 3.641728111475014462e-10, 4.412368362381142035e-10, 1.411355728959572099e-10, 1.411355728959572099e-10, 1.323181750713281993e-10, 2.163029366851686752e-10, 1.691943625284162720e-10, 1.691943625284162720e-10, 2.962577264226021407e-10, 1.932783850865749672e-10, 3.015459575637825442e-10, 4.412368362381142035e-10
1.862000000000000000e+03, 4.571023234444573073e-10, 2.874930563540848593e-10, 5.852097151471249656e-11, 5.852097151471249656e-11, 2.410604341415595388e-11, 1.065225820937024917e-10, 1.502646855820161858e-10, 1.502646855820161858e-10, 3.326690596686676876e-10, 2.172383736103269193e-10, 3.381696636121530475e-10, 2.874930563540848593e-10
1.863000000000000000e+03, 4.056817480175165731e-10, 3.246766241240994514e-10, 1.894591269746727679e-10, 1.894591269746727679e-10, 2.551478870958078009e-11, 4.124876805341430857e-11, 1.362512848135183669e-10, 1.362512848135183669e-10, 2.151335255707728437e-10, 1.829867322631286410e-10, 2.201956120447753380e-10, 3.246766241240994514e-10
