year, NorESM2-LM, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.143191467479061920e-10, 9.106382394312674856e-11, 6.184613816825230264e-11, 1.640127367073117635e-10, 3.174359422464776451e-11, 1.062400129015596271e-10, 5.698373131561839005e-11, 1.895443905009429441e-10
1.851000000000000000e+03, 1.035121060329623467e-10, 8.918084068574211385e-11, 5.572540407934549798e-11, 1.583466040644599416e-10, 3.291938319092395506e-11, 9.613130580711607271e-11, 5.327856341185593475e-11, 1.908300446646846790e-10
1.852000000000000000e+03, 1.052054948962115240e-10, 8.804105538942299241e-11, 5.510697869533656409e-11, 1.670671094805473227e-10, 2.966889768168745516e-11, 9.645225969390857356e-11, 4.892636976897108273e-11, 1.939371098098611142e-10
1.853000000000000000e+03, 1.048080551488493478e-10, 8.504340919286210477e-11, 5.469619442970535102e-11, 1.818523826869744190e-10, 2.313440125400129029e-11, 9.619498846415975059e-11, 5.523755968621650021e-11, 1.987861717846355979e-10
1.854000000000000000e+03, 1.045946862363573230e-10, 9.532002628903312876e-11, 5.424596105689865381e-11, 2.035644437756455077e-10, 2.239678322676887895e-11, 9.601381837382041257e-11, 5.511612997456953541e-11, 2.028947688525221657e-10
1.855000000000000000e+03, 1.042440779980717082e-10, 9.712238577606617250e-11, 5.375482975719593468e-11, 1.839667013365465887e-10, 2.005564938694624552e-11, 9.566438814424098501e-11, 5.239179504584733375e-11, 2.052585942690534965e-10
1.856000000000000000e+03, 1.039019336185740848e-10, 1.133261436525066801e-10, 5.324464072427350724e-11, 1.956492389220764823e-10, 1.591821767939185192e-11, 9.515444598760879245e-11, 5.781729742215629538e-11, 2.051726163641882225e-10
1.857000000000000000e+03, 1.035493997502348915e-10, 1.056602990459570803e-10, 5.276019659130039059e-11, 2.051821894445180978e-10, 2.271250723227742894e-11, 9.476792530303563711e-11, 6.254454024895578154e-11, 2.058604947629436416e-10
1.858000000000000000e+03, 1.031982836844077142e-10, 1.051324596772960615e-10, 5.228707454829284207e-11, 2.160387856800063641e-10, 2.209452170978179285e-11, 9.428938399088650987e-11, 6.928549225383489448e-11, 2.059788230973826761e-10
1.859000000000000000e+03, 1.028032061981458544e-10, 1.128247054239997536e-10, 5.183268035893655059e-11, 2.130155326514603707e-10, 2.298098052899007773e-11, 9.392493630512232253e-11, 6.589477384619082615e-11, 2.038988632723210258e-10
1.860000000000000000e+03, 1.024278716972213044e-10, 1.072826848752337979e-10, 5.141230556093215602e-11, 2.184921166161561042e-10, 2.984136876272634880e-11, 9.346185271102457878e-11, 7.590873756545320981e-11, 2.063692475190007158e-10
1.861000000000000000e+03, 1.163472123209958480e-10, 1.105145309991735430e-10, 5.816039498784489552e-11, 2.138546963111509280e-10, 2.268956959396189010e-11, 1.058636145807455708e-10, 7.203039319711904931e-11, 2.172845265038767989e-10
1.862000000000000000e+03, 1.156474821008528490e-10, 1.073982714014826333e-10, 5.778529317657720993e-11, 2.129037340255249389e-10, 2.330832812242335342e-11, 1.056462438536695216e-10, 7.686710526978214360e-11, 2.174063645592474515e-10
1.863000000000000000e+03, 1.157907438493900024e-10, 1.132814301174107855e-10, 5.773784852246269168e-11, 1.974875424493768513e-10, 2.721470350101140273e-11, 1.057182463045207586e-10, 8.376554798360268311e-11, 2.132431160661824825e-10
1.864000000000000000e+03, 1.158623368545874640e-10, 1.194806858439919585e-10, 5.761519764932181748e-11, 1.778539223379680207e-10, 1.835913805649831166e-11, 1.050503934141472080e-10, 7.934855717776919480e-11, 2.139514525516079310e-10
1.865000000000000000e+03, 1.159871246854750341e-10, 1.314238264302578102e-10, 5.741894759465619397e-11, 2.097320971835292747e-10, 1.669126009901307959e-11, 1.049251206063110786e-10, 8.278645079249029760e-11, 2.170034966688276398e-10
1.866000000000000000e+03, 1.159569065088423286e-10, 1.211607013903686669e-10, 5.729381366880549835e-11, 2.053588036799241519e-10, 2.216870898513888663e-11, 1.048756724062956072e-10, 7.685398429718734126e-11, 2.227748995262980988e-10
1.867000000000000000e+03, 1.161172400660771181e-10, 1.214287048133810323e-10, 5.730249343002670477e-11, 1.947097308153470747e-10, 3.446321440868943928e-11, 1.045363901489052203e-10, 6.737709763511095658e-11, 2.274104664598205944e-10
1.868000000000000000e+03, 1.163690260039876320e-10, 1.099064234851123437e-10, 5.727125178372956271e-11, 2.165654410869494067e-10, 2.852625057616962882e-11, 1.044263810987689256e-10, 7.452001742288160771e-11, 2.286102988828808905e-10
1.869000000000000000e+03, 1.166383821690992729e-10, 1.136719050625185963e-10, 5.725428269510259621e-11, 1.672141120839398642e-10, 2.943673933040353923e-11, 1.039951176181120908e-10, 7.279319393977417860e-11, 2.173893186922162912e-10
1.870000000000000000e+03, 1.168141191797590792e-10, 1.379638878256662088e-10, 5.720766316928717527e-11, 2.133922976593500870e-10, 2.765071010562203873e-11, 1.040098824091781324e-10, 7.487319639189112828e-11, 2.123036876359081454e-10
1.871000000000000000e+03, 1.007604441930467464e-10, 1.189105411271643901e-10, 4.917513544424271290e-11, 2.629083730605867254e-10, 3.662166501576189763e-11, 8.969595112455850441e-11, 7.637896837536835579e-11, 2.061219843341545135e-10
1.872000000000000000e+03, 1.022672522924871771e-10, 1.206356834829683019e-10, 4.931788863861761190e-11, 2.296383238924529333e-10, 3.329575697743455547e-11, 9.102077548010591656e-11, 7.635452001185761962e-11, 2.151354988583863553e-10
1.873000000000000000e+03, 1.033813939543821907e-10, 1.394741622600064374e-10, 4.960335591584032500e-11, 2.115249063781817659e-10, 3.167579837705518462e-11, 9.177785915605668630e-11, 9.257670547439664672e-11, 2.184318655629755054e-10
1.874000000000000000e+03, 1.043247915760091724e-10, 1.333874344337458507e-10, 4.987089542538346977e-11, 2.141079651943378964e-10, 3.433176387083677143e-11, 9.227734709318452323e-11, 8.618110057073608379e-11, 2.204772600264214856e-10
1.875000000000000000e+03, 1.050955274956741790e-10, 1.452581470539583299e-10, 5.017027844765951555e-11, 2.471660216023429264e-10, 3.476958572989661745e-11, 9.280917874356063142e-11, 7.943259273719549905e-11, 2.201042720605251724e-10
1.876000000000000000e+03, 1.059055421513717106e-10, 1.259736182487994495e-10, 5.051202166831422226e-11, 2.474671703368722327e-10, 3.636507915702217926e-11, 9.358542237326936514e-11, 8.344975352734604491e-11, 2.219072905299457823e-10
1.877000000000000000e+03, 1.067046333245731964e-10, 1.401609529091931315e-10, 5.086222326711999073e-11, 2.658246225769412731e-10, 3.527833133346586919e-11, 9.386573732064055978e-11, 9.204205409586561510e-11, 2.131297197651139337e-10
1.878000000000000000e+03, 1.075918574950960756e-10, 1.403591358455723712e-10, 5.115248769760352585e-11, 2.483737624494889929e-10, 3.380078336645781529e-11, 9.428203201458684526e-11, 9.240398419163502441e-11, 2.129004537091475284e-10
1.879000000000000000e+03, 1.084327554328903829e-10, 1.547481145327826048e-10, 5.146499608636144716e-11, 2.673917900492842541e-10, 3.241876796887822374e-11, 9.487736515243780353e-11, 8.157686101725282429e-11, 2.265078626436308325e-10
1.880000000000000000e+03, 1.092431249688469596e-10, 1.560865239747954552e-10, 5.179688445577792874e-11, 3.063753816435746622e-10, 3.159747719673691180e-11, 9.529427205661187799e-11, 9.598700722420821667e-11, 2.313688289354624517e-10
1.881000000000000000e+03, 1.071567611044845752e-10, 1.370960169255363918e-10, 5.075647141265768546e-11, 2.789270908577742497e-10, 2.991105930126554512e-11, 9.318593305260512122e-11, 8.817346874117252076e-11, 2.390822344791961206e-10
1.882000000000000000e+03, 1.070752647976227478e-10, 1.514559881752687381e-10, 5.037605272912531123e-11, 2.664385168140086491e-10, 2.474984227878320301e-11, 9.383186007165951111e-11, 9.042376956341254892e-11, 2.381405427798106484e-10
1.883000000000000000e+03, 1.078248166800912109e-10, 1.605720122531174412e-10, 5.053988365634871764e-11, 2.336959329716479995e-10, 2.808075261070477671e-11, 9.437914630291786958e-11, 8.827133720077800757e-11, 2.300868413538654968e-10
1.884000000000000000e+03, 1.084623241482241129e-10, 1.607074633795531642e-10, 5.079369086609676298e-11, 2.412691807785996256e-10, 3.550046947635589825e-11, 9.497910168283227961e-11, 9.962259538549831519e-11, 2.333751375378451937e-10
1.885000000000000000e+03, 1.092640262050369066e-10, 1.799258737251060160e-10, 5.109312143531450554e-11, 2.239040346200900648e-10, 3.277390613552710662e-11, 9.561407629532690527e-11, 9.583309254357961493e-11, 2.408061250677410506e-10
1.886000000000000000e+03, 1.100566535233211194e-10, 1.747812523620480767e-10, 5.137084102994353773e-11, 2.310592293146412705e-10, 3.023370444610339735e-11, 9.611279551193030279e-11, 7.929030304179658860e-11, 2.507790749561272205e-10
1.887000000000000000e+03, 1.107547655174500924e-10, 1.465848512432015577e-10, 5.161570131789296539e-11, 2.669599594777337268e-10, 3.601785173797838812e-11, 9.654289017615230996e-11, 9.297983738966543956e-11, 2.548895490683422854e-10
1.888000000000000000e+03, 1.114803775277723829e-10, 1.664710228000414403e-10, 5.184342516180415833e-11, 2.512677966382900385e-10, 2.991360530438040634e-11, 9.702266535359878532e-11, 8.518699877072985671e-11, 2.515228238682563941e-10
1.889000000000000000e+03, 1.121340256107121719e-10, 1.755323547997549890e-10, 5.200399228779360806e-11, 2.373428703970170646e-10, 3.000451678127503133e-11, 9.726539761751076386e-11, 9.051782843013985206e-11, 2.618898443932821436e-10
1.890000000000000000e+03, 1.127996958209536220e-10, 1.815802049539672343e-10, 5.212006859400439224e-11, 2.675328169387815747e-10, 3.472881961848524710e-11, 9.739203505584264430e-11, 9.340926015649400581e-11, 2.605529358701672655e-10
1.891000000000000000e+03, 1.157094562069745379e-10, 1.964364912859135758e-10, 5.324653096260689114e-11, 2.718906759694033970e-10, 3.254280302590969507e-11, 9.929009325248073497e-11, 1.093700159787079597e-10, 2.658986008274601483e-10
1.892000000000000000e+03, 1.153854640192386512e-10, 2.006563915397667300e-10, 5.241892877311031677e-11, 3.275650812589138229e-10, 3.632078644827914479e-11, 1.001776326968715030e-10, 1.312919171246480094e-10, 2.620186931743076139e-10
1.893000000000000000e+03, 1.160271543045532554e-10, 2.111450733342756877e-10, 5.259831778404056742e-11, 3.208664659438603518e-10, 5.351308259573597472e-11, 1.006651366249582268e-10, 1.464183007792717827e-10, 2.632227320904004466e-10
1.894000000000000000e+03, 1.165378040358715576e-10, 1.905843643897011895e-10, 5.274297644163635205e-11, 3.089832561423989045e-10, 4.844361893555462157e-11, 1.009548374966864843e-10, 1.468033389669425231e-10, 2.727500426192636733e-10
1.895000000000000000e+03, 1.170098957439622516e-10, 1.815442753354116506e-10, 5.283500689380764039e-11, 3.236369335504626286e-10, 4.014945360289219783e-11, 1.011984870994699380e-10, 1.205770175028057571e-10, 2.716441046404366236e-10
1.896000000000000000e+03, 1.175087897976006682e-10, 2.071369278316350172e-10, 5.294560694230264584e-11, 3.296027629630977700e-10, 3.848365107853343216e-11, 1.015700035484776533e-10, 1.362483329392619712e-10, 2.733489208171226537e-10
1.897000000000000000e+03, 1.179297436738645605e-10, 1.983535312004866552e-10, 5.300478814650675580e-11, 3.322894938792541994e-10, 3.989441449032202845e-11, 1.017102188398520890e-10, 1.324817786256532006e-10, 2.686051265251476135e-10
1.898000000000000000e+03, 1.182827322841007434e-10, 2.241952854511761242e-10, 5.305430746944245104e-11, 3.148793784535501533e-10, 4.544700559514788668e-11, 1.018633379708813414e-10, 1.251099148817912675e-10, 2.699987957181321069e-10
1.899000000000000000e+03, 1.186415688146997663e-10, 2.320302103439667507e-10, 5.301489235592562609e-11, 2.962806173572301202e-10, 4.042069526901056867e-11, 1.018352983866959444e-10, 1.336304026346790315e-10, 2.691824768598355859e-10
