year, EC-Earth3-Veg, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
1.850000000000000000e+03, 0.000000000000000000e+00, 2.682981911938040066e-11, 2.840081725271073471e-14, 1.504490471938919649e-12, 3.214888968053592540e-11, 1.172472707041364882e-11, 3.623353755754229312e-11, 1.752557554101053067e-11, 3.993378238814665417e-11, 0.000000000000000000e+00
1.851000000000000000e+03, 1.435855485964390790e-10, 3.666775841350321251e-11, 5.915604221024078708e-14, 9.466054340200409989e-12, 4.727716369183500173e-11, 1.970483709597936041e-11, 7.050369066527485777e-11, 6.374845478275373598e-11, 8.853329311713241749e-11, 5.347841602129396425e-11
1.852000000000000000e+03, 1.434349249873595773e-10, 4.412748759739790714e-11, 6.957973484342420755e-14, 9.900836921628087382e-12, 5.804025568275277013e-11, 2.147072307166398965e-11, 7.707605975463798443e-11, 7.604758636536421688e-11, 9.974460223826595368e-11, 5.658007240643467335e-11
1.853000000000000000e+03, 1.426350950547354235e-10, 5.000296390175343251e-11, 8.016315422869044458e-14, 1.033009843522158804e-11, 6.633189086710974274e-11, 2.252588055229363012e-11, 8.343235314058997984e-11, 8.597840577884452037e-11, 1.102340392727123382e-10, 5.996730935894274017e-11
1.854000000000000000e+03, 1.417835103460143265e-10, 5.454466334082584187e-11, 7.694356617562796558e-14, 1.079489341544800810e-11, 7.304163197671748865e-11, 2.344555066348889803e-11, 9.478799889173396614e-11, 9.329067635017084469e-11, 1.178610145741619326e-10, 6.269018365168213624e-11
1.855000000000000000e+03, 1.410960367024945303e-10, 5.830802351360344055e-11, 6.527880709349003339e-14, 1.128171876091784765e-11, 7.812218933174375834e-11, 2.422363082840307872e-11, 1.075691684076330365e-10, 9.970833398485103222e-11, 1.318477735290678890e-10, 6.580254987542965660e-11
1.856000000000000000e+03, 1.413088807483470181e-10, 6.127433763870491362e-11, 7.275993594265261056e-14, 1.171151187242876593e-11, 8.240635592453565959e-11, 2.473285572067416654e-11, 1.181105826911290793e-10, 1.046612529743327503e-10, 1.319914710546755049e-10, 6.969715071463096604e-11
1.857000000000000000e+03, 1.418659163377276513e-10, 6.348830232568785897e-11, 7.235957679614609980e-14, 1.211461526383798445e-11, 8.585548618688192357e-11, 2.503744781219842770e-11, 1.198383232766697534e-10, 1.088710557463509686e-10, 1.425410154011495397e-10, 7.359970181281254840e-11
1.858000000000000000e+03, 1.414790071416616989e-10, 6.527681859178406586e-11, 6.842490864554955447e-14, 1.255122785296375663e-11, 8.835865044900806221e-11, 2.550428613352516649e-11, 1.212332835516917215e-10, 1.123951619020313970e-10, 1.403618914380525250e-10, 7.731862114858975867e-11
1.859000000000000000e+03, 1.413268189840172651e-10, 6.689138989556846280e-11, 6.823972013448262914e-14, 1.299243190568430771e-11, 8.964337601127024272e-11, 2.576141715013443207e-11, 1.185403951047184422e-10, 1.150381838629869370e-10, 1.367869073329668779e-10, 8.057280007880248565e-11
1.860000000000000000e+03, 1.411252857450023580e-10, 5.725790235511747277e-11, 6.327232317920915081e-14, 1.341619140922940583e-11, 8.073178277663290737e-11, 2.163048495399658227e-11, 1.293930388550984891e-10, 1.175464791187472962e-10, 1.431541942043396374e-10, 8.309627357232227514e-11
1.861000000000000000e+03, 1.105609316186299932e-10, 5.780562006723589967e-11, 5.139297223097662140e-14, 1.046679986047988369e-11, 8.272325154662320097e-11, 1.901254527633120573e-11, 1.219830487637109959e-10, 1.056273082890212470e-10, 1.287441214568078634e-10, 5.803322011193083940e-11
1.862000000000000000e+03, 1.092039433691088269e-10, 5.884294104248178478e-11, 4.566842203957960291e-14, 1.031550369551235164e-11, 8.498705398104121517e-11, 1.860146452476330394e-11, 1.206622064876368979e-10, 1.074241012408252452e-10, 1.332972526846558272e-10, 5.710946201321178370e-11
1.863000000000000000e+03, 1.091054386059168185e-10, 5.976989398088178262e-11, 4.921910299719865520e-14, 1.015791087582276560e-11, 8.630795420895977362e-11, 1.833965947191664179e-11, 1.163366030387126272e-10, 1.092536197403330324e-10, 1.464867165171454290e-10, 5.634035371490111273e-11
1.864000000000000000e+03, 1.078535742072338201e-10, 6.045533115423725056e-11, 5.064290312494363394e-14, 9.995636159770732325e-12, 8.735876257680192564e-11, 1.818265778940532686e-11, 1.145941466149229179e-10, 1.110250562225952908e-10, 1.429731660363515414e-10, 5.527922320357959768e-11
1.865000000000000000e+03, 1.089516431764429312e-10, 6.095931162468837385e-11, 4.636300503832154941e-14, 9.808798836706355445e-12, 8.826792966325902798e-11, 1.807688104553642175e-11, 1.216270244610353816e-10, 1.120641913319868009e-10, 1.404176293102468967e-10, 5.424916997846251014e-11
1.866000000000000000e+03, 9.106252762818248811e-11, 6.149693596239854999e-11, 4.309511751132181937e-14, 9.646086166925134310e-12, 8.891338227998154160e-11, 1.805171855558271962e-11, 1.263819373321331083e-10, 1.132776318962817086e-10, 1.431681777638554480e-10, 5.336796730884142832e-11
1.867000000000000000e+03, 9.169205766804602996e-11, 6.209863321472257105e-11, 4.048896864687727274e-14, 9.476950170674815176e-12, 8.941917745284572265e-11, 1.808992623025754148e-11, 1.309310952109647889e-10, 1.142503787226088448e-10, 1.484707245044661358e-10, 5.219121321288415749e-11
1.868000000000000000e+03, 9.163099616375638136e-11, 6.254793801113748794e-11, 4.003506373049459951e-14, 9.308355579606993329e-12, 9.050486688015806896e-11, 1.802991511401129006e-11, 1.270242875491050224e-10, 1.154347286734288666e-10, 1.572195473321507346e-10, 5.127718522751459272e-11
1.869000000000000000e+03, 9.171758881399912560e-11, 6.283144415286526264e-11, 4.020980707339582989e-14, 9.152551543867063116e-12, 9.131483631991723866e-11, 1.783803240035917879e-11, 1.196097749160241787e-10, 1.162631586575875020e-10, 1.579900010464506723e-10, 5.006741472361349759e-11
1.870000000000000000e+03, 9.152381768494378890e-11, 7.675953707714159668e-11, 5.434497936100570763e-14, 8.961899985350050156e-12, 1.062473828715367342e-10, 2.516715900672906925e-11, 1.176254877689880147e-10, 1.169584718296654166e-10, 1.531530960307405255e-10, 4.934178500687513495e-11
1.871000000000000000e+03, 1.222717574693902636e-10, 7.731907435697849765e-11, 6.861725228055423283e-14, 1.367106699863739615e-11, 1.062932940430392578e-10, 3.015657451315584799e-11, 1.345766231744765453e-10, 1.368858713163504233e-10, 1.666206770334266128e-10, 8.684568888335467549e-11
1.872000000000000000e+03, 1.228427909720991733e-10, 7.733296356160519468e-11, 7.129746625654977006e-14, 1.399260057843379424e-11, 1.062551100809364544e-10, 3.140498427852784633e-11, 1.356204697195334200e-10, 1.374601989113045520e-10, 1.738734276284764075e-10, 8.895676003755698491e-11
1.873000000000000000e+03, 1.239749072307218515e-10, 7.733760272121285648e-11, 8.199670069021093831e-14, 1.425012090327135673e-11, 1.060167734971731115e-10, 3.232368802189473494e-11, 1.366604296423730366e-10, 1.379360471172652498e-10, 1.792331238194630022e-10, 9.171614993794446608e-11
1.874000000000000000e+03, 1.242325668773936182e-10, 7.707467725195010630e-11, 8.684339921844008986e-14, 1.450701572331352299e-11, 1.055854581892564773e-10, 3.294292052806340185e-11, 1.333714179874446181e-10, 1.383683073523958671e-10, 1.734994204928540062e-10, 9.449529745165814290e-11
1.875000000000000000e+03, 1.263049524035936299e-10, 7.718457426929623768e-11, 8.312276162778037250e-14, 1.468143575570241640e-11, 1.053288599694075918e-10, 3.332568441377034661e-11, 1.404648942757623900e-10, 1.385449852788560222e-10, 1.766270456486887190e-10, 9.697608877446083891e-11
1.876000000000000000e+03, 1.259543519865185008e-10, 7.737150441223839825e-11, 8.391681545578609392e-14, 1.493196411952434796e-11, 1.052757967266744332e-10, 3.360135193503169417e-11, 1.432160671546340569e-10, 1.389571281635444385e-10, 1.747030044767495306e-10, 9.861717739018379291e-11
