year, MPI-ESM1-2-LR, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
1.850000000000000000e+03, 2.012689760252578019e-10, 8.870795561158483480e-12, 2.840081742106184972e-14, 4.926916983352193423e-11, 1.760481909977295684e-10, 0.000000000000000000e+00, 1.655172266371666814e-10, 0.000000000000000000e+00
1.851000000000000000e+03, 2.105342326257436600e-10, 2.353112610177624990e-11, 5.915604235764998641e-14, 6.571588669577781238e-11, 1.954525584708556818e-10, 1.369394994408544920e-11, 1.678126594014095840e-10, 0.000000000000000000e+00
1.852000000000000000e+03, 2.154079432843251287e-10, 3.454955444793226100e-11, 6.957973544564786750e-14, 7.481045731921183876e-11, 2.055903518438900875e-10, 1.960348430156484200e-11, 1.769679458346686717e-10, 2.911618762130055749e-12
1.853000000000000000e+03, 2.213118503020539748e-10, 4.331702629298276629e-11, 8.016315507746342967e-14, 7.815588309962076006e-11, 2.138419284915072657e-10, 2.264784911801002552e-11, 1.921824811428736660e-10, 5.833549390286935433e-12
1.854000000000000000e+03, 2.263404838930061640e-10, 5.029331274847596119e-11, 7.694356567672984974e-14, 8.536161599972311951e-11, 2.192131761214615820e-10, 2.487209877724525365e-11, 2.143593364903646110e-10, 8.780898818076621465e-12
1.855000000000000000e+03, 2.294847276769183045e-10, 5.581692677664403590e-11, 6.527880738449052196e-14, 8.940867553400670612e-11, 2.235648351107102740e-10, 2.631481873485136851e-11, 1.952484204651821978e-10, 1.171595649277422807e-11
1.856000000000000000e+03, 2.299074942135323568e-10, 6.015822146151530545e-11, 7.275993568379997093e-14, 9.039745972904935187e-11, 2.273872904140149364e-10, 2.761064226567459405e-11, 2.073607495451417064e-10, 1.466063887140152743e-11
1.857000000000000000e+03, 2.308980441454453455e-10, 6.358231194474516737e-11, 7.235957674920983519e-14, 1.013206031352730053e-10, 2.305144880214293223e-10, 2.873961278903939014e-11, 2.172968031308697291e-10, 1.765704153273352897e-11
1.858000000000000000e+03, 2.314827892814739616e-10, 6.629678137879776123e-11, 6.842490895982796520e-14, 1.040414264151665694e-10, 2.324648602283406024e-10, 2.975857837435594304e-11, 2.285900110407821714e-10, 2.070274960340794311e-11
1.859000000000000000e+03, 2.296609089926833933e-10, 6.840067502040766981e-11, 6.823972025146037677e-14, 1.076180708253288359e-10, 2.341446824250807047e-10, 3.070873879006848706e-11, 2.260079612372985845e-10, 2.378509150438344942e-11
1.860000000000000000e+03, 2.280012980751313423e-10, 6.958538717243177808e-11, 6.327232282875925877e-14, 1.166862152643837056e-10, 2.290603022461242454e-10, 3.158750962274531604e-11, 2.319083085072268764e-10, 2.687673828683206929e-11
1.861000000000000000e+03, 2.362993419494806120e-10, 7.099210850888623739e-11, 5.139297182440206536e-14, 1.120628056818580675e-10, 2.288616902277700026e-10, 2.934168781907069173e-11, 2.243214949917206952e-10, 2.725863820398465223e-11
