year, INM-CM4-8, TaiESM1, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, CanESM5
1.850000000000000000e+03, 7.962159253435159734e+00, 5.899307377768683303e+00, 8.105049745206862610e+00, 8.546979325277366257e+00, 5.708035984075809033e+00, 4.292686760134135859e+00, 8.955028911833274208e+00, 8.871323902473422507e+00, 8.620396688544028407e+00, 6.557676034290492062e+00, 6.462209349026306171e+00, 6.404788344819199786e+00, 8.837271748362487855e+00, 7.462518755105226553e+00, 7.461000291232690707e+00, 8.268952999935969217e+00
1.851000000000000000e+03, 8.140545243545373566e+00, 5.948909610718208008e+00, 8.150428511823443856e+00, 8.058783085945918856e+00, 6.204912761849424641e+00, 4.278698817611658711e+00, 9.247949369036613021e+00, 8.064628022453449674e+00, 8.497151863810813666e+00, 7.274515336679475475e+00, 7.118980400550496412e+00, 6.198312785265809310e+00, 8.084394302311768143e+00, 7.146143358528584066e+00, 8.551902806483667518e+00, 7.808174394155741993e+00
1.852000000000000000e+03, 7.970733706409697916e+00, 6.060622228309348714e+00, 8.873067613529952880e+00, 8.534780869329864572e+00, 5.677322845399829454e+00, 4.387334761439355191e+00, 9.214756004667181699e+00, 8.017616099201362090e+00, 8.748771473761875583e+00, 7.227414686813840916e+00, 6.497888699501049636e+00, 6.010940599699251763e+00, 8.259756882592469651e+00, 7.955496306798944595e+00, 8.280631135128933451e+00, 8.145137679600315650e+00
1.853000000000000000e+03, 7.857523929712155741e+00, 5.902077189836480109e+00, 7.615026430199155705e+00, 8.177281547959077912e+00, 6.294208919922265721e+00, 4.469975115448504788e+00, 9.198484249132036439e+00, 8.085510350738127627e+00, 9.095855698969320002e+00, 7.771386171110930441e+00, 6.245683415611804179e+00, 6.227946797338924867e+00, 7.883447847608829662e+00, 7.720566900685883915e+00, 8.615743135950049592e+00, 7.751319272728769860e+00
1.854000000000000000e+03, 8.228022028649771613e+00, 5.688530566453250614e+00, 7.333663351689958532e+00, 8.014152249878010892e+00, 6.551027206402313396e+00, 4.492863309224357948e+00, 8.998743776793732607e+00, 8.793728202246146708e+00, 8.724085524030162020e+00, 7.138391491990173421e+00, 6.501389382321494992e+00, 6.209363110752703641e+00, 8.200586257643772470e+00, 7.833231320692942923e+00, 8.255784115964067027e+00, 7.820345530950297608e+00
1.855000000000000000e+03, 8.147394075312774930e+00, 6.002765764269305748e+00, 7.741319136929744715e+00, 7.453345370235368250e+00, 6.794257475999812890e+00, 4.536770392522218920e+00, 9.242207759585907567e+00, 8.582145714110600565e+00, 8.630672379492029478e+00, 7.094042616572470372e+00, 6.470439376898635686e+00, 6.129565830614470912e+00, 8.304892284638789590e+00, 8.065805059424983270e+00, 8.731328374006233517e+00, 7.871030446122193602e+00
1.856000000000000000e+03, 8.304288058383971105e+00, 6.037995029892112342e+00, 8.087133397733088813e+00, 8.127856160727999324e+00, 6.313685398535800353e+00, 4.618149968913553671e+00, 9.030503476911009741e+00, 7.747827932313749777e+00, 8.896987745279821169e+00, 7.264756903514631325e+00, 6.350378918198344103e+00, 6.172864702622427480e+00, 8.514491171019576754e+00, 7.728832102330786213e+00, 8.187948359739623427e+00, 7.788775427342359947e+00
1.857000000000000000e+03, 7.830504555647555875e+00, 5.842097577891772531e+00, 8.047491894421098024e+00, 8.538971614250261410e+00, 6.131630769644826451e+00, 4.601417264530776485e+00, 8.319070743102644272e+00, 8.695091477592471918e+00, 8.765872376345571482e+00, 7.462636019370692431e+00, 6.446266498329867645e+00, 6.155519562094908359e+00, 8.171460710593338561e+00, 7.404559030097049188e+00, 9.223801707149462459e+00, 7.232024264475478859e+00
1.858000000000000000e+03, 8.007249543545450265e+00, 6.057091291904457719e+00, 7.898711590460221643e+00, 8.419676355514269517e+00, 6.227416412402790868e+00, 4.843672656239919050e+00, 8.525333397912664424e+00, 7.986239442984662595e+00, 8.995492004961603172e+00, 7.488807144959954698e+00, 6.212388207496617021e+00, 6.087048147918702412e+00, 8.057748642791546345e+00, 7.589000377508670070e+00, 8.853026437456909647e+00, 7.649373359350417623e+00
1.859000000000000000e+03, 7.796314668183343066e+00, 6.268121395456986988e+00, 7.843930436145723384e+00, 8.326022194236097462e+00, 6.158397584568086280e+00, 4.828226504960210441e+00, 8.775554771745467164e+00, 8.651834239760496814e+00, 8.851701816742478357e+00, 6.868896948929705815e+00, 6.024927667858801961e+00, 6.164804268541704602e+00, 7.952636617357993210e+00, 7.608940398288156715e+00, 8.181091081490295736e+00, 7.740983326705258349e+00
