year, CanESM5, TaiESM1, ACCESS-ESM1-5, CESM2-WACCM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-LM, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, IPSL-CM6A-LR
1.850000000000000000e+03, -9.544849498838137158e-02, -2.327083112199587744e-02, 1.878444767790165004e-01, -2.068569376641673507e-01, 3.308927150443274900e-02, 3.579224182958439665e-02, -1.491064771749910922e-01, -4.514497587555561797e-02, -2.021142087089028705e-01, 1.168996347173315020e-01, -1.526899511694615186e-01, 4.181371783437176082e-01, -1.096408304734385886e-01, -7.006380906634443462e-02, 1.442542353402716804e-01, -1.041513630509327271e-01
1.851000000000000000e+03, -6.168781597897170232e-02, -9.057299320902628681e-03, -1.296795681235334285e-01, -8.458851874479070276e-02, 1.487362219533944485e-01, 6.577249578003996344e-02, 1.390752053721826080e-02, -2.508483764538297148e-02, -1.935903021019317050e-01, -4.246894969796824459e-02, -2.954154011736528918e-02, 3.642698193857178690e-02, -3.724962415917348890e-02, -5.662496152762703377e-02, 1.247536152163785002e-02, -1.451249465913640180e-01
1.852000000000000000e+03, 6.510967119800886715e-02, -2.650378211272126638e-02, -7.770137042492267221e-02, 2.196802838455188533e-01, 1.782608332648831506e-02, 8.960397680842578649e-02, -1.986594030527339128e-01, -4.374664703884883869e-03, -1.465174142998228735e-01, 8.784457390346894420e-03, -9.317807799044731942e-02, 6.746074335183230297e-02, -6.614001629214119049e-01, 2.031085523686373684e-01, -1.478712226917358596e-02, -9.760359545217726918e-02
1.853000000000000000e+03, -1.167869459934307436e-01, -9.299044402031188955e-03, 2.769967274004763239e-02, -2.908426184452833074e-01, -8.159758147602522160e-02, 9.238670691434497373e-02, -4.444180142272287637e-01, -3.208562783481498648e-02, -1.777496837170423893e-01, -2.855874560451280783e-02, -1.851704252938431942e-03, 1.965827777572771717e-01, -8.070658510737444002e-01, 2.016768651358260556e-01, -1.463984305949278530e-01, -4.926741112456187177e-02
1.854000000000000000e+03, -6.523318540882165617e-03, -7.750524207127605647e-02, 7.087665735931500399e-02, -3.649492657059635881e-01, -3.152342696603733369e-02, 1.304812941697796880e-01, -5.544532561928999098e-02, -2.076621144084799808e-01, -3.369852213653575790e-01, 6.513119590751144383e-02, -1.297975910827657564e-01, 1.439502710055849954e-01, -4.330025614911371390e-01, 1.856905853870898238e-01, -6.211732391230326278e-02, -2.792061442324488690e-02
1.855000000000000000e+03, 1.036512062981840981e-01, -1.041447528817348867e-01, -1.858167452579861240e-02, -2.671630755887899333e-01, 6.181736127461658764e-02, 2.203755662106100244e-01, 7.388074452775973688e-02, -5.722075120562654382e-02, -2.454960964123290845e-01, -2.371333156912243945e-01, -7.982137908236340562e-02, 2.257729625577271082e-01, -8.444120384521094924e-02, 3.170157887231898203e-02, 1.988399991217163279e-02, -2.134755722206345754e-02
1.856000000000000000e+03, -5.044855472107968863e-02, -8.706644038509364636e-02, -6.448446604353837847e-04, -7.839124914100972785e-02, -1.440899071338909605e-02, 2.177996495381204212e-01, -2.042141348434105830e-01, -1.177251521308847991e-02, -1.071968490822899495e-01, -1.582698510803363379e-01, -1.522110772323416461e-01, 7.861680563750196582e-02, 1.565262782200831648e-01, -1.080177692766182002e-01, -1.832140255213688396e-01, -9.536255037611558391e-03
1.857000000000000000e+03, -2.674019070401460474e-01, -6.857443609108092308e-02, -1.678786412478003032e-01, 1.798003168172282451e-01, 1.802108905851463327e-01, 9.482116128998319127e-02, 2.987655601719118037e-01, -6.310180211906900594e-01, -2.313012069823560113e-01, -7.054818291647226014e-02, 7.339748384992428321e-02, 2.068846655405719992e-01, -2.219012668690988621e-01, -2.074644039528807660e-01, 5.386020724031603119e-02, -1.912516524681434626e-02
1.858000000000000000e+03, 3.253544569571415607e-02, -5.464792627618272891e-03, -3.409540993294404854e-02, 1.531084508863095883e-01, -1.128400470395395094e-01, 1.047623890854602474e-01, -1.563434266672771022e-01, -4.070341535184596182e-01, 7.210914108242995856e-03, 2.026014288293615517e-01, -6.275545428583531593e-02, 2.353487429339143067e-01, -2.792807751627583990e-01, -2.186644436172918357e-02, -1.906172928487174512e-01, -1.767985785445395572e-02
1.859000000000000000e+03, -1.855573906599290168e-01, 6.339192171101895590e-02, -5.732550444453329494e-03, -1.734676562028061308e-01, -2.212197947940341136e-01, 6.493446990642384731e-02, -1.805275485945954106e-01, -3.985299352294297548e-01, -2.825212717498627457e-01, -1.061466386135089535e-01, -9.972036889509468260e-02, 4.814984086804695307e-02, -2.415199014106488296e-01, 6.264987410288877512e-02, 6.154957925709529654e-02, -9.107699158912109516e-03
