year, IPSL-CM6A-LR, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM, CESM2-WACCM, INM-CM4-8, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, INM-CM5-0, CanESM5, CMCC-CM2-SR5
1.850000000000000000e+03, 1.860348409432769579e+00, 4.785806124824239838e+00, 3.829476546367044154e+00, 2.251987392484305683e+00, 3.706217837281230665e+00, 4.235712752568903561e+00, 3.147560340003991097e+00, 3.986543135205288468e+00, 4.060593598728519993e+00, 5.536562059286688431e+00, 4.499750132042418471e+00, 5.258210999944894048e+00, 2.697446971804780880e+00, 4.534610101509812807e+00, 4.619456969281294789e+00, 3.619345019472199887e+00
1.851000000000000000e+03, 1.822605116811907733e+00, 4.584781007766231653e+00, 3.629400428148015223e+00, 2.261923236796653303e+00, 3.647234397514139026e+00, 4.219901373641993025e+00, 3.481774600776442963e+00, 4.059388086966468911e+00, 4.133866518954936176e+00, 5.713974658169747478e+00, 4.943211232877700034e+00, 4.759153285224195784e+00, 3.051768327922004698e+00, 4.092747220544667996e+00, 4.351037021747488076e+00, 4.180484064658936738e+00
1.852000000000000000e+03, 1.909185792665276216e+00, 4.830734593297137280e+00, 3.575463601500028510e+00, 2.298983473745548345e+00, 3.948679967904106913e+00, 4.362411703700959542e+00, 3.470786628652822614e+00, 4.445770052545784168e+00, 4.059583766431465790e+00, 5.703518639137932666e+00, 4.536025246542096490e+00, 4.801789715032731998e+00, 2.654215722406310984e+00, 4.173050246584189438e+00, 4.603644332422367036e+00, 3.991846209327913009e+00
1.853000000000000000e+03, 1.949985893750038723e+00, 4.697542993927860344e+00, 3.700655859725759722e+00, 2.244506526922726231e+00, 3.831716073544214840e+00, 4.473996943266627113e+00, 3.769006578384083817e+00, 3.781897562873460572e+00, 4.000867232721108557e+00, 5.691638926963179301e+00, 4.340131768181189287e+00, 4.802159838138568837e+00, 2.851048252529841065e+00, 4.045110297572731106e+00, 4.361682822220283029e+00, 4.175937533227923382e+00
1.854000000000000000e+03, 1.971403315387650457e+00, 4.573195827032720651e+00, 3.690922319572171428e+00, 2.151072392600866579e+00, 3.755436551424630398e+00, 4.260339678584299072e+00, 3.504581616778724928e+00, 3.644481170778313572e+00, 4.187010851622216201e+00, 5.549726355485661067e+00, 4.510339671266405226e+00, 5.202616245945144158e+00, 3.080727072545637046e+00, 4.177312619216593248e+00, 4.430085615317978842e+00, 4.041711743352804476e+00
1.855000000000000000e+03, 1.983382351634222607e+00, 4.263034989768087257e+00, 3.628133388265485593e+00, 2.255019918729843642e+00, 3.793917588628139104e+00, 4.281785801892575627e+00, 3.467203838976251173e+00, 3.888587914570439619e+00, 4.172191340790899261e+00, 5.723033937635770840e+00, 4.512962884971998712e+00, 5.082007613994402817e+00, 3.225706439767463074e+00, 4.239786846642728868e+00, 4.469047597186592391e+00, 4.247866748171580831e+00
1.856000000000000000e+03, 2.026082992325775489e+00, 4.693039002172098684e+00, 3.660134030621496226e+00, 2.286090773738902016e+00, 3.707161121144955107e+00, 4.429962568261344380e+00, 3.540709291760613553e+00, 4.093170570237520955e+00, 4.245798073370040449e+00, 5.596586717980264858e+00, 4.419436057620321101e+00, 4.625054915298350444e+00, 3.116832897614781217e+00, 4.292794186965100955e+00, 4.386775559428038207e+00, 3.949055696486291289e+00
1.857000000000000000e+03, 2.011852566274526133e+00, 4.902245290054104920e+00, 3.586582528071431408e+00, 2.184980694256132949e+00, 3.581295081598605989e+00, 4.283951032342850240e+00, 3.639204156926580502e+00, 4.074833341584354507e+00, 3.982051942737605543e+00, 5.109122690645095943e+00, 4.495666384935542048e+00, 5.152088460805646974e+00, 2.968207525344310316e+00, 4.168356576561301097e+00, 4.042850279027633498e+00, 4.559609099778263008e+00
1.858000000000000000e+03, 2.086626105288673649e+00, 4.836680761940282736e+00, 3.610486865756108887e+00, 2.309730905071320173e+00, 3.749145647938396664e+00, 4.477351923246795096e+00, 3.625233394763102801e+00, 3.856516260388694661e+00, 4.082670842996182436e+00, 5.263272596245741397e+00, 4.289040635731558915e+00, 4.741287755497621603e+00, 2.996500759431986793e+00, 4.132020637499209670e+00, 4.345830286979458279e+00, 4.234114984791432335e+00
1.859000000000000000e+03, 2.089763696709570517e+00, 4.823010284225945909e+00, 3.648315530008841456e+00, 2.385255447288759267e+00, 3.739635811076877037e+00, 4.331693494482468765e+00, 3.297374785382688689e+00, 3.787145929683304768e+00, 3.955924474711617123e+00, 5.419179714832513817e+00, 4.177682072861115259e+00, 5.102506823522515056e+00, 2.957411995952994310e+00, 4.017089679649465950e+00, 4.335394636118165224e+00, 3.926389759815652525e+00
1.860000000000000000e+03, 2.036781633275251302e+00, 4.806277790919399884e+00, 3.575284253580302885e+00, 2.240254169797907036e+00, 3.544958964560856796e+00, 4.274068494569859489e+00, 3.374211253982567715e+00, 4.083786854769953401e+00, 4.005871693303844516e+00, 5.834661003033533078e+00, 4.238860935063139657e+00, 4.971300365799083743e+00, 2.867752190273542556e+00, 4.052444192048001881e+00, 4.559172264398676511e+00, 4.143882577767001862e+00
1.861000000000000000e+03, 2.109579886675488236e+00, 5.195380737486534173e+00, 3.643723390279266727e+00, 2.246242978954223535e+00, 3.623443605558074321e+00, 4.408952201272618332e+00, 3.538614760675315996e+00, 3.944717817726148379e+00, 4.088882889781102925e+00, 6.123837488860496059e+00, 4.234390562152151816e+00, 5.104393874306723866e+00, 2.894699111063416375e+00, 4.336253334677249605e+00, 4.423178018075838658e+00, 4.220379088717493232e+00
1.862000000000000000e+03, 2.018904508036615475e+00, 5.037747911898935449e+00, 3.713746733059572591e+00, 2.398386544992438196e+00, 3.547296328424875522e+00, 4.193894651653364392e+00, 3.522265208081645671e+00, 3.653849095713498585e+00, 4.099373690445697882e+00, 6.034638934358281581e+00, 4.527815760879839502e+00, 4.872979306970016466e+00, 2.799493971547726279e+00, 4.146645787605096167e+00, 4.770087826978840262e+00, 3.981813800026765993e+00
1.863000000000000000e+03, 2.036103639242420105e+00, 5.135982590551248173e+00, 3.763740695681418114e+00, 2.270123539589752326e+00, 3.844938702892181315e+00, 4.225874592996244239e+00, 3.493130966547284277e+00, 3.832820936260592060e+00, 4.233902625902164374e+00, 5.657010068186630214e+00, 4.500832544707860983e+00, 5.117215952776672516e+00, 2.680885820001480013e+00, 3.893890476580211146e+00, 4.591660862458730286e+00, 4.320590797145850814e+00
1.864000000000000000e+03, 1.955189848336339908e+00, 4.779148403745947071e+00, 3.759015187343613729e+00, 2.255308363748058209e+00, 3.805352648472081434e+00, 4.539065518318269099e+00, 3.526713101796586258e+00, 3.853749673338362491e+00, 4.061083267023152032e+00, 5.663882610168148979e+00, 4.150795328579613752e+00, 4.777610913064824771e+00, 3.221163194928139184e+00, 4.017323214581876911e+00, 4.311614516431752975e+00, 4.180323320344293769e+00
1.865000000000000000e+03, 2.060593099013750873e+00, 4.854259294360998567e+00, 3.798894397644095200e+00, 2.354886134697103284e+00, 3.598275844557472070e+00, 4.319511544050423701e+00, 3.566667358352749506e+00, 3.889646724638924802e+00, 4.083306866244398314e+00, 5.904825695689137177e+00, 4.472382456835482856e+00, 4.960202658621575722e+00, 3.165446680235550758e+00, 4.142992577530660192e+00, 4.414444233411744634e+00, 4.134249321677838651e+00
1.866000000000000000e+03, 2.069121232735625870e+00, 5.174638589005466471e+00, 3.827833594472995760e+00, 2.257014741703846195e+00, 3.627554997544064186e+00, 4.459434049288169888e+00, 3.416245629707777454e+00, 3.973802026332856396e+00, 4.088703447272122204e+00, 6.097327104547603405e+00, 4.356351577867812352e+00, 4.898584890558847604e+00, 3.091986267478640027e+00, 3.948988530123486829e+00, 4.590378568165847106e+00, 4.158480995729544993e+00
1.867000000000000000e+03, 2.007327550942173744e+00, 4.784851274876083416e+00, 3.797655368956724065e+00, 2.476358053115357283e+00, 3.609915142351690420e+00, 4.330057873681880665e+00, 3.296317583188306255e+00, 3.780720539874777408e+00, 4.227197399946288847e+00, 5.999036402658209255e+00, 4.525018635452452642e+00, 5.150637169975425422e+00, 2.923568851228671495e+00, 4.287940879730613553e+00, 4.436467031003062722e+00, 4.226159244208319343e+00
1.868000000000000000e+03, 2.013166667871901794e+00, 4.887565269867681472e+00, 3.800960190035069353e+00, 2.468222485488377416e+00, 3.850996697565239657e+00, 4.146261036961466750e+00, 3.485281940170991799e+00, 4.037844467499996703e+00, 4.323215351776097393e+00, 5.910489962414947840e+00, 4.177585004811209757e+00, 4.719938505329659861e+00, 2.894762706903101890e+00, 4.442692095153717879e+00, 4.758520836808907362e+00, 4.112736761266709173e+00
1.869000000000000000e+03, 1.774349487300650452e+00, 4.832722219447904699e+00, 3.614683973186336718e+00, 2.329460026195166567e+00, 3.627117930318385142e+00, 4.470809630725746331e+00, 3.281850455620244134e+00, 3.990165661879442993e+00, 4.230938765753055719e+00, 5.953937132226321260e+00, 4.571074047066113977e+00, 4.908470694463471062e+00, 2.891963065968106150e+00, 4.088390633767112092e+00, 4.593104628506465836e+00, 3.954201585137285591e+00
1.870000000000000000e+03, 1.988491236341749291e+00, 4.851999287647800863e+00, 3.610688389626118600e+00, 2.178390130084583820e+00, 3.501358904214889378e+00, 4.312043405959920861e+00, 3.645669436392659613e+00, 4.276632958235109250e+00, 4.138387442031207009e+00, 5.534978540356560117e+00, 4.621851085818223126e+00, 5.167242335439072853e+00, 2.913272665504112346e+00, 3.846231665040478198e+00, 4.866586931782427961e+00, 4.118845874466749990e+00
1.871000000000000000e+03, 2.158629248393523881e+00, 4.555498122354512347e+00, 3.621513009526758253e+00, 2.305153575938088562e+00, 3.727510204449322018e+00, 4.521550573228730663e+00, 3.374756131259261771e+00, 4.059077825016503382e+00, 4.530557010549122410e+00, 5.733430317648648078e+00, 4.557065113567426273e+00, 4.973937307110816164e+00, 3.066646415080841681e+00, 4.231676838859260492e+00, 4.370693697766770747e+00, 4.531851518347057350e+00
