year, MPI-ESM1-2-LR, INM-CM5-0, EC-Earth3-Veg, CanESM5, CESM2-WACCM, INM-CM4-8, UKESM1-0-LL, NorESM2-MM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR
1.850000000000000000e+03, 1.740942806702165724e+00, 1.628280715234502019e+00, 1.286289399635860420e+00, 1.352048990309705268e+00, 1.509835476952674505e+00, 1.582162094180268319e+00, 1.476437138352868272e+00, 1.408401524299190744e+00, 1.377517330571143006e+00, 1.650017921503675655e+00, 1.622748963428610525e+00, 1.416351200433140889e+00, 2.005296257685602157e+00, 1.436574208131325303e+00, 1.705021995370992638e+00, 1.530947423518556283e+00
1.851000000000000000e+03, 1.716759989316497537e+00, 1.541061171634491522e+00, 1.358928251649069052e+00, 1.404543114446956231e+00, 1.433096579146581062e+00, 1.649423568294037468e+00, 1.443072168794980792e+00, 1.377288885010496733e+00, 1.369755117080723394e+00, 1.748518217078343984e+00, 1.659821566289161776e+00, 1.448279635858827907e+00, 1.943237671019206303e+00, 1.525185329583179428e+00, 1.748871675584158458e+00, 1.587350485416743284e+00
1.852000000000000000e+03, 1.711162832082693486e+00, 1.550381461323561805e+00, 1.271253027833346039e+00, 1.484809310714500841e+00, 1.524468163163092083e+00, 1.548380540046303100e+00, 1.531078061900547072e+00, 1.400359463040808272e+00, 1.428320182096434410e+00, 1.759367457582065919e+00, 1.542008211924268402e+00, 1.471652458640981598e+00, 2.011165952691981840e+00, 1.492660318065816227e+00, 1.720042778103849201e+00, 1.649947005102395892e+00
1.853000000000000000e+03, 1.883151253248935175e+00, 1.674381451263287079e+00, 1.276998589468900880e+00, 1.495464959597301746e+00, 1.442831838922231658e+00, 1.617360776804146694e+00, 1.501894478683912348e+00, 1.382532679436191625e+00, 1.379323620960114738e+00, 1.673387484932693292e+00, 1.631682963554301979e+00, 1.539971651779360018e+00, 1.948092812411513108e+00, 1.569509183223834814e+00, 1.655196664273830054e+00, 1.612873452168066990e+00
1.854000000000000000e+03, 1.938544712580808627e+00, 1.633694898898904402e+00, 1.305533956126255335e+00, 1.378692483056370266e+00, 1.515966227840486846e+00, 1.590657160431950157e+00, 1.510870748786626638e+00, 1.280713235005750628e+00, 1.304743785571981007e+00, 1.770434635247485566e+00, 1.598346384874593573e+00, 1.413846391655546819e+00, 1.890191570479277106e+00, 1.561976052732091613e+00, 1.708292630792008771e+00, 1.586365605795101441e+00
1.855000000000000000e+03, 1.754764952485098783e+00, 1.587296233858525252e+00, 1.355721163375188221e+00, 1.424417494730868983e+00, 1.449789508470197275e+00, 1.600166231554933205e+00, 1.474994139108239066e+00, 1.401352383670684487e+00, 1.354025820863145047e+00, 1.676211895756365644e+00, 1.511875822815605508e+00, 1.477253107816728139e+00, 1.915930410919381321e+00, 1.498692943508727060e+00, 1.756275059484197820e+00, 1.667793723711112008e+00
1.856000000000000000e+03, 1.776116539902009794e+00, 1.620645831376019474e+00, 1.328739580197186632e+00, 1.467561835003119652e+00, 1.494937669596633434e+00, 1.677518272649966447e+00, 1.627680358491807588e+00, 1.474169176986123597e+00, 1.342156308419100164e+00, 1.680530871059318532e+00, 1.584076715512262146e+00, 1.511893807525692690e+00, 1.911847553726294890e+00, 1.556197421572203421e+00, 1.711650140510818208e+00, 1.661770245666098322e+00
1.857000000000000000e+03, 1.813781162454662255e+00, 1.629410251712994473e+00, 1.321248850510514661e+00, 1.408989866495302223e+00, 1.379897984836230940e+00, 1.617288761210254222e+00, 1.566620473764813726e+00, 1.479403141015497969e+00, 1.293868886587295819e+00, 1.724846395508534469e+00, 1.523235460795029583e+00, 1.521376917558217023e+00, 1.958357135627888601e+00, 1.516275471257858554e+00, 1.720584048451497372e+00, 1.696640968817584527e+00
1.858000000000000000e+03, 1.771398181161916829e+00, 1.706040340047987769e+00, 1.325517263770979559e+00, 1.413594473745130697e+00, 1.375666118486987610e+00, 1.610612359495213530e+00, 1.521966546472182547e+00, 1.389305497561832192e+00, 1.369048534410170381e+00, 1.710355630302777152e+00, 1.584443956296218259e+00, 1.547541916212940460e+00, 1.923040221152803930e+00, 1.504017608431776898e+00, 1.672565528095743215e+00, 1.698870252943926573e+00
1.859000000000000000e+03, 1.751368380844360084e+00, 1.572794781048485691e+00, 1.331356226012457844e+00, 1.429684636722512225e+00, 1.467619919015334062e+00, 1.478733752168274185e+00, 1.614006439810128590e+00, 1.440000078531793459e+00, 1.353923254672199983e+00, 1.712111791878343947e+00, 1.512501154651170854e+00, 1.484089088571445503e+00, 1.896552963217640997e+00, 1.484938373408911660e+00, 1.673944022897092543e+00, 1.660509259577880981e+00
