year, GFDL-ESM4, CanESM5, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1
1.850000000000000000e+03, 4.143621209678093997e+00, 4.711338885845615110e+00, 3.271818060874808420e+00, 2.357021440740798113e+00, 3.675116422074619749e+00, 4.056504371481334026e+00, 1.844860473566193315e+00, 4.858032129280980271e+00, 3.644352223294421211e+00, 3.641632086823340053e+00, 5.488318639087377271e+00, 4.638734768819590570e+00, 4.315259477875764915e+00, 2.187379325441657141e+00
1.851000000000000000e+03, 4.095346912436571785e+00, 4.409020636124034276e+00, 3.412847518245706091e+00, 2.532948774327896224e+00, 3.554377379869662068e+00, 4.014884729730122004e+00, 1.846921099898020557e+00, 4.490547157415043955e+00, 3.888815119649251528e+00, 3.751823019879492183e+00, 5.635380107873809052e+00, 4.599022793651083241e+00, 4.593143614076369730e+00, 2.163098270028769754e+00
1.852000000000000000e+03, 4.139578458162817221e+00, 4.534838247620032625e+00, 3.489538836432661828e+00, 2.642879163950831334e+00, 3.617940186202308617e+00, 4.110611100851786048e+00, 1.881179578605533198e+00, 4.591734241905647274e+00, 3.884630894789804056e+00, 3.642776356583297570e+00, 5.598834242733937927e+00, 4.796020708967319024e+00, 4.300162877452920362e+00, 2.217901372969004470e+00
1.853000000000000000e+03, 4.308987224150964579e+00, 4.474761187964801934e+00, 3.651963777150673884e+00, 3.071629282870942834e+00, 3.437385285621458841e+00, 3.958337968681984620e+00, 1.865581430836397825e+00, 4.766048564018832145e+00, 4.021172471100148194e+00, 3.660954232851391765e+00, 5.610290399765098357e+00, 4.696826722413119271e+00, 4.218132175183959554e+00, 2.140410930201834816e+00
1.854000000000000000e+03, 4.196308655450039282e+00, 4.432882965234864692e+00, 3.563931381090981620e+00, 2.862042420323879899e+00, 3.356827045275581511e+00, 3.939063535251914772e+00, 1.853982863091035549e+00, 5.063405835842592850e+00, 3.955279074863214284e+00, 3.606864983616244746e+00, 5.641109235643900988e+00, 4.478855624945350833e+00, 4.312218202817971857e+00, 2.110872416983606392e+00
1.855000000000000000e+03, 4.085696280119900159e+00, 4.361705719033603934e+00, 3.418887628569999837e+00, 2.678431440259379848e+00, 3.584768995232936017e+00, 4.022073213892260135e+00, 1.869564479116889277e+00, 4.822598832966806803e+00, 4.059214851432635385e+00, 3.632769866900099398e+00, 5.661667288183557467e+00, 4.472407190411005651e+00, 4.180500597826675602e+00, 2.229611001260662917e+00
1.856000000000000000e+03, 4.203280052815737911e+00, 4.433554005604401382e+00, 3.596264109203789694e+00, 2.400803346788783710e+00, 3.634306143247237664e+00, 4.061488274463120440e+00, 1.894092478460151607e+00, 4.535487609058550085e+00, 3.945207807151231094e+00, 3.646146926637631847e+00, 5.487750772885918948e+00, 4.820672520738819244e+00, 4.145209937565275560e+00, 2.257816469129964698e+00
1.857000000000000000e+03, 4.178223407217044105e+00, 4.306587572477693193e+00, 3.467097048972352269e+00, 2.612591957663292774e+00, 3.570592080640119903e+00, 3.754979387360321663e+00, 1.884132721596818660e+00, 4.880295089701556677e+00, 4.117972264610878064e+00, 3.739230945797373806e+00, 5.617862359073162004e+00, 4.939655656551654950e+00, 4.069393114651048471e+00, 2.128832601178162420e+00
1.858000000000000000e+03, 4.198369391433812048e+00, 4.309633069141675321e+00, 3.575531636892484766e+00, 2.655527657574434652e+00, 3.660720530183273702e+00, 3.473315243782697959e+00, 1.951559996362151717e+00, 4.674018441986373951e+00, 4.065992915647669292e+00, 3.628812070889419150e+00, 5.546991838858772006e+00, 4.597376157929691232e+00, 4.078465123962534911e+00, 2.193296741696430185e+00
1.859000000000000000e+03, 4.284284039288058565e+00, 4.517312892825723125e+00, 3.287697482473700195e+00, 2.687766034644591961e+00, 3.516905320173491223e+00, 3.832076702613773200e+00, 1.947541518599188448e+00, 4.749599455622311339e+00, 3.932110194241289491e+00, 3.637774340852016230e+00, 5.693510665349281297e+00, 4.894248240630839852e+00, 4.137779154546085358e+00, 2.190680433183091136e+00
