year, NorESM2-MM, ACCESS-ESM1-5, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, CanESM5, CMCC-CM2-SR5
2.015000000000000000e+03, 8.272960323554745088e+00, 1.168349719135156306e+01, 5.030614316793249685e+01, 5.178627986185123433e+01, 6.544891739899264849e+01, 8.454450279789625711e+00, 1.382834458247903164e+01, 7.134897769401611356e+00, 1.514037004956275023e+00, 1.628400622256499020e+01, 6.100983493398432245e+01, 1.516347302132943398e+01, 9.949154439707196929e+00
2.016000000000000000e+03, 8.465008921734382241e+00, 1.168592846090165160e+01, 5.024167866566671137e+01, 5.188456211884060565e+01, 6.549506410996012562e+01, 8.557423426595676119e+00, 1.387229608175492324e+01, 7.106068412111545385e+00, 1.488598201384591979e+00, 1.599902193520216365e+01, 6.126285318185841788e+01, 1.535025344551352333e+01, 9.785488777250561654e+00
2.017000000000000000e+03, 8.484782938187326096e+00, 1.160648262721444723e+01, 5.031251229286621651e+01, 5.190859238433478140e+01, 6.572492355461677960e+01, 8.335153937798413182e+00, 1.401182081730750717e+01, 7.079647590257319045e+00, 1.494738992187874205e+00, 1.575517797694194577e+01, 6.153989433504874285e+01, 1.554498208943048354e+01, 9.813894780435029830e+00
2.018000000000000000e+03, 8.410046964327882790e+00, 1.161301528117987303e+01, 5.042166253882740534e+01, 5.194886905135965094e+01, 6.591687183003658390e+01, 8.224065480182376930e+00, 1.405980473642131656e+01, 7.167594238796094253e+00, 1.548535774055312730e+00, 1.589686337275714401e+01, 6.175550320745601596e+01, 1.557200523461953878e+01, 9.823922995297003524e+00
2.019000000000000000e+03, 8.486301407797007812e+00, 1.161100684546992134e+01, 5.049329117703521774e+01, 5.200807116496897464e+01, 6.602258106484940470e+01, 8.254543851744561067e+00, 1.410107196281933994e+01, 7.347652268971723188e+00, 1.526695533106148250e+00, 1.631769707661528557e+01, 6.188863151167728205e+01, 1.577602430927499455e+01, 9.539070145401785439e+00
2.020000000000000000e+03, 8.586075046028099678e+00, 1.164134561058119388e+01, 5.054052446238151930e+01, 5.203759934284447297e+01, 6.635801025458039248e+01, 8.346119689565256294e+00, 1.424623822289143682e+01, 7.581340523398023556e+00, 1.505815677806073838e+00, 1.613021477549718341e+01, 6.195100543565282436e+01, 1.587276964474723329e+01, 9.449487895606964116e+00
2.021000000000000000e+03, 8.601465892569491345e+00, 1.167612863690906977e+01, 5.059161120921210397e+01, 5.217419899149766138e+01, 6.632104982690431427e+01, 8.515409104608909985e+00, 1.432795214206894308e+01, 7.530957184769373036e+00, 1.513009968599804855e+00, 1.594022531322622704e+01, 6.190433079766167168e+01, 1.601034850357257966e+01, 9.567992623817682230e+00
2.022000000000000000e+03, 8.442892876705192506e+00, 1.165154473250865053e+01, 5.058002456552134873e+01, 5.224889452025959002e+01, 6.652858440536466844e+01, 8.619549881859338569e+00, 1.441127142117404070e+01, 7.404551906658827676e+00, 1.577538439703209727e+00, 1.566573022739614451e+01, 6.195949108959727880e+01, 1.608587729361935104e+01, 9.527056888815035762e+00
2.023000000000000000e+03, 8.223325754730625547e+00, 1.165909960820816238e+01, 5.066752956593397528e+01, 5.238188988056990780e+01, 6.677379917695141387e+01, 8.757468865114505618e+00, 1.442981615155428265e+01, 7.213874649831269359e+00, 1.534482205150041523e+00, 1.581893337545396250e+01, 6.206487379727492026e+01, 1.600592249560530789e+01, 9.493895029375851280e+00
2.024000000000000000e+03, 8.322054637192044524e+00, 1.165080753886087095e+01, 5.084537389279150688e+01, 5.251003381510457757e+01, 6.681641202339891095e+01, 8.888272438031417977e+00, 1.453722020708381635e+01, 7.183301663625142552e+00, 1.552608720827984179e+00, 1.600543062019580987e+01, 6.222216122846937481e+01, 1.588389967414953219e+01, 9.305808866732073525e+00
2.025000000000000000e+03, 8.554103542894745615e+00, 1.169776332403012908e+01, 5.089775502609515456e+01, 5.259682683528980363e+01, 6.694829863495128563e+01, 8.894912815447959531e+00, 1.464724380138999571e+01, 7.362623604722000614e+00, 1.538855566234494487e+00, 1.619049944228532922e+01, 6.232433867008898432e+01, 1.570800588027941735e+01, 9.328204330534392241e+00
2.026000000000000000e+03, 8.700321373508360878e+00, 1.169539739885558127e+01, 5.092625105512902906e+01, 5.266513416967781325e+01, 6.709587447984436892e+01, 8.933999072064841229e+00, 1.476153814447691381e+01, 7.514511437967833274e+00, 1.453661973556929832e+00, 1.628069791074748451e+01, 6.229869301534629500e+01, 1.583029275882201858e+01, 9.381870489878794572e+00
2.027000000000000000e+03, 8.646137866822993345e+00, 1.164471123558315213e+01, 5.099559413695563848e+01, 5.269983988876609260e+01, 6.722704031318095019e+01, 8.792002380446485077e+00, 1.485521334948579586e+01, 7.323159943493547708e+00, 1.509654042087343662e+00, 1.657341363564463776e+01, 6.238876132154759091e+01, 1.582195681846140189e+01, 9.383594357967561805e+00
2.028000000000000000e+03, 8.700823157138735553e+00, 1.173759807436194436e+01, 5.111700775018846343e+01, 5.270032020374633674e+01, 6.731824281463990189e+01, 8.720844062796782481e+00, 1.492717274535096195e+01, 7.308288048157017158e+00, 1.562186483406956983e+00, 1.647437211938379420e+01, 6.248104837216136076e+01, 1.581466629891472486e+01, 9.331099825233300393e+00
2.029000000000000000e+03, 8.702655154628608614e+00, 1.188092003060532065e+01, 5.118870844183381053e+01, 5.273665114825098499e+01, 6.756807465536999757e+01, 8.711955381897640294e+00, 1.500762656269226270e+01, 7.319566484425264363e+00, 1.478642538737657830e+00, 1.636816517949370819e+01, 6.249588304229376234e+01, 1.582251495023024468e+01, 9.151930394208001474e+00
2.030000000000000000e+03, 8.611677307804638914e+00, 1.187331442876273790e+01, 5.139455770654515732e+01, 5.285893236821139141e+01, 6.778181014373755886e+01, 8.711575329428004721e+00, 1.508617002869445400e+01, 7.239967151330864326e+00, 1.477190823193333946e+00, 1.663534134093567474e+01, 6.250659697435234108e+01, 1.572032713613258537e+01, 9.188990247110398357e+00
2.031000000000000000e+03, 8.641353999523623486e+00, 1.184539137853656676e+01, 5.156146448572874874e+01, 5.294980878837902338e+01, 6.793675104177602009e+01, 8.650189525807377322e+00, 1.514472013193490518e+01, 7.279610276669147950e+00, 1.563868336250001878e+00, 1.647995801068353927e+01, 6.269695381791098754e+01, 1.572433123580741920e+01, 9.355793455011403026e+00
2.032000000000000000e+03, 8.776233023273970701e+00, 1.188082194020780058e+01, 5.162389468048309737e+01, 5.306755684232308568e+01, 6.814416618886100707e+01, 8.648178279346844022e+00, 1.522670936198789171e+01, 7.460133792071516723e+00, 1.453414482735242874e+00, 1.661082601835155259e+01, 6.302966994235128340e+01, 1.583489185022767920e+01, 9.261346825120719828e+00
2.033000000000000000e+03, 8.846135292672736128e+00, 1.194050303632943688e+01, 5.185263920827637207e+01, 5.317883080010912522e+01, 6.831075331706487930e+01, 8.721008722108036793e+00, 1.533986337593913163e+01, 7.401366911108031132e+00, 1.535422189270015059e+00, 1.692064253557116515e+01, 6.334448026512605168e+01, 1.583946694893763407e+01, 9.604816338437821344e+00
2.034000000000000000e+03, 9.053310693012603494e+00, 1.194842519984923968e+01, 5.202220097897306772e+01, 5.333538962249924964e+01, 6.845214839502983750e+01, 8.738113182771165555e+00, 1.541541627848413221e+01, 7.570362482815519378e+00, 1.537055109760836702e+00, 1.691786943105202923e+01, 6.352189394258797250e+01, 1.601146468918314980e+01, 9.848370564576713448e+00
2.035000000000000000e+03, 9.233205150226051927e+00, 1.188325377973602848e+01, 5.216003906031630066e+01, 5.347606198802765221e+01, 6.863328380029180664e+01, 8.726907878025214060e+00, 1.551298503115844696e+01, 7.777874922269220725e+00, 1.523159895378934925e+00, 1.686665173069663837e+01, 6.377011628487009176e+01, 1.620700169820162273e+01, 9.729218982261397031e+00
2.036000000000000000e+03, 9.366622779360376683e+00, 1.191975357338822228e+01, 5.235843487535743179e+01, 5.350466466349087113e+01, 6.882188854538280509e+01, 8.764756428417381784e+00, 1.559080273719837706e+01, 7.856394533579638129e+00, 1.503037065070339295e+00, 1.662336504616432364e+01, 6.398497968760209176e+01, 1.592095055117189695e+01, 9.604439828564368398e+00
2.037000000000000000e+03, 9.258522073543627329e+00, 1.198188672290512891e+01, 5.251633349561998187e+01, 5.355170562160718362e+01, 6.885327457410551233e+01, 8.963305126616894825e+00, 1.572292214457739412e+01, 7.865651276277022319e+00, 1.473063039354884696e+00, 1.680281562688887220e+01, 6.404865198100185353e+01, 1.583395016224983998e+01, 9.604711055689042709e+00
2.038000000000000000e+03, 9.216070864654515304e+00, 1.205329743904427353e+01, 5.270808518314623115e+01, 5.353764856870221678e+01, 6.910600020717100733e+01, 9.070575810459921229e+00, 1.575515276941633935e+01, 8.021588656086610314e+00, 1.483258366106220416e+00, 1.664935609719244525e+01, 6.420697978974114051e+01, 1.582785288929863121e+01, 9.741776562073040324e+00
2.039000000000000000e+03, 9.089352962828252558e+00, 1.196520131335286941e+01, 5.288526034125500530e+01, 5.356056396282715326e+01, 6.925699187908253407e+01, 9.036667909280746258e+00, 1.579972633721483710e+01, 8.026351536579143797e+00, 1.540854776310887742e+00, 1.667766084524622627e+01, 6.455808053515139022e+01, 1.573313271593780271e+01, 9.682956315591397356e+00
2.040000000000000000e+03, 9.146942803778543407e+00, 1.188131247599681650e+01, 5.305035968311224792e+01, 5.370005883398263080e+01, 6.946826666267629946e+01, 9.070021028015739617e+00, 1.597157897985252895e+01, 8.177649575370706359e+00, 1.443483932380457579e+00, 1.723327402899598582e+01, 6.467813515510381706e+01, 1.548795069844509520e+01, 9.822483627337444290e+00
2.041000000000000000e+03, 9.145491607583402072e+00, 1.186728617739212588e+01, 5.328171783098174785e+01, 5.379520983848770754e+01, 6.980240511926574243e+01, 9.097050242155523492e+00, 1.600567971177902393e+01, 8.302281318673632171e+00, 1.458396793241045097e+00, 1.714301607578937237e+01, 6.493466025161528421e+01, 1.556635690635910407e+01, 9.817989241684946577e+00
2.042000000000000000e+03, 9.031074895060294594e+00, 1.182889118032209197e+01, 5.351171378446706939e+01, 5.381724200453814433e+01, 7.003244386260273302e+01, 9.130140187037710575e+00, 1.611393004873155022e+01, 8.366488766204325245e+00, 1.535770241935883407e+00, 1.673536035811701694e+01, 6.509217920062283724e+01, 1.587083755877210756e+01, 9.671227200647807720e+00
2.043000000000000000e+03, 9.185917597906785304e+00, 1.180980439564900131e+01, 5.362589754653863139e+01, 5.391911067904311494e+01, 7.026203758242083097e+01, 9.448033596107087817e+00, 1.611853306966301957e+01, 8.460481009209294356e+00, 1.517570608075970773e+00, 1.670386643488192391e+01, 6.523562157380450799e+01, 1.592914331416811891e+01, 9.387680051776509771e+00
2.044000000000000000e+03, 9.370786188574570019e+00, 1.186097746060152325e+01, 5.379940234167593616e+01, 5.400908080544145662e+01, 7.046317864686766086e+01, 9.535854836435978754e+00, 1.612139215589953878e+01, 8.287993897004421129e+00, 1.534099757744851633e+00, 1.650801541760467117e+01, 6.543355808696138354e+01, 1.609220511736196002e+01, 9.555404284661380032e+00
2.045000000000000000e+03, 9.488789116379111377e+00, 1.189806968736528248e+01, 5.403827243904039790e+01, 5.404849991464880787e+01, 7.051203670701782755e+01, 9.518248765702010061e+00, 1.622607310109599155e+01, 8.166872906980637836e+00, 1.519327622471255523e+00, 1.656502167752204357e+01, 6.565135580231745394e+01, 1.654486407700738226e+01, 9.872889600377119379e+00
2.046000000000000000e+03, 9.593439667679783511e+00, 1.187758252058732822e+01, 5.430576291393924748e+01, 5.406616587520356632e+01, 7.054087120277729639e+01, 9.562191986167368540e+00, 1.624677273443649739e+01, 8.128718279941871572e+00, 1.458502745108116727e+00, 1.675243967121285849e+01, 6.598243938323084024e+01, 1.656482205379945682e+01, 9.932883099046941666e+00
2.047000000000000000e+03, 9.588839885598989810e+00, 1.185717567674244322e+01, 5.450025308850037220e+01, 5.413743238671347768e+01, 7.081588793707179263e+01, 9.683625626008888432e+00, 1.626502560845801426e+01, 8.154438485782531387e+00, 1.500336530642833788e+00, 1.659052292296115283e+01, 6.610118379400023514e+01, 1.670859693120983280e+01, 9.906805730793699638e+00
2.048000000000000000e+03, 9.747749253022517379e+00, 1.182680836273170044e+01, 5.472291981065723121e+01, 5.422559084333543211e+01, 7.090851302307969206e+01, 9.507796283870863618e+00, 1.632551339182233008e+01, 8.201409387073310242e+00, 1.541777329260915819e+00, 1.659630587524043577e+01, 6.630538538921300074e+01, 1.670239854758055742e+01, 1.000052869978667225e+01
2.049000000000000000e+03, 1.006139208472283997e+01, 1.185065926319799168e+01, 5.491716807005749956e+01, 5.433854583343484279e+01, 7.110763821014545272e+01, 9.407257858523829341e+00, 1.639183205930987697e+01, 8.281002281409335808e+00, 1.480021621168956969e+00, 1.683732740857906052e+01, 6.645997190159410195e+01, 1.675438424846898400e+01, 9.958968393980978107e+00
2.050000000000000000e+03, 1.018913381601846702e+01, 1.189842402268208055e+01, 5.518364459350939200e+01, 5.444093077945430537e+01, 7.150547516427464245e+01, 9.509852328753568784e+00, 1.645705971079882701e+01, 8.407851826705385889e+00, 1.598562202760451800e+00, 1.707026274914061759e+01, 6.671664027128404939e+01, 1.680302176267177217e+01, 9.927251026497710740e+00
2.051000000000000000e+03, 1.025173840642296064e+01, 1.187214725721305797e+01, 5.553617058308404353e+01, 5.454514735597572894e+01, 7.174945984973814461e+01, 9.506549191207874117e+00, 1.643090459486479560e+01, 8.494353532723838640e+00, 1.493840660981493373e+00, 1.763031176591949034e+01, 6.707285719340698904e+01, 1.671941100322828788e+01, 9.938289154243543422e+00
2.052000000000000000e+03, 1.020233243852123017e+01, 1.181851353983861053e+01, 5.569658322950183305e+01, 5.462921179640574820e+01, 7.183333205157792634e+01, 9.608488777199347908e+00, 1.659963400091022123e+01, 8.531228121517788310e+00, 1.430966077474857379e+00, 1.753396371132412668e+01, 6.747472628931660665e+01, 1.680473449402206754e+01, 9.767547754420792927e+00
