year, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CMCC-CM2-SR5, CNRM-ESM2-1, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR, CanESM5
2.015000000000000000e+03, 5.999307013436480673e+01, 2.131176952068792474e+01, 5.432482293539720075e+01, 4.907344475379341020e+01, 8.686981375479776091e+01, 4.008929634873887693e+01, 6.464396581539359943e+01, 2.532566439115995394e+01, 2.080453851380539376e+01, 6.214919762427813765e+01, 3.974404994756587683e+01, 5.955228425198842501e+01, 5.900449879032274936e+01, 5.427795348214642956e+01, 3.388586177623719919e+01, 5.219747231866783466e+01
2.016000000000000000e+03, 6.009543741560595720e+01, 2.151668789328012465e+01, 5.426833858589495918e+01, 4.917963498581381288e+01, 8.668086909144018648e+01, 4.014679790446379570e+01, 6.514628054119000922e+01, 2.551002962789536710e+01, 2.102834624478095904e+01, 6.242412720683693550e+01, 3.996298074265727251e+01, 5.967168230444843147e+01, 5.902666493566174211e+01, 5.455621182185957707e+01, 3.401274329984973122e+01, 5.260843348996510827e+01
2.017000000000000000e+03, 6.019157564730430465e+01, 2.171472191384587092e+01, 5.418587943620212855e+01, 4.927581284310171128e+01, 8.699394184512790673e+01, 3.992463840773973516e+01, 6.549938795097197897e+01, 2.574214299661858618e+01, 2.127892990381349136e+01, 6.263390345075005428e+01, 4.048861381668455550e+01, 6.001619594950012271e+01, 5.910014749235332943e+01, 5.506903040332559129e+01, 3.435341378099870013e+01, 5.300822538750718849e+01
2.018000000000000000e+03, 6.029909827656477717e+01, 2.196194587138838372e+01, 5.442294731657985807e+01, 4.925628726269002300e+01, 8.734803053988403576e+01, 3.956149890995188656e+01, 6.573888437841195298e+01, 2.576704197449076261e+01, 2.161926089658553352e+01, 6.280477529693575889e+01, 4.090692649634875977e+01, 6.057202806716755106e+01, 5.932638234787842180e+01, 5.549355657505976325e+01, 3.448415878488494002e+01, 5.329617548885126155e+01
2.019000000000000000e+03, 6.054843460659537158e+01, 2.206321655994225850e+01, 5.475060752558177768e+01, 4.949308069932125420e+01, 8.775461133418188808e+01, 4.004811003441200512e+01, 6.630464897545543579e+01, 2.584308158691867163e+01, 2.202706476286276427e+01, 6.319396068795690269e+01, 4.118358712536157640e+01, 6.100251992252015754e+01, 5.947142727128732531e+01, 5.569344204363971329e+01, 3.458620551799150888e+01, 5.351382172706553320e+01
2.020000000000000000e+03, 6.076897600833550683e+01, 2.209784708813105070e+01, 5.496603343663339558e+01, 4.960001589760398844e+01, 8.811091759949901814e+01, 4.017190228092033522e+01, 6.671611599918405489e+01, 2.602324258693952430e+01, 2.235859183718540066e+01, 6.364217060339449006e+01, 4.154045825431954597e+01, 6.136191025070095861e+01, 5.958033759330197654e+01, 5.567736451952162469e+01, 3.487718750338740392e+01, 5.390390598653078058e+01
2.021000000000000000e+03, 6.092318673843845289e+01, 2.238079798107418483e+01, 5.505144828249415667e+01, 4.999590799671237562e+01, 8.841944251582511072e+01, 3.985929361560248196e+01, 6.721609497926905874e+01, 2.624385459814730481e+01, 2.272406246072681668e+01, 6.404258397695849681e+01, 4.208905219984890067e+01, 6.165768167841254410e+01, 5.969599295348287882e+01, 5.574173025791262148e+01, 3.508307789667690457e+01, 5.421616422414606973e+01
2.022000000000000000e+03, 6.110004366278570842e+01, 2.285628235299786581e+01, 5.519674344051718151e+01, 5.036764905516261592e+01, 8.888960061201812834e+01, 4.008906359553139254e+01, 6.753116243731771817e+01, 2.620903801639516573e+01, 2.299968032488811787e+01, 6.445102776723427951e+01, 4.251977462792700635e+01, 6.199919853302448303e+01, 5.983323944980958942e+01, 5.593278086829805318e+01, 3.515440648745103402e+01, 5.453519732155456978e+01
2.023000000000000000e+03, 6.111491050533911817e+01, 2.315919093660108175e+01, 5.580130853397026414e+01, 5.066866139795560287e+01, 8.939979317445464346e+01, 4.018682595508511923e+01, 6.781199451495089647e+01, 2.636534954706892364e+01, 2.333541146421666213e+01, 6.490140616166650034e+01, 4.281963249371415969e+01, 6.228782789643766193e+01, 5.985989388079579498e+01, 5.623976078454602145e+01, 3.531073709350528134e+01, 5.498857961529525795e+01
2.024000000000000000e+03, 6.119407310143598266e+01, 2.345555492130239017e+01, 5.638803879105098105e+01, 5.110652986584118906e+01, 8.981168043287456726e+01, 4.019811734063565467e+01, 6.803081538068420286e+01, 2.644015264031977352e+01, 2.362221739951415955e+01, 6.526670241891623903e+01, 4.315757624352706756e+01, 6.239245020598767155e+01, 5.983566432670996704e+01, 5.663734190651804568e+01, 3.561134272049202565e+01, 5.552542559422685287e+01
