year, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL
2.015000000000000000e+03, 1.030187095822725485e-11, -5.529121520822826105e-10, 1.137562181399324812e-10, 1.937430160803721551e-10
2.016000000000000000e+03, 9.166778138635214088e-12, -5.973812710345832579e-10, 1.166007129046804184e-10, 2.022426162972828465e-10
2.017000000000000000e+03, 9.039106844122379342e-12, -6.086330839000523281e-10, 1.174518646292824677e-10, 2.349442130294511331e-10
2.018000000000000000e+03, 8.854797487795191556e-12, -6.416352908110902715e-10, 1.179110095244462771e-10, 2.337644418338845500e-10
2.019000000000000000e+03, 8.513295362034916321e-12, -6.447557252667952538e-10, 1.181427686511372819e-10, 2.026761206550083198e-10
2.020000000000000000e+03, 7.960243898586074740e-12, -6.515782498328456149e-10, 1.187392326994204645e-10, 2.155753301718880530e-10
2.021000000000000000e+03, 3.939661094415184703e-12, -6.439019904051601913e-10, 1.186416604053028019e-10, 2.446719506457287690e-10
2.022000000000000000e+03, 3.938664939780232536e-12, -5.612376703010164835e-10, 1.187256947138612847e-10, 2.431879565417863426e-10
2.023000000000000000e+03, 3.573677343149997653e-12, -6.298879853312294858e-10, 1.187723226635926992e-10, 2.421293659595364222e-10
2.024000000000000000e+03, 3.386865233943041541e-12, -6.270105427139896353e-10, 1.187361618177864732e-10, 2.566731105267296433e-10
2.025000000000000000e+03, 3.289964402838823242e-12, -5.851061773090995777e-10, 1.187524016900987035e-10, 2.488873111583480747e-10
2.026000000000000000e+03, 3.382742673512884065e-12, -5.716872128754944601e-10, 1.191660784956105744e-10, 2.338885718078952474e-10
2.027000000000000000e+03, 3.311105243733801210e-12, -6.210435332626030636e-10, 1.193883146607663329e-10, 2.231551152100778315e-10
2.028000000000000000e+03, 3.295676941090710459e-12, -6.982145630296824353e-10, 1.195811166909133731e-10, 3.013925386856682438e-10
2.029000000000000000e+03, 3.264702704573875766e-12, -7.009519242646045243e-10, 1.195628443311534466e-10, 2.699365989503427017e-10
