year, GFDL-ESM4, NorESM2-MM, TaiESM1, NorESM2-LM, CNRM-ESM2-1
2.015000000000000000e+03, 1.951532195010810670e-10, 6.184953760042876936e-10, 1.685465012082412120e-10, 1.132742079780468199e-10, 4.925373737634860915e-10
2.016000000000000000e+03, 1.989360083077200892e-10, 3.297728564886824180e-10, 1.434952550184761418e-10, 4.595256913155968065e-11, 5.599485368581594028e-10
2.017000000000000000e+03, 2.209167439963668991e-10, 1.249302995113135013e-10, 1.782419409147258980e-10, 1.100065678724317014e-10, 5.613096675431786376e-10
2.018000000000000000e+03, 2.288110980317183795e-10, 2.319155593378879911e-10, 1.743274506199830315e-10, 7.705429989452035384e-11, 3.448068007900231785e-10
2.019000000000000000e+03, 2.406731915817647016e-10, 4.254492200139421847e-10, 1.600345564658951679e-10, 1.548694820523812403e-10, 4.649349261269917961e-10
2.020000000000000000e+03, 2.042404039018761501e-10, 2.615765493147893542e-10, 1.582114118694279924e-10, 2.316627137953506382e-10, 4.285352869738973601e-10
2.021000000000000000e+03, 1.937133282533847870e-10, 3.904889777435120540e-10, 1.653155099610797663e-10, 6.630960173282671539e-11, 6.473456738058129047e-10
2.022000000000000000e+03, 2.488748156019562727e-10, 1.770675179084731284e-10, 1.679576430508652202e-10, 4.381168537514831377e-11, 5.709785345248407955e-10
2.023000000000000000e+03, 2.854276701121116942e-10, 1.415914295014978564e-10, 1.852917199061759517e-10, 5.012896768476438092e-11, 5.798705044964406293e-10
2.024000000000000000e+03, 2.368457147394269948e-10, 2.269890347884431573e-10, 1.721444582419508601e-10, 1.106619077196785832e-10, 7.172596579240542826e-10
2.025000000000000000e+03, 2.041336681922908462e-10, 2.888345202502433813e-10, 1.554475585000864271e-10, 1.553710185307274386e-10, 5.913141139271786197e-10
2.026000000000000000e+03, 1.681214590775678852e-10, 1.638385606639535491e-10, 1.663221003672148884e-10, 9.807575032748030166e-11, 6.085393581974131711e-10
2.027000000000000000e+03, 1.755612408310994882e-10, 1.290597256154815007e-10, 1.300222183625829971e-10, 7.794132610849876787e-11, 8.082347553862004905e-10
2.028000000000000000e+03, 1.595651131976907261e-10, 1.714847543083126288e-10, 1.958975010280434538e-10, 8.037710443550122854e-11, 6.589992591269312441e-10
2.029000000000000000e+03, 1.974096806013510151e-10, 1.568673746305052837e-10, 1.781755568869541755e-10, 3.942677363193508963e-11, 7.360264127293616585e-10
2.030000000000000000e+03, 2.346928552254436747e-10, 1.670520738173459347e-10, 1.708553242961585578e-10, 4.418559216051457203e-11, 5.736701939163375476e-10
2.031000000000000000e+03, 2.760201176972967420e-10, 2.677065609741166115e-10, 2.166950928034968767e-10, 9.623328701079260439e-11, 7.081678210250059781e-10
2.032000000000000000e+03, 2.178341355823981993e-10, 8.188024010516390655e-11, 1.590466993013688034e-10, 5.929444511286261334e-11, 4.504096066211253117e-10
2.033000000000000000e+03, 2.827014064830116080e-10, 1.743172296786884014e-10, 1.802163963894715932e-10, 1.438071728372499223e-10, 8.456500069578093229e-10
2.034000000000000000e+03, 2.808000487687181018e-10, 2.975552563481763523e-10, 2.067506092167000395e-10, 1.472195650714352507e-10, 8.205788880764887736e-10
2.035000000000000000e+03, 2.680826486802277861e-10, 3.874880353433010546e-10, 1.692351224521220759e-10, 1.105264235748875030e-10, 7.753798066286638505e-10
2.036000000000000000e+03, 3.558400300534479784e-10, 2.979381167597978389e-10, 1.686546449671717025e-10, 6.730384279966080234e-11, 7.768959517370145871e-10
2.037000000000000000e+03, 2.249470681288491969e-10, 3.393429085459819460e-10, 1.700638096628492677e-10, 8.409619217952468662e-11, 6.602910815907018754e-10
2.038000000000000000e+03, 2.376259022103816118e-10, 1.266044118728651785e-10, 1.633391336574080848e-10, 4.957811206194406703e-11, 6.706575253342999524e-10
2.039000000000000000e+03, 3.266922372442765199e-10, 3.442395935539831830e-10, 1.789865836285026787e-10, 8.735010224825060999e-11, 7.746747711557733798e-10
2.040000000000000000e+03, 3.545913766118868310e-10, 2.534041675912659167e-10, 1.972733836471065232e-10, 1.638769525222848166e-10, 4.312208040978612668e-10
2.041000000000000000e+03, 3.866810852021504586e-10, 9.578319877163044761e-11, 1.775986262783550983e-10, 1.013199112380881833e-10, 5.169008213357040353e-10
2.042000000000000000e+03, 2.699007515491588437e-10, 2.794188875368042741e-10, 1.912409739122047141e-10, 1.383419081116415690e-10, 5.170543997047202456e-10
2.043000000000000000e+03, 2.821891964988937316e-10, 3.039074002879050579e-10, 2.034824221529208738e-10, 1.019176163755345719e-10, 9.163708237924607158e-10
2.044000000000000000e+03, 3.233864476772356489e-10, 2.306997799755140236e-10, 1.861348825665420973e-10, 1.205211289302379783e-10, 8.692174573941840773e-10
2.045000000000000000e+03, 2.705715427040147126e-10, 2.502977228998688191e-10, 1.745463447898552412e-10, 2.609815252715862279e-10, 1.267565840603638645e-09
2.046000000000000000e+03, 3.273334551286236704e-10, 2.006378669030029995e-10, 1.988939742880968009e-10, 7.004242794468635864e-11, 6.376287962718165664e-10
2.047000000000000000e+03, 3.205484785682830144e-10, 4.128658089010809820e-10, 1.839933520377645162e-10, 4.229359568891410098e-11, 6.356018503722272717e-10
2.048000000000000000e+03, 3.884368291404965785e-10, 4.551483687615174788e-10, 1.706243795561220325e-10, 1.120717383335119226e-10, 8.795827281003888616e-10
2.049000000000000000e+03, 4.357502356574503702e-10, 4.270617468282944981e-10, 2.159847714180445007e-10, 1.356205431124811338e-10, 5.923588159042854306e-10
2.050000000000000000e+03, 3.577632159027490564e-10, 2.414170269041903592e-10, 1.852544573170386712e-10, 2.975172198227632623e-10, 6.022988611396467107e-10
2.051000000000000000e+03, 4.574666952241175396e-10, 4.595320851417138720e-10, 2.019401822563897146e-10, 1.765807145472278849e-10, 5.586520312814710743e-10
2.052000000000000000e+03, 3.772113212236554354e-10, 5.510597290356156572e-10, 1.819800057482683294e-10, 1.420999321613032877e-10, 6.009424992633400012e-10
2.053000000000000000e+03, 3.346839248285968409e-10, 6.408311194800774603e-10, 2.059830740866733285e-10, 7.069137523629351478e-11, 6.352785094423151236e-10
2.054000000000000000e+03, 3.211268355434548405e-10, 2.452693454330472486e-10, 2.118898690023371729e-10, 6.076975716281134517e-11, 8.516722845736086199e-10
2.055000000000000000e+03, 2.753128986820531275e-10, 3.427639741586836863e-10, 1.920015384986065906e-10, 1.326599348646089694e-10, 9.359371992704286777e-10
2.056000000000000000e+03, 3.723937560314731524e-10, 2.296206797740393138e-10, 1.810871558110410109e-10, 1.742140605733346537e-10, 8.658166966346840205e-10
2.057000000000000000e+03, 4.028978668810147371e-10, 2.474266594897754074e-10, 2.154729088207579738e-10, 1.560512838212037067e-10, 7.383272830301870130e-10
2.058000000000000000e+03, 4.788306278724365646e-10, 3.261878259339461760e-10, 2.004646526302400971e-10, 8.950608862886197982e-11, 6.163101993958093683e-10
2.059000000000000000e+03, 5.491667022298034384e-10, 4.073330283720978867e-10, 2.074937192970932200e-10, 1.343849841432757086e-10, 8.838205295521693150e-10
2.060000000000000000e+03, 3.899738237687763252e-10, 1.932431353979734239e-10, 2.051621149655459163e-10, 1.400598750560235643e-10, 5.358918196770120666e-10
2.061000000000000000e+03, 4.441094856498709441e-10, 3.775705862446666711e-10, 2.043192933902971821e-10, 2.174755510601051716e-10, 7.637998006308759991e-10
