year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1
2.015000000000000000e+03, 4.925373737634860915e-10, 1.951532195010810670e-10, 6.184953760042876936e-10, 3.093852453083817395e-10, 1.685465012082412120e-10, 1.112989616646148657e-10, 2.046290532096482135e-10, 1.685465012082412120e-10, 1.526752272191212047e-10, 6.184953760042876936e-10, 1.132742079780468199e-10, 4.925373737634860915e-10
2.016000000000000000e+03, 5.599485368581594028e-10, 1.989360083077200892e-10, 3.297728564886824180e-10, 2.321827633055831803e-10, 1.434952550184761418e-10, 9.312255909517379338e-11, 2.086714634961872240e-10, 1.434952550184761418e-10, 1.492242925094139058e-10, 3.297728564886824180e-10, 4.595256913155968065e-11, 5.599485368581594028e-10
2.017000000000000000e+03, 5.613096675431786376e-10, 2.209167439963668991e-10, 1.249302995113135013e-10, 3.428523159575040385e-10, 1.782419409147258980e-10, 2.127926025326257959e-10, 2.295975181411803590e-10, 1.782419409147258980e-10, 1.596818394331010347e-10, 1.249302995113135013e-10, 1.100065678724317014e-10, 5.613096675431786376e-10
2.018000000000000000e+03, 3.448068007900231785e-10, 2.288110980317183795e-10, 2.319155593378879911e-10, 2.358640057217150896e-10, 1.743274506199830315e-10, 1.257138372174035213e-10, 2.378324770605291960e-10, 1.743274506199830315e-10, 9.653648379950095444e-11, 2.319155593378879911e-10, 7.705429989452035384e-11, 3.448068007900231785e-10
2.019000000000000000e+03, 4.649349261269917961e-10, 2.406731915817647016e-10, 4.254492200139421847e-10, 2.137139680445007087e-10, 1.600345564658951679e-10, 2.127045817890544891e-10, 2.493140040307625376e-10, 1.600345564658951679e-10, 1.686344963570345729e-10, 4.254492200139421847e-10, 1.548694820523812403e-10, 4.649349261269917961e-10
2.020000000000000000e+03, 4.285352869738973601e-10, 2.042404039018761501e-10, 2.615765493147893542e-10, 2.998163100474711789e-10, 1.582114118694279924e-10, 2.231437250194172792e-10, 2.127063578502968391e-10, 1.582114118694279924e-10, 1.878093722250114230e-10, 2.615765493147893542e-10, 2.316627137953506382e-10, 4.285352869738973601e-10
2.021000000000000000e+03, 6.473456738058129047e-10, 1.937133282533847870e-10, 3.904889777435120540e-10, 2.369065079075943481e-10, 1.653155099610797663e-10, 1.739367264543928312e-10, 2.018349150182463017e-10, 1.653155099610797663e-10, 1.702385289600118102e-10, 3.904889777435120540e-10, 6.630960173282671539e-11, 6.473456738058129047e-10
2.022000000000000000e+03, 5.709785345248407955e-10, 2.488748156019562727e-10, 1.770675179084731284e-10, 2.191780439801995398e-10, 1.679576430508652202e-10, 1.284229852129167212e-10, 2.566591476255912956e-10, 1.679576430508652202e-10, 1.358011110777414459e-10, 1.770675179084731284e-10, 4.381168537514831377e-11, 5.709785345248407955e-10
2.023000000000000000e+03, 5.798705044964406293e-10, 2.854276701121116942e-10, 1.415914295014978564e-10, 2.313255622377727581e-10, 1.852917199061759517e-10, 2.371429126896959008e-10, 2.929755504394917958e-10, 1.852917199061759517e-10, 2.122185034791200587e-10, 1.415914295014978564e-10, 5.012896768476438092e-11, 5.798705044964406293e-10
2.024000000000000000e+03, 7.172596579240542826e-10, 2.368457147394269948e-10, 2.269890347884431573e-10, 2.714664665842109475e-10, 1.721444582419508601e-10, 2.017383226037072431e-10, 2.442816414965652775e-10, 1.721444582419508601e-10, 1.950591673984581100e-10, 2.269890347884431573e-10, 1.106619077196785832e-10, 7.172596579240542826e-10
2.025000000000000000e+03, 5.913141139271786197e-10, 2.041336681922908462e-10, 2.888345202502433813e-10, 2.520675321904671623e-10, 1.554475585000864271e-10, 1.913226705994243100e-10, 2.115839633141220715e-10, 1.554475585000864271e-10, 1.983136567047379280e-10, 2.888345202502433813e-10, 1.553710185307274386e-10, 5.913141139271786197e-10
2.026000000000000000e+03, 6.085393581974131711e-10, 1.681214590775678852e-10, 1.638385606639535491e-10, 2.660646611683178961e-10, 1.663221003672148884e-10, 1.959391091447376533e-10, 1.754033119367916741e-10, 1.663221003672148884e-10, 1.862176499236417733e-10, 1.638385606639535491e-10, 9.807575032748030166e-11, 6.085393581974131711e-10
2.027000000000000000e+03, 8.082347553862004905e-10, 1.755612408310994882e-10, 1.290597256154815007e-10, 3.839202743248081263e-10, 1.300222183625829971e-10, 1.146573557365389490e-10, 1.828015440686823743e-10, 1.300222183625829971e-10, 1.500551213944900511e-10, 1.290597256154815007e-10, 7.794132610849876787e-11, 8.082347553862004905e-10
2.028000000000000000e+03, 6.589992591269312441e-10, 1.595651131976907261e-10, 1.714847543083126288e-10, 3.690956662839946946e-10, 1.958975010280434538e-10, 7.507292124567918681e-11, 1.668516561440303657e-10, 1.958975010280434538e-10, 2.652476205795066954e-10, 1.714847543083126288e-10, 8.037710443550122854e-11, 6.589992591269312441e-10
2.029000000000000000e+03, 7.360264127293616585e-10, 1.974096806013510151e-10, 1.568673746305052837e-10, 3.093593561873685789e-10, 1.781755568869541755e-10, 1.749192906609396360e-10, 2.052211824346812799e-10, 1.781755568869541755e-10, 2.065186534870274714e-10, 1.568673746305052837e-10, 3.942677363193508963e-11, 7.360264127293616585e-10
2.030000000000000000e+03, 5.736701939163375476e-10, 2.346928552254436747e-10, 1.670520738173459347e-10, 1.634088336933502077e-10, 1.708553242961585578e-10, 1.639115926442695442e-10, 2.422435434294053971e-10, 1.708553242961585578e-10, 1.477666908680497579e-10, 1.670520738173459347e-10, 4.418559216051457203e-11, 5.736701939163375476e-10
2.031000000000000000e+03, 7.081678210250059781e-10, 2.760201176972967420e-10, 2.677065609741166115e-10, 2.782383890833940561e-10, 2.166950928034968767e-10, 1.182281644563819249e-10, 2.840278155186506573e-10, 2.166950928034968767e-10, 1.945408552578155922e-10, 2.677065609741166115e-10, 9.623328701079260439e-11, 7.081678210250059781e-10
2.032000000000000000e+03, 4.504096066211253117e-10, 2.178341355823981993e-10, 8.188024010516390655e-11, 2.535525886190561678e-10, 1.590466993013688034e-10, 1.144941191999182093e-10, 2.260310836677281388e-10, 1.590466993013688034e-10, 1.787240600545114307e-10, 8.188024010516390655e-11, 5.929444511286261334e-11, 4.504096066211253117e-10
2.033000000000000000e+03, 8.456500069578093229e-10, 2.827014064830116080e-10, 1.743172296786884014e-10, 2.960444433631208687e-10, 1.802163963894715932e-10, 1.221098418747835748e-10, 2.905572134867301231e-10, 1.802163963894715932e-10, 3.244610882601493799e-10, 1.743172296786884014e-10, 1.438071728372499223e-10, 8.456500069578093229e-10
2.034000000000000000e+03, 8.205788880764887736e-10, 2.808000487687181018e-10, 2.975552563481763523e-10, 3.568412211514230943e-10, 2.067506092167000395e-10, 1.660214575646636717e-10, 2.885218647484223094e-10, 2.067506092167000395e-10, 2.648931257851740709e-10, 2.975552563481763523e-10, 1.472195650714352507e-10, 8.205788880764887736e-10
2.035000000000000000e+03, 7.753798066286638505e-10, 2.680826486802277861e-10, 3.874880353433010546e-10, 3.707685273255088438e-10, 1.692351224521220759e-10, 1.502350082166835837e-10, 2.764620856350277221e-10, 1.692351224521220759e-10, 1.587547306198614902e-10, 3.874880353433010546e-10, 1.105264235748875030e-10, 7.753798066286638505e-10
2.036000000000000000e+03, 7.768959517370145871e-10, 3.558400300534479784e-10, 2.979381167597978389e-10, 3.384288274579676829e-10, 1.686546449671717025e-10, 1.566406817098362671e-10, 3.640590901884062680e-10, 1.686546449671717025e-10, 1.754907797999599309e-10, 2.979381167597978389e-10, 6.730384279966080234e-11, 7.768959517370145871e-10
2.037000000000000000e+03, 6.602910815907018754e-10, 2.249470681288491969e-10, 3.393429085459819460e-10, 3.027853783848557091e-10, 1.700638096628492677e-10, 1.613067773403746411e-10, 2.331207831540554209e-10, 1.700638096628492677e-10, 2.730357978510637388e-10, 3.393429085459819460e-10, 8.409619217952468662e-11, 6.602910815907018754e-10
2.038000000000000000e+03, 6.706575253342999524e-10, 2.376259022103816118e-10, 1.266044118728651785e-10, 3.356647461431060139e-10, 1.633391336574080848e-10, 4.523717889366148844e-10, 2.454412698226511365e-10, 1.633391336574080848e-10, 2.613336533855834436e-10, 1.266044118728651785e-10, 4.957811206194406703e-11, 6.706575253342999524e-10
