year, GFDL-ESM4, MPI-ESM1-2-LR, EC-Earth3-Veg
2.015000000000000000e+03, 6.536622233541781542e-11, 4.412870598076796978e-10, 9.409266013761496794e-11
2.016000000000000000e+03, 7.031374201381305268e-11, 4.418960935782296798e-10, 1.052043029634802781e-10
2.017000000000000000e+03, 7.232423157243475095e-11, 4.641003372890750278e-10, 9.132904219382823018e-11
2.018000000000000000e+03, 6.876625387522580935e-11, 4.375566439735522834e-10, 1.058402761392621868e-10
2.019000000000000000e+03, 7.619408546556472348e-11, 4.296375243769177395e-10, 1.002159240739312739e-10
2.020000000000000000e+03, 6.365307964149347514e-11, 4.586113885912963413e-10, 9.083070530475488106e-11
2.021000000000000000e+03, 7.408415574664242302e-11, 4.505848756143994243e-10, 9.430059442953317260e-11
2.022000000000000000e+03, 7.077714019228178165e-11, 4.365400636721076833e-10, 9.779655622804885132e-11
2.023000000000000000e+03, 7.403024072555327823e-11, 4.475588366645161431e-10, 9.753586224896042224e-11
2.024000000000000000e+03, 7.878326121442934544e-11, 4.719516539010642302e-10, 1.024458769635984926e-10
2.025000000000000000e+03, 6.039328722947814041e-11, 4.632334791182970748e-10, 1.065989660845241033e-10
2.026000000000000000e+03, 6.368061996672465908e-11, 4.506642175283256556e-10, 8.647640643220343515e-11
2.027000000000000000e+03, 6.822672458546894013e-11, 4.635434183938238222e-10, 9.611053541971701020e-11
2.028000000000000000e+03, 7.091259319356873686e-11, 4.879888221148988944e-10, 1.052808599292992859e-10
2.029000000000000000e+03, 7.950118994742592420e-11, 4.979581267448902773e-10, 9.529712071804162842e-11
2.030000000000000000e+03, 9.469417554928653063e-11, 4.899089362198689214e-10, 1.103666493482622960e-10
2.031000000000000000e+03, 7.184913282265639259e-11, 4.965197612645373933e-10, 1.030065714467859104e-10
2.032000000000000000e+03, 8.680962712995316952e-11, 4.644692173277635001e-10, 9.934444760370895979e-11
2.033000000000000000e+03, 8.892442849222019400e-11, 4.707847520887994463e-10, 9.987078798774938006e-11
2.034000000000000000e+03, 6.274377066251708939e-11, 4.820246689617080844e-10, 9.856447905736775501e-11
2.035000000000000000e+03, 6.994909051750318362e-11, 4.670873454678496823e-10, 9.847911809526591312e-11
2.036000000000000000e+03, 8.040284033703466257e-11, 4.873097018554613979e-10, 1.003607615315095647e-10
2.037000000000000000e+03, 8.059442288599161259e-11, 4.577657814928694938e-10, 9.746677939521382562e-11
2.038000000000000000e+03, 8.344262075447183589e-11, 4.720509716350837990e-10, 9.219747066751617077e-11
2.039000000000000000e+03, 7.103398147093443743e-11, 4.880247767458367594e-10, 9.097935827705616825e-11
2.040000000000000000e+03, 6.136958688399565241e-11, 4.863642132550114433e-10, 1.023284054665110993e-10
2.041000000000000000e+03, 5.850941278113894796e-11, 4.953135745999589338e-10, 9.698172198176554941e-11
2.042000000000000000e+03, 6.243867324051322834e-11, 5.009487391135785561e-10, 8.996520144488098755e-11
2.043000000000000000e+03, 6.744652332732146862e-11, 4.728117748539869997e-10, 8.658797689033289548e-11
2.044000000000000000e+03, 7.841600936386360930e-11, 5.126774921113748098e-10, 8.940008087489210965e-11
2.045000000000000000e+03, 6.402404015981242676e-11, 5.256710847893861468e-10, 8.958812831741628103e-11
2.046000000000000000e+03, 7.163870306607713108e-11, 5.131037187163297815e-10, 9.332815746786714988e-11
