year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, NorESM2-MM
2.015000000000000000e+03, 7.743201176647600070e-11, 4.634385878406293250e-10, 4.250083242789135182e-10, 1.937430160803721551e-10, 1.084820647430184868e-10, 3.122608506995945969e-10, 1.359734528215754807e-10, 8.507117522479463856e-11, 0.000000000000000000e+00
2.016000000000000000e+03, 1.038182220431230105e-10, 5.056201354381339327e-10, 4.186956244428922164e-10, 2.022426162972828465e-10, 1.088426125127878519e-10, 3.084622163893519239e-10, 1.191639660881517401e-10, 5.408419012443607938e-11, 1.132315801821639509e-10
2.017000000000000000e+03, 8.389118876391285821e-11, 5.162478396424043876e-10, 4.407925689568944425e-10, 2.349442130294511331e-10, 1.015442351896434996e-10, 3.124890172949988366e-10, 1.794413676827729434e-10, 5.568857983270566611e-11, 1.124550837314356752e-10
2.018000000000000000e+03, 7.839250269881505144e-11, 5.489488261635260939e-10, 4.300862024678385455e-10, 2.337644418338845500e-10, 1.016550302325164260e-10, 3.483970691885029212e-10, 1.054915637838144215e-10, 5.595276635396968541e-11, 1.116167521073875054e-10
2.019000000000000000e+03, 9.334618334867671934e-11, 5.520269489130962195e-10, 4.168800028849380339e-10, 2.026761206550083198e-10, 1.019968845338726758e-10, 3.043761099246900940e-10, 1.623743207277647377e-10, 5.666017340125923186e-11, 1.124096223978466853e-10
2.020000000000000000e+03, 9.576089642994349991e-11, 5.584100077828426442e-10, 4.220559937955373301e-10, 2.155753301718880530e-10, 1.041701446342355968e-10, 3.048922780331242440e-10, 1.619952076082364399e-10, 5.678310262497128794e-11, 1.136626972747649955e-10
2.021000000000000000e+03, 7.898116793431743634e-11, 5.514274561707981213e-10, 4.313596313913390419e-10, 2.446719506457287690e-10, 1.045473889775602463e-10, 3.341027436265351356e-10, 1.142441456237287227e-10, 5.683935245687046557e-11, 1.137575422377611048e-10
2.022000000000000000e+03, 9.800262599395409946e-11, 4.693087826092949714e-10, 4.280130772780465164e-10, 2.431879565417863426e-10, 1.031214593129345852e-10, 3.512756235125996518e-10, 1.447195485209730998e-10, 5.680257250059142343e-11, 1.126053182742193924e-10
2.023000000000000000e+03, 8.000945249848037305e-11, 5.375872386845202072e-10, 4.215822677302222782e-10, 2.421293659595364222e-10, 1.043587528954732697e-10, 3.253758712961120150e-10, 1.555997205231726389e-10, 5.696041289780996066e-11, 1.130529344652068940e-10
2.024000000000000000e+03, 7.273805717380117572e-11, 5.345390518390130675e-10, 4.249514166757653114e-10, 2.566731105267296433e-10, 1.044808628991911478e-10, 3.483510122245299898e-10, 1.566806059257722721e-10, 5.716388005215870411e-11, 1.123517374883955767e-10
