year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, NorESM2-MM, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, TaiESM1, CanESM5
2.015000000000000000e+03, 1.172902336998796891e+01, 9.594235124780382762e+00, 8.779415350585013655e+00, 1.049253155726938758e+01, 9.680836496228591770e+00, 1.003809947956879256e+01, 1.091897741546513068e+01, 9.763623498394078837e+00, 9.830745108149484324e+00, 8.780122228939600149e+00, 9.579364277978205777e+00, 1.140501684298903307e+01, 8.476519573078093117e+00, 8.748210378325410375e+00, 6.768712044458887966e+00, 1.042933041699272323e+01
2.016000000000000000e+03, 1.087548746813200040e+01, 1.010184544468333812e+01, 9.727596012621246402e+00, 9.512764025591330608e+00, 9.804016019518710934e+00, 1.060081986692880562e+01, 8.855493758715585528e+00, 9.532377986256010516e+00, 9.898513144437506739e+00, 8.643412606050098645e+00, 8.941066774911382353e+00, 1.118710869892951543e+01, 8.588309524550878038e+00, 8.749412823056536226e+00, 6.970275216239724791e+00, 1.051394647220377365e+01
2.017000000000000000e+03, 1.123042051359539073e+01, 9.850794929468015937e+00, 1.005702647187612442e+01, 1.074394030140441103e+01, 1.166949676795753987e+01, 9.930494118713792062e+00, 8.714842194022521582e+00, 9.736628659928999951e+00, 9.532133419749987624e+00, 8.736176349865237611e+00, 9.468748870887928604e+00, 1.231089809865879303e+01, 8.617136775682771699e+00, 9.427260479929024939e+00, 7.212260632575950403e+00, 1.065501730998883723e+01
2.018000000000000000e+03, 1.069882055285220446e+01, 9.573584843266756295e+00, 1.001430487049703721e+01, 1.081187651068985112e+01, 1.057684697484024205e+01, 1.000157735421177385e+01, 9.603780324521187239e+00, 9.714439821264749142e+00, 9.663234966187669528e+00, 8.874903970457625135e+00, 9.647879805039186962e+00, 1.074816099552167614e+01, 9.147914293218020632e+00, 8.359745834163085476e+00, 6.824091343204218951e+00, 1.017533387316435700e+01
2.019000000000000000e+03, 1.179552250179979467e+01, 1.040871708912314553e+01, 9.399229419654243856e+00, 1.065624903983505867e+01, 1.072288546371408913e+01, 1.069071902461622869e+01, 9.391784842764602459e+00, 1.020742497334871501e+01, 1.066717603838690209e+01, 9.027892770874437645e+00, 9.480778410280626289e+00, 1.078488577562873374e+01, 9.561957547951621450e+00, 8.629037244700779041e+00, 7.122812942117121793e+00, 1.041984485609846267e+01
2.020000000000000000e+03, 1.092630251385098816e+01, 1.013024794888753810e+01, 9.451776829776017408e+00, 1.094853518394068459e+01, 1.100123680999516296e+01, 1.028889452520536629e+01, 9.928069096670609994e+00, 9.937955367254525996e+00, 1.052912179800980930e+01, 8.825810530940168874e+00, 9.334666967169271246e+00, 1.158904655634034242e+01, 9.209929438078457764e+00, 8.903997509909505226e+00, 6.996774898784455132e+00, 1.063924614147122227e+01
2.021000000000000000e+03, 1.228045458767433651e+01, 1.041450027948119761e+01, 9.296715381708361647e+00, 1.097214301664197400e+01, 1.187322077740937765e+01, 9.738463107538889219e+00, 8.973783227131713502e+00, 9.993200120005624854e+00, 1.034347828669406333e+01, 8.958376959259783945e+00, 9.529979868094240913e+00, 1.144022185142710946e+01, 9.440217288732485557e+00, 9.788360077867798381e+00, 7.169163484611578596e+00, 1.049133440452686195e+01
2.022000000000000000e+03, 1.138795578778852757e+01, 9.970479182783408945e+00, 9.043812871935529074e+00, 1.129359034571928433e+01, 1.147108426000402304e+01, 1.061650006956375059e+01, 9.551450125954094261e+00, 1.015564347732617989e+01, 1.053903238702998202e+01, 9.415189013434503096e+00, 9.741192797398737113e+00, 1.109388709756302127e+01, 9.134750674960015360e+00, 9.616600695842485891e+00, 7.216272279517609967e+00, 1.064987255435863922e+01
2.023000000000000000e+03, 1.195920106848315001e+01, 9.924957552807681438e+00, 9.614300044126682820e+00, 1.088925154892450742e+01, 1.117760330624723153e+01, 1.075914686010761834e+01, 1.035475642450039047e+01, 9.346674413823336636e+00, 1.117612333185701168e+01, 9.462431570598694108e+00, 9.479501601352728457e+00, 1.137744712055207685e+01, 9.501918511119678001e+00, 9.746998699365311936e+00, 7.306788986736582281e+00, 1.118253757005185633e+01
2.024000000000000000e+03, 1.194224157982516843e+01, 9.661875541082766361e+00, 9.672297823001303030e+00, 1.070726037671417075e+01, 1.145897141825619236e+01, 1.064682482011926190e+01, 1.011956997732416852e+01, 1.000048748592231185e+01, 1.071300623749770864e+01, 9.301477198819272374e+00, 9.260594231393623588e+00, 1.208079566602263810e+01, 9.256885346973923845e+00, 9.829849694499703361e+00, 7.218202967858739605e+00, 1.123555998289843849e+01
