year, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-LM, TaiESM1, CanESM5, UKESM1-0-LL, ACCESS-ESM1-5, INM-CM5-0, CNRM-ESM2-1, MIROC-ES2L, IPSL-CM6A-LR, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, -1.083006868329081940e-01, 2.344799623583065651e-01, 4.427750574195561395e-01, 3.278793421975007005e-01, 4.158781995500679396e-01, 2.101112338920679556e-01, 5.869369570880357545e-02, 3.286749523965301623e-01, 3.075085153985258613e-01, 3.494187272333320049e-01, 4.083213770669021359e-01, 7.806635425471535328e-01, 6.941143894028308781e-01, 3.060883564599845008e-01, 3.141090771409416060e-01, 1.038436513900596880e-01
2.016000000000000000e+03, -6.807120630675592143e-02, 4.449628061476354479e-01, 4.187424534873915305e-02, 3.129760299463569817e-01, -1.873471635743161334e-01, 3.286814690379555315e-01, 1.552119021315007119e-01, 5.471408950237972579e-01, 5.141148580143416469e-01, 1.391148251204131318e-02, 2.264158254953836102e-01, 7.378560274213624703e-01, 3.331104220680881078e-01, 5.220467277045424126e-01, -2.848903451814557841e-04, 2.564692476425823320e-01
2.017000000000000000e+03, -4.298833010840060753e-01, 5.921261391598469093e-01, 1.002423252803953668e-01, 4.375458526559088956e-01, 3.090932925724077518e-01, 5.378876191135640861e-01, 1.001824310923062067e-01, 3.155259347068341547e-01, 8.741700793140539938e-01, 3.431920405761217374e-01, 2.524103955318525716e-01, 6.747430422659622673e-01, 4.381791822837461381e-01, 4.155895877222287593e-01, 1.727663788961943669e-01, 2.266619797460080188e-01
2.018000000000000000e+03, 5.028033069681829559e-02, 4.282779052128742325e-01, 4.851699758787785810e-01, 2.374453067376922077e-01, 4.000224743692006313e-01, 3.907614168360027951e-01, 3.224902215726115767e-02, 2.349202458723028686e-01, 7.048010992606192904e-01, 3.995678039653890457e-01, 3.684171449844578783e-01, 7.524709695740451343e-01, 8.334671405149833567e-02, 4.953065896071414120e-01, 7.213021378278888784e-01, 4.269101429002994941e-01
2.019000000000000000e+03, 1.168592601130269415e-01, 5.547574945001167990e-01, 3.671240228787776005e-01, 1.823984329838330143e-01, 3.155744716006922967e-01, 4.742639319883357185e-01, 1.042795447323021096e-01, 4.591594832260585957e-01, 5.541734931506601125e-01, 4.765847110056563030e-01, 4.376999076368449093e-01, 9.891768579235448167e-01, 6.119958498478477171e-01, 5.961466781678550486e-01, 1.506320972624501132e-02, 3.685852118151324852e-01
2.020000000000000000e+03, -2.038526565630406351e-01, 5.114766760294003900e-01, 3.566250209628420431e-01, 5.331821777099496895e-01, 5.504029831275106810e-01, 1.301360223372557967e-01, 1.437205660850120748e-01, 3.945598927337251594e-01, 5.603281948471139362e-01, 3.608934573440682470e-01, 4.169889069530601233e-01, 8.104704764558096075e-01, 8.338368339311877375e-02, 5.551839538425097365e-01, 6.211367563411800824e-02, 3.719939764551110639e-01
2.021000000000000000e+03, -1.478324342855316144e-02, 5.105874854896409465e-01, -9.927408872396754208e-03, 2.481297776061351379e-01, 4.129395080364835491e-01, 2.101928410907715761e-01, 9.346910307330105749e-02, 3.846703991789654498e-01, 8.499304790705846102e-01, 4.531044366331073436e-01, 2.863981690324047258e-01, 5.504660793804064811e-01, 7.680764044415339109e-01, 5.429863038962380317e-01, 1.694235078657591598e-01, 2.921158167135371464e-01
2.022000000000000000e+03, 1.754595221227445434e-01, -3.095581975995041410e-02, 9.127798426825776967e-02, 1.681649136662067834e-01, 5.085625116640186683e-01, -4.812361612140795414e-02, 8.156326282926179561e-02, 2.625160220919591780e-01, 6.851863440908850800e-01, 5.202907503139668766e-01, 5.549386137185166046e-01, 7.952569545094270165e-01, 2.264029060510120983e-01, 3.552827975928436466e-01, 6.972227144332563409e-01, 4.939131612202466992e-01
2.023000000000000000e+03, -2.531836768823081951e-01, 2.855455883466264666e-01, 6.159693205921999981e-01, 5.868809649342947576e-01, 3.993651163923039871e-01, 1.957196217274657091e-01, 9.457545817599277704e-02, 3.429353894449599927e-01, 4.718763980366903477e-01, 5.496454774291302803e-01, 2.663495523757183903e-01, 6.290325128050353598e-01, 6.745449610087186354e-01, 5.189099179573120058e-01, 4.651766656497806629e-01, 5.043108989475738602e-01
2.024000000000000000e+03, -4.047796776525582341e-01, -3.821967587204130185e-02, 4.972833479549855218e-01, 5.259126072010339437e-01, 1.547374482733340217e-01, 4.786758579728445095e-01, 5.182224546984856572e-02, 3.933919160586306085e-01, 5.341890554500602351e-01, 3.184616092588822278e-01, 3.515079191000657355e-01, 4.553072086572814703e-01, 5.554221338209430758e-01, 4.903174603280472388e-01, 5.854023495732881832e-01, 2.529945999406790214e-01
2.025000000000000000e+03, -3.080070608234950491e-01, 3.507327666180571346e-01, 4.012488610985891491e-01, 2.337772753906988410e-01, 3.759534667398472529e-01, 5.601006305495894733e-01, 9.363110878379493629e-02, 3.624284319977298940e-01, 4.426572690011638667e-01, 4.522586755966095939e-01, 2.736867616343423570e-01, 8.802325599986415838e-01, 9.336674237081753203e-02, 5.531340457655482545e-01, 4.208124220633446821e-01, 3.269881642181809434e-01
2.026000000000000000e+03, 1.651997096214021798e-01, -6.987480728682801678e-02, 2.346053524217063813e-01, 3.318045299312876173e-01, -3.310261378001294868e-03, -3.915596190918872732e-02, 2.426643250194707169e-01, 4.712723870962883255e-01, 8.208485536347309708e-01, 1.852891385997873785e-01, 5.028900734804504502e-01, 9.093537679928584971e-01, 6.638724029436681162e-01, 3.271920403105818553e-01, 1.151355869824821077e-01, 4.506011094366019210e-01
2.027000000000000000e+03, -3.141008713647091555e-01, 7.654677211298097639e-01, 3.814290233363729077e-01, 2.333762130849208194e-01, 2.718950204924402980e-01, 3.438924876487609028e-01, 9.776861583870026517e-02, 5.391140263659591203e-02, 5.944056757187057283e-01, 4.281856249759548039e-01, 8.452337833428494873e-01, 6.196932870210672961e-01, 7.289165606950530618e-01, 5.312308638743328260e-01, 5.824355766174870164e-01, 4.231998567230160213e-01
2.028000000000000000e+03, -2.827408629520462569e-01, 2.976881869294578098e-01, 1.928777562728893891e-01, 4.196805378204307435e-01, 1.542452654422912239e-01, 3.750429230919163359e-01, 7.262437465903900935e-02, 5.118601890015783695e-01, 7.157154268821105392e-01, 5.064821633918640265e-01, 6.379869185256838993e-01, 8.645867777267751686e-01, 6.888719714260140847e-01, 5.630367235184516872e-01, -8.890331611745867085e-03, 6.970851580815251580e-01
2.029000000000000000e+03, 1.473886002673823747e-01, 2.810061048766924197e-01, 3.073620656291670694e-01, 4.018829839811050020e-01, 1.137345440599307894e-01, 1.632492187328913047e-01, 9.110168048006182795e-02, 6.624817073837225845e-01, 7.696842115190976052e-01, 5.127222681732810372e-01, 6.176366466473932615e-01, 8.197317427330137463e-01, 9.551154924986759998e-01, 5.841414734252629026e-01, 6.475722268554349181e-01, 9.082637648024579624e-01
2.030000000000000000e+03, 1.336896743757713946e-01, 1.892644591433098045e-01, 6.535184822650172976e-01, 4.179976504370845336e-01, 4.369147467220286796e-01, 3.175015037747625501e-01, 8.171463029811275314e-02, 5.799422696899851903e-01, 7.966988406533079825e-01, 2.356863735746814181e-01, 1.998273264308919606e-02, 8.608356926277674903e-01, 8.783629539657905605e-01, 5.018479676664390210e-01, 5.337226057588371209e-01, 4.561084745640414662e-01
2.031000000000000000e+03, 3.072687058825929740e-01, 4.006733169879780204e-02, 3.310011006913033960e-01, 4.217767508753902939e-01, 3.865242515185492445e-01, 7.768036944944041178e-01, 7.701437454087185774e-02, 4.094142389609265464e-01, 6.182762642311399048e-01, 4.109753241447535732e-01, 5.162613601506959027e-01, 7.756268552434630870e-01, 6.156105454146854061e-01, 3.563619838789703342e-01, 2.583301454345753867e-01, 6.057429661726242420e-01
2.032000000000000000e+03, 4.019244342911115764e-01, 7.427621635220499341e-02, 4.151300696405953450e-01, 3.314701722871256639e-01, 5.438190267857114790e-01, -7.819921494097518619e-03, 2.351382069897076932e-01, 4.450548628032889309e-01, 7.387061479711094503e-01, 6.348241523229876115e-01, 5.611490292139446057e-01, 9.774346848012736011e-01, 8.289048532544927017e-01, 6.378639234351372034e-01, 5.089021845663129762e-01, 6.049513646401940559e-01
2.033000000000000000e+03, 2.188345552670872551e-01, 5.599091765110701946e-01, 6.579589520511353040e-01, 3.020152993596043611e-01, 3.677310363624043399e-01, 7.364325092938561745e-01, 7.485717848196529745e-02, 5.402894095356863824e-01, 8.453495513026183517e-01, 4.112014049865484466e-01, 1.998449077127189000e-01, 7.934083333104069435e-01, 3.952499910093835167e-01, 4.939898691114745777e-01, 5.123401388699968528e-01, 4.144742679537378183e-01
2.034000000000000000e+03, -9.394157371322756078e-02, 4.744107965514343661e-01, 5.462524276190056094e-01, 4.020925818637883231e-01, 4.066065428938764326e-01, 4.543713447892859802e-01, 1.104026433487305531e-01, 5.732917567762610966e-01, 5.683132449769019434e-01, 1.832743623135269506e-01, 3.121291296936919424e-01, 6.296365375446312251e-01, 4.941054036848508968e-01, 7.200363593295832088e-01, -6.750910403346697952e-02, 3.736108776995339387e-01
2.035000000000000000e+03, 9.991600972069240860e-02, 4.204332452888317473e-01, 3.598070011213098107e-01, 3.808166398803412012e-01, 4.165133698959126995e-01, 5.621371824355164692e-01, 2.254427079234063991e-01, 3.338904315423237845e-01, 6.759420715778833300e-01, 4.078448162514747843e-01, 3.467125550649133858e-01, 6.779528193215415000e-01, 5.053731425679544031e-01, 5.090198081008248110e-01, 1.505048471952053768e-01, 6.028026524131238073e-01
