year, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CanESM5, UKESM1-0-LL, TaiESM1, NorESM2-MM, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5
2.015000000000000000e+03, 5.058189079263943455e+00, 7.260572850945551160e+00, 5.052921954598793342e+00, 4.124262613385546672e+00, 4.431898360251063096e+00, 5.009646624731330711e+00, 6.050169264164351191e+00, 5.476053706491218698e+00, 2.627939328359645277e+00, 5.318710865098886131e+00, 6.555150795157794974e+00, 3.674702144778800861e+00, 6.409758912313314738e+00, 4.887885223870730655e+00, 4.871862432432542356e+00, 4.992468315710872240e+00
2.016000000000000000e+03, 5.164989385556842727e+00, 6.733266281089218097e+00, 4.560701657659688379e+00, 4.582285171338983609e+00, 4.355092126260435847e+00, 4.867345711595286062e+00, 6.048787393003307145e+00, 5.639746878632595717e+00, 2.725993045374327295e+00, 4.184209043612808543e+00, 6.826043170090744461e+00, 3.833680780386016451e+00, 6.378763437321164353e+00, 4.646632120574795799e+00, 5.217756394522596430e+00, 4.917451619307993127e+00
2.017000000000000000e+03, 4.928849259220966950e+00, 6.956374678226817210e+00, 5.324186446348774915e+00, 4.705698401646326801e+00, 4.685651371016181344e+00, 4.977760961770208326e+00, 6.152499485669205903e+00, 6.298822029907232611e+00, 2.739972509685511426e+00, 4.179093574387319876e+00, 6.681249187741055806e+00, 3.851224089462820910e+00, 6.782757320813620261e+00, 4.912890992105663379e+00, 4.810795562934708336e+00, 4.998679754340428438e+00
2.018000000000000000e+03, 5.091562950516773434e+00, 6.599665261414734196e+00, 5.336449299042611116e+00, 4.637626440000987671e+00, 4.249372314537652962e+00, 4.964448977440729216e+00, 5.855240389263695278e+00, 5.892550994007483389e+00, 2.593334268307352808e+00, 4.582988716233381332e+00, 6.545519521073978275e+00, 4.054412263445375864e+00, 6.253679828245207517e+00, 4.973110725494429118e+00, 4.959606319393014218e+00, 5.053624722799865410e+00
2.019000000000000000e+03, 5.531324716093942051e+00, 7.306565088000391839e+00, 5.154409056591546801e+00, 4.342977825967858863e+00, 4.286688234507209039e+00, 5.222347882018834930e+00, 6.033831920320073650e+00, 5.779891200419682740e+00, 2.755733854248258119e+00, 4.485494993118977369e+00, 7.074422145587896615e+00, 4.214753560923909959e+00, 6.241951440857361533e+00, 4.937485513961441086e+00, 5.303529894460565330e+00, 5.174861896214459023e+00
2.020000000000000000e+03, 5.477251443460577462e+00, 6.740047756016258163e+00, 5.233674541117518508e+00, 4.235550682103471409e+00, 4.345327112659116864e+00, 5.095873364212708978e+00, 6.161417691986192935e+00, 6.038553872136915857e+00, 2.667230255901055447e+00, 4.692022544682692420e+00, 6.854234460195574918e+00, 4.105784166287076431e+00, 6.625585033104941957e+00, 4.850149484670018829e+00, 4.974536141119988208e+00, 5.041715700061510042e+00
2.021000000000000000e+03, 5.417332013329180462e+00, 7.600768491375113456e+00, 5.231143274497657814e+00, 4.334900992204953951e+00, 4.903045803089921328e+00, 5.106399647474747283e+00, 5.985766556968644458e+00, 6.565597495189305910e+00, 2.705985618679887406e+00, 4.289126760731352128e+00, 6.972521309248588928e+00, 4.157829273759023891e+00, 6.462894825519363451e+00, 4.943822744479633435e+00, 4.801524861350561224e+00, 5.129957773921945297e+00
2.022000000000000000e+03, 5.524058976339023985e+00, 7.027629140143287323e+00, 5.402436667988057550e+00, 4.162976631200761446e+00, 4.926630089974705307e+00, 5.223846276963904245e+00, 6.139512686318528090e+00, 6.160224979006427404e+00, 2.782082634961641876e+00, 4.621635702838629456e+00, 6.727262225282886199e+00, 3.937172613176528113e+00, 6.352510053955423786e+00, 4.894353516371094059e+00, 5.289367978535464587e+00, 5.345884412231747262e+00
2.023000000000000000e+03, 5.830854883458632010e+00, 7.418317206933044972e+00, 5.175962233103700960e+00, 4.571000535232580653e+00, 4.884627791951111853e+00, 4.769379488384259069e+00, 6.448849164449007354e+00, 6.084206425546787145e+00, 2.774123887730746585e+00, 5.128154991547174468e+00, 6.686523007373199157e+00, 4.165412319916373285e+00, 6.409990754912503697e+00, 4.852546005669837292e+00, 5.267731751293734277e+00, 5.374880710585034471e+00
2.024000000000000000e+03, 5.529679982704148955e+00, 7.378575010378240151e+00, 5.010905020695126666e+00, 4.606818364019289014e+00, 4.965886633275802708e+00, 5.097511926000626303e+00, 6.515959112920446827e+00, 6.305560140442173278e+00, 2.721923302813224588e+00, 4.808469560589514913e+00, 6.522814125728622514e+00, 4.095366925437935457e+00, 6.761640929218375007e+00, 4.649844953515414936e+00, 5.194138384429445310e+00, 5.213259603103892026e+00
