year, CMCC-CM2-SR5, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, UKESM1-0-LL, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR, CanESM5, INM-CM5-0
2.015000000000000000e+03, 1.579033440975540437e+00, 1.705192488219419378e+00, 1.700761266883879630e+00, 1.687584422833428244e+00, 1.518311803853962250e+00, 1.954134569838174462e+00, 1.357915737282119784e+00, 1.569777203636844920e+00, 1.770168614946705077e+00, 1.644073536447150596e+00, 1.607885420498898821e+00, 1.648065826892338714e+00, 1.549911879703391504e+00, 1.886734704324164902e+00, 1.560489554049633076e+00, 1.657034985741957955e+00
2.016000000000000000e+03, 1.572073029045401471e+00, 1.734511150970657001e+00, 1.764318243809112063e+00, 1.792210012310869960e+00, 1.513098539715075352e+00, 1.937057901690095507e+00, 1.436194582903581596e+00, 1.528339806192948513e+00, 1.826574402373272621e+00, 1.683802233588400865e+00, 1.553527443894947346e+00, 1.622990012274221350e+00, 1.532600554072571786e+00, 1.842450631027341634e+00, 1.513706739541839097e+00, 1.711284303114246841e+00
2.017000000000000000e+03, 1.617604662555597539e+00, 1.628783053148881388e+00, 1.736656050992106071e+00, 1.762987462633229141e+00, 1.423789434220064321e+00, 1.901838954652822933e+00, 1.477350111445293157e+00, 1.536047240618813703e+00, 1.801629696871881015e+00, 1.719950637895800050e+00, 1.666699140680432123e+00, 1.600586017844108477e+00, 1.634658789708499427e+00, 1.845461816058273419e+00, 1.557451201195034329e+00, 1.664802776002233031e+00
2.018000000000000000e+03, 1.596822583659789574e+00, 1.672282352432496344e+00, 1.753497334695990117e+00, 1.764637116825495067e+00, 1.378766713786743647e+00, 1.986223751180193231e+00, 1.338750138444058768e+00, 1.601627048626123928e+00, 1.712351204335452959e+00, 1.695901742989408323e+00, 1.596030182774249129e+00, 1.622277677329804657e+00, 1.485318064503157398e+00, 1.909079718549712812e+00, 1.575172171918168162e+00, 1.702563619364287240e+00
2.019000000000000000e+03, 1.572692394421722151e+00, 1.614711480879225558e+00, 1.716925495998831375e+00, 1.803788822646442247e+00, 1.399162182593179482e+00, 2.044733814787387249e+00, 1.480861818595892831e+00, 1.517669119184422710e+00, 1.882204338926775744e+00, 1.623118570646960412e+00, 1.621512300395362205e+00, 1.609905710457157690e+00, 1.559539069826898050e+00, 1.933640902659738314e+00, 1.561319979501687660e+00, 1.716476407953187344e+00
2.020000000000000000e+03, 1.645020381986598945e+00, 1.761374279971599677e+00, 1.683318886366816702e+00, 1.698112284492426127e+00, 1.444857367875300502e+00, 1.952724351417657100e+00, 1.524763299384326309e+00, 1.587972679373630180e+00, 1.805440782883901862e+00, 1.703734583116349954e+00, 1.642006264105773328e+00, 1.586488289094496462e+00, 1.594286968613360944e+00, 1.819735570096791655e+00, 1.630103109342926793e+00, 1.832886673424781065e+00
2.021000000000000000e+03, 1.575263731737872375e+00, 1.784535142733879143e+00, 1.781783018995116930e+00, 1.766982083818186222e+00, 1.408285330518609157e+00, 1.895731537598675853e+00, 1.493016438711526783e+00, 1.604342243391470690e+00, 1.818456667396274096e+00, 1.660213832736721296e+00, 1.720559627873437414e+00, 1.614668265583942608e+00, 1.516114875299307441e+00, 1.917300786799580603e+00, 1.494010022244908420e+00, 1.732751775690172913e+00
2.022000000000000000e+03, 1.559667742696005277e+00, 1.741271113054979613e+00, 1.791544757549660360e+00, 1.688244794702911111e+00, 1.540273967020533874e+00, 1.969611628307989415e+00, 1.461528278103442657e+00, 1.542559784725879179e+00, 1.830247435598721273e+00, 1.655435443301765730e+00, 1.605725896285430387e+00, 1.552433649931738380e+00, 1.486727384044988165e+00, 1.930422763917267304e+00, 1.663145538158620207e+00, 1.743771558663277155e+00
2.023000000000000000e+03, 1.635498386214272903e+00, 1.763598852309130605e+00, 1.827197890967225735e+00, 1.695023713507175289e+00, 1.455695209165925208e+00, 2.006595288181211689e+00, 1.413613853193457892e+00, 1.524599836354224580e+00, 1.863622228764804545e+00, 1.677613208698621072e+00, 1.628272963518197169e+00, 1.645114778425486923e+00, 1.516276398559010863e+00, 1.826882688716702452e+00, 1.651337323432300996e+00, 1.594523771552152747e+00
2.024000000000000000e+03, 1.631831048760234548e+00, 1.772031951778626269e+00, 1.719392973435437177e+00, 1.665810509403168993e+00, 1.594002477132384410e+00, 1.998876688131478785e+00, 1.441069756492946885e+00, 1.568461853633085878e+00, 1.791699634882390813e+00, 1.704654369843380479e+00, 1.672723306294795487e+00, 1.571101320914077615e+00, 1.548758080717022922e+00, 1.898982872465585725e+00, 1.679482668387527688e+00, 1.760499605502332976e+00
2.025000000000000000e+03, 1.575839076999108412e+00, 1.767619145668656744e+00, 1.720042330317997026e+00, 1.718478730224461515e+00, 1.441681875923770173e+00, 1.985899621834747775e+00, 1.551440847288484637e+00, 1.613797264437621948e+00, 1.845551986709383252e+00, 1.650698813680633092e+00, 1.705494248918693723e+00, 1.599048084989009411e+00, 1.539010428749791437e+00, 1.905695928238534620e+00, 1.634293978506612843e+00, 1.654581952263759037e+00
2.026000000000000000e+03, 1.662906146696710108e+00, 1.757860615508215929e+00, 1.691357092063420664e+00, 1.711460080110393633e+00, 1.480855758872443806e+00, 1.956502766047945263e+00, 1.554951567722673733e+00, 1.632287799759744917e+00, 1.913291900940188528e+00, 1.590970530924186388e+00, 1.634571937807961506e+00, 1.547408850773559053e+00, 1.581652741832805464e+00, 1.851728592930129036e+00, 1.645970949022290686e+00, 1.680342441244524698e+00
