year, TaiESM1, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L, EC-Earth3-Veg, CanESM5, ACCESS-ESM1-5, CNRM-ESM2-1
2.015000000000000000e+03, 6.536930818954898825e+01, 5.959371753440975681e+02, 8.586873907823703576e+02, 9.934360309530127324e+02, 6.656675543402046458e+01, 6.096281510698603370e+02, 2.468856525114378826e+02, 1.276937833382942102e+02, 3.520942469707648570e+02, 3.214877856221303887e+02, 2.360074870910273432e+02, 1.965832738698120465e+02, 3.953287251636771202e+02
2.016000000000000000e+03, 6.531904164472777552e+01, 5.959695787948047609e+02, 8.586429728063020548e+02, 9.934273656305693976e+02, 6.669628121585185454e+01, 6.096069989144618830e+02, 2.471450355651959967e+02, 1.278433640153167516e+02, 3.522780308225890167e+02, 3.215644874613010415e+02, 2.359035399729190488e+02, 1.966899495033808307e+02, 3.955824593326920535e+02
2.017000000000000000e+03, 6.528420611729701761e+01, 5.960218680954302499e+02, 8.585668866789525282e+02, 9.934346254011179553e+02, 6.680928182832275297e+01, 6.096078843478101135e+02, 2.473533466159977365e+02, 1.278911409162295172e+02, 3.524197352460366801e+02, 3.216014441938935988e+02, 2.358296756330476569e+02, 1.967321434642804547e+02, 3.958159505863553136e+02
2.018000000000000000e+03, 6.526121802039088493e+01, 5.960499803220100148e+02, 8.584979786504627555e+02, 9.934028342014819373e+02, 6.694408310447897748e+01, 6.096356934418972742e+02, 2.475938300793314113e+02, 1.280695144149125895e+02, 3.524843553295984862e+02, 3.215865946230549071e+02, 2.357729914876983628e+02, 1.967568349846303306e+02, 3.960315946021724471e+02
2.019000000000000000e+03, 6.528042592791096865e+01, 5.960488568797202333e+02, 8.584703294596513388e+02, 9.933546010395709800e+02, 6.706202551701589698e+01, 6.096680229947525049e+02, 2.477714952318137023e+02, 1.281872294925058782e+02, 3.525685921160829821e+02, 3.214895370053650367e+02, 2.357219168918377648e+02, 1.967818205147485457e+02, 3.962891000863741056e+02
2.020000000000000000e+03, 6.528475857552805905e+01, 5.960351753971340258e+02, 8.584529908439014889e+02, 9.932870615648234889e+02, 6.719220010811723398e+01, 6.096824126107112534e+02, 2.478669771843902652e+02, 1.282796700298371491e+02, 3.527489853592722397e+02, 3.214494437529262996e+02, 2.356549648507952099e+02, 1.968298823088514666e+02, 3.964931859360614226e+02
2.021000000000000000e+03, 6.525305727503953790e+01, 5.960669592696976906e+02, 8.584576194416338240e+02, 9.932553419694537524e+02, 6.734402463853008669e+01, 6.096709703968772374e+02, 2.480869646427762234e+02, 1.283288297078205460e+02, 3.529705093021730136e+02, 3.214929707220927639e+02, 2.355680379564160489e+02, 1.968954007278976803e+02, 3.966670761958685034e+02
2.022000000000000000e+03, 6.529488327491263533e+01, 5.961002667541157507e+02, 8.583995330696817518e+02, 9.932500795502927531e+02, 6.749028276930715720e+01, 6.096632953352998356e+02, 2.484103101084099876e+02, 1.284544664725188170e+02, 3.532104068371160110e+02, 3.215460269453234901e+02, 2.355001870517490090e+02, 1.969400166737374889e+02, 3.968722323724250032e+02
2.023000000000000000e+03, 6.534957063188001314e+01, 5.961294457821907145e+02, 8.582744092607575794e+02, 9.932261068201502212e+02, 6.764740661933213062e+01, 6.096491228058267779e+02, 2.489306492949514222e+02, 1.286176440664353322e+02, 3.534076326385651896e+02, 3.215853206896464940e+02, 2.354309780905682885e+02, 1.969972917335519753e+02, 3.970684163124652173e+02
2.024000000000000000e+03, 6.532192739573690687e+01, 5.961756537697380054e+02, 8.582108724423854937e+02, 9.931607753871375053e+02, 6.778651783974764555e+01, 6.096560423614516822e+02, 2.491684581870344459e+02, 1.287152933520125941e+02, 3.535378095952351600e+02, 3.216157150796589690e+02, 2.353246577606034862e+02, 1.970686142400861343e+02, 3.972526180531091313e+02
2.025000000000000000e+03, 6.532053639841902282e+01, 5.962187424837027265e+02, 8.581802228249881637e+02, 9.930869198477249711e+02, 6.793671501908049493e+01, 6.096631574572177215e+02, 2.493802511655458716e+02, 1.287684207609263183e+02, 3.537043049850933585e+02, 3.216586679194386988e+02, 2.352183053213693995e+02, 1.971425036967301025e+02, 3.975102200005230770e+02
2.026000000000000000e+03, 6.534134066339356650e+01, 5.962507449712737753e+02, 8.580702297025957250e+02, 9.930141356232099952e+02, 6.808485644879060317e+01, 6.096149289903232784e+02, 2.496365950457268070e+02, 1.287424430478172042e+02, 3.538633335058501075e+02, 3.217306389619533888e+02, 2.351482738385047355e+02, 1.972304605787871026e+02, 3.978278332276631204e+02
2.027000000000000000e+03, 6.535751282670548790e+01, 5.962587989320937822e+02, 8.579330462743575936e+02, 9.930008438357428986e+02, 6.822505459264721139e+01, 6.095590919752102081e+02, 2.499458602133925353e+02, 1.287969378138200511e+02, 3.540390075307749953e+02, 3.217999277644381664e+02, 2.350909094666556882e+02, 1.973348589266824149e+02, 3.980887624617743086e+02
