year, NorESM2-LM, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4
2.015000000000000000e+03, 8.583257020471175625e-11, 1.658591443604838181e-10, 6.459095530405223271e-10, 3.985952397650054236e-10, 2.203007676419205263e-10
2.016000000000000000e+03, 1.756677715449735858e-10, 1.357635215508702234e-10, 1.025874541698762062e-09, 2.304303086502912143e-10, 2.960882714729656916e-10
2.017000000000000000e+03, 1.116585987437948329e-10, 1.554064077963699538e-10, 5.692175926750761916e-10, 2.431148410742711488e-10, 2.158714909652002415e-10
2.018000000000000000e+03, 6.470141015891657559e-11, 1.656205363704201814e-10, 6.353116784520812955e-10, 1.397775713822756340e-10, 1.665037809422744499e-10
2.019000000000000000e+03, 6.280964576930029971e-11, 1.747653645510939551e-10, 5.834387178979488669e-10, 1.003293289274966350e-10, 2.090995289552212108e-10
2.020000000000000000e+03, 2.237003108652438438e-10, 1.490357289145669702e-10, 5.295230315031650186e-10, 3.821598568199603818e-10, 1.987226791594187602e-10
2.021000000000000000e+03, 7.163053032783916569e-11, 1.634849591034732769e-10, 6.302981701809215648e-10, 2.130142923413327119e-10, 1.990377482789900397e-10
2.022000000000000000e+03, 3.044159021890874847e-11, 1.929098576282215457e-10, 8.199621656560199421e-10, 1.778410909204971054e-10, 1.646836318467223176e-10
2.023000000000000000e+03, 6.985338269060006261e-11, 1.522399245440951252e-10, 9.794520692826560295e-10, 4.817626526770574691e-10, 1.516339632758261064e-10
2.024000000000000000e+03, 1.911672610521406704e-10, 1.751661706556472127e-10, 4.807106691471693171e-10, 2.470077135498765581e-10, 1.867611958269807530e-10
2.025000000000000000e+03, 1.733528773453034717e-10, 1.715554842352113702e-10, 4.731352832930138216e-10, 1.962993742148764983e-10, 1.658591226019279646e-10
2.026000000000000000e+03, 5.365559036993184843e-11, 1.585124535093180490e-10, 5.474201623532196001e-10, 1.834768582362289841e-10, 2.136221211231534521e-10
2.027000000000000000e+03, 1.664241044704189549e-10, 1.622266108415332168e-10, 4.571206353477664320e-10, 2.292704720073219844e-10, 1.869272109431594765e-10
2.028000000000000000e+03, 7.162345359040874768e-11, 1.730639469815447784e-10, 6.927061872862202414e-10, 1.881461762912057104e-10, 1.992665069101455482e-10
2.029000000000000000e+03, 1.729891617017477867e-10, 2.071028927259843734e-10, 4.867633876881681073e-10, 1.648007080195934632e-10, 3.785251106728423248e-10
2.030000000000000000e+03, 1.067075567568746390e-10, 1.881505968922126728e-10, 4.498827991019693153e-10, 1.977593086294000853e-10, 3.501113729869140327e-10
2.031000000000000000e+03, 2.997349508499017482e-10, 1.733082465072755183e-10, 6.455073506982184610e-10, 1.683514021957083356e-10, 2.694935591320070245e-10
2.032000000000000000e+03, 2.329389023458414984e-10, 1.540330764183993037e-10, 6.350316596076021437e-10, 1.166813358065872077e-10, 2.306030034412627731e-10
2.033000000000000000e+03, 9.145285338507231493e-11, 2.135622427275084496e-10, 7.006897374025349689e-10, 2.337550074119855200e-10, 2.505075167043154794e-10
2.034000000000000000e+03, 7.159009288004922475e-11, 1.956341723179810538e-10, 7.090462880350391376e-10, 2.014472208970303906e-10, 2.455690412811345150e-10
2.035000000000000000e+03, 7.360578529731657282e-11, 1.664021493476579966e-10, 7.298449010002229143e-10, 2.490861662814284928e-10, 3.107489931113430276e-10
2.036000000000000000e+03, 5.841557556533890491e-11, 2.020320363192423037e-10, 7.198494479282334923e-10, 1.435293188277696958e-10, 2.241468245532635507e-10
2.037000000000000000e+03, 4.372831664120841718e-11, 1.948312177109948615e-10, 7.360658612388069711e-10, 3.968067938832580308e-10, 2.415777362359971033e-10
2.038000000000000000e+03, 6.804785429040963480e-11, 1.861744661733728120e-10, 5.453965753811709707e-10, 2.139080740776446015e-10, 2.546956200692554269e-10
2.039000000000000000e+03, 1.173404582084880282e-10, 1.930107021866887373e-10, 8.071463227933583175e-10, 3.979433630557927965e-10, 2.752854198238149814e-10
2.040000000000000000e+03, 9.093446041065574638e-11, 1.823795306059288704e-10, 6.329147756544725502e-10, 2.465566159659996563e-10, 3.353308247893224989e-10
