year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, 4.153415260867563563e-10, 9.409266013761496794e-11, 6.536620438598905566e-11
2.016000000000000000e+03, 4.373310878667436702e-10, 1.000911698359914526e-10, 7.015487581648387596e-11
2.017000000000000000e+03, 4.553861346839950491e-10, 1.097168903308777879e-10, 6.135611615863288731e-11
2.018000000000000000e+03, 3.987018079641383991e-10, 9.375130102711565979e-11, 6.455733323277257898e-11
2.019000000000000000e+03, 4.441706017148607628e-10, 1.114607976955849240e-10, 8.490508201233637646e-11
2.020000000000000000e+03, 4.585539746044041901e-10, 1.030151569043853781e-10, 6.608475196503949196e-11
2.021000000000000000e+03, 4.489967588270061322e-10, 1.088478004101116636e-10, 8.612027041748194199e-11
2.022000000000000000e+03, 4.659037903090510576e-10, 1.104844849951451480e-10, 8.095420839758401396e-11
2.023000000000000000e+03, 4.538580434256876789e-10, 1.011185298064542383e-10, 8.617521704055959117e-11
2.024000000000000000e+03, 4.544778403643038457e-10, 1.061827534232470662e-10, 8.276985569283482544e-11
2.025000000000000000e+03, 4.402556040482283607e-10, 9.867564971676955669e-11, 7.641474375554629542e-11
2.026000000000000000e+03, 4.870920698735482157e-10, 9.945192079261569429e-11, 8.210858884282922878e-11
2.027000000000000000e+03, 4.670295865975033127e-10, 1.059746685999851855e-10, 8.793993095870684762e-11
2.028000000000000000e+03, 4.645425935570098504e-10, 9.921058552636271572e-11, 8.261146624163481722e-11
2.029000000000000000e+03, 4.628900184484110311e-10, 9.838497985356224463e-11, 7.541252493488509657e-11
2.030000000000000000e+03, 4.767043113909761510e-10, 1.100651187455172457e-10, 7.375063656845304045e-11
2.031000000000000000e+03, 4.612148499544613787e-10, 1.015589233946239997e-10, 7.419097336803216171e-11
2.032000000000000000e+03, 4.751837422607010750e-10, 1.086424743901365103e-10, 6.888398909320608561e-11
2.033000000000000000e+03, 4.776043117079373553e-10, 1.029803882620239287e-10, 6.468283983126787402e-11
2.034000000000000000e+03, 5.089784122215774627e-10, 9.954319614503633267e-11, 7.014688849947101329e-11
2.035000000000000000e+03, 4.856722183441843881e-10, 1.036291330339155348e-10, 5.961007496853596188e-11
2.036000000000000000e+03, 4.883062371717035770e-10, 9.670997402445465699e-11, 7.670313423392202800e-11
2.037000000000000000e+03, 5.114170714194413673e-10, 1.066396567031700971e-10, 7.668933152647586794e-11
2.038000000000000000e+03, 5.045394621033227778e-10, 1.081635555688421245e-10, 7.519346524941769350e-11
