year, NorESM2-MM, NorESM2-LM, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, TaiESM1
2.015000000000000000e+03, 0.000000000000000000e+00, 1.084820647430184868e-10, 2.208898119436317971e-10, 5.566545150860327682e-10, 7.436309415151140753e-11, 4.209117544821799821e-10, 1.354439342641847719e-10, 3.148564279823188254e-10, 8.441532413251021732e-11
2.016000000000000000e+03, 1.136488076479061907e-10, 1.089838302197847149e-10, 1.611353155077648598e-10, 4.941615584774221901e-10, 7.028030474506954316e-11, 4.220556570571431954e-10, 1.110804701174384173e-10, 3.413760603519295639e-10, 5.409323883095543744e-11
2.017000000000000000e+03, 1.182558565241534377e-10, 1.047838785502681782e-10, 1.954264633320181982e-10, 5.418001772329384788e-10, 8.794579511880356978e-11, 4.289594348642128753e-10, 1.295737870664133944e-10, 3.187253562835745506e-10, 5.656951074926066389e-11
2.018000000000000000e+03, 1.227454651037279855e-10, 1.083341741459313019e-10, 2.089786619146292238e-10, 4.871771722138147764e-10, 1.095573072677785628e-10, 4.276666504255097203e-10, 1.436453500878079172e-10, 3.141685191163190592e-10, 5.507746781294339660e-11
2.019000000000000000e+03, 1.226993192168415215e-10, 1.094375473540924567e-10, 2.285602894447179810e-10, 4.896043789979944705e-10, 8.933909889949267195e-11, 3.989891981176178962e-10, 1.434135649353648391e-10, 3.456058982794003690e-10, 5.385788467048409448e-11
2.020000000000000000e+03, 1.208034630112744730e-10, 1.085593848547485561e-10, 2.101762144935316678e-10, 5.061310393359956208e-10, 6.987644500704172871e-11, 4.071091659212392744e-10, 1.716845428486988310e-10, 3.399492066705383700e-10, 5.321307471873388700e-11
2.021000000000000000e+03, 1.203819757294813910e-10, 1.079295689058856896e-10, 2.234897591662043585e-10, 4.824647304082903377e-10, 6.285049206467526922e-11, 4.306317068860625140e-10, 1.869849414950550460e-10, 3.478807847799384975e-10, 5.368023033415382497e-11
2.022000000000000000e+03, 1.193429635744471661e-10, 1.064158899345519174e-10, 2.233616176496115481e-10, 5.487089318785988779e-10, 5.957983120588229669e-11, 4.318711484626846074e-10, 1.996539379602846954e-10, 3.217710365910546893e-10, 5.374030869465682734e-11
2.023000000000000000e+03, 1.191741865159646734e-10, 1.064206816870215316e-10, 2.566417304530107443e-10, 5.424991104743011279e-10, 7.012348257230406720e-11, 4.147414153616063507e-10, 2.184550114425090671e-10, 3.294452438559913238e-10, 5.476001289295195376e-11
2.024000000000000000e+03, 1.188676661558490045e-10, 1.066658487431248443e-10, 2.481001167932385912e-10, 5.901037975655977697e-10, 8.891777425787931651e-11, 3.947772382186533311e-10, 1.569775171840990668e-10, 3.234704119613090670e-10, 5.486817422313274525e-11
2.025000000000000000e+03, 1.187779214611853589e-10, 1.066091765511540320e-10, 2.594831851187520023e-10, 4.747879710135453615e-10, 9.890255278944948181e-11, 4.118414317958955579e-10, 1.712614054102239543e-10, 3.275811198559689287e-10, 5.492974769111362873e-11
2.026000000000000000e+03, 1.172257792671961060e-10, 1.063939833071536931e-10, 2.154450476873094183e-10, 5.221694511881837360e-10, 8.626547178318206731e-11, 4.195938213602917483e-10, 2.258461493696262455e-10, 3.459890642156707896e-10, 5.501969428794390301e-11
2.027000000000000000e+03, 1.149948552813891890e-10, 1.062550277043389490e-10, 2.140439092390156922e-10, 5.044863594837272147e-10, 8.522809814370016828e-11, 4.183231547339804744e-10, 1.721831974228277140e-10, 3.270580294761310274e-10, 5.494785779380280731e-11
2.028000000000000000e+03, 1.138183319989183007e-10, 1.059924422038726091e-10, 2.418726128553128665e-10, 5.741124132985797462e-10, 9.162603808120901085e-11, 4.153438474762215673e-10, 2.335017334031432286e-10, 3.330988091564097171e-10, 5.507831715330057170e-11
