year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CMCC-ESM2, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL
2.015000000000000000e+03, 1.008538464645326183e-11, 1.137358358488440908e-10, 1.030187095822725485e-11, 1.747015022006616374e-10, 2.147463051725918176e-10, 7.024174092619965147e-12, 8.118339708416692048e-11, 3.753653220297306994e-11, 2.178593696420284094e-10, 1.354117914932350033e-13
2.016000000000000000e+03, 5.667154254650035567e-12, 1.167197110532612354e-10, 1.083677190776476457e-11, 1.827500561074797345e-10, 1.878102177722555724e-10, 6.245312564599860223e-12, 8.151740570564239772e-11, 4.261079884054561266e-11, 1.892225416100115614e-10, 1.312692713477340434e-13
2.017000000000000000e+03, 5.749790795605325859e-12, 1.173728433761368839e-10, 1.089424726123221766e-11, 1.646878528614669416e-10, 1.630759008997207389e-10, 5.638237648314015143e-12, 8.314582366527382833e-11, 2.227223620180223859e-11, 1.881900691006444411e-10, 1.293571094528915336e-13
2.018000000000000000e+03, 5.849251622933022335e-12, 1.179134268000234039e-10, 1.081070061075818979e-11, 1.645882013724114580e-10, 1.431343957069920822e-10, 5.090941104635655805e-12, 8.680533293251475020e-11, 2.357089746306356830e-11, 2.397570657117502592e-10, 1.320853760400668084e-13
2.019000000000000000e+03, 5.951861600304551665e-12, 1.185030624077776577e-10, 1.062940193407848436e-11, 1.739258465259894499e-10, 1.269538508406112577e-10, 4.583736098801076206e-12, 9.018084583012825343e-11, 2.361963774187565904e-11, 2.321072264065544647e-10, 1.407641725690844126e-13
2.020000000000000000e+03, 6.032055289444019189e-12, 1.185142616775879299e-10, 1.013767836286231514e-11, 1.681689033318785290e-10, 1.147213733085010969e-10, 4.534702505227028490e-12, 9.242354333562026084e-11, 2.281582204487454859e-11, 2.056936639714930665e-10, 1.525630493807467409e-13
2.021000000000000000e+03, 5.607478758471254334e-12, 1.183920987576056245e-10, 4.869243506073838161e-12, 1.704319615376501187e-10, 1.045593552148017780e-10, 4.554603466008904984e-12, 9.360627321619545421e-11, 2.248276133545256742e-11, 1.975860719375319603e-10, 1.616006483993864908e-13
2.022000000000000000e+03, 4.839132865666542944e-12, 1.181070024843053640e-10, 4.911627885809327380e-12, 1.932514077018321145e-10, 9.605485111054654577e-11, 4.302670249671197347e-12, 9.503541668752806424e-11, 2.239516932017909829e-11, 2.159159207690581330e-10, 1.500095897500374891e-13
2.023000000000000000e+03, 4.896642721590945128e-12, 1.181912087717012281e-10, 4.568770518047182262e-12, 1.857426455900328859e-10, 8.949073014464612759e-11, 3.944291741663422309e-12, 9.669640138540949994e-11, 2.261706441635503474e-11, 2.054110465651364000e-10, 1.508778666424670038e-13
2.024000000000000000e+03, 4.947724482537065777e-12, 1.184591921153052254e-10, 4.508388338624306259e-12, 1.813702160837809479e-10, 8.465424973342730612e-11, 3.710264116247445169e-12, 9.782327273863037847e-11, 2.282245804159148345e-11, 1.980592246484294188e-10, 1.601455282337607176e-13
2.025000000000000000e+03, 5.000379170486933752e-12, 1.184961454809780956e-10, 4.488613025554754176e-12, 2.012196946420327457e-10, 8.199357422468579130e-11, 3.912736142284879505e-12, 9.768388522234649039e-11, 2.262795814966770542e-11, 1.902353907734776126e-10, 1.800395651581632335e-13
