year, UKESM1-0-LL, ACCESS-ESM1-5, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L
2.015000000000000000e+03, 1.354117949274624215e-13, 6.406316881856392664e-11, 7.638991679910083960e-11, 4.279364108353592637e-10, 1.870748446220857143e-10, 5.667399021915274742e-10, 8.596785096202725782e-12, 4.277910739964284568e-10
2.016000000000000000e+03, 1.312692732970571767e-13, 1.954083019340955892e-10, 7.722881189153028149e-11, 4.283005086020682873e-10, 1.842130666363428870e-10, 4.998287073344002004e-10, 8.644050343928643653e-12, 4.284750485926039144e-10
2.017000000000000000e+03, 1.293571078546425527e-13, 1.137692272056047092e-10, 7.906696520120538062e-11, 4.345999935759949859e-10, 2.024672954795528635e-10, 5.475499676417701195e-10, 8.655702218514267896e-12, 4.239203970264493178e-10
2.018000000000000000e+03, 1.320853762249663635e-13, 8.180988291063002699e-11, 8.230006960382125544e-11, 4.327581656786890336e-10, 2.244468912960969836e-10, 4.930264235083626758e-10, 8.576503269763343634e-12, 4.204591593072066599e-10
2.019000000000000000e+03, 1.407641726172284296e-13, 6.874905299709601230e-11, 8.510695716899779277e-11, 4.035738389723079398e-10, 2.046137154485479774e-10, 4.955562437143567201e-10, 8.333426818698457465e-12, 4.165894522677014695e-10
2.020000000000000000e+03, 1.525630495502732271e-13, 6.173050584255857587e-11, 8.715621397818039529e-11, 4.116440606954857858e-10, 1.856398946461106682e-10, 5.121630982226252028e-10, 7.867527110919924733e-12, 4.100883570555155846e-10
2.021000000000000000e+03, 1.616006525054243400e-13, 5.755053539567307944e-11, 8.864072509302579356e-11, 4.351873368080200451e-10, 1.790376018008168294e-10, 4.880722061568960980e-10, 4.042608180070282359e-12, 4.080683548516110163e-10
2.022000000000000000e+03, 1.500095865584704759e-13, 5.447442331568683845e-11, 8.985738485169680081e-11, 4.361735347982614889e-10, 1.759708382543060228e-10, 5.535480645929001454e-10, 4.070592857272411149e-12, 4.126552996561095356e-10
2.023000000000000000e+03, 1.508778675832841026e-13, 5.257306603262458333e-11, 9.082853021787870380e-11, 4.186847876443361634e-10, 1.865208584129081765e-10, 5.473957540114603380e-10, 3.756050873218514721e-12, 4.187334726200335964e-10
2.024000000000000000e+03, 1.601455274677954084e-13, 5.042939223275465782e-11, 9.150291361973057999e-11, 3.984900682997733033e-10, 2.053565846601261060e-10, 5.950515264039712733e-10, 3.655009720276871440e-12, 4.221279117004593956e-10
2.025000000000000000e+03, 1.800395662850881951e-13, 4.926353771428857231e-11, 9.188220198958935194e-11, 4.157537301278769595e-10, 2.153596217219343916e-10, 4.797883493550971615e-10, 3.607127111382643124e-12, 4.230268551574667404e-10
2.026000000000000000e+03, 1.894909950924483762e-13, 4.689358327172744779e-11, 9.200127138231288428e-11, 4.234929418685424487e-10, 2.027578788646996470e-10, 5.273873333422786577e-10, 3.534947309855407516e-12, 4.251338361756369405e-10
2.027000000000000000e+03, 1.866181750985740878e-13, 4.541274248548066476e-11, 9.198795235696931915e-11, 4.220659606475384549e-10, 2.017598741842966173e-10, 5.096900237264371937e-10, 3.494452867991477558e-12, 4.277529409244524129e-10
2.028000000000000000e+03, 1.907228072934976561e-13, 4.600730784960102727e-11, 9.190398731877584810e-11, 4.189145949004683560e-10, 2.081854271365382678e-10, 5.793561889204020580e-10, 3.435092534291226966e-12, 4.321809328312296058e-10
2.029000000000000000e+03, 1.982105527390034795e-13, 4.368297484901101630e-11, 9.176786042049483688e-11, 4.158501657476971139e-10, 1.985308270454933868e-10, 6.121493886707252767e-10, 3.377296649884644901e-12, 4.305471798795333216e-10
