year, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, NorESM2-MM, EC-Earth3-Veg, TaiESM1, CanESM5, INM-CM4-8, MPI-ESM1-2-LR, MIROC-ES2L, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, GFDL-ESM4
2.015000000000000000e+03, 8.965576238921990182e+00, 1.095725997117591000e+01, 1.002753286197732230e+01, 9.431838689941720588e+00, 8.111410013197984270e+00, 7.435381778446725320e+00, 1.025614780523495995e+01, 9.160714749206530172e+00, 1.040503368680709961e+01, 1.177398403706268759e+01, 1.030987400837129009e+01, 1.078917435127097413e+01, 9.826376040550576008e+00, 8.726326653954062706e+00, 8.785483277445775840e+00, 9.567700876138392374e+00
2.016000000000000000e+03, 8.606319511180023696e+00, 9.871252712771099169e+00, 9.496327010663428325e+00, 8.756135662635299965e+00, 8.599370223503555621e+00, 6.817694593890216481e+00, 1.001857909924480161e+01, 9.093368881623094424e+00, 1.124275619183837449e+01, 1.133900707934206231e+01, 1.050013209037181916e+01, 9.977483032215076264e+00, 9.800190076124737359e+00, 9.192599630637857899e+00, 8.821277838415003458e+00, 9.465864759345079094e+00
2.017000000000000000e+03, 8.409436443078934786e+00, 1.078453392084380269e+01, 1.020236000398473841e+01, 9.199256559565053948e+00, 8.552707165265088562e+00, 7.099646428260227182e+00, 9.977878029159072071e+00, 1.001664346372389325e+01, 1.158057684161184397e+01, 1.179086040623237075e+01, 1.116025326512813187e+01, 1.002581335421668740e+01, 1.014436192757338873e+01, 9.702274163938872320e+00, 9.021485052673970273e+00, 9.948485274941431200e+00
2.018000000000000000e+03, 9.029925880318350195e+00, 1.002222110712483705e+01, 1.000932540835798967e+01, 8.971565987644931184e+00, 1.004364552497892404e+01, 7.201515669052276358e+00, 1.020655728373558446e+01, 9.636676034876847652e+00, 1.001161727054588901e+01, 1.151113822287391208e+01, 1.053160142517514863e+01, 9.930099006408935836e+00, 9.548535676862014654e+00, 9.856986876385402496e+00, 9.175992032014473665e+00, 1.021856633982581286e+01
2.019000000000000000e+03, 9.138928671313095720e+00, 1.082075360372942008e+01, 9.982992999976227466e+00, 9.321977403745504986e+00, 9.478852469426671590e+00, 7.107355161797446641e+00, 1.006778016648824803e+01, 9.605408799527756614e+00, 1.097779344116474398e+01, 1.077350413483807223e+01, 1.030437564136273565e+01, 1.001376926919646060e+01, 9.317716115277402622e+00, 9.613445788487190669e+00, 8.975512628105015267e+00, 9.857530081478593331e+00
2.020000000000000000e+03, 8.818476079579612659e+00, 1.056365152987015499e+01, 9.648312175301263949e+00, 9.461903866388414741e+00, 9.063303196017738372e+00, 7.109896337335984917e+00, 1.091138895398244912e+01, 9.550060158399279686e+00, 1.162086341268486578e+01, 1.095159382291905459e+01, 9.660789093819071027e+00, 1.086005652508661257e+01, 9.879060804366144311e+00, 9.491266376516751535e+00, 8.940897789866287582e+00, 1.032650460019854854e+01
2.021000000000000000e+03, 9.429929955592985635e+00, 1.138103849542094004e+01, 9.673238982537991859e+00, 9.216647117070051465e+00, 9.909694099374590337e+00, 7.208672455328886564e+00, 1.022234126920732855e+01, 9.822024134542798990e+00, 1.141581143198184733e+01, 1.152880996866451824e+01, 1.036514021863672852e+01, 1.011543482998494703e+01, 9.211369654908597937e+00, 9.911126157181527674e+00, 9.339482667183744979e+00, 1.069672716418900649e+01
2.022000000000000000e+03, 8.968233071923037869e+00, 1.165434320740462582e+01, 1.030328796092133281e+01, 9.761912753377277596e+00, 9.147151490346388414e+00, 6.842346184893104422e+00, 1.150509039064583661e+01, 9.496276297929581389e+00, 1.180967800441001181e+01, 1.196024965721463751e+01, 1.112435486397740547e+01, 1.048991148900784154e+01, 8.643303481419664536e+00, 1.020818604146129438e+01, 9.441039391994063834e+00, 1.029840412963468843e+01
2.023000000000000000e+03, 9.275386261310925917e+00, 1.086056314904415743e+01, 9.789007874976377366e+00, 9.423723156010002100e+00, 9.699423309526448378e+00, 7.195365587019043829e+00, 1.158835350462473457e+01, 9.556655191596920673e+00, 1.132244458345792282e+01, 1.154090395081727749e+01, 1.055967319588974007e+01, 1.000955909203123184e+01, 9.710442265384306992e+00, 1.035630208960253462e+01, 9.212402685356650522e+00, 1.063707560550387221e+01
2.024000000000000000e+03, 9.228008365538020286e+00, 1.147831644594353939e+01, 1.063924510318020999e+01, 9.195396386593046145e+00, 8.804196874166722253e+00, 7.206658670151478319e+00, 1.127918217584006655e+01, 1.004876516082553017e+01, 1.165276901292526368e+01, 1.205130498216385604e+01, 1.076200065084654689e+01, 9.677112484751432930e+00, 9.538612909877583590e+00, 1.045241906764999307e+01, 9.187266321322196561e+00, 1.077084248329743765e+01
2.025000000000000000e+03, 9.032663106821285481e+00, 1.213496654646276873e+01, 1.028187895600703250e+01, 9.492481095948337000e+00, 9.243621447970317817e+00, 7.147564284786038336e+00, 1.184315534915561230e+01, 1.004621619281997980e+01, 1.111873348271757855e+01, 1.211948832292188527e+01, 1.053735557763994635e+01, 1.052686155176331972e+01, 1.118297559520168605e+01, 1.040631886576651688e+01, 9.081963378403131060e+00, 1.055659200584308444e+01
2.026000000000000000e+03, 9.420989214498096231e+00, 1.209812876564873818e+01, 9.683356323042604075e+00, 1.019349073919570081e+01, 8.668498616404544777e+00, 7.124715941344291537e+00, 1.160875709415402568e+01, 9.801488110896862338e+00, 1.215342541012055300e+01, 1.231351108352756718e+01, 1.118997799325471654e+01, 1.059853152150875211e+01, 1.021371743822052558e+01, 1.009615692310259227e+01, 8.886566889271644953e+00, 1.093652343316369624e+01
2.027000000000000000e+03, 9.365367735843939556e+00, 1.241252168754508567e+01, 9.789485841516663456e+00, 1.001019898206137171e+01, 9.747931441077717807e+00, 7.143695865823556979e+00, 1.072271871774556828e+01, 1.004345939494319673e+01, 1.138201825005614864e+01, 1.278689033534344333e+01, 1.105356329742485677e+01, 1.048581229204376974e+01, 9.963968233767950267e+00, 1.037177866971481244e+01, 8.943108700254747134e+00, 1.074744650043150429e+01
2.028000000000000000e+03, 9.447954978074859511e+00, 1.197338637608056011e+01, 1.035040108582317409e+01, 1.015391347204347205e+01, 9.574248770116502882e+00, 7.159545963272213598e+00, 1.115534213884714454e+01, 9.585714353787855302e+00, 1.163796431013922650e+01, 1.164184550449022915e+01, 1.084061695007396153e+01, 1.097872191781970486e+01, 1.041999168286452360e+01, 1.087750620243408939e+01, 8.871116064373923749e+00, 1.044399916685599017e+01
2.029000000000000000e+03, 1.009884266775856787e+01, 1.232166461625445564e+01, 1.073116317610075221e+01, 9.577024805147733133e+00, 1.070671286153452684e+01, 7.536459890871832101e+00, 1.142636462576101231e+01, 9.866402632224341218e+00, 1.171056168182174062e+01, 1.264277795277285499e+01, 1.018591639144114680e+01, 1.101623935242403718e+01, 1.075318642874077568e+01, 1.021898369514975613e+01, 8.972776231773584854e+00, 1.095158628899175213e+01
2.030000000000000000e+03, 9.912576844525483821e+00, 1.287488041504139780e+01, 1.048948186995481535e+01, 9.960731937297568450e+00, 1.000863112337062155e+01, 7.659952242784433096e+00, 1.211280201662020239e+01, 1.005553711111704018e+01, 1.195887629897829463e+01, 1.303218742021258691e+01, 1.028485781358255480e+01, 1.096026940093296531e+01, 1.037918813486795244e+01, 1.089209218872329998e+01, 8.880049654931093883e+00, 1.085768566067139673e+01
2.031000000000000000e+03, 1.003441926649671956e+01, 1.313169421834806272e+01, 1.048066597070490324e+01, 9.612384449108359874e+00, 9.812257413545690810e+00, 7.678806637414766989e+00, 1.189379855607392855e+01, 9.920266629363826638e+00, 1.145671743283262245e+01, 1.314905211845061395e+01, 1.097363870181812651e+01, 1.119480077285246367e+01, 9.844970322276848762e+00, 1.114017150170906056e+01, 9.011921307470757370e+00, 1.103203276140918376e+01
2.032000000000000000e+03, 9.819586293641018315e+00, 1.322753040480833064e+01, 1.014385572044906247e+01, 1.015255154827383954e+01, 1.048587262168690870e+01, 7.374719551489383740e+00, 1.249453843376853790e+01, 9.483695209632925227e+00, 1.229984289367924077e+01, 1.269437183377187139e+01, 1.157551657230647102e+01, 1.128048302456260288e+01, 9.856355949368008851e+00, 1.096582484388010315e+01, 9.584320504314995048e+00, 1.103351668015126741e+01
2.033000000000000000e+03, 1.028303438463720809e+01, 1.284978629749429757e+01, 1.031459549897216910e+01, 1.046135733268960344e+01, 9.869172631770872783e+00, 7.446667185208553974e+00, 1.222492800035009886e+01, 9.908242772446712365e+00, 1.182945213651681549e+01, 1.252351133634095248e+01, 1.122595867367589406e+01, 1.088529149252653028e+01, 8.926031640251309796e+00, 1.105521202185250829e+01, 9.230303985995680804e+00, 1.075982055792978720e+01
2.034000000000000000e+03, 1.031744927090017327e+01, 1.334022209673683967e+01, 1.059414179688815949e+01, 1.016079197081980823e+01, 1.036403266450147065e+01, 7.641558299826209932e+00, 1.137961833546290258e+01, 9.749222501952898412e+00, 1.298372566736979117e+01, 1.345768482285005696e+01, 1.098231576208705818e+01, 1.009030534245529154e+01, 1.016252708296872598e+01, 1.109586164239756911e+01, 9.383616150408018441e+00, 1.043812982952532664e+01
2.035000000000000000e+03, 1.052305722508514130e+01, 1.346948146028871030e+01, 1.022057327015712680e+01, 1.055469194559475099e+01, 9.683354313110047684e+00, 7.453830667293334322e+00, 1.156800473249664485e+01, 9.673950962689389144e+00, 1.244515563473832565e+01, 1.266527848120410304e+01, 1.190734774964537124e+01, 1.075740792082064878e+01, 1.013103367515565267e+01, 1.103984789590773552e+01, 9.620726700866541137e+00, 1.138659022590806025e+01
2.036000000000000000e+03, 1.014695159513970069e+01, 1.315192785798499031e+01, 1.063163032759592852e+01, 1.032473775267992089e+01, 9.836590346577636979e+00, 7.897102720376572904e+00, 1.209135311472325647e+01, 1.061521308896828586e+01, 1.227832355513178442e+01, 1.300594416783753182e+01, 1.177746496801260712e+01, 1.171915339087694186e+01, 9.903774436073836895e+00, 1.049693896892196321e+01, 9.375927786941639752e+00, 1.077762613166684247e+01
2.037000000000000000e+03, 1.076881618314063260e+01, 1.321982066694634916e+01, 1.166674728656972526e+01, 1.107804151509994917e+01, 1.045220599267205053e+01, 7.175271851532836642e+00, 1.235858417763460260e+01, 1.010549039972998031e+01, 1.330056281074428348e+01, 1.302925005184327567e+01, 1.138615956847447386e+01, 1.110958054252567351e+01, 1.077768334133526373e+01, 1.083410359415549173e+01, 9.512273964623076949e+00, 1.186309882804470561e+01
2.038000000000000000e+03, 1.059581533580211854e+01, 1.284995610401581878e+01, 1.066055681104151986e+01, 9.774077738407223492e+00, 1.055645004684650523e+01, 7.185915491115999920e+00, 1.221832061883296028e+01, 1.051292160682039167e+01, 1.257842037192500939e+01, 1.335906067687147569e+01, 1.130548715615921651e+01, 1.150110375010943109e+01, 1.083781940489285489e+01, 1.099591090359902701e+01, 9.357108983558520166e+00, 1.167641126937338036e+01
2.039000000000000000e+03, 1.039692937839123132e+01, 1.319120700017166037e+01, 1.122857934573689498e+01, 1.008053418707883075e+01, 1.059301194631225762e+01, 7.597071708888202046e+00, 1.275108973557967040e+01, 9.726229748434272793e+00, 1.205910704431946101e+01, 1.289808376086132391e+01, 1.114089686884301855e+01, 1.195335771246697298e+01, 1.015182158771921728e+01, 1.112217759273530682e+01, 9.139087656854389508e+00, 1.179312770816936506e+01
