year, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L, GFDL-ESM4, CanESM5, UKESM1-0-LL, TaiESM1, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-ESM2, EC-Earth3-Veg, INM-CM5-0
2.015000000000000000e+03, 1.330136101886275846e+00, 1.407280912472600676e+00, 1.398164060285560506e+00, 1.225059862934743782e+00, 9.265556306402962239e-01, 9.171670175405792769e-01, 7.381948642211886291e-01, 2.374813560093916642e+00, 9.538363041909957429e-01, 1.854698300493000884e+00, 1.137063947237108463e+00, 1.288083782978682867e+00, 1.083931146536816215e+00, 2.000513649612582157e+00, 9.415795006947225154e-01, 1.005432912486476704e+00
2.016000000000000000e+03, 1.360965716989285923e+00, 1.426296210500487716e+00, 1.381852796003001593e+00, 1.178283839822706902e+00, 9.170924070014395690e-01, 9.403440688187719720e-01, 7.171455157772654854e-01, 2.368697349408668718e+00, 9.386282431311000485e-01, 1.818758534771216517e+00, 1.136253908170001159e+00, 1.268061762136638126e+00, 1.128404489949777600e+00, 1.982696686935372599e+00, 9.685232098821024982e-01, 9.722054832983608730e-01
2.017000000000000000e+03, 1.387161308805988869e+00, 1.439826828249636703e+00, 1.372834772324518893e+00, 1.199740353086952149e+00, 8.933179570139315739e-01, 9.959272730904115134e-01, 7.314423295849449280e-01, 2.385486571728369753e+00, 9.578513775092104554e-01, 1.849829708366764303e+00, 1.168344127367183516e+00, 1.287705266441871998e+00, 1.168172045121702141e+00, 1.893164583290214642e+00, 9.872538836313622390e-01, 1.051983404505956843e+00
2.018000000000000000e+03, 1.356953705915973529e+00, 1.403647763178512253e+00, 1.347258461232335280e+00, 1.190431879215013922e+00, 9.321824394077513620e-01, 9.815203881766693117e-01, 7.330122821367733854e-01, 2.401616028524127255e+00, 9.477610685426901549e-01, 1.819971452205938256e+00, 1.207542634433087070e+00, 1.323213652914446037e+00, 1.170682797522061724e+00, 1.867718600295021458e+00, 1.006521354818580072e+00, 9.877313165491793390e-01
2.019000000000000000e+03, 1.330524697729773331e+00, 1.424630493464564163e+00, 1.328742642506999028e+00, 1.207377539050985993e+00, 9.409088109355070451e-01, 9.839388023468906841e-01, 6.947097859228127392e-01, 2.412206879418953509e+00, 9.544568821000519732e-01, 1.864239663563483029e+00, 1.193384346952195862e+00, 1.319804390931498039e+00, 1.161045579921608395e+00, 1.982724206186126326e+00, 1.077238341165220659e+00, 9.975340117497428771e-01
2.020000000000000000e+03, 1.363516365165755806e+00, 1.438277419981788707e+00, 1.375942238939978912e+00, 1.244734646271410172e+00, 9.221825808164190175e-01, 9.885249931820355718e-01, 6.741394900416165514e-01, 2.439946852551693190e+00, 1.009706163739748419e+00, 1.865790508756109078e+00, 1.183037598101985832e+00, 1.316663387345873959e+00, 1.136049391599484704e+00, 1.967706433729693449e+00, 1.037298695284573080e+00, 9.668148956800186600e-01
2.021000000000000000e+03, 1.343923472415259557e+00, 1.434319112509038430e+00, 1.356155905433966913e+00, 1.242007753612473619e+00, 9.606102550980915034e-01, 9.856647712341378709e-01, 6.865653796350257299e-01, 2.461459179788561880e+00, 9.679840237498372746e-01, 1.893637497923267743e+00, 1.203237506214853481e+00, 1.337711966638252203e+00, 1.180915595146873720e+00, 1.967917177115125815e+00, 1.075713123895754020e+00, 9.830128800862003580e-01
2.022000000000000000e+03, 1.293041094073812625e+00, 1.441498969846030764e+00, 1.399899000150808481e+00, 1.269961241091396298e+00, 9.429156408649022048e-01, 9.640557350665734937e-01, 7.250966094495021608e-01, 2.462115615629483667e+00, 1.041018005942632607e+00, 1.914817679750841828e+00, 1.173020222772423349e+00, 1.351335845989814821e+00, 1.184362592393845448e+00, 1.825977410002579626e+00, 1.097201931332448588e+00, 1.048304045792317174e+00
2.023000000000000000e+03, 1.349069676787179262e+00, 1.423990384302476375e+00, 1.385975942449138465e+00, 1.258344797439954199e+00, 9.620120291460872997e-01, 9.202489027668725452e-01, 7.113132190724047454e-01, 2.469936692855895455e+00, 1.045601643005540149e+00, 1.867079507240311909e+00, 1.162687127438112089e+00, 1.352826080397660169e+00, 1.199793716034770918e+00, 1.916785243128010130e+00, 1.061531731299519166e+00, 1.017150253932521675e+00
2.024000000000000000e+03, 1.312069927947020487e+00, 1.448900449778132593e+00, 1.326825445148873239e+00, 1.232760277614577182e+00, 9.558041756569193304e-01, 9.868275275563549442e-01, 7.555583951592788061e-01, 2.490499854128133794e+00, 1.030802164302192070e+00, 1.919243327141186395e+00, 1.193702128788292738e+00, 1.331305477106168089e+00, 1.205535697859622335e+00, 1.970768862275501299e+00, 1.066145812365225209e+00, 1.022299720614593177e+00
2.025000000000000000e+03, 1.450211586684996057e+00, 1.442879479938357745e+00, 1.341441753113319590e+00, 1.226416731518275904e+00, 9.549679568209417102e-01, 1.013704294742977963e+00, 7.402874316198212457e-01, 2.490480365433061838e+00, 1.060888761370518463e+00, 1.934643957304800876e+00, 1.214699296398559669e+00, 1.316155662260421577e+00, 1.216814603638433967e+00, 1.920943230894178511e+00, 1.011642535805417520e+00, 1.045051490477815204e+00
2.026000000000000000e+03, 1.482590952497852665e+00, 1.467962701673405812e+00, 1.406600920380831843e+00, 1.288513717747418186e+00, 9.574290877254895138e-01, 1.001835207835713115e+00, 7.558512479338994616e-01, 2.515807338572427110e+00, 1.048238315842906498e+00, 1.966253849062871373e+00, 1.198124247532994957e+00, 1.310620062793347529e+00, 1.180323004652539476e+00, 1.876394729863228417e+00, 1.048303551467022032e+00, 9.933830147697930713e-01
2.027000000000000000e+03, 1.438087022463778286e+00, 1.447799222669490016e+00, 1.454275933629752160e+00, 1.306209162106678479e+00, 9.697170076288539331e-01, 1.036425843681496595e+00, 7.959784249616113083e-01, 2.511449390378381441e+00, 1.015892072188592898e+00, 1.981799371701345791e+00, 1.181507952409020845e+00, 1.297926767805726023e+00, 1.193930679457831712e+00, 1.879139736398855343e+00, 1.031884723188782216e+00, 9.623824630081798670e-01
2.028000000000000000e+03, 1.445932495845266397e+00, 1.465081323382563028e+00, 1.446418557298884355e+00, 1.330298057033564962e+00, 9.647683994128247731e-01, 9.591461473754742117e-01, 7.175431351680414682e-01, 2.500117614786116604e+00, 1.048621600262303888e+00, 1.962015267191078216e+00, 1.185442639045319879e+00, 1.275247652004934507e+00, 1.229041360444310005e+00, 1.900260828047849015e+00, 1.076132005053111129e+00, 9.557888421802184231e-01
2.029000000000000000e+03, 1.475382436689278487e+00, 1.469363796949200829e+00, 1.433020988764055703e+00, 1.299113849911899932e+00, 1.008160880755566202e+00, 9.414227635695234797e-01, 7.860813951586226311e-01, 2.535072013142408931e+00, 1.065444081106357688e+00, 1.973889372730738057e+00, 1.217781141887049667e+00, 1.268465511274811774e+00, 1.197927293256122461e+00, 1.978262235617021192e+00, 1.095655913462036057e+00, 1.002415994824689349e+00
