year, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, CanESM5
2.015000000000000000e+03, 1.409302677824898418e-09, 6.719090387115212046e-10, 5.465637392129933119e-10, 6.322384185059660990e-10, 2.378011148075637713e-10, 1.176324353414047635e-09, 4.722470367444129908e-10
2.016000000000000000e+03, 7.840118412106788035e-10, 8.031185720489977763e-10, 7.139281425764956799e-10, 3.044722695128382999e-10, -1.241740615011331903e-10, 9.974337678920036006e-10, 5.449633755609394924e-10
2.017000000000000000e+03, 1.355743846466074217e-09, 1.275922560536287562e-09, 6.882018029463011401e-10, 3.259297226236632792e-10, 2.269797447656050117e-10, 1.177319764219882771e-09, 3.776920694114637691e-10
2.018000000000000000e+03, 6.241354997631901746e-10, 1.437534776880100645e-09, 5.470470335314745945e-11, 2.978530263147604078e-10, -5.494330596496415691e-10, 8.808234571500456394e-10, 3.325485235777249232e-10
2.019000000000000000e+03, 4.485038679957037651e-10, 9.591868527085918547e-10, 1.142488682970322825e-09, 5.226927846920102383e-10, -3.604025077775186503e-10, 1.125449659966583569e-09, 4.069208148585131222e-10
2.020000000000000000e+03, 6.224398123436343424e-10, 1.132990487367687481e-09, 4.978942998164408154e-10, 9.717498781291068401e-10, 4.341208144893540152e-10, 7.784600668121358955e-10, 6.644433563025520950e-10
2.021000000000000000e+03, 1.063299045363482418e-09, 1.194048867678262176e-09, 6.566047744450689901e-10, 3.158063158247342178e-10, 8.463121826131813648e-10, 1.524881355431221815e-09, 3.750282706952064203e-10
2.022000000000000000e+03, 1.327117465711225651e-09, 1.381597497016582968e-09, 8.070389822490326815e-10, 5.897220337720864394e-10, 5.189786575316057097e-10, 1.713101923102982036e-09, 9.162234352455877164e-10
2.023000000000000000e+03, 6.743649195012562397e-10, 7.442922925869830541e-10, 5.926820129175595170e-10, 3.692119979892947711e-10, -8.196060359985835438e-10, 1.088861413059843425e-09, 9.429294866704317428e-10
2.024000000000000000e+03, 1.393449574676350541e-09, 1.921814204034949494e-09, 4.093597529285083582e-10, -2.400285446658010453e-11, -5.636843869442080552e-10, 1.161478209602922590e-09, 9.678783854671038395e-10
2.025000000000000000e+03, 1.610614354064760386e-09, 1.969017872294017215e-09, 3.327576404381276669e-10, 5.274926820742592504e-10, 3.817672668817106613e-10, 1.518937449194797311e-09, 1.777139219168581086e-09
2.026000000000000000e+03, 1.641240412346972556e-09, 1.512243363146438938e-09, 5.713986338933010283e-10, 7.097297605305623868e-10, 1.094686578287436911e-10, 1.636134019532724570e-09, 1.240924023162413443e-09
2.027000000000000000e+03, 2.072011452432778931e-09, 1.351627092475099008e-09, 5.451225900804900853e-10, 4.507940475661164319e-10, 9.906126348973435328e-11, 1.511779470267438909e-09, 5.696890582327034694e-10
2.028000000000000000e+03, 8.880431073073667003e-10, 1.430417731399015253e-09, 7.901864705477560338e-10, 8.765856256911589505e-10, -7.742923509522480160e-11, 9.273439398341933002e-10, 6.489294083442063926e-11
2.029000000000000000e+03, 1.278799699546852135e-09, 1.795857321763497464e-09, 6.906707435334911446e-10, 7.418774352570214312e-10, -7.505155020594312837e-10, 1.548163804879014134e-09, 1.407659930020552724e-09
2.030000000000000000e+03, 1.938825104524227244e-09, 2.059728026754651158e-09, 4.979583286208995744e-10, 7.670501383014383338e-10, -7.646469459860736117e-10, 1.605556760353935516e-09, 1.465907903501611156e-09
2.031000000000000000e+03, 2.021807285801553186e-09, 1.729904429275256688e-09, 6.325897715418033402e-10, 8.331516877601363941e-10, -7.452050219048635408e-11, 1.578153551063818445e-09, 1.110663544082504646e-09
2.032000000000000000e+03, 1.325024234603686174e-09, 1.764341069591173364e-09, 9.774676223246540919e-10, 7.542837525242605061e-10, 4.496608232474058872e-10, 1.574642714401025542e-09, 1.422162444990772399e-09
2.033000000000000000e+03, 1.269254631890489737e-09, 1.656178663800152509e-09, 7.755788877530023728e-10, 4.301182962592990551e-10, 6.342557728892217478e-11, 1.659770093506878462e-09, 1.479231561820369332e-09
2.034000000000000000e+03, 2.295005045873708768e-09, 1.791557745933107242e-09, 1.019714054985740396e-09, -1.145196161160420860e-10, -4.124123727839732726e-10, 1.520758353619091907e-09, 5.856791766496460202e-10
2.035000000000000000e+03, 1.249915100485886565e-09, 1.882436540733727255e-09, 7.023716879904832019e-10, 6.658155687431937679e-10, -4.907207174609459891e-10, 1.453962342790621486e-09, 7.900516211301833393e-10
2.036000000000000000e+03, 1.579043674488286108e-09, 1.336800502968222784e-09, 9.009024024173764047e-10, 1.153175726260768449e-09, -1.334406216789327829e-10, 1.201040728952527093e-09, 1.046172448803796820e-09
2.037000000000000000e+03, 1.629007828124045561e-09, 1.676629940146829699e-09, 1.084997118629911457e-09, 5.737138309517389971e-10, -2.349042117416427626e-10, 1.550357638916805998e-09, 8.236123603372293141e-10
2.038000000000000000e+03, 2.291823248282700519e-09, 1.860488047648167167e-09, 1.031538775244700042e-09, 7.279130471538378399e-10, 1.107928460423046722e-09, 8.092402459955714706e-10, 9.218153752777690090e-10
2.039000000000000000e+03, 1.339271461621754963e-09, 1.744760038052722388e-09, 7.258484307718684582e-10, 1.005214848739825266e-09, -5.204742267234520703e-10, 1.350232270392420045e-09, 1.203224440491415632e-09
2.040000000000000000e+03, 1.985067912841776148e-09, 1.647107956887745480e-09, 6.579021613109234642e-10, 1.596812239510419341e-09, -1.647530272683068843e-10, 1.635846108654689719e-09, 1.120857520558874768e-09
2.041000000000000000e+03, 1.424084104432084358e-09, 2.146046897983646643e-09, 4.067388493653658159e-10, 1.033811366662095107e-09, -8.536720871752800695e-10, 1.142917427164942620e-09, 1.071628805975198691e-09
2.042000000000000000e+03, 2.400725457402328086e-09, 1.494110933294610056e-09, 7.604762361622045013e-10, 9.828143433873066129e-10, -2.823432498298467053e-10, 1.249025098869952652e-09, 1.410037497997603206e-09
2.043000000000000000e+03, 2.160401308363809812e-09, 1.544637282281172880e-09, 6.426683257750933577e-10, 5.873891293735327231e-10, 1.288683752542090317e-09, 1.062477885194048738e-09, 1.447448957553643034e-09
