year, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L, INM-CM5-0, CanESM5, GFDL-ESM4, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL
2.015000000000000000e+03, 4.646151942763384390e+00, 3.976291169516685819e+00, 3.029302386962652527e+00, 5.070003596455701533e+00, 7.289220925870987244e+00, 5.106198627537436252e+00, 5.916215328447607114e+00, 4.967608927345175118e+00, 4.746152300189325324e+00, 4.578902392025127277e+00, 4.987628688926710296e+00, 3.975421251193990813e+00, 5.203370262039937799e+00, 6.043414238754598600e+00, 5.961876483656100234e+00, 6.056765432585852871e+00
2.016000000000000000e+03, 4.470321729540229327e+00, 3.739604133803506425e+00, 2.641018460141765001e+00, 5.133702355057036648e+00, 7.002164371559546296e+00, 4.848079007533896423e+00, 5.759028528671513492e+00, 4.878344800068210141e+00, 4.679837584700974773e+00, 4.135203155175080525e+00, 4.999276044028611032e+00, 4.264358829766366377e+00, 4.774846473452660334e+00, 6.440567427490656804e+00, 6.251111149676298773e+00, 5.521290794606477093e+00
2.017000000000000000e+03, 4.675856131353317124e+00, 3.781911647429779588e+00, 2.728873295082096639e+00, 5.481614071937757515e+00, 7.307494656318541004e+00, 5.206320529468434266e+00, 5.706734936772924094e+00, 5.158590915828257906e+00, 5.201513348153438798e+00, 4.442296137578858328e+00, 5.187676115420429390e+00, 4.108592591288991791e+00, 4.862817975571798179e+00, 6.654095716587745457e+00, 6.582028941203525996e+00, 5.961397305000799562e+00
2.018000000000000000e+03, 4.560995450610689339e+00, 3.959291353655296497e+00, 2.759683591954257054e+00, 5.022771821790819047e+00, 7.097896023216184069e+00, 5.115177975737402072e+00, 5.867209828327608179e+00, 5.391604410972842487e+00, 5.008237952322898145e+00, 4.355175422868153845e+00, 5.271580443554400475e+00, 4.903961495789648239e+00, 4.828433439900664759e+00, 5.772624303898538756e+00, 6.630723854963541442e+00, 5.656239537104079673e+00
2.019000000000000000e+03, 4.312899905790670729e+00, 4.022751091870553353e+00, 2.688026846879782550e+00, 5.041405924949635242e+00, 6.649156849297578553e+00, 5.085267110371968435e+00, 5.777430630574165171e+00, 5.147439065966165295e+00, 4.920878438306364622e+00, 4.589476491678271763e+00, 5.092455138797880920e+00, 4.612007421723782308e+00, 4.838857271123433890e+00, 6.389739651930615771e+00, 6.508071496672370060e+00, 6.081011993940626859e+00
2.020000000000000000e+03, 4.682965959897247288e+00, 3.962293822143993172e+00, 2.745253925566508713e+00, 4.735706064765798473e+00, 6.765721486874500812e+00, 5.000221681941389384e+00, 6.296195766799362659e+00, 5.470025391936418124e+00, 4.926709481899426812e+00, 4.608210975539691390e+00, 5.122590280953590813e+00, 4.449610856408937387e+00, 5.182744405340534044e+00, 6.688861136276854857e+00, 6.446140617130068584e+00, 5.849542636108521876e+00
2.021000000000000000e+03, 4.249485728573509924e+00, 4.154262554871923641e+00, 2.750114939043515783e+00, 5.136265072604908610e+00, 7.143102937410588105e+00, 4.911564493235477613e+00, 5.859765190698741577e+00, 5.557942449477369706e+00, 5.042566831289320817e+00, 4.348480958463906809e+00, 5.227660465406914980e+00, 5.071889887072878800e+00, 4.816438376391825038e+00, 6.476370353256899470e+00, 6.680399931264032531e+00, 6.261762631923927458e+00
2.022000000000000000e+03, 4.111745776007095898e+00, 4.030054481294840230e+00, 2.517914799763659506e+00, 5.519358613948303294e+00, 7.411252648684841127e+00, 5.295329032193402341e+00, 6.676301641856595026e+00, 5.433730821376470566e+00, 4.886814595054230992e+00, 4.644379252713972228e+00, 5.322473995585448314e+00, 4.526307740760142195e+00, 5.132022146102226401e+00, 6.723264513743887782e+00, 6.887019964820201068e+00, 6.382813772373774341e+00
2.023000000000000000e+03, 4.546290043116683499e+00, 4.113994864817485109e+00, 2.832402579171553914e+00, 5.069925189435232404e+00, 7.129787488176479116e+00, 4.982619796402382839e+00, 6.694106368953094410e+00, 5.592548072527307568e+00, 4.954011220112103153e+00, 4.441715541510388832e+00, 5.233442588551223906e+00, 4.783029422263350483e+00, 4.815318734757524588e+00, 6.371688105811565528e+00, 6.903705895814185922e+00, 5.961383065423945915e+00
2.024000000000000000e+03, 4.520387748988042631e+00, 4.174023921475924048e+00, 2.740320272846791028e+00, 5.160850743450247080e+00, 7.457340511453774745e+00, 5.501962197618055050e+00, 6.496661722009696938e+00, 5.681050579433759573e+00, 5.234350876118551987e+00, 4.246917321234343845e+00, 5.104916330268737923e+00, 4.218541339577627447e+00, 4.609484822868322063e+00, 6.590267196859187493e+00, 7.052009029125566819e+00, 6.268803546531910520e+00
