year, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
2.015000000000000000e+03, 5.317266124222973289e+00, 4.153405268148760321e+00, 4.000067084042265186e+00, 5.246567217128759175e+00, 4.587736472064007032e+00, 2.674306669195086972e+00, 3.412293717357408607e+00, 4.795144608693124866e+00, 3.121934516343758403e+00, 6.314737491725457730e+00, 4.486706391545467021e+00, 5.377381241331413264e+00, 5.665693687982447990e+00, 4.694384126604219887e+00
2.016000000000000000e+03, 4.908088407822718047e+00, 3.846000133762349282e+00, 3.818776823546568444e+00, 5.265129307568601646e+00, 4.814229361811308117e+00, 2.423325532132568849e+00, 3.329034769767585722e+00, 4.869313282510355556e+00, 3.105394357300010455e+00, 6.359006793583530381e+00, 4.399654200258635406e+00, 5.646705679654563603e+00, 5.469801096822997977e+00, 4.426053150738168185e+00
2.017000000000000000e+03, 5.234850019534459165e+00, 3.998103602389091460e+00, 4.324480769506364730e+00, 5.586465824960887616e+00, 4.727803139864302118e+00, 2.439045624418257230e+00, 3.650302263167490402e+00, 5.017094882894549634e+00, 3.047570768248856421e+00, 6.363477748283480118e+00, 4.551630314389288223e+00, 5.921930848180051221e+00, 5.506253689270478979e+00, 4.529434612146738814e+00
2.018000000000000000e+03, 5.079429269592995233e+00, 4.089911908424091358e+00, 4.220360217245451295e+00, 5.514493193583765773e+00, 4.741489221943531618e+00, 2.483924722734541568e+00, 4.084194861597548964e+00, 4.953364209188883649e+00, 3.195093825177343305e+00, 6.543788080106840432e+00, 4.674776846708328826e+00, 5.326113525983351416e+00, 5.690672165547788097e+00, 4.471526006361058236e+00
2.019000000000000000e+03, 5.364374175192815564e+00, 4.131349223146577820e+00, 4.136592561199239348e+00, 5.673413522565334155e+00, 4.745797379064412347e+00, 2.533840933677550478e+00, 3.656321551308312490e+00, 4.777197787226266534e+00, 3.176304432600005612e+00, 6.190272376250020692e+00, 4.475637865779861890e+00, 5.465815677494035185e+00, 5.561447784463396715e+00, 4.362449428675956753e+00
2.020000000000000000e+03, 5.326260063973532688e+00, 3.830910639320446176e+00, 3.937367691665193181e+00, 5.547002338449135372e+00, 4.520457148439195549e+00, 2.504539765498801973e+00, 3.129563837690848782e+00, 4.520680769883210992e+00, 3.096531936708214694e+00, 6.218020133567218721e+00, 4.618252939542411895e+00, 6.024949128880100702e+00, 5.943611370742536870e+00, 4.403859294719595141e+00
2.021000000000000000e+03, 5.336411678713956164e+00, 3.874705556377640026e+00, 4.158212328457555174e+00, 5.698850788957445346e+00, 4.783984544321365995e+00, 2.439867230893654870e+00, 3.644973728268385837e+00, 4.897644307090481597e+00, 3.323705539096003303e+00, 6.362617916882573610e+00, 4.820076740383795411e+00, 5.738257590252241691e+00, 5.660606170262746595e+00, 4.377381269776267736e+00
2.022000000000000000e+03, 5.357927540293330182e+00, 4.033033884793741031e+00, 4.012038461141149703e+00, 5.704418065164588825e+00, 4.765543163826828632e+00, 2.502434329370994526e+00, 3.471821735951641230e+00, 5.042710973342858338e+00, 3.196839622984744445e+00, 6.488383591262655514e+00, 4.638045494421849213e+00, 5.912423248139192289e+00, 6.190058547928048327e+00, 4.672600656284907394e+00
2.023000000000000000e+03, 5.249241833200219531e+00, 3.747950455958956706e+00, 4.027501963695059750e+00, 5.974905263540962075e+00, 4.673101476060712578e+00, 2.521326955717496876e+00, 3.630813010085147230e+00, 4.648411121961128600e+00, 3.310471809104284180e+00, 6.549954173413808256e+00, 4.723744906520019882e+00, 5.651016206976530398e+00, 6.193698748074798921e+00, 4.420135819296882929e+00
2.024000000000000000e+03, 5.522747810356936959e+00, 3.956118511934962445e+00, 3.976888943768182028e+00, 5.764183352289048656e+00, 4.697388598542122651e+00, 2.486420224488639530e+00, 3.403584862626141128e+00, 4.926629052825942878e+00, 3.226113025517079347e+00, 6.494268968467924452e+00, 4.823746528060788741e+00, 5.993797146206139459e+00, 5.983027433915907523e+00, 4.463575934161894132e+00
