year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
1.850000000000000000e+03, -8.001652104530105050e-12, 1.064343791521499700e-17, 0.000000000000000000e+00, 4.465948841952348832e-15
1.851000000000000000e+03, -1.031443118914795419e-11, 7.320634234122631355e-12, 1.380100643498239638e-13, 4.304087043458082054e-15
1.852000000000000000e+03, -1.143356141672004447e-11, 7.956136952313900762e-12, 1.860145300409448717e-13, 2.279659053629117344e-15
1.853000000000000000e+03, -1.240029562015201305e-11, 8.463883499449719794e-12, 1.311934156620883241e-13, 2.838737088971006075e-15
1.854000000000000000e+03, -1.243961133742881896e-11, 8.816811536352760216e-12, 1.386190362663787548e-13, 4.083053288009112441e-15
1.855000000000000000e+03, -1.249867627991411168e-11, 9.042522027540119476e-12, 1.752023169246758058e-13, 7.344112066607044322e-15
1.856000000000000000e+03, -1.367830826531788801e-11, 9.267714519123987299e-12, 1.838595773929694876e-13, 4.242314319341106407e-15
1.857000000000000000e+03, -1.368698218862873799e-11, 9.378081101416578899e-12, 1.728679995519211555e-13, 2.536907198700323408e-15
1.858000000000000000e+03, -1.369125613793923630e-11, 9.464339292587815112e-12, 2.301386116296152792e-13, 3.307797349527031258e-15
1.859000000000000000e+03, -1.500767654682585894e-11, 9.677552548285299781e-12, 1.950807934018861753e-13, 3.189180696886082567e-15
1.860000000000000000e+03, -1.476262316431625372e-11, 9.761427853653059715e-12, 1.613825182690558206e-13, 5.329100809619076039e-15
1.861000000000000000e+03, -1.527119540288500359e-11, 1.337774743426913487e-11, 3.419925986176362745e-13, 6.383159490862232329e-15
1.862000000000000000e+03, -1.584645971245931482e-11, 1.381705866104828039e-11, 3.026690446672058887e-13, 2.501974029701670133e-15
1.863000000000000000e+03, -1.730879650533040308e-11, 1.416291343253991955e-11, 2.840777473949312797e-13, 3.411406442170178636e-15
1.864000000000000000e+03, -1.669212872871458010e-11, 1.442545795586343972e-11, 2.601534861538307019e-13, 2.705091687140908183e-15
1.865000000000000000e+03, -1.751543830926554868e-11, 1.449751752746210066e-11, 2.819453457044613449e-13, 8.275821507235080558e-15
1.866000000000000000e+03, -1.842059554003350350e-11, 1.435115167306270832e-11, 3.127569251173238006e-13, 1.229399273815363113e-14
1.867000000000000000e+03, -1.808033211388945620e-11, 1.454611864360654601e-11, 3.004105399164347733e-13, 1.090461101263308608e-14
1.868000000000000000e+03, -1.895910351816127811e-11, 1.435335411839174535e-11, 3.100746548849527394e-13, 1.407399882588430729e-14
1.869000000000000000e+03, -1.959149636681154747e-11, 1.430480175839211364e-11, 2.782211609193702989e-13, 1.314980945798583210e-14
1.870000000000000000e+03, -2.052645588632888735e-11, 1.435883959881292636e-11, 2.768748067564829903e-13, 3.217856880866176887e-14
1.871000000000000000e+03, -2.142767903352603257e-11, 1.881430031682408957e-11, 4.885906191358386541e-13, 3.350861402345726265e-14
1.872000000000000000e+03, -2.343395456406565714e-11, 1.932406926007430300e-11, 5.677046869072143973e-13, 4.041402646366461778e-14
1.873000000000000000e+03, -2.647081484794121243e-11, 1.970248428894421082e-11, 4.598616305334805973e-13, 3.715727387054480282e-14
1.874000000000000000e+03, -2.637345921292961990e-11, 1.992720365406961778e-11, 4.201012477784714744e-13, 5.895847703129260861e-14
1.875000000000000000e+03, -2.721869249430129310e-11, 2.004452762531162884e-11, 5.862184382934955268e-13, 5.213982828867704571e-14
1.876000000000000000e+03, -2.795463260749195887e-11, 2.031288144174832389e-11, 6.332471801491920811e-13, 6.172066477340597923e-14
1.877000000000000000e+03, -3.034877976636390617e-11, 2.048415980996459300e-11, 5.918787895816810990e-13, 6.744059958704774353e-14
1.878000000000000000e+03, -2.993764302758919263e-11, 2.053240709547946047e-11, 5.994978480880974150e-13, 5.886357743803532058e-14
1.879000000000000000e+03, -3.393834220424525955e-11, 2.048475779895541951e-11, 6.160010465411652721e-13, 9.325618257883064408e-14
1.880000000000000000e+03, -3.334741466674913940e-11, 2.043418092345458408e-11, 6.586459453401866777e-13, 2.677347404407081797e-13
1.881000000000000000e+03, -3.522541692545157014e-11, 2.930038044769739076e-11, 4.576424230735909088e-13, 2.789121511849491513e-13
1.882000000000000000e+03, -3.270440114476314229e-11, 3.018237933645609171e-11, 4.605113221352720762e-13, 2.057554089399202636e-13
1.883000000000000000e+03, -3.635090715248959172e-11, 3.066520952700871328e-11, 4.189477913385528696e-13, 3.377942791752744280e-13
1.884000000000000000e+03, -3.539042621201243370e-11, 3.068603174009326297e-11, 5.572334103966335773e-13, 3.362344431278719406e-13
1.885000000000000000e+03, -3.963041070887998195e-11, 3.106031762047840349e-11, 4.343421014282314781e-13, 3.858585890442943293e-13
1.886000000000000000e+03, -3.951522699603265490e-11, 3.093908859026662631e-11, 4.789926772047736781e-13, 3.859573353540069072e-13
1.887000000000000000e+03, -4.110752346345514369e-11, 3.120150635588896850e-11, 4.434855812871666682e-13, 4.612110022887620871e-13
1.888000000000000000e+03, -4.134791447945755053e-11, 3.137999701752994502e-11, 4.325346379598309617e-13, 4.678864939480861631e-13
1.889000000000000000e+03, -3.965171212212724585e-11, 3.178171394725015574e-11, 4.933318660750738441e-13, 4.521511771956587150e-13
1.890000000000000000e+03, -4.633927054014878198e-11, 3.220994508319885194e-11, 4.161267249181262271e-13, 6.279412449559479067e-13
1.891000000000000000e+03, -4.663935550018799570e-11, 4.241739263138247105e-11, 8.438050321191027516e-13, 4.038190810407179682e-13
1.892000000000000000e+03, -5.297116038599602940e-11, 4.343006995897662431e-11, 1.512829041257314226e-12, 5.033125716785209497e-13
1.893000000000000000e+03, -4.976456921344349341e-11, 4.413860793451915480e-11, 1.799413818806240291e-12, 7.594431000006925976e-13
1.894000000000000000e+03, -5.470355768926778179e-11, 4.459822870559423697e-11, 1.845776516570894909e-12, 8.573466026017554885e-13
1.895000000000000000e+03, -5.842356124075784258e-11, 4.435463876408832512e-11, 1.695187566675867212e-12, 8.737337117880103223e-13
1.896000000000000000e+03, -5.899625206079023781e-11, 4.449593380003947847e-11, 3.322422792737594838e-12, 8.170637819110333447e-13
1.897000000000000000e+03, -6.399282489952869037e-11, 4.489313722719752516e-11, 5.444002555639772836e-12, 8.488056444412309794e-13
1.898000000000000000e+03, -6.439506864285566711e-11, 4.519463217134209474e-11, 5.521965707751636837e-12, 1.054108328100632082e-12
1.899000000000000000e+03, -6.632607058580101047e-11, 4.482419466925202425e-11, 5.854158138710261670e-12, 1.310638922076074400e-12
1.900000000000000000e+03, -6.605192140499160680e-11, 4.496895964972631920e-11, 8.998987990406351445e-12, 1.472999802925892488e-12
1.901000000000000000e+03, -6.714217575276816410e-11, 4.695902340566551220e-11, 9.812106568386293490e-12, 1.772180775968147528e-12
1.902000000000000000e+03, -7.386256521079568769e-11, 4.738372085169382967e-11, 1.031569539460071217e-11, 2.494987670565866343e-12
1.903000000000000000e+03, -7.722821547978840568e-11, 4.812542378579609487e-11, 1.103354873371214777e-11, 2.659526439558486252e-12
1.904000000000000000e+03, -7.220692743366638552e-11, 4.813118988507157882e-11, 1.072147607096839220e-11, 2.464706188092448451e-12
1.905000000000000000e+03, -7.303400675987300793e-11, 4.781968611382181236e-11, 1.211955384487145455e-11, 2.725504075981071324e-12
1.906000000000000000e+03, -7.527636298350882149e-11, 4.852301616026191420e-11, 1.458874027760126861e-11, 3.185552370908668613e-12
1.907000000000000000e+03, -8.510193661035046782e-11, 4.850039907357599473e-11, 1.615875215389203424e-11, 2.714657036438936465e-12
1.908000000000000000e+03, -8.906708410717770722e-11, 4.909249593465591916e-11, 1.754624831242798088e-11, 3.143912691345068719e-12
1.909000000000000000e+03, -9.445534203606761000e-11, 4.961153941488251778e-11, 1.894367145102311521e-11, 3.662395482636063741e-12
1.910000000000000000e+03, -9.603150430686434151e-11, 4.981998994139152936e-11, 1.893405183110695322e-11, 4.607118736842937825e-12
1.911000000000000000e+03, -1.017372138997091554e-10, 6.363537759021890595e-11, 2.611171668660159970e-11, 5.945340340259547207e-12
1.912000000000000000e+03, -1.148893618192953870e-10, 6.431301275569480045e-11, 2.717467422098309238e-11, 6.574511986561542147e-12
1.913000000000000000e+03, -1.075608194438574547e-10, 6.523696670896457894e-11, 2.794506972059995252e-11, 5.991270863395825162e-12
1.914000000000000000e+03, -1.114101888381813375e-10, 6.633504634653890069e-11, 2.895358312179343162e-11, 5.478584099330351463e-12
1.915000000000000000e+03, -1.202830612993496843e-10, 6.701984840610564761e-11, 2.914564461818688128e-11, 5.785608358182736261e-12
1.916000000000000000e+03, -1.008841648370048085e-10, 6.763472106813923054e-11, 3.100895496423646728e-11, 5.704136221160201958e-12
1.917000000000000000e+03, -1.116064225651415872e-10, 6.838216419641193880e-11, 3.216452981238518745e-11, 7.143760567120578160e-12
1.918000000000000000e+03, -1.148697828317479323e-10, 6.916047899766543337e-11, 3.361372406212640012e-11, 7.017443992277805229e-12
1.919000000000000000e+03, -1.139862027873396945e-10, 6.957596449844549549e-11, 3.496068586413910299e-11, 7.337890821608992889e-12
1.920000000000000000e+03, -1.192324353833423291e-10, 7.054767667330464350e-11, 3.636958131708354163e-11, 8.753579043607608208e-12
1.921000000000000000e+03, -1.202016287999819498e-10, 7.790654489217701505e-11, 4.459027936122400014e-11, 1.106734485067063259e-11
1.922000000000000000e+03, -1.316746091260858619e-10, 7.847584692772687452e-11, 4.777486874283574475e-11, 1.303078805140101792e-11
1.923000000000000000e+03, -1.431325923375891823e-10, 7.913221620061557310e-11, 5.065767850457651591e-11, 1.323305065698949767e-11
1.924000000000000000e+03, -1.465843866917910613e-10, 8.009523683085323270e-11, 5.378127521475436897e-11, 1.238485831199995279e-11
1.925000000000000000e+03, -1.545748071837700946e-10, 7.942025962528789690e-11, 5.531854266240145989e-11, 1.416363482268116703e-11
1.926000000000000000e+03, -1.571835676384021426e-10, 8.012819546662352808e-11, 6.693391962372794343e-11, 1.313751270446353906e-11
1.927000000000000000e+03, -1.482807457483536745e-10, 8.102457687497229095e-11, 7.027673264802559853e-11, 1.374966494367697630e-11
1.928000000000000000e+03, -1.698841115604262781e-10, 8.165161380443844906e-11, 7.350958814025530483e-11, 1.726428327966462202e-11
1.929000000000000000e+03, -1.737335040180487036e-10, 8.177977945860428225e-11, 7.650157417542918630e-11, 1.515751179778822318e-11
1.930000000000000000e+03, -1.625977927043314488e-10, 8.310924519082243269e-11, 7.873004526023685226e-11, 1.418204408369833037e-11
1.931000000000000000e+03, -1.732278691545268349e-10, 8.107890188431547507e-11, 8.889786626207309423e-11, 1.790481770098062900e-11
1.932000000000000000e+03, -1.883528932150246798e-10, 8.029376609369092630e-11, 9.541849543583552801e-11, 1.838219958349594897e-11
1.933000000000000000e+03, -1.904495994937107426e-10, 8.025755368123606289e-11, 1.021639580608296050e-10, 1.721426497639897107e-11
1.934000000000000000e+03, -1.617233907462801680e-10, 8.083341483324314858e-11, 1.044606307155835134e-10, 1.816755305087147175e-11
1.935000000000000000e+03, -1.761795287152532706e-10, 8.163986193338187178e-11, 1.060290358747391808e-10, 1.836381932702115001e-11
1.936000000000000000e+03, -1.728543166168690757e-10, 8.025541106239170985e-11, 1.003622820997522711e-10, 2.346446030542839391e-11
1.937000000000000000e+03, -1.972838733325745271e-10, 8.061439483420700463e-11, 1.003394154676094696e-10, 3.348837042219809133e-11
1.938000000000000000e+03, -1.731448386618503405e-10, 8.162768658830156827e-11, 1.045229234922096411e-10, 4.042526487142069633e-11
1.939000000000000000e+03, -1.889091299683818729e-10, 8.147380436654594974e-11, 1.084524164156265371e-10, 4.517510096732084232e-11
1.940000000000000000e+03, -2.021108893873015015e-10, 8.176978510337230013e-11, 1.153403168240655933e-10, 2.624072691144211884e-11
1.941000000000000000e+03, -2.089927284940864488e-10, 9.781617961058235049e-11, 1.506937740760600775e-10, 2.721259443987895630e-11
1.942000000000000000e+03, -2.083786686387817385e-10, 9.927111304428308783e-11, 1.593727078364591040e-10, 2.463886514613464077e-11
1.943000000000000000e+03, -2.043692303428744248e-10, 9.939363167522129242e-11, 1.775128449937279777e-10, 3.953455946178764524e-11
1.944000000000000000e+03, -2.318975070569719716e-10, 9.960571580789531717e-11, 1.921100586932075105e-10, 3.509029571629442205e-11
1.945000000000000000e+03, -2.355889469489041784e-10, 9.919023416497968825e-11, 2.014831787395858282e-10, 5.973503632143117629e-11
1.946000000000000000e+03, -2.433880133277710245e-10, 1.010338964792181302e-10, 2.283687025852066789e-10, 4.183103177270336326e-11
1.947000000000000000e+03, -2.524487720007241256e-10, 1.013694179847523161e-10, 2.455035315489913794e-10, 3.975612255981029047e-11
1.948000000000000000e+03, -2.564643450336136537e-10, 1.021669944225207333e-10, 2.543839852762113467e-10, 4.100258237550393002e-11
1.949000000000000000e+03, -2.231402308289290218e-10, 1.021145101849779309e-10, 2.627973320759349711e-10, 5.971542502501875342e-11
1.950000000000000000e+03, -2.418814940143108892e-10, 9.938914269477146068e-11, 2.769802334186396057e-10, 9.404228799346488057e-11
1.951000000000000000e+03, -3.041834184317307120e-10, 1.513715093707401551e-10, 4.466370902442443938e-10, 7.725132084795402988e-11
1.952000000000000000e+03, -2.446312906695153036e-10, 1.537313673191297338e-10, 5.349419775863970350e-10, 7.807977059967028468e-11
1.953000000000000000e+03, -2.773453327780210078e-10, 1.544007746106329214e-10, 5.746569425107279495e-10, 6.739893539823088741e-11
