year, GFDL-ESM4, NorESM2-LM, TaiESM1, NorESM2-MM, CNRM-ESM2-1
1.850000000000000000e+03, 5.038301064759387379e-10, 5.153266951737693251e-10, 1.822142987979599885e-10, 4.968268503981659300e-10, 5.754336546798673449e-10
1.851000000000000000e+03, 4.973157068671499128e-10, 3.392134014282614428e-10, 3.788115505006881190e-10, 6.454890453847902522e-10, 5.104741310637069007e-10
1.852000000000000000e+03, 7.190470296404433212e-10, 3.548771655658350226e-10, 1.987805776860865295e-10, 5.214201482065396600e-10, 9.068345610810262190e-10
1.853000000000000000e+03, 3.660877295085061282e-10, 3.380700906358969981e-10, 6.351858716708116372e-10, 4.187036607477976712e-10, 9.934426391985860718e-10
1.854000000000000000e+03, 4.907548009262464157e-10, 3.594137440277169538e-10, 4.732741020422364759e-10, 5.754281218128719306e-10, 6.813094592033380829e-10
1.855000000000000000e+03, 5.856721282616591409e-10, 1.908546208475237982e-10, 1.198858038485989549e-10, 3.897987884979425006e-10, 5.717422268604468832e-10
1.856000000000000000e+03, 6.457953692264756322e-10, 3.106961383441189777e-10, 1.567757763407411220e-10, 3.257466319259603111e-10, 7.267197114319331851e-10
1.857000000000000000e+03, 3.848414144835466133e-10, 3.547348351911532245e-10, 3.630795977217352420e-10, 3.172169027563921495e-10, 5.508742338681140983e-10
1.858000000000000000e+03, 4.635289086115434842e-10, 3.340741431092474336e-10, 2.657451881076195332e-10, 3.173100221688505049e-10, 9.847695089916742687e-10
1.859000000000000000e+03, 3.691861691624416759e-10, 1.670394353984624032e-10, 1.147469732493690748e-10, 2.185494991520841728e-10, 5.934757710376705518e-10
1.860000000000000000e+03, 3.485205291369661593e-10, 1.150320928476069411e-10, 2.526720300484617855e-10, 4.731243695886856224e-10, 4.946579104688302771e-10
1.861000000000000000e+03, 2.478882663259904096e-10, 2.760715224488748288e-10, 4.960048297812975329e-10, 2.956029813636753597e-10, 9.280084451988011600e-10
1.862000000000000000e+03, 6.294781624801816988e-10, 3.264726859758929302e-10, 2.773862832505548342e-10, 2.050488734782932472e-10, 8.347202944244142902e-10
1.863000000000000000e+03, 4.825036217017738060e-10, 7.163692337010443518e-10, 2.046122139797395842e-10, 5.372477000905046966e-10, 4.567692655732058679e-10
1.864000000000000000e+03, 6.701396023215021387e-10, 3.966928303200454792e-10, 2.480476312955776583e-10, 7.702099984493958345e-10, 1.025156056811128193e-09
1.865000000000000000e+03, 4.340433101752283309e-10, 1.753499344493787873e-10, 3.650109780825483832e-10, 7.945102470957040976e-10, 8.934480604933628735e-10
1.866000000000000000e+03, 3.768776411402081706e-10, 3.131729584221349052e-10, 2.809303061565725608e-10, 6.150458255564092157e-10, 6.847782004568554010e-10
1.867000000000000000e+03, 4.741044963887629524e-10, 2.096900888967838811e-10, 1.878809760612464651e-10, 3.722893171244998340e-10, 4.015722164327810278e-10
1.868000000000000000e+03, 4.045871990167514292e-10, 3.482565137686418077e-10, 1.925467427358644643e-10, 1.732415511261216865e-10, 1.046916779637601076e-09
1.869000000000000000e+03, 4.214885977813203181e-10, 3.415985906249223532e-10, 1.755057548325225075e-10, 2.679614313363275304e-10, 4.119318532893312311e-10
1.870000000000000000e+03, 5.884602196915386632e-10, 2.750484974423195308e-10, 1.942202259668730357e-10, 1.630323629861502359e-10, 4.789531907458821265e-10
1.871000000000000000e+03, 3.976694057193832307e-10, 3.353735370405355407e-10, 2.769390336927714464e-10, 2.775459106073807503e-10, 5.401400125063949973e-10
1.872000000000000000e+03, 4.320413989204432435e-10, 3.081098973566036834e-10, 5.565923634658281461e-10, 2.918525161740291435e-10, 7.778474759927785303e-10
1.873000000000000000e+03, 3.382810220732429424e-10, 2.167988058102806587e-10, 5.709802124226496095e-10, 3.719542560628634196e-10, 5.694561025645361915e-10
1.874000000000000000e+03, 6.394876066960134012e-10, 2.094496326531765068e-10, 3.848182419353674434e-10, 4.640770318800353472e-10, 5.932732306679418052e-10
1.875000000000000000e+03, 4.277000724394714143e-10, 4.020710168561420209e-10, 2.812524183721516835e-10, 5.521176331711792109e-10, 1.135001455861310992e-09
1.876000000000000000e+03, 2.903775162632802384e-10, 4.004977947544321129e-10, 5.302657568884488730e-10, 5.443112683168945864e-10, 5.819322790040690608e-10
1.877000000000000000e+03, 4.425639059130427810e-10, 4.441432769627666640e-10, 3.385195049990976006e-10, 4.729147565710491029e-10, 4.178002349321112265e-10
1.878000000000000000e+03, 6.581229695562449952e-10, 3.035037441385983785e-10, 4.299631868262502394e-10, 3.048602583571349724e-10, 6.612662511514399378e-10
1.879000000000000000e+03, 4.199209901312179341e-10, 3.558672900980866190e-10, 4.296441396548988148e-10, 4.669106821695698665e-10, 7.152444663501453301e-10
1.880000000000000000e+03, 3.895714332929355953e-10, 3.857738712492468584e-10, 2.249230096819396740e-10, 4.274706281575653428e-10, 1.156739794087304727e-09
