year, MPI-ESM1-2-LR, EC-Earth3-Veg
1.850000000000000000e+03, 1.394154236538696492e-10, 2.702677111353463270e-11
1.851000000000000000e+03, 1.711464843982564048e-10, 2.517864101809379841e-11
1.852000000000000000e+03, 1.274439880744251391e-10, 2.592845603069890374e-11
1.853000000000000000e+03, 6.778677290181689011e-11, 2.587039354942256616e-11
1.854000000000000000e+03, 7.927677079612217095e-11, 3.091817109015258520e-11
1.855000000000000000e+03, 1.720272507381601864e-10, 4.123703940278887963e-11
1.856000000000000000e+03, 1.134468859561483175e-10, 2.653797318002254382e-11
1.857000000000000000e+03, 1.171962604735374093e-10, 3.191878097282436271e-11
1.858000000000000000e+03, 9.749460351184936450e-11, 3.483821332062353717e-11
1.859000000000000000e+03, 1.365998000839269207e-10, 3.532740841608409959e-11
1.860000000000000000e+03, 9.727210162159282813e-11, 3.456684868484022530e-11
1.861000000000000000e+03, 6.120433285215734319e-11, 4.637077681180669120e-11
1.862000000000000000e+03, 8.356557840948353094e-11, 3.540542034599540359e-11
1.863000000000000000e+03, 1.783151267511736246e-10, 4.830626382899970582e-11
1.864000000000000000e+03, 8.003116142777735712e-11, 3.649464783490962874e-11
1.865000000000000000e+03, 5.862510574259363398e-11, 4.695867389963306675e-11
1.866000000000000000e+03, 1.641591127261747346e-10, 4.768761242799495562e-11
1.867000000000000000e+03, 1.553000029368294618e-10, 5.797895180992926814e-11
1.868000000000000000e+03, 1.048078919384403876e-10, 4.276828486648298408e-11
1.869000000000000000e+03, 1.354383298107413135e-10, 6.313509340618747181e-11
1.870000000000000000e+03, 1.723780995632549878e-10, 5.743571927356607830e-11
1.871000000000000000e+03, 1.220122103243739626e-10, 7.038260301469755548e-11
1.872000000000000000e+03, 1.468940587427800654e-10, 5.553593136337212585e-11
1.873000000000000000e+03, 6.733637316936042596e-11, 7.730546969491738348e-11
1.874000000000000000e+03, 9.181291872727458653e-11, 5.571978437638812377e-11
1.875000000000000000e+03, 1.133327164789071518e-10, 7.580911280810907074e-11
1.876000000000000000e+03, 9.296518843613491119e-11, 6.207494761903576364e-11
1.877000000000000000e+03, 7.554141437088242236e-11, 8.918647872196188186e-11
1.878000000000000000e+03, 7.752513918921065810e-11, 8.254391371824918187e-11
1.879000000000000000e+03, 9.916480105027720960e-11, 7.929023685339453376e-11
1.880000000000000000e+03, 6.128110480831091486e-11, 1.002348389005218064e-10
1.881000000000000000e+03, 9.770690640207137867e-11, 8.870079990956008923e-11
1.882000000000000000e+03, 1.760583214611084631e-10, 7.865410103112138134e-11
1.883000000000000000e+03, 1.661045051033668769e-10, 1.002197703564603151e-10
1.884000000000000000e+03, 1.208808870071377692e-10, 1.307334923902447847e-10
1.885000000000000000e+03, 1.363782066903029880e-10, 1.132844254371606083e-10
1.886000000000000000e+03, 1.703727075871944698e-10, 1.137475132993946756e-10
1.887000000000000000e+03, 1.130826293202199272e-10, 9.939524545214470564e-11
1.888000000000000000e+03, 1.088292106099763835e-10, 1.146110335962116625e-10
1.889000000000000000e+03, 7.996506451630922320e-11, 1.370142967703079893e-10
1.890000000000000000e+03, 5.087689606145933972e-11, 1.238687767756222112e-10
1.891000000000000000e+03, 8.108718595978004116e-11, 1.274540187021794980e-10
1.892000000000000000e+03, 1.068738364742074904e-10, 1.515491154149874361e-10
1.893000000000000000e+03, 5.585018011369061167e-11, 1.276572660445317209e-10
1.894000000000000000e+03, 1.144513317793225682e-10, 1.593059992290730279e-10
1.895000000000000000e+03, 1.667392174877803337e-10, 1.760070457638254165e-10
1.896000000000000000e+03, 1.327721894874800637e-10, 1.792533881029660652e-10
1.897000000000000000e+03, 8.169078213708144724e-11, 1.402894238669668601e-10
1.898000000000000000e+03, 1.264692430975276313e-10, 2.044297015703507652e-10
1.899000000000000000e+03, 1.302625094163242855e-10, 1.605648992518985493e-10
1.900000000000000000e+03, 1.623056558843943033e-10, 2.232476093877554274e-10
1.901000000000000000e+03, 1.037036063729779632e-10, 1.903240551008296363e-10
1.902000000000000000e+03, 7.500594247436672134e-11, 2.228785659561261558e-10
1.903000000000000000e+03, 1.597047372274960615e-10, 1.854516231224041998e-10
1.904000000000000000e+03, 8.313065218467634653e-11, 2.794203921225372659e-10
1.905000000000000000e+03, 1.051497860885526049e-10, 2.366537383839008079e-10
1.906000000000000000e+03, 1.440865413586280355e-10, 2.536215314513680946e-10
1.907000000000000000e+03, 1.206651036648116295e-10, 1.823741865014192957e-10
1.908000000000000000e+03, 1.063013892174537933e-10, 2.681994087331301084e-10
1.909000000000000000e+03, 1.808755588109079614e-10, 1.920690975942323392e-10
1.910000000000000000e+03, 1.229682764312010878e-10, 2.956678547598683124e-10
1.911000000000000000e+03, 9.691756731322593404e-11, 2.358112261965893030e-10
1.912000000000000000e+03, 8.952510492993166121e-11, 3.066772039244450476e-10
1.913000000000000000e+03, 9.022568162362074644e-11, 2.314830563090326265e-10
1.914000000000000000e+03, 7.202584012524835215e-11, 3.396400018401761080e-10
1.915000000000000000e+03, 8.468319604841359706e-11, 3.327843403676470517e-10
1.916000000000000000e+03, 1.355822470945772431e-10, 3.569738720782211151e-10
1.917000000000000000e+03, 1.534239963156155237e-10, 2.469183563613534044e-10
1.918000000000000000e+03, 2.023383436893483367e-10, 3.547123785466206186e-10
1.919000000000000000e+03, 1.557165825559220699e-10, 2.865529878836714720e-10
1.920000000000000000e+03, 6.436025242515586934e-11, 3.429651235920971894e-10
1.921000000000000000e+03, 8.410051909301076798e-11, 2.628413891307856698e-10
1.922000000000000000e+03, 7.235204634496443581e-11, 4.078933036980506621e-10
1.923000000000000000e+03, 8.039694019341905388e-11, 3.529062608149616157e-10
1.924000000000000000e+03, 7.694691446142796291e-11, 4.367095000231577281e-10
1.925000000000000000e+03, 1.186551416064805147e-10, 3.817584052030892406e-10
1.926000000000000000e+03, 8.271095804180957431e-11, 4.193047471678011571e-10
1.927000000000000000e+03, 1.034121485510973158e-10, 4.020917840506142512e-10
1.928000000000000000e+03, 6.097281021570592133e-11, 4.880433171762848782e-10
1.929000000000000000e+03, 8.159332844920188699e-11, 3.462299389787926916e-10
1.930000000000000000e+03, 1.334695690915730384e-10, 4.670199606076577698e-10
1.931000000000000000e+03, 1.574661672023807915e-10, 4.248600257904621445e-10
1.932000000000000000e+03, 1.887149964204622922e-10, 4.959568165774248355e-10
1.933000000000000000e+03, 2.279947550948413149e-10, 4.163061437621227907e-10
1.934000000000000000e+03, 8.807592451451779923e-11, 5.471791415221438089e-10
1.935000000000000000e+03, 7.297485974179716992e-11, 3.560400481929736576e-10
1.936000000000000000e+03, 8.827878800058488391e-11, 5.408883851249809135e-10
1.937000000000000000e+03, 1.208589247591137383e-10, 5.322509051570845932e-10
1.938000000000000000e+03, 1.098875224404955179e-10, 5.855021829809825176e-10
1.939000000000000000e+03, 1.562084723005852008e-10, 4.083081518946902172e-10
1.940000000000000000e+03, 1.310594256324427884e-10, 5.431542751499779253e-10
1.941000000000000000e+03, 9.443488803179477556e-11, 4.378177015328672991e-10
1.942000000000000000e+03, 7.283044230586824759e-11, 7.363564752967148990e-10
1.943000000000000000e+03, 1.273381261190204727e-10, 4.539131587572510868e-10
1.944000000000000000e+03, 1.359468069037291061e-10, 6.054541712227926430e-10
1.945000000000000000e+03, 1.042028823465888793e-10, 5.604429631478148653e-10
1.946000000000000000e+03, 8.337175065033253269e-11, 6.286837185714000123e-10
1.947000000000000000e+03, 7.990759435387899975e-11, 5.752118493129728300e-10
1.948000000000000000e+03, 1.655924662270282062e-10, 8.060911609170234415e-10
1.949000000000000000e+03, 3.268380790445696952e-10, 6.122605619649183546e-10
1.950000000000000000e+03, 1.489544620044588821e-10, 5.867013840891154484e-10
