year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, NorESM2-LM, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM
1.850000000000000000e+03, 0.000000000000000000e+00, 4.314468024574126348e-12, 1.064364107454569399e-17, 1.033406090391996491e-13, 3.211043568511578374e-12, 0.000000000000000000e+00, 5.355447074140620830e-13, 6.550483157170300003e-12, 6.427444469777746483e-15, 2.018138316726237261e-13
1.851000000000000000e+03, 1.617744840294556086e-11, 4.553656791836037523e-12, 7.195550811763855334e-12, 4.443887997831997598e-12, 3.316579221582432160e-12, 1.380100643498239638e-13, 9.271906795136782219e-13, 8.938353449619142850e-12, 1.276430390311161811e-14, 7.220344696792908276e-12
1.852000000000000000e+03, 1.623917226770389366e-11, 4.883930133774564566e-12, 7.829293746395519887e-12, 4.827775262068170467e-12, 3.445775388376197979e-12, 1.860145300409448717e-13, 9.951862289320116904e-13, 9.511526269090144534e-12, 1.204511947713668703e-14, 7.807061008370429469e-12
1.853000000000000000e+03, 1.529745242092665913e-11, 5.084522693802208877e-12, 8.335749037081589740e-12, 5.072718647791716799e-12, 3.764864734840160434e-12, 1.311934156620883241e-13, 1.042123212974795656e-12, 1.019420037911788092e-11, 1.126280929176248075e-14, 8.319613205613997025e-12
1.854000000000000000e+03, 1.602902406678662464e-11, 5.209560118581493188e-12, 8.688744752033895265e-12, 5.300338443673188244e-12, 3.917835386810170101e-12, 1.386190362663787548e-13, 1.086062316209194634e-12, 9.984197903088487841e-12, 1.083296625924018227e-14, 8.654723437102635507e-12
1.855000000000000000e+03, 1.760925647345017940e-11, 5.430586115359062105e-12, 8.915644985634567381e-12, 5.817766775650993479e-12, 4.035060398226795179e-12, 1.752023169246758058e-13, 1.121080653346548471e-12, 1.033317276824922723e-11, 1.463979981546777894e-14, 8.893667189315572992e-12
1.856000000000000000e+03, 1.574459602171069197e-11, 5.647399333270802000e-12, 9.141025360921830294e-12, 5.936723081794186427e-12, 3.902127485297674248e-12, 1.838595773929694876e-13, 1.143817364995191084e-12, 1.088358680060631031e-11, 1.417589954112266971e-14, 9.156060433648792384e-12
1.857000000000000000e+03, 1.541358397848194259e-11, 5.665503056284353834e-12, 9.252881556239246995e-12, 6.095048874779804482e-12, 3.989080779028173133e-12, 1.728679995519211555e-13, 1.158635548906679735e-12, 1.070763939300480039e-11, 9.874076879830069377e-15, 9.568351218383307577e-12
1.858000000000000000e+03, 1.644143627942638859e-11, 5.725248355886283803e-12, 9.340377734157253827e-12, 6.117159187360087825e-12, 4.230923350252716021e-12, 2.301386116296152792e-13, 1.153121098738293967e-12, 1.076371572699508255e-11, 7.625262448985506665e-15, 9.579155497118923036e-12
1.859000000000000000e+03, 1.589575999178107821e-11, 5.870127175811518843e-12, 9.551960600690876320e-12, 6.115392264227023418e-12, 4.175557984970960386e-12, 1.950807934018861753e-13, 1.198164964955110078e-12, 1.102200236132529028e-11, 7.075447719310113372e-15, 9.926902020055317051e-12
