year, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM
1.850000000000000000e+03, 2.285177218518358672e-10, 6.453605885702754637e-10, 3.364022100776155127e-10, -6.770958021847561276e-10, 5.154201262117852727e-10, -6.747482377871888659e-10, 2.421338607377384522e-10, -5.154157543549929677e-10
1.851000000000000000e+03, 8.050126457735720606e-10, 2.182591359285259565e-10, 2.600824572409763869e-10, -1.500790037852975913e-09, 4.849029020410340864e-10, 2.592128123887168738e-09, -7.526664038074655591e-10, 5.529187540035448631e-10
1.852000000000000000e+03, 1.360186762506524476e-10, -1.805870091590205797e-10, -1.830237921983419999e-09, 4.595267347674563664e-10, 2.092585541184744315e-10, -2.536712907178188792e-10, -4.415502309452825976e-10, 6.296022744735601090e-10
1.853000000000000000e+03, -1.894553104053134123e-09, -2.675957489164025234e-10, -2.672844163376431803e-10, -1.008788387781568238e-09, -7.398355281261638146e-10, -2.279539459972510144e-09, 1.305143910600857326e-10, 9.922466096608112614e-11
1.854000000000000000e+03, -1.216619706699095061e-09, -6.355852876085398704e-10, 5.123577530849445379e-10, -1.673406218394010466e-10, -7.574965873372658299e-10, 9.593052320071422984e-10, 4.504618456703475431e-10, -2.991974364218830548e-10
1.855000000000000000e+03, 8.245276654377982488e-10, 4.711907341006174490e-10, 1.439807463721277407e-09, 3.431783201363179793e-10, 1.514385532710579382e-09, 1.146666496472400237e-09, -1.241873562883402062e-10, 9.158326436613651111e-11
1.856000000000000000e+03, 1.271156323684039449e-09, -3.543427094751044918e-10, -7.263991886263383843e-10, 2.263589331558291797e-09, 1.280727292005840045e-10, -1.257925630299748324e-09, -1.014984706365812880e-10, -4.680224761249624959e-10
1.857000000000000000e+03, -5.739831905929719293e-10, 6.793443480458198147e-10, -8.578077590750332051e-10, -3.796550972826578687e-10, -1.099150043923043561e-10, -1.548547880012117792e-10, -2.433554410156760794e-10, -3.030141005067658279e-10
1.858000000000000000e+03, -4.706660008026950902e-10, 4.404368634400725307e-10, -2.530791613697323569e-10, -9.051279269269807400e-10, 1.105310079825329881e-10, -8.513205377010294752e-10, -4.233462390222067080e-11, 3.366650361167539484e-10
1.859000000000000000e+03, -8.799711114234430237e-11, -1.379901145638447149e-09, 3.783361195572254095e-10, -5.868524975689488180e-10, 1.272037358009658906e-10, -3.594982141711145776e-10, 3.258132128986224992e-10, -1.868307703736229889e-10
