year, UKESM1-0-LL, INM-CM4-8, CanESM5, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5
1.850000000000000000e+03, 1.522672770709591283e+00, 1.764385238105861342e+00, 1.611033624248858986e+00, 1.442530416472286303e+00, 2.311350555194329637e+00, 2.169521215104408984e+00, 1.486009042386108758e+00, 2.162078130177422342e+00, 1.429274391685131151e+00, 1.324450490540117986e+00, 1.235744275559996774e+00, 2.289013836873407204e+00, 1.401854181465553184e+00, 1.819605344946748193e+00, 1.384600531459580397e+00, 1.903170158049628968e+00
1.851000000000000000e+03, 1.545258545743154910e+00, 2.094732815160134987e+00, 1.737088125402706185e+00, 1.166189253237124746e+00, 2.308885124052455051e+00, 1.750910497196679794e+00, 2.605187172936214157e+00, 1.774511901267696645e+00, 1.402324319746578674e+00, 1.840683921314794302e+00, 1.370749619843753875e+00, 2.219904802542919775e+00, 1.969009690006647828e+00, 2.084203621821008046e+00, 1.273174120284845667e+00, 2.273846087421003137e+00
1.852000000000000000e+03, 1.000082113565459396e+00, 1.867948889940005186e+00, 2.012748437896622722e+00, 1.039370634130072135e+00, 2.207819462249889231e+00, 2.280219048841140683e+00, 2.477217200684754594e+00, 2.187181831976557245e+00, 1.793405335096883269e+00, 1.929734021607343308e+00, 1.220920984021174327e+00, 2.670316791567468151e+00, 1.652305894980307777e+00, 1.730384694478865004e+00, 1.356994767647607514e+00, 2.620528309436060965e+00
1.853000000000000000e+03, 1.286479754746131521e+00, 2.217960629593105359e+00, 1.733012715381340829e+00, 7.764669005242783584e-01, 2.039249946523942647e+00, 2.260887556582247271e+00, 2.029587101015221329e+00, 1.621733898789237571e+00, 1.915475482782119654e+00, 2.037432137655803555e+00, 1.801911726436888017e+00, 2.029860852519960623e+00, 1.199647865618990172e+00, 1.631834422547804975e+00, 1.223802022123089861e+00, 2.156271773520626933e+00
1.854000000000000000e+03, 2.045487043275349137e+00, 2.368001486162245151e+00, 2.025860800087605718e+00, 1.131841155879891314e+00, 2.046385685826034972e+00, 2.304609267630844283e+00, 1.762990408775137352e+00, 1.935016332484768453e+00, 1.536963976778982000e+00, 2.015222448206435146e+00, 2.034695802124649511e+00, 2.004090304782473630e+00, 1.581131246544839941e+00, 1.359890742756139526e+00, 1.189638831419831844e+00, 2.583134187539772864e+00
1.855000000000000000e+03, 1.869148502167585768e+00, 1.811192453597338492e+00, 2.291722351080169418e+00, 1.250696726645585288e+00, 2.557763257295849524e+00, 1.937118739049051408e+00, 1.874056470866496182e+00, 2.663441676354998844e+00, 1.882182901800913744e+00, 2.546658035571621959e+00, 1.353146764098789090e+00, 1.853091464214893014e+00, 1.832353771152122279e+00, 2.094398999789163440e+00, 1.325962334626385575e+00, 2.553008613129361226e+00
1.856000000000000000e+03, 1.232679109890823854e+00, 2.006176081413788115e+00, 2.392058175567686629e+00, 1.064003917385309084e+00, 1.909429100978363492e+00, 2.055907275160787862e+00, 1.525255441770513087e+00, 2.381580632807696052e+00, 1.962711777926402279e+00, 2.139056867704416387e+00, 1.332745919779250166e+00, 2.376241024571819960e+00, 1.378799574980814180e+00, 1.337594195467400215e+00, 1.036058527844232469e+00, 2.097649458937015599e+00
1.857000000000000000e+03, 1.154733841871557809e+00, 2.072802076042049357e+00, 1.475990152283477519e+00, 1.208888585797429194e+00, 2.256059436674634711e+00, 2.074156176455896894e+00, 1.419912695139563974e+00, 2.051379051698325462e+00, 2.295817122610881889e+00, 1.608881184290445576e+00, 1.516657817241100714e+00, 2.027098549474104949e+00, 1.489331177274376472e+00, 2.654805427269065543e+00, 1.311441252659323320e+00, 2.164127602000286199e+00
1.858000000000000000e+03, 1.325786966434838954e+00, 2.390691258385488460e+00, 1.944644479379007196e+00, 1.033312390813608594e+00, 2.680457595121643166e+00, 2.031742844995820363e+00, 2.211278030086722968e+00, 2.318225444433075655e+00, 2.006469250589379971e+00, 1.983017668887779195e+00, 1.341663814340687821e+00, 2.133511356414066196e+00, 1.367157701694673877e+00, 2.479701901754606475e+00, 1.514508637704580662e+00, 2.554739292433928277e+00
1.859000000000000000e+03, 1.529328685493950957e+00, 1.858531142481813170e+00, 1.967925043993915990e+00, 1.148634498225753031e+00, 2.048283193594758522e+00, 2.345917284225510269e+00, 1.357419293240174518e+00, 2.569170575355363972e+00, 2.249352424733092715e+00, 2.416743565870686172e+00, 1.515682018686407950e+00, 2.334230226109804462e+00, 1.281860510708077827e+00, 1.992378789568941766e+00, 7.145879685031968354e-01, 2.356982296493491891e+00
